month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,01027,"clay, al",241250.0,-0.0041,-0.1652,28,0.1667,0.2174,69.0,-0.042,0.3048,10,0.25,1.5,0,,,0.0,0.0,0.0,8.0,1.0,0.0,0.2005,0.0792,0.0054,3.0,1.5,-0.7727,111.0,-0.0422,-0.3034,2199.0,0.0194,0.0473,303105.0,-0.0115,-0.1134,31,0.22,-0.1029,0.0893,0.0476,-0.389,1.0
202603,01007,"bibb, al",259950.0,0.1148,-0.1851,39,0.1493,0.54,73.0,-0.3233,0.3198,8,0.3333,-0.3333,0,,,0.0,0.0,0.0,12.0,0.0,0.5,0.2017,-0.0571,0.0417,13.0,0.04,0.0,145.0,0.0141,0.1007,1777.0,-0.0231,-0.2127,317176.0,-0.1329,-0.0642,52,0.1075,0.4306,0.3377,-0.0355,-0.1823,1.0
202603,01077,"lauderdale, al",323673.0,-0.0129,0.1106,345,0.0471,0.1149,69.0,-0.1569,0.0873,130,0.2745,0.1607,0,,,0.0,0.0,0.0,104.0,0.0833,0.0833,0.1823,-0.0008,0.0091,113.0,0.1598,-0.2077,162.0,-0.0077,0.0504,1906.0,-0.0135,0.0093,409021.0,-0.0254,0.0165,457,0.0754,0.0213,0.3266,0.0317,-0.133,0.0
202603,01061,"geneva, al",255000.0,0.0256,0.1947,74,0.0,0.1855,70.0,-0.1003,0.7375,14,-0.3636,-0.4167,0,,,0.0,0.0,0.0,24.0,0.2,0.2,0.1962,0.0423,0.0362,28.0,0.1957,0.0185,153.0,0.0253,0.241,1787.0,0.0487,0.051,340722.0,0.129,0.4695,100,0.0051,0.1706,0.3741,0.0612,-0.0613,0.0
202603,01109,"pike, al",249500.0,0.045,0.0617,109,0.0634,-0.1138,58.0,-0.1825,-0.2233,42,0.3125,0.5,0,,,0.0,0.0,0.0,12.0,0.2,-0.5,0.0653,-0.0032,-0.0847,14.0,0.08,0.2273,142.0,-0.002,0.0123,1829.0,0.0363,0.0756,307882.0,0.1277,0.1546,122,0.0609,-0.0827,0.1239,0.0019,0.0344,0.0
202603,01031,"coffee, al",296135.0,0.0119,-0.0126,254,0.0263,0.3852,59.0,-0.0859,-0.0714,128,0.3913,0.3913,0,-1.0,,0.0,-0.0045,0.0,82.0,0.1081,0.5769,0.1713,-0.0088,0.0289,110.0,0.2291,0.358,154.0,-0.0016,0.0236,2013.0,-0.0125,-0.0235,323977.0,0.0181,0.0158,362,0.1037,0.387,0.4339,0.0716,-0.0087,0.0
202603,01039,"covington, al",249975.0,-0.0347,0.0001,181,0.0374,0.1424,73.0,-0.2368,0.0,58,0.2083,0.3182,2,,,0.0078,0.0078,0.0078,48.0,0.0435,0.0,0.1652,-0.0223,-0.042,32.0,0.28,0.3913,127.0,0.0514,0.1545,1936.0,-0.051,-0.0591,315782.0,-0.0192,0.0618,212,0.0653,0.1844,0.1773,0.0336,0.0317,0.0
202603,01075,"lamar, al",142250.0,0.0545,-0.2095,17,-0.0294,-0.0294,69.0,-0.3284,0.8026,6,0.5,-0.25,0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.1404,-0.0229,-0.0414,4.0,0.1429,0.0,78.0,-0.0492,-0.1828,1851.0,0.0319,-0.0052,165452.0,-0.0926,-0.3695,21,0.0,0.025,0.2424,0.0365,0.0071,1.0
202603,01035,"conecuh, al",219875.0,0.2222,0.0994,35,0.0,0.0455,69.0,-0.2017,0.5389,6,-0.25,-0.25,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.0798,0.0441,-0.0254,8.0,0.2308,0.3333,113.0,0.0602,0.0809,1765.0,0.0395,-0.0811,243286.0,0.161,0.0223,43,0.0494,0.0897,0.2319,0.0435,0.0501,0.0
202603,01083,"limestone, al",399900.0,-0.0334,-0.0364,824,-0.0042,0.118,93.0,0.4341,0.1859,358,0.3664,0.4672,52,0.3,0.0,0.0332,0.0063,-0.0081,274.0,0.3564,0.1048,0.1749,0.0407,-0.0067,427.0,0.0277,0.2769,175.0,-0.0019,0.0048,2361.0,-0.0264,-0.0171,468022.0,-0.0044,0.0156,1250,0.0138,0.1612,0.5176,0.0161,0.0644,0.0
202603,01029,"cleburne, al",287450.0,-0.0042,0.065,42,0.0641,0.66,48.0,-0.3854,-0.5199,16,0.0,0.3333,0,,,0.0,0.0,0.0,12.0,1.0,0.0,0.1508,0.0742,-0.1349,18.0,0.125,0.3846,169.0,-0.0229,0.2941,1768.0,0.0854,-0.1134,392649.0,-0.0036,0.0482,59,0.0727,0.5526,0.4337,0.0235,-0.0863,0.0
202603,01013,"butler, al",190475.0,0.0502,0.0582,39,-0.0488,0.2581,97.0,0.145,0.7124,6,0.5,-0.25,0,,,0.0,0.0,0.0,16.0,0.3333,0.3333,0.3205,0.0897,0.144,8.0,0.7778,-0.3333,105.0,0.0061,0.0078,1831.0,0.0144,0.0278,267030.0,0.1255,0.1866,48,0.0215,0.2179,0.2051,0.0954,-0.182,0.0
202603,01115,"st. clair, al",364194.0,0.0395,0.104,374,0.0842,0.1857,67.0,-0.1419,-0.0828,154,0.1493,-0.0833,10,-0.7222,0.25,0.0139,-0.038,0.0027,102.0,0.0408,0.275,0.1475,0.0097,0.0351,199.0,-0.01,-0.0894,169.0,0.0148,0.0138,2124.0,0.0337,0.0739,462607.0,0.0276,0.1609,571,0.0516,0.0733,0.5315,-0.0505,-0.1606,0.0
202603,01053,"escambia, al",179500.0,-0.049,-0.1804,78,-0.0545,-0.1333,80.0,-0.2441,-0.1693,26,0.0833,0.0833,2,,,0.0142,0.0142,0.0142,18.0,1.25,-0.1,0.1267,0.0676,-0.0321,34.0,0.1552,0.34,108.0,-0.0082,-0.0169,1826.0,-0.0054,0.0311,213508.0,-0.0014,-0.0882,111,0.0091,-0.0513,0.4295,0.078,0.1517,1.0
202603,01067,"henry, al",349000.0,-0.0127,-0.0235,82,0.1014,0.0062,57.0,-0.3003,-0.3353,22,-0.2143,0.375,2,,,0.0145,0.0145,0.0145,20.0,0.25,0.0,0.161,0.0335,0.001,28.0,0.1667,0.3333,154.0,-0.034,-0.168,2160.0,0.0112,0.1351,400505.0,0.0119,-0.1646,110,0.1005,0.0529,0.3436,0.0192,0.0843,0.0
