month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,05117,"prairie, ar",163750.0,-0.0503,-0.2384,11,-0.16,-0.0455,54.0,-0.3444,0.1302,0,-1.0,-1.0,0,,,0.0,0.0,0.0,4.0,1.0,,0.25,0.1731,0.25,5.0,0.4286,0.6667,102.0,-0.0194,-0.0895,1715.0,-0.0636,0.0541,302278.0,0.2402,-0.831,16,0.0323,0.1429,0.4762,0.1962,0.2035,1.0
202603,05061,"howard, ar",207125.0,0.0166,0.1539,40,-0.1023,-0.0595,139.0,-0.0448,0.4427,8,1.0,-0.3333,0,,,0.0,0.0,0.0,6.0,0.0,-0.25,0.1092,0.002,-0.0102,9.0,0.0625,-0.2273,100.0,-0.0374,-0.0527,1848.0,0.0255,0.0112,222901.0,-0.0263,-0.0776,49,-0.0673,-0.0849,0.2152,0.0334,-0.0467,0.0
202603,05119,"pulaski, ar",259450.0,0.0194,0.0175,1359,0.0535,0.1058,49.0,-0.1283,-0.015,592,0.0963,0.0278,10,-0.1667,-0.1667,0.0038,-0.0011,-0.0011,418.0,0.2667,-0.05,0.1635,0.0241,-0.0189,633.0,0.1647,0.0839,145.0,0.0008,0.0033,1805.0,0.0025,0.016,359499.0,0.0109,0.0251,1992,0.087,0.1067,0.4658,0.0445,-0.0094,0.0
202603,05013,"calhoun, ar",127500.0,-0.1962,-0.1774,6,-0.25,-0.5,137.0,0.0745,-0.0036,2,0.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,5.0,0.125,-0.1,94.0,0.0118,0.1033,1663.0,-0.0365,0.1485,233807.0,0.1083,0.3467,11,-0.125,-0.3824,0.75,0.25,0.3333,1.0
202603,05027,"columbia, ar",225000.0,-0.0194,0.0,98,0.1404,0.5,137.0,-0.0385,0.6147,16,-0.2,-0.3333,0,,,0.0,0.0,0.0,8.0,0.3333,1.0,0.0634,0.016,0.0225,12.0,-0.0769,-0.1429,106.0,-0.0057,-0.01,1995.0,0.003,-0.0892,260332.0,0.0074,-0.0339,109,0.1015,0.3563,0.1231,-0.029,-0.0923,0.0
202603,05065,"izard, ar",224500.0,-0.0121,-0.0642,125,0.0418,0.4477,111.0,-0.009,0.0833,28,0.0769,0.4,0,,,0.0,0.0,0.0,22.0,0.0,0.375,0.1162,-0.017,-0.0183,22.0,0.0233,0.1579,131.0,-0.0268,-0.0534,1595.0,0.0019,-0.0078,301779.0,-0.0065,-0.1578,147,0.039,0.4223,0.1767,-0.0032,-0.0442,0.0
202603,05017,"chicot, ar",162500.0,-0.121,-0.2841,14,0.1667,0.2727,96.0,0.0611,-0.3105,4,0.0,,0,,,0.0,0.0,0.0,2.0,,,0.1,0.1,0.1,3.0,1.5,-0.1667,97.0,-0.0864,-0.0913,1886.0,0.0,-0.0084,211130.0,-0.13,0.0523,16,0.28,0.2308,0.1786,0.0952,-0.0942,1.0
202603,05105,"perry, ar",282500.0,-0.0087,0.0907,24,-0.0408,0.0682,60.0,-0.04,0.3953,12,1.0,0.0,0,,,0.0,0.0,0.0,6.0,0.5,,0.1211,0.0128,0.1211,16.0,1.0667,0.2917,141.0,0.0045,0.0688,1701.0,-0.1121,-0.0708,323397.0,0.0349,0.2048,39,0.2,0.1818,0.6596,0.3535,0.1141,0.0
202603,05147,"woodruff, ar",139750.0,-0.0287,-0.2977,11,0.1053,0.1667,67.0,0.2027,0.6688,2,-0.5,-0.5,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.2105,6.0,-0.2143,0.375,100.0,-0.1662,0.0697,1224.0,0.0066,-0.235,121915.0,-0.1862,-0.4832,16,-0.0303,0.1429,0.5238,-0.213,0.0794,1.0
202603,05007,"benton, ar",466950.0,-0.0005,0.0389,1984,0.0959,0.7026,60.0,-0.2222,0.2796,826,0.0351,0.2147,28,-0.5758,-0.3,0.0076,-0.0104,-0.0064,688.0,0.1903,0.9326,0.1875,0.0174,0.0654,1023.0,0.1006,-0.0493,224.0,0.004,0.0181,2045.0,-0.0063,0.0321,621428.0,-0.0114,-0.0078,3004,0.0984,0.3231,0.5158,0.0022,-0.4079,0.0
