month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,04023,"santa cruz, az",369500.0,-0.0014,-0.0013,306,0.0166,0.0588,95.0,-0.0404,0.4394,78,0.0833,0.0263,0,-1.0,-1.0,0.0,-0.0044,-0.0101,78.0,0.0,0.3,0.1667,-0.0094,0.0151,81.0,0.1655,0.2273,200.0,-0.0348,-0.0134,1824.0,0.0066,0.0128,626896.0,-0.0394,-0.2132,387,0.0531,0.0857,0.2647,0.0338,0.0363,0.0
202603,04017,"navajo, az",488000.0,0.0183,-0.0181,609,0.2182,0.4184,57.0,-0.4063,0.1176,270,0.7763,0.4362,2,0.0,-0.5,0.0019,-0.0009,-0.0037,168.0,0.4737,0.4483,0.1698,0.0267,0.0118,111.0,0.1809,0.1212,296.0,0.0167,0.024,1700.0,0.0056,-0.0471,570307.0,0.0138,-0.0976,716,0.2054,0.3358,0.1824,-0.0058,-0.0484,0.0
202603,04001,"apache, az",413750.0,0.0383,0.037,133,0.0433,0.0192,113.0,-0.0362,0.3169,28,-0.125,0.4,0,,,0.0,0.0,0.0,20.0,0.1111,0.0,0.1127,0.0102,0.0058,23.0,0.2857,0.125,272.0,0.0048,0.1567,1727.0,-0.0097,-0.0383,575875.0,0.0277,0.046,155,0.0692,0.03,0.1698,0.032,0.016,0.0
202603,04012,"la paz, az",350000.0,-0.0276,0.0409,91,0.1235,0.8571,86.0,-0.1825,-0.0522,24,0.2,0.5,0,,,0.0,0.0,0.0,22.0,0.5714,1.75,0.1837,0.0584,0.0643,11.0,0.2353,0.75,290.0,0.0172,0.0598,1340.0,0.0015,0.0739,658755.0,0.0495,0.1336,104,0.1436,0.8818,0.1154,0.0104,-0.0071,0.0
202603,04011,"greenlee, az",370000.0,0.0,0.3219,7,0.2727,0.4,59.0,0.5811,0.5195,0,-1.0,,0,,,0.0,0.0,0.0,4.0,0.0,,0.4038,0.0038,0.4038,1.0,0.0,-0.5,166.0,0.002,0.0831,2020.0,0.0327,0.5831,336186.0,-0.0009,-0.5025,8,0.2308,0.1429,0.1429,-0.039,-0.2571,0.0
202603,04015,"mohave, az",405000.0,0.0019,-0.0357,1450,0.0143,0.0646,63.0,-0.2331,0.0246,520,0.0788,0.0078,18,0.0,0.125,0.0072,-0.0002,0.0004,460.0,0.036,-0.0574,0.1833,-0.0012,-0.0204,542.0,0.0587,0.0084,254.0,-0.011,-0.0345,1642.0,-0.0015,-0.0042,565862.0,-0.0019,0.0022,1994,0.0292,0.0492,0.3734,0.0156,-0.0208,0.0
202603,04025,"yavapai, az",650500.0,-0.0095,-0.0218,1596,0.0943,0.103,65.0,-0.2514,0.0975,620,0.1923,0.1832,20,0.1111,0.6667,0.0074,0.0,0.0025,526.0,0.2233,-0.0331,0.194,0.0201,-0.0267,545.0,0.0351,0.2415,327.0,0.0074,-0.0157,2022.0,-0.0093,-0.0041,876197.0,0.0049,-0.0611,2124,0.0733,0.1383,0.3415,-0.0195,0.0381,0.0
202603,04005,"coconino, az",740500.0,-0.0127,-0.006,513,0.1608,0.2002,64.0,-0.3081,0.4222,222,0.3537,0.2065,8,,0.0,0.009,0.009,-0.0017,114.0,0.1875,0.0556,0.1276,0.007,-0.0159,185.0,0.0222,0.3085,407.0,0.0088,0.0117,1884.0,-0.0274,-0.0301,1117095.0,-0.0607,-0.051,695,0.1111,0.2214,0.36,-0.0488,0.0298,0.0
202603,04027,"yuma, az",349950.0,-0.0001,0.0326,644,0.0214,0.0118,57.0,-0.0087,0.0755,228,0.0857,-0.1094,2,-0.8,-0.5,0.0018,-0.0079,-0.0021,132.0,-0.0294,-0.2326,0.1181,-0.0123,-0.0391,175.0,-0.0085,-0.0113,227.0,-0.0051,-0.0074,1576.0,-0.0021,0.0252,388248.0,0.0009,0.0133,818,0.0174,0.0099,0.272,-0.0082,-0.0064,0.0
202603,04013,"maricopa, az",524950.0,0.0096,-0.0421,16998,0.0332,0.071,54.0,-0.0093,0.07,7482,0.0334,0.0199,328,-0.1038,-0.0575,0.0102,-0.0021,-0.0014,9394.0,0.0951,-0.0299,0.2972,0.013,-0.0331,7217.0,0.1349,0.1468,284.0,0.002,-0.0089,1944.0,0.0088,-0.0248,933138.0,0.0023,-0.0024,24210,0.0585,0.0926,0.4246,0.0381,0.0281,0.0
202603,04003,"cochise, az",327450.0,-0.0077,0.0075,512,-0.001,0.1034,69.0,-0.264,0.0615,192,0.2152,0.0667,2,-0.75,-0.5,0.0024,-0.0068,-0.0025,122.0,-0.0758,0.0167,0.126,-0.0311,-0.0155,211.0,0.2346,0.2029,190.0,-0.0094,0.0037,1769.0,0.0035,-0.0222,379207.0,-0.0021,-0.0668,722,0.0571,0.1291,0.4111,0.0784,0.034,0.0
202603,04019,"pima, az",384440.0,-0.0053,-0.0365,4027,0.0179,0.1036,57.0,0.0367,0.13,1610,0.0705,-0.0012,92,0.3143,0.0952,0.0125,0.0027,0.0002,1740.0,0.124,0.0235,0.2345,0.0162,-0.0073,1726.0,0.0691,-0.016,228.0,-0.0035,-0.0151,1790.0,-0.0053,-0.0151,536696.0,-0.0129,-0.0176,5752,0.0309,0.054,0.4286,0.0205,-0.0521,0.0
202603,04007,"gila, az",502225.0,-0.0042,0.008,328,0.0826,-0.0953,62.0,-0.3422,0.0165,124,0.2917,0.069,2,0.0,,0.0039,-0.0003,0.0039,108.0,0.8,0.1739,0.1967,0.0724,0.0278,88.0,-0.0223,0.0802,302.0,-0.0046,-0.0409,1795.0,0.0083,0.0789,635009.0,-0.0141,0.0133,414,0.0589,-0.0624,0.2672,-0.0287,0.0434,0.0
202603,04009,"graham, az",377250.0,-0.0072,0.0265,68,-0.0621,-0.1392,56.0,-0.2816,0.1809,30,0.1538,-0.3182,0,,,0.0,0.0,0.0,22.0,0.1,-0.2143,0.168,0.014,-0.015,39.0,-0.0127,0.1471,199.0,0.0005,-0.0292,1938.0,0.0089,0.1181,410538.0,0.0169,0.0932,106,-0.0275,-0.0364,0.5735,0.0287,0.1431,0.0
202603,04021,"pinal, az",399900.0,-0.0002,-0.0174,2890,0.0038,0.0219,58.0,-0.0794,0.1154,1148,0.0851,-0.0271,156,0.5,0.1818,0.0293,0.0089,0.0048,1536.0,0.1066,-0.0078,0.2895,0.0194,-0.0107,1262.0,0.0941,0.0814,213.0,0.001,-0.0208,1910.0,-0.0031,-0.0056,469710.0,-0.0026,-0.0324,4163,0.033,0.0428,0.4367,0.036,0.024,0.0
202602,04015,"mohave, az",404249.0,0.0106,-0.0374,1430,-0.0024,0.0846,82.0,-0.0355,0.0584,482,-0.0123,-0.0163,18,1.25,-0.4706,0.0074,0.0041,-0.0078,444.0,-0.0976,-0.126,0.1845,-0.0268,-0.0417,512.0,0.4091,0.0953,257.0,0.001,-0.0184,1645.0,0.0015,-0.006,566963.0,-0.0189,0.0121,1937,0.0803,0.087,0.3578,0.1045,0.0035,0.0
202602,04025,"yavapai, az",656750.0,0.0104,-0.0105,1459,0.0185,0.0824,87.0,-0.1263,0.1019,520,0.0924,0.0236,18,1.25,0.5,0.0074,0.0038,0.0019,430.0,0.0859,0.0238,0.1739,0.0107,-0.0156,527.0,0.2566,0.2566,325.0,0.0051,-0.0248,2041.0,-0.0035,0.0082,871947.0,-0.0115,-0.0666,1979,0.0779,0.1241,0.361,0.0684,0.05,0.0
202602,04017,"navajo, az",479250.0,-0.0217,-0.0036,500,-0.0611,0.3894,96.0,-0.1688,-0.0052,152,0.5833,0.1515,2,,,0.0027,0.0027,0.0027,114.0,0.2391,-0.0339,0.1431,0.0159,-0.0545,94.0,0.1605,0.0562,291.0,-0.0196,0.0125,1691.0,-0.0126,-0.0366,562530.0,-0.046,-0.1115,594,-0.01,0.3289,0.1882,0.0359,-0.0594,0.0
202602,04023,"santa cruz, az",370000.0,0.0,-0.0377,301,0.0561,0.0808,99.0,0.0,0.2375,72,0.2,-0.0769,2,,0.0,0.0044,0.0044,-0.0003,78.0,-0.025,0.625,0.176,-0.0154,0.0648,70.0,0.0373,0.053,207.0,0.0104,-0.0056,1812.0,-0.0038,-0.0021,652618.0,-0.045,-0.2136,367,0.0486,0.0607,0.2309,-0.0042,-0.0061,0.0
202602,04009,"graham, az",380000.0,0.0133,0.0229,73,-0.0584,0.0284,77.0,0.153,0.0804,26,-0.0714,-0.0714,0,,,0.0,0.0,0.0,20.0,0.0,-0.0909,0.154,0.0036,-0.0212,40.0,0.3621,0.4364,199.0,-0.0266,0.0055,1921.0,0.0354,0.031,403732.0,0.0576,0.0973,109,0.0283,0.1295,0.5448,0.1682,0.1548,0.0
202602,04019,"pima, az",386500.0,0.0039,-0.0245,3956,0.0141,0.1189,55.0,-0.1866,0.0481,1504,-0.0553,-0.0517,70,-0.0278,-0.186,0.0098,-0.0008,-0.0028,1548.0,0.1349,-0.0515,0.2183,0.0116,-0.0231,1615.0,0.3729,0.0113,229.0,0.0026,-0.0088,1799.0,0.0014,-0.0015,543714.0,0.0024,-0.0012,5579,0.0993,0.0879,0.4081,0.1067,-0.0434,0.0
202602,04021,"pinal, az",400000.0,0.0,0.0,2879,-0.0052,0.0993,63.0,-0.2222,0.012,1058,-0.0784,-0.0942,104,-0.2353,0.0,0.0204,-0.0055,-0.0003,1388.0,0.2007,-0.01,0.2702,0.0485,-0.0158,1154.0,0.3168,0.0867,213.0,-0.0033,-0.0209,1916.0,0.0017,0.0051,470919.0,-0.0115,-0.0308,4030,0.0698,0.0956,0.4007,0.098,-0.0046,0.0
