month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,06075,"san francisco, ca",1196500.0,0.0588,-0.0008,677,0.2276,-0.2657,45.0,-0.0323,-0.1346,622,0.2101,-0.0401,6,-0.25,-0.5,0.0036,-0.0027,-0.0029,102.0,0.8214,-0.3929,0.0621,0.0181,-0.0228,360.0,0.2081,0.0526,983.0,0.0404,0.0238,1295.0,0.0325,-0.0131,1707730.0,0.0222,-0.0741,1033,0.2232,-0.1756,0.5318,-0.0086,0.1608,0.0
202603,06061,"placer, ca",737975.0,0.0127,0.0475,1010,0.1155,-0.0199,42.0,-0.0674,0.0921,720,0.3688,0.0465,36,0.2,0.5,0.0161,0.0002,0.0057,324.0,0.3613,-0.1,0.1425,0.0208,-0.0134,554.0,0.1226,0.0674,360.0,-0.0066,0.0222,2164.0,0.0197,0.021,1193100.0,-0.0392,0.0546,1563,0.1181,0.0087,0.5488,0.0035,0.0449,0.0
202603,06107,"tulare, ca",424563.0,0.0109,0.0164,659,0.0313,0.1207,51.0,-0.1387,0.025,392,0.3243,0.225,22,-0.1538,0.375,0.0149,-0.0048,0.0038,204.0,0.0968,-0.0192,0.1399,-0.0012,-0.0097,440.0,0.1043,-0.0425,247.0,0.0014,0.0184,1767.0,0.0167,-0.016,521009.0,0.0064,0.0097,1096,0.0605,0.0418,0.6669,0.0441,-0.1137,0.0
202603,06019,"fresno, ca",449450.0,0.0007,-0.0437,1412,0.0173,0.1694,47.0,-0.0053,0.0444,764,0.0466,0.0914,50,0.0417,0.0417,0.016,-0.0003,-0.0008,476.0,-0.0083,0.1226,0.1549,-0.0108,0.0025,925.0,0.0731,0.0876,262.0,0.0031,0.0012,1714.0,0.005,-0.0567,597052.0,0.0286,-0.0271,2330,0.0386,0.1405,0.655,0.0341,-0.0492,0.0
202603,06097,"sonoma, ca",974500.0,-0.0081,0.0367,819,0.2334,0.0187,39.0,-0.2632,-0.0128,550,0.3547,0.127,14,0.4,-0.3,0.0078,0.0003,-0.005,234.0,0.625,-0.1397,0.1357,0.0278,-0.0369,335.0,0.1397,0.0653,540.0,0.0062,0.014,1860.0,0.0032,0.01,1604823.0,-0.0153,-0.0445,1154,0.1991,0.0272,0.4084,-0.0336,0.0179,0.0
202603,06047,"merced, ca",437248.0,0.0126,-0.0495,427,0.0083,0.1448,47.0,-0.1014,-0.0882,252,0.4,0.3125,14,0.4,2.5,0.0152,0.0033,0.0096,142.0,-0.0658,0.0758,0.1557,-0.0274,-0.0169,245.0,0.07,0.1812,267.0,-0.0076,-0.0374,1624.0,0.0031,-0.0553,537663.0,0.0254,-0.0837,672,0.0331,0.176,0.5726,0.033,0.0176,0.0
202603,06009,"calaveras, ca",539225.0,0.0455,0.0185,350,0.1573,-0.0477,52.0,-0.3522,-0.1953,142,0.3148,0.0758,0,-1.0,-1.0,0.0,-0.0078,-0.0057,90.0,0.6667,0.6071,0.1551,0.0485,0.0542,99.0,-0.0149,-0.0198,294.0,0.0229,0.0305,1882.0,0.0131,-0.0143,707753.0,0.0117,0.0307,450,0.1168,-0.0354,0.2833,-0.0495,0.0081,0.0
202603,06033,"lake, ca",350000.0,-0.0235,-0.0787,429,0.0276,0.1044,100.0,-0.0892,0.1706,108,0.4595,-0.129,4,1.0,0.0,0.0064,0.003,-0.0006,96.0,0.1163,0.0,0.1489,-0.001,-0.0177,89.0,0.0788,-0.022,239.0,0.0178,-0.0238,1441.0,-0.0361,-0.0397,442590.0,-0.0071,-0.1414,518,0.0486,0.0769,0.2077,0.0099,-0.0268,0.0
202603,06005,"amador, ca",519998.0,0.0401,-0.037,219,-0.0157,0.1526,63.0,-0.3132,-0.0602,108,0.8,0.8,0,,,0.0,0.0,0.0,52.0,-0.1333,0.0833,0.1322,-0.012,-0.0296,72.0,0.3619,0.8333,284.0,0.0498,0.0664,1830.0,-0.0116,-0.083,678024.0,0.0234,0.034,290,0.0643,0.2372,0.3265,0.0905,0.1212,1.0
202603,06063,"plumas, ca",576000.0,0.0487,0.2522,131,0.2429,-0.0474,65.0,-0.4695,-0.3203,76,2.4545,0.3571,0,,,0.0,0.0,0.0,24.0,0.5,0.5,0.0979,-0.0112,0.0328,22.0,0.1316,-0.3281,287.0,0.0474,0.0191,1959.0,0.009,0.1644,708364.0,0.0856,0.0973,152,0.2408,-0.1059,0.1648,-0.0162,-0.0688,0.0
