month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,09170,"south central connecticut planning region, ct",427450.0,0.0427,-0.0708,543,0.1518,0.0616,38.0,-0.1279,-0.0964,520,0.6352,0.1207,8,1.0,0.0,0.0049,0.0018,0.0001,104.0,0.2093,-0.1034,0.0625,-0.005,-0.017,547.0,0.1176,-0.0594,272.0,-0.0152,-0.0526,1573.0,0.0203,0.052,753112.0,0.002,0.0348,1084,0.1275,-0.0078,1.0074,-0.0308,-0.1296,0.0
202603,09140,"naugatuck valley planning region, ct",369725.0,-0.0005,-0.0638,466,-0.0352,-0.0282,47.0,-0.1058,0.2237,390,0.3929,-0.0714,8,3.0,-0.3333,0.0055,0.0041,-0.0023,112.0,0.2174,-0.125,0.0774,0.0094,-0.0076,575.0,0.0097,-0.0146,248.0,0.0108,-0.0329,1616.0,0.013,0.0478,476013.0,-0.0002,-0.0135,1045,-0.0123,-0.0169,1.2342,0.0549,0.017,0.0
202603,09190,"western connecticut planning region, ct",947000.0,-0.0419,-0.0482,726,0.2161,-0.0547,32.0,-0.3263,0.0667,662,0.6974,-0.0489,10,0.25,0.25,0.0051,0.0,0.0015,110.0,0.4474,-0.0833,0.0502,0.0024,-0.0046,717.0,0.1611,-0.064,425.0,0.0279,-0.0185,2452.0,-0.0325,-0.0184,2334443.0,0.0174,-0.0498,1452,0.2085,-0.0491,0.9876,-0.0467,-0.0098,0.0
202603,09160,"northwest hills planning region, ct",673500.0,-0.0077,-0.0022,203,-0.0624,0.0201,85.0,0.0029,0.25,94,0.3056,-0.2656,0,,,0.0,0.0,0.0,36.0,0.0,-0.1818,0.0829,-0.0013,-0.0056,135.0,0.0843,-0.1818,305.0,0.0171,-0.0092,2191.0,-0.0295,-0.0038,1219441.0,0.0085,-0.0939,342,0.0015,-0.0745,0.665,0.09,-0.1641,0.0
202603,09110,"capitol planning region, ct",425350.0,0.0504,0.0636,607,0.0889,0.0245,36.0,-0.1429,0.3333,698,0.5174,-0.1097,2,-0.6667,-0.9,0.001,-0.0023,-0.0075,112.0,0.1429,-0.0345,0.052,-0.0035,0.0018,768.0,-0.0045,-0.1946,242.0,-0.0028,-0.0061,1804.0,0.0182,0.0858,538780.0,0.0113,0.0586,1374,0.0358,-0.1101,1.2655,-0.1187,-0.3443,0.0
202603,09120,"greater bridgeport planning region, ct",542940.0,0.005,0.0881,313,0.108,0.2776,40.0,-0.0482,0.197,256,0.2929,-0.0448,4,0.0,,0.0046,-0.0006,0.0046,52.0,0.0833,0.4444,0.0599,-0.0037,0.0172,319.0,0.1395,-0.026,308.0,-0.013,-0.0156,1708.0,0.0642,0.1932,966981.0,0.0112,0.3311,633,0.1243,0.1086,1.0176,0.0282,-0.3171,0.0
202603,09130,"lower connecticut river valley planning region, ct",612475.0,0.0525,0.0001,189,0.1284,-0.25,50.0,-0.262,0.3158,178,0.78,-0.0729,10,0.0,1.5,0.0173,-0.0033,0.0121,16.0,-0.1111,-0.5556,0.0278,-0.0093,-0.0257,209.0,-0.0188,-0.0952,290.0,-0.0283,-0.0072,2005.0,0.0015,-0.0203,831234.0,0.0047,-0.0264,395,0.0381,-0.1578,1.1058,-0.1658,0.1892,0.0
202603,09180,"southeastern connecticut planning region, ct",432075.0,0.0079,0.0169,267,0.0369,0.023,44.0,-0.0938,0.0875,218,0.172,-0.1985,4,0.0,0.0,0.005,-0.0005,0.0,42.0,-0.0455,-0.3,0.0506,-0.0114,-0.0323,302.0,0.1103,-0.0621,270.0,0.027,0.0059,1766.0,0.0033,0.0741,719264.0,0.0191,0.1408,571,0.0784,-0.0181,1.1311,0.0748,-0.1026,0.0
202603,09150,"northeastern connecticut planning region, ct",440000.0,-0.021,0.0668,113,-0.0217,0.0135,45.0,-0.0725,0.4917,80,0.0811,-0.2857,0,,,0.0,0.0,0.0,34.0,0.1333,0.2143,0.1181,0.0156,0.0238,108.0,-0.0315,-0.0966,255.0,-0.019,-0.0058,1754.0,-0.0238,0.0431,489193.0,-0.034,-0.0194,219,-0.031,-0.0437,0.9556,-0.0097,-0.1165,0.0
202602,09120,"greater bridgeport planning region, ct",540250.0,0.1197,0.1093,283,0.0125,0.2073,42.0,-0.3083,0.328,198,0.125,0.0,4,0.0,0.0,0.0052,-0.0004,-0.0005,48.0,0.2,0.4118,0.0635,0.0032,0.0176,280.0,0.127,-0.0395,312.0,0.0245,-0.014,1605.0,0.0117,0.1062,956288.0,0.0308,0.261,563,0.0703,0.0775,0.9894,0.1005,-0.2542,0.0
202602,09160,"northwest hills planning region, ct",678750.0,0.0444,0.0246,217,-0.0504,0.0852,85.0,0.003,-0.0838,72,-0.1,-0.2,0,,-1.0,0.0,0.0,-0.0044,36.0,0.0,0.2,0.0842,0.0022,0.0145,125.0,-0.0349,-0.1502,300.0,0.0592,0.009,2257.0,-0.0065,0.0235,1209140.0,-0.002,-0.0618,341,-0.0501,-0.0159,0.5751,0.0093,-0.1593,0.0
202602,09130,"lower connecticut river valley planning region, ct",581950.0,-0.0052,-0.0725,168,-0.1789,-0.2404,68.0,0.0586,0.8819,100,0.0417,-0.2424,10,1.5,-0.6154,0.0207,0.0135,-0.0253,18.0,-0.5,-0.55,0.0371,-0.0328,-0.0318,213.0,-0.0617,-0.047,298.0,0.0247,0.0301,2002.0,0.0048,-0.0705,827326.0,0.0022,-0.0586,381,-0.1172,-0.1488,1.2716,0.1589,0.258,0.0
202602,09140,"naugatuck valley planning region, ct",369925.0,-0.0135,-0.049,483,-0.1147,0.1208,52.0,-0.1746,0.0196,280,0.0,-0.1195,2,-0.5,0.0,0.0015,-0.0012,0.0,92.0,-0.2069,-0.0612,0.0681,-0.021,-0.0051,569.0,0.0308,-0.034,245.0,0.0091,-0.0371,1596.0,-0.016,0.0381,476121.0,-0.0144,-0.0026,1058,-0.024,0.0398,1.1793,0.1664,-0.1889,0.0
202602,09110,"capitol planning region, ct",404950.0,0.0126,0.0269,557,-0.1418,-0.0288,42.0,-0.1765,0.0633,460,0.1616,-0.1756,6,0.5,-0.5714,0.0032,0.0009,-0.0038,98.0,-0.3194,-0.125,0.0555,-0.025,-0.0012,771.0,0.0461,-0.0956,242.0,0.0185,0.0032,1771.0,0.0358,0.0622,532751.0,0.0537,0.0923,1327,-0.0552,-0.0717,1.3842,0.2486,-0.1023,0.0
202602,09150,"northeastern connecticut planning region, ct",449450.0,0.0215,0.0454,115,-0.0417,0.3068,48.0,-0.1306,-0.1925,74,0.2333,0.48,0,,,0.0,0.0,0.0,30.0,0.5,0.25,0.1025,0.0323,0.0134,111.0,0.099,-0.0472,260.0,0.025,0.0092,1797.0,0.0163,0.0226,506397.0,0.0086,0.0056,226,0.0226,0.0944,0.9652,0.1236,-0.3586,0.0
202602,09170,"south central connecticut planning region, ct",409950.0,-0.0354,-0.1039,471,-0.0348,0.0306,43.0,-0.2833,-0.2037,318,0.06,0.0325,4,0.0,-0.3333,0.0031,0.0,-0.0016,86.0,-0.1042,-0.1569,0.0675,-0.0132,-0.0092,489.0,0.023,-0.0936,276.0,0.0224,-0.0385,1542.0,-0.0163,0.0268,751625.0,0.0231,-0.1123,961,-0.0123,-0.0351,1.0382,0.0587,-0.1423,1.0
202602,09190,"western connecticut planning region, ct",988375.0,0.0994,0.0091,597,-0.0509,-0.0851,48.0,-0.3214,-0.0686,390,-0.0051,-0.1807,8,1.0,0.0,0.005,0.002,0.0004,76.0,0.1176,-0.1739,0.0478,0.0027,-0.004,618.0,0.1166,-0.0344,413.0,0.0209,-0.041,2534.0,0.0453,0.0317,2294526.0,0.1019,-0.0394,1202,0.0322,-0.0657,1.0343,0.1552,0.0543,0.0
202602,09180,"southeastern connecticut planning region, ct",428700.0,0.0087,0.0855,258,0.0059,-0.0498,48.0,-0.1652,0.1034,186,0.2568,0.0109,4,,1.0,0.0055,0.0055,0.0029,44.0,-0.0833,-0.2667,0.062,-0.0086,-0.0169,272.0,-0.0145,-0.0826,263.0,0.0086,0.0169,1760.0,0.0063,0.0896,705769.0,0.017,0.2018,529,-0.0258,-0.0654,1.0563,-0.0218,-0.0378,0.0
202601,09120,"greater bridgeport planning region, ct",482500.0,-0.0373,0.0267,279,-0.0822,0.213,60.0,0.1111,0.0435,176,0.6604,0.1282,4,0.0,0.0,0.0055,0.0001,-0.0006,40.0,-0.0476,0.0526,0.0603,0.0044,0.002,248.0,-0.2322,-0.0899,304.0,0.0186,-0.0158,1586.0,-0.096,0.1185,927686.0,-0.0343,0.2204,526,-0.1611,0.0426,0.8889,-0.1736,-0.2959,0.0
202601,09110,"capitol planning region, ct",399900.0,0.019,0.0526,649,-0.1152,0.0935,51.0,0.0408,0.02,396,-0.0571,-0.2143,4,0.0,-0.6,0.0023,0.0004,-0.0031,144.0,-0.0526,0.1077,0.0805,0.0086,0.0108,737.0,-0.2359,-0.1395,238.0,0.0171,-0.0048,1710.0,-0.022,0.0454,505597.0,-0.0006,0.0411,1404,-0.1731,-0.0317,1.1356,-0.1793,-0.3075,0.0
202601,09150,"northeastern connecticut planning region, ct",440000.0,0.0058,0.0721,120,-0.1111,0.1429,56.0,0.0183,0.0,60,0.3043,-0.2308,0,,-1.0,0.0,0.0,-0.0068,20.0,-0.2857,-0.4444,0.0702,-0.0211,-0.0638,101.0,-0.192,-0.0734,254.0,0.0038,0.0243,1768.0,0.0034,0.006,502073.0,-0.0254,0.0335,221,-0.1549,0.0376,0.8417,-0.0843,-0.1964,0.0
