month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,11001,"district of columbia, dc",552500.0,0.0055,-0.0792,2490,0.1718,0.0065,45.0,-0.2275,0.0465,1158,0.3624,-0.0186,16,-0.1111,-0.4286,0.0037,-0.001,-0.0022,618.0,0.5297,-0.1603,0.1414,0.0313,-0.0307,759.0,0.122,0.0961,504.0,0.037,-0.0278,1200.0,0.0,-0.0338,864405.0,0.0283,-0.0856,3248,0.1588,0.0267,0.3046,-0.0135,0.0249,0.0
202602,11001,"district of columbia, dc",549475.0,0.0175,-0.0686,2125,0.0019,-0.0248,58.0,-0.2435,0.0264,850,0.4757,0.0047,18,-0.25,0.125,0.0047,-0.0029,0.0004,404.0,0.1882,-0.276,0.1101,0.0073,-0.0364,676.0,0.1757,-0.0987,486.0,0.0137,-0.0554,1200.0,-0.0062,-0.0206,840600.0,0.0182,-0.1117,2803,0.0345,-0.0474,0.3181,0.047,-0.0261,0.0
202601,11001,"district of columbia, dc",540000.0,-0.0173,-0.0769,2121,-0.1114,-0.0049,77.0,0.0267,0.0548,576,0.7041,-0.2818,24,-0.0769,-0.25,0.0076,0.0005,-0.0013,340.0,-0.2202,-0.1327,0.1028,-0.0276,-0.008,575.0,-0.0589,-0.1691,479.0,-0.0001,-0.0484,1208.0,-0.0187,-0.0325,825612.0,-0.0137,-0.1267,2709,-0.0958,-0.0406,0.2711,0.0151,-0.0536,0.0
202512,11001,"district of columbia, dc",549500.0,-0.0442,-0.0803,2387,-0.1718,0.0284,75.0,0.25,0.1278,338,-0.5087,-0.2588,26,-0.0714,0.1818,0.0071,0.0002,0.0011,436.0,-0.4076,0.101,0.1304,-0.042,0.0201,611.0,-0.1309,-0.2271,479.0,-0.0285,-0.0475,1231.0,-0.023,-0.0248,837059.0,-0.0394,-0.1054,2996,-0.1638,-0.0368,0.256,0.012,-0.0846,0.0
202511,11001,"district of columbia, dc",574900.0,-0.0172,-0.0712,2882,-0.0504,0.1013,60.0,0.2903,0.1215,688,-0.2406,-0.0171,28,0.2727,0.4,0.0069,0.0022,0.0015,736.0,-0.1259,0.1646,0.1723,-0.008,0.0304,703.0,0.0029,-0.2392,493.0,-0.0023,-0.0412,1260.0,-0.0079,-0.016,871366.0,-0.0047,-0.0648,3583,-0.041,0.0182,0.2439,0.013,-0.1091,0.0
202510,11001,"district of columbia, dc",584950.0,-0.0076,-0.0411,3035,0.0173,0.1318,47.0,-0.1058,0.0,906,-0.274,-0.1549,22,0.375,-0.3889,0.0047,0.0014,-0.0031,842.0,-0.0388,0.0578,0.1803,-0.0021,0.0083,701.0,0.081,-0.1993,495.0,0.0104,-0.0358,1270.0,-0.0121,-0.0053,875471.0,0.0037,-0.0584,3736,0.0286,0.0506,0.231,0.0136,-0.0955,0.0
202509,11001,"district of columbia, dc",589450.0,0.0251,-0.0257,2984,0.1038,0.1879,52.0,-0.1875,0.0297,1248,0.7333,0.0146,16,-0.2,-0.2727,0.0033,-0.0016,-0.0017,876.0,0.4408,0.3036,0.1824,0.0395,0.0319,649.0,-0.0629,-0.1159,489.0,0.0085,-0.0406,1285.0,0.0118,-0.0099,872246.0,0.0223,-0.0668,3632,0.0701,0.1196,0.2174,-0.0386,-0.0747,0.0
202508,11001,"district of columbia, dc",575000.0,-0.0385,-0.0171,2703,-0.0496,0.1907,64.0,0.1034,0.1852,720,-0.1529,0.0,20,-0.2308,-0.1667,0.0049,-0.001,-0.0014,608.0,-0.1461,0.1783,0.1429,0.0001,-0.0053,692.0,-0.1323,-0.0156,485.0,-0.0178,-0.0441,1270.0,-0.0055,0.0176,853204.0,-0.0242,-0.0623,3394,-0.0706,0.142,0.256,-0.0244,-0.0537,0.0
202507,11001,"district of columbia, dc",597999.0,-0.0032,-0.0024,2844,-0.0652,0.2107,58.0,0.1373,0.1262,850,-0.1551,0.0341,26,-0.35,0.1818,0.0059,-0.0021,0.0005,712.0,-0.2227,0.1447,0.1428,-0.0448,-0.0141,798.0,-0.0932,0.0127,494.0,-0.0235,-0.0446,1277.0,-0.006,0.0018,874363.0,-0.0414,-0.0718,3652,-0.0692,0.1666,0.2804,-0.0087,-0.0548,0.0
202506,11001,"district of columbia, dc",599900.0,-0.0246,-0.0182,3043,-0.0096,0.2578,51.0,0.1591,0.1087,1006,-0.0953,-0.0754,40,0.1111,0.4286,0.008,0.0005,0.0015,916.0,0.0,0.1337,0.1876,0.0065,-0.0019,880.0,0.0687,0.0144,506.0,-0.018,-0.0315,1285.0,0.0037,-0.0129,912135.0,-0.0136,-0.0544,3924,0.0078,0.1907,0.2891,0.0212,-0.0693,0.0
202505,11001,"district of columbia, dc",615000.0,0.0,-0.0159,3072,0.0832,0.3333,44.0,0.1892,0.0864,1112,-0.109,0.0672,36,0.5,1.0,0.0075,0.0027,0.0031,916.0,0.0481,0.1896,0.1811,-0.0017,-0.0019,823.0,0.0524,-0.0648,515.0,-0.007,-0.021,1280.0,0.0077,-0.0312,924698.0,-0.0034,-0.0624,3893,0.0738,0.2242,0.2679,-0.0078,-0.114,0.0
202504,11001,"district of columbia, dc",615000.0,0.025,-0.016,2836,0.1463,0.3265,37.0,-0.1395,-0.039,1248,0.0576,0.1064,24,-0.1429,0.2,0.0049,-0.0011,-0.0001,874.0,0.1875,0.231,0.1828,0.0107,0.0079,782.0,0.1301,-0.1316,519.0,0.0014,-0.0101,1270.0,0.0227,-0.0335,927889.0,-0.0185,-0.0647,3626,0.1462,0.1936,0.2757,-0.004,-0.1454,0.0
202503,11001,"district of columbia, dc",600000.0,0.017,-0.0244,2474,0.1354,0.3167,43.0,-0.2423,0.0488,1180,0.3948,0.166,28,0.75,0.4,0.0059,0.0016,0.0006,736.0,0.319,0.4046,0.1721,0.0256,0.0314,692.0,-0.0773,-0.153,518.0,0.0076,-0.0194,1242.0,0.0137,-0.0259,945340.0,-0.001,-0.0483,3163,0.0751,0.1737,0.2797,-0.0645,-0.1551,0.0
202502,11001,"district of columbia, dc",589950.0,0.0085,-0.0288,2179,0.0223,0.3166,57.0,-0.2226,0.1823,846,0.0549,0.0682,16,-0.5,0.0,0.0043,-0.0046,-0.0007,558.0,0.4235,0.3099,0.1465,0.0357,0.0116,750.0,0.0838,-0.0512,514.0,0.0212,-0.0233,1225.0,-0.0182,-0.0711,946297.0,0.0009,-0.032,2942,0.042,0.2062,0.3442,0.0195,-0.1334,0.0
202501,11001,"district of columbia, dc",585000.0,-0.0208,-0.0563,2132,-0.0816,0.3444,73.0,0.0977,0.1362,802,0.7588,0.0838,32,0.4545,1.2857,0.0089,0.0028,0.0044,392.0,-0.0101,0.2564,0.1108,0.0005,0.0062,692.0,-0.1246,0.0014,504.0,0.0008,-0.051,1248.0,-0.0109,-0.0602,945423.0,0.0104,-0.0437,2824,-0.0923,0.2419,0.3247,-0.0159,-0.1112,0.0
202412,11001,"district of columbia, dc",597450.0,-0.0348,-0.0441,2321,-0.1131,0.3661,67.0,0.243,0.0391,456,-0.3486,-0.0339,22,0.1,0.1,0.006,0.0007,-0.0008,396.0,-0.3734,0.2222,0.1103,-0.0316,0.0003,791.0,-0.1445,0.0174,503.0,-0.022,-0.0451,1262.0,-0.0143,-0.0783,935703.0,0.0042,-0.0704,3111,-0.1161,0.2573,0.3406,-0.0125,-0.1167,0.0
202411,11001,"district of columbia, dc",619000.0,0.0148,-0.0462,2617,-0.0241,0.3234,54.0,0.1505,0.0754,700,-0.347,0.2367,20,-0.4444,-0.0909,0.0054,-0.0024,-0.0012,632.0,-0.206,-0.0032,0.1419,-0.0301,-0.0383,924.0,0.0554,0.1046,515.0,0.0032,-0.048,1280.0,0.0029,-0.0636,931747.0,0.0021,-0.0891,3519,-0.0104,0.2503,0.3531,0.0266,-0.0699,0.0
202410,11001,"district of columbia, dc",610000.0,0.0083,-0.0757,2682,0.0677,0.3014,47.0,-0.0792,0.1772,1072,-0.1285,0.2553,36,0.6364,0.8,0.0078,0.0028,0.0024,796.0,0.1845,0.1056,0.172,0.0215,-0.0209,876.0,0.1936,0.0716,513.0,0.0054,-0.0488,1276.0,-0.0167,-0.0581,929815.0,-0.0052,-0.0697,3556,0.0962,0.2362,0.3265,0.0344,-0.07,0.0
202409,11001,"district of columbia, dc",604975.0,0.0341,-0.1036,2512,0.1064,0.2939,51.0,-0.0648,0.1477,1230,0.7083,0.156,22,-0.0833,0.1,0.005,-0.0013,-0.0021,672.0,0.3023,0.05,0.1505,0.0023,-0.015,734.0,0.0434,-0.0154,510.0,0.0047,-0.0423,1298.0,0.04,-0.0782,934642.0,0.0272,-0.0688,3244,0.0915,0.2082,0.2921,-0.0176,-0.0918,1.0
