month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,10003,"new castle, de",421502.0,-0.0082,0.0811,764,0.1219,0.1523,38.0,-0.1667,0.1029,586,0.4949,0.0464,64,1.4615,0.6,0.0327,0.0164,0.0119,240.0,0.2245,0.0909,0.1252,-0.0012,0.0132,558.0,0.171,-0.1157,213.0,0.0022,-0.0165,1900.0,-0.038,0.0556,520659.0,-0.0211,-0.0193,1324,0.137,0.0232,0.7304,0.0307,-0.2214,0.0
202603,10001,"kent, de",437450.0,0.0294,0.0939,468,0.0973,0.0884,51.0,-0.0852,-0.15,242,0.2872,0.2872,28,-0.1765,0.4,0.0288,-0.011,0.005,134.0,0.6341,-0.0946,0.1399,0.0447,-0.0245,268.0,0.1707,-0.0201,203.0,0.0183,-0.0154,2148.0,0.0339,0.0791,450784.0,0.0133,0.0231,738,0.1303,0.0506,0.5716,0.0358,-0.0633,0.0
202603,10005,"sussex, de",555000.0,0.0053,0.0093,1730,0.1238,0.1416,58.0,-0.246,0.1422,632,0.0859,-0.0651,26,-0.2353,-0.4583,0.0086,-0.0042,-0.0082,420.0,0.7213,0.0606,0.1389,0.0504,0.0041,770.0,0.1442,-0.0979,264.0,-0.002,0.0157,2099.0,0.0059,-0.0198,703936.0,-0.0115,0.0003,2496,0.1309,0.0549,0.4449,0.008,-0.1181,0.0
202602,10001,"kent, de",424950.0,0.024,0.0584,427,-0.0173,-0.0362,56.0,-0.2363,-0.139,188,0.0444,0.033,34,3.25,1.4286,0.0399,0.0304,0.0227,82.0,-0.2679,-0.3279,0.0952,-0.0395,-0.047,229.0,0.0156,-0.0519,199.0,-0.0045,-0.0404,2077.0,0.0292,0.0346,444870.0,0.0273,0.0264,653,-0.0084,-0.0369,0.5358,0.0173,-0.0089,0.0
202602,10005,"sussex, de",552100.0,0.0038,0.0225,1539,0.0884,0.1316,77.0,-0.1603,0.0232,582,0.2763,0.0356,34,0.4167,-0.4848,0.0128,0.0034,-0.0115,244.0,-0.0469,-0.0963,0.0885,-0.0118,-0.0122,673.0,0.1134,-0.1498,264.0,0.0133,0.0212,2087.0,-0.0063,-0.011,712161.0,0.0166,0.0413,2207,0.0915,0.0272,0.437,0.0098,-0.1446,0.0
202602,10003,"new castle, de",425000.0,0.0002,0.0934,681,-0.0087,0.0682,45.0,-0.2241,0.0,392,0.0,-0.1009,26,-0.5357,-0.2778,0.0163,-0.0202,-0.0054,196.0,0.3243,-0.02,0.1264,0.0278,0.0073,477.0,0.0636,-0.1869,212.0,-0.0075,-0.0002,1975.0,0.0,0.0676,531908.0,0.017,0.0034,1165,0.0242,-0.0471,0.6997,0.0476,-0.2195,0.0
202601,10003,"new castle, de",424900.0,0.0276,0.0478,687,-0.064,0.0845,58.0,0.2541,0.0357,392,0.4627,0.2025,56,0.5556,0.4,0.0365,0.0162,0.0094,148.0,-0.2211,-0.1395,0.0986,-0.0206,-0.0175,448.0,-0.2064,-0.1515,214.0,0.0139,0.0101,1975.0,0.0083,0.0595,523040.0,0.0104,-0.0303,1137,-0.1237,-0.0152,0.6521,-0.117,-0.1814,0.0
202601,10001,"kent, de",415000.0,0.0375,0.0312,434,-0.0313,-0.0647,73.0,-0.0068,0.1406,180,0.5254,0.2329,8,-0.7143,-0.4286,0.0094,-0.0248,-0.0074,112.0,0.1915,0.0182,0.1348,0.0186,0.0047,225.0,-0.0323,0.049,200.0,0.0019,-0.0407,2018.0,0.0152,0.0079,433067.0,0.0179,-0.0021,658,-0.0373,-0.0259,0.5184,-0.0005,0.0561,0.0
202601,10005,"sussex, de",550000.0,-0.0099,0.0196,1414,-0.0358,0.1043,92.0,0.0636,0.0888,456,0.824,0.1122,24,-0.2,0.0909,0.0094,-0.0026,0.0003,256.0,0.641,0.1963,0.1003,0.0357,0.0105,604.0,-0.1334,-0.1646,261.0,-0.0042,0.012,2100.0,-0.0186,-0.0126,700507.0,-0.0337,0.0418,2022,-0.0641,0.0022,0.4272,-0.0481,-0.1375,0.0
202512,10003,"new castle, de",413475.0,0.0087,0.0339,734,-0.1016,0.0708,46.0,0.1012,-0.0107,268,-0.4962,-0.2071,36,0.2857,1.0,0.0203,0.0043,0.0098,190.0,-0.4277,0.0,0.1192,-0.0405,0.0025,565.0,-0.1982,-0.0359,211.0,-0.0042,-0.003,1959.0,0.0128,0.0444,517634.0,0.0149,-0.0184,1298,-0.1503,0.0208,0.7691,-0.0926,-0.085,0.0
