month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,15007,"kauai, hi",1404750.0,-0.0114,0.0038,348,0.0043,-0.0557,103.0,0.038,0.025,76,-0.05,-0.1739,2,-0.5,-0.5,0.0039,-0.0039,-0.0024,60.0,-0.0909,-0.1667,0.117,-0.0184,-0.0107,90.0,0.1474,-0.0677,974.0,-0.0206,-0.0305,1438.0,-0.0191,0.0644,2517947.0,-0.024,-0.0674,436,0.0307,-0.0563,0.2576,0.0321,-0.0033,0.0
202603,15001,"hawaii, hi",645000.0,0.0086,-0.0773,1260,0.0125,0.0461,83.0,-0.0178,0.0641,280,-0.1765,-0.2135,8,-0.2,1.0,0.0042,-0.0011,0.002,292.0,-0.0135,-0.1705,0.1519,-0.0061,-0.0323,340.0,0.1242,-0.0216,515.0,-0.0015,-0.0833,1345.0,0.0049,-0.0478,1429628.0,0.0493,-0.0226,1600,0.0393,0.0319,0.2696,0.0268,-0.0187,0.0
202603,15009,"maui, hi",1050000.0,-0.0289,-0.122,1431,0.0014,0.1344,110.0,0.0401,0.1545,198,-0.0481,-0.25,4,1.0,0.0,0.0021,0.001,-0.0003,248.0,0.0508,-0.0746,0.1291,0.0024,-0.0289,223.0,-0.0133,0.2599,944.0,-0.0155,-0.1234,1049.0,0.0005,0.001,1944517.0,-0.0035,-0.1258,1654,0.0009,0.1467,0.1559,-0.0023,0.0155,1.0
202603,15003,"honolulu, hi",649000.0,0.0149,-0.0385,3125,0.0201,0.0055,71.0,-0.1188,0.1557,838,-0.0456,-0.162,24,-0.5862,0.5,0.0047,-0.0068,0.0017,570.0,-0.0436,-0.2083,0.1106,-0.009,-0.0343,1101.0,0.0446,0.0328,705.0,0.0006,0.0721,895.0,0.0056,-0.0964,1195417.0,-0.0089,0.0227,4232,0.0281,0.0146,0.3523,0.0083,0.0093,0.0
202602,15001,"hawaii, hi",639500.0,-0.0146,-0.0919,1244,0.0393,0.0669,85.0,0.0305,0.0,340,0.0494,-0.0395,10,-0.1667,0.0,0.0052,-0.0013,-0.0002,296.0,0.1563,-0.1345,0.1581,0.0196,-0.0244,302.0,0.1185,-0.0336,515.0,-0.0173,-0.0836,1338.0,0.0015,-0.0577,1362504.0,-0.026,-0.0769,1539,0.0534,0.0392,0.2428,0.0172,-0.0252,0.0
202602,15009,"maui, hi",1081250.0,0.0058,-0.0982,1429,0.0081,0.1723,106.0,0.0291,0.1522,208,-0.1875,-0.0714,2,-0.5,-0.6667,0.0011,-0.0011,-0.0026,236.0,0.2553,-0.1194,0.1267,0.0272,-0.0381,226.0,0.378,0.2768,959.0,0.0013,-0.1224,1049.0,0.0005,0.0005,1951366.0,0.0117,-0.1175,1652,0.0449,0.1885,0.1582,0.0425,0.0129,0.0
202602,15007,"kauai, hi",1421000.0,0.0157,0.0172,346,0.0117,-0.0416,99.0,-0.0075,0.034,80,0.25,-0.0909,4,,1.0,0.0078,0.0078,0.0042,66.0,0.1,-0.1951,0.1354,0.0088,-0.0126,78.0,0.1471,-0.1522,995.0,-0.0172,-0.0186,1466.0,0.0041,0.0875,2579866.0,-0.022,-0.0785,423,0.0267,-0.0673,0.2254,0.0266,-0.0294,0.0
202602,15003,"honolulu, hi",639500.0,-0.0162,-0.0589,3064,0.0141,0.0367,80.0,-0.0588,0.0884,878,-0.0373,-0.0436,58,1.4167,1.0714,0.0116,0.0064,0.0059,596.0,-0.0132,-0.1387,0.1196,-0.0041,-0.0245,1054.0,0.2415,0.1321,704.0,-0.0054,0.0651,890.0,-0.0122,-0.1109,1206159.0,-0.0115,0.0045,4117,0.0531,0.0599,0.3441,0.063,0.029,0.0
202601,15001,"hawaii, hi",649000.0,0.0401,-0.1048,1197,0.0422,0.0803,82.0,0.038,-0.0682,324,0.0658,-0.069,12,1.0,0.5,0.0066,0.0032,0.002,256.0,0.3196,-0.1688,0.1385,0.0299,-0.0344,270.0,-0.1118,-0.0409,524.0,0.0068,-0.0697,1336.0,-0.006,-0.0762,1398896.0,0.0034,-0.0478,1461,0.0048,0.0518,0.2256,-0.0391,-0.0285,1.0
202601,15003,"honolulu, hi",650000.0,0.0,-0.0694,3021,-0.0313,0.0501,85.0,0.0303,0.1184,912,0.5779,-0.0359,24,0.2,0.5,0.0052,0.0008,0.0015,604.0,0.466,-0.1396,0.1236,0.0352,-0.026,849.0,-0.1133,0.0101,708.0,0.0008,0.0656,901.0,-0.0088,-0.1086,1220162.0,0.0187,-0.0433,3909,-0.0409,0.0535,0.281,-0.026,-0.0111,0.0
