month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,16025,"camas, id",410000.0,0.1714,0.1469,11,-0.0455,-0.125,47.0,0.2318,-0.0106,0,,-1.0,0,,,0.0,0.0,0.0,2.0,,,0.125,0.125,0.125,2.0,0.5,-0.5,297.0,-0.0617,0.1075,1484.0,-0.0304,-0.1156,770383.0,0.0767,0.3934,12,0.0,-0.25,0.1429,0.0519,-0.1071,1.0
202603,16067,"minidoka, id",380750.0,0.0221,0.0463,60,-0.04,-0.0323,81.0,0.0421,0.4907,24,1.0,-0.25,0,,,0.0,0.0,0.0,12.0,-0.1429,-0.25,0.1127,-0.0209,-0.0289,24.0,0.119,0.5667,235.0,-0.0039,0.0315,1761.0,0.0733,0.133,449327.0,0.0319,0.1439,83,-0.0235,0.0921,0.3917,0.0557,0.1497,0.0
202603,16053,"jerome, id",413700.0,0.0643,0.0153,87,-0.0114,0.2083,69.0,-0.1687,-0.0921,28,0.75,0.1667,0,,,0.0,0.0,0.0,20.0,0.25,-0.2857,0.1381,0.0084,-0.1228,26.0,0.275,-0.0192,246.0,-0.0109,0.0438,1699.0,0.0125,-0.0412,441528.0,0.012,-0.0178,114,0.0558,0.1465,0.2931,0.0658,-0.068,0.0
202603,16049,"idaho, id",536000.0,0.0094,-0.1052,92,0.0824,0.1358,57.0,-0.5252,-0.562,34,0.5455,1.125,0,,,0.0,0.0,0.0,12.0,0.2,0.0,0.0807,-0.002,-0.0284,23.0,0.2857,0.4063,274.0,0.0488,0.012,2107.0,-0.0209,-0.0423,749809.0,0.0357,-0.106,115,0.1225,0.2053,0.2446,0.0387,0.047,1.0
202603,16003,"adams, id",652250.0,-0.0544,0.0035,43,0.0,0.371,95.0,-0.3891,-0.2213,10,0.25,-0.1667,0,,,0.0,0.0,0.0,12.0,2.0,2.0,0.2118,0.1267,0.1348,9.0,0.1333,1.8333,387.0,0.0007,-0.06,1628.0,0.0162,-0.0025,1020875.0,-0.0018,-0.1839,52,0.03,0.5606,0.2,0.0235,0.1032,0.0
202603,16023,"butte, id",295000.0,0.0396,0.3563,14,-0.1515,0.5556,131.0,0.3899,-0.1709,0,,-1.0,0,,,0.0,0.0,0.0,4.0,1.0,,0.1905,0.1071,0.1905,7.0,-0.125,0.75,133.0,-0.0855,-0.1397,2134.0,0.1285,0.1303,365944.0,0.0549,0.2894,21,-0.125,0.75,0.5,0.0152,0.0556,1.0
202603,16039,"elmore, id",401998.0,0.0052,0.1356,125,0.1914,0.5183,47.0,-0.3309,-0.1842,68,0.36,1.125,6,,,0.0229,0.0229,0.0229,32.0,-0.0588,1.0,0.1189,-0.0472,0.0201,53.0,-0.0094,0.1413,240.0,0.0005,0.0257,1812.0,-0.0093,0.0697,553039.0,-0.048,0.2157,177,0.1132,0.3409,0.4217,-0.0855,-0.1393,1.0
202603,16075,"payette, id",442000.0,-0.0092,-0.0368,101,0.0924,-0.005,42.0,-0.336,-0.2966,48,0.0435,0.0909,2,0.0,,0.0087,-0.0019,0.0087,56.0,0.3333,1.3333,0.2899,0.0283,0.1873,43.0,0.2879,-0.1327,260.0,-0.0136,0.0053,1762.0,0.0172,-0.0785,514321.0,-0.0204,-0.1253,147,0.1959,-0.0233,0.4229,0.0642,-0.0623,0.0
202603,16011,"bingham, id",435875.0,-0.0576,-0.0367,151,0.0415,0.3935,53.0,-0.3161,-0.2482,64,0.6842,0.6,0,,-1.0,0.0,0.0,-0.0213,52.0,0.3,0.625,0.1996,0.0151,0.0491,59.0,0.3409,0.3721,183.0,0.0112,0.0259,2450.0,-0.1055,0.02,532882.0,-0.0321,0.1245,207,0.1129,0.3618,0.392,0.0875,-0.0061,0.0
202603,16009,"benewah, id",518000.0,-0.0336,0.1261,40,0.1111,0.25,121.0,0.1422,0.5449,14,2.5,0.1667,0,,,0.0,0.0,0.0,8.0,1.0,1.0,0.1206,0.0396,0.0492,11.0,0.0,-0.2143,242.0,-0.0094,-0.0901,2168.0,-0.0428,-0.0252,701406.0,-0.0271,0.0631,51,0.0851,0.0851,0.275,-0.0306,-0.1625,0.0
202603,16055,"kootenai, id",703555.0,0.0069,-0.0619,636,0.0975,-0.055,43.0,-0.0444,-0.0444,394,0.4701,-0.0529,10,-0.5,-0.5833,0.0066,-0.009,-0.01,150.0,0.3889,0.2097,0.0988,0.0132,0.0159,476.0,0.1019,-0.1136,363.0,0.0135,0.0006,2113.0,-0.0033,-0.064,1060391.0,0.0117,-0.1982,1110,0.1012,-0.08,0.7484,0.003,-0.0495,0.0
202603,16057,"latah, id",491125.0,0.0059,-0.044,53,0.2209,-0.125,26.0,-0.6331,0.0,44,0.375,-0.1538,0,,,0.0,0.0,0.0,22.0,1.75,0.1,0.1442,0.0769,0.0361,56.0,0.5556,0.75,292.0,0.0856,0.097,1786.0,0.02,-0.0971,614133.0,0.1857,-0.0027,110,0.4103,0.2088,1.0667,0.2295,0.5333,0.0
202603,16005,"bannock, id",399450.0,0.0245,-0.0257,281,0.0446,0.1757,56.0,-0.145,-0.125,118,0.439,0.2826,2,,-0.5,0.0036,0.0036,-0.0059,94.0,0.175,0.4688,0.1893,0.0234,0.0362,123.0,-0.0538,0.1495,188.0,-0.0002,0.0036,2110.0,0.0068,-0.0344,472205.0,0.012,-0.0152,397,0.0051,0.1608,0.4377,-0.0455,-0.01,0.0
202603,16043,"fremont, id",852250.0,-0.0176,0.144,85,0.0696,0.1901,132.0,0.0194,0.0395,32,0.7778,0.6,0,,,0.0,0.0,0.0,8.0,-0.2,0.0,0.0576,-0.0288,-0.0145,20.0,-0.0698,0.25,357.0,0.0,-0.0635,2313.0,-0.0077,0.0514,1205946.0,0.0753,-0.0048,106,0.055,0.1989,0.2367,-0.0355,0.0113,0.0
202603,16065,"madison, id",499749.0,-0.0535,0.1372,101,0.2704,0.2169,43.0,-0.14,-0.2833,56,0.5556,0.1667,0,,,0.0,0.0,0.0,20.0,2.3333,0.0,0.1079,0.0636,-0.0195,33.0,0.4348,0.2692,199.0,0.0064,-0.0345,2345.0,-0.1914,-0.0465,597046.0,-0.0601,0.1788,134,0.3073,0.2294,0.3267,0.0374,0.0135,0.0
202603,16051,"jefferson, id",569900.0,0.0029,0.1175,87,-0.0335,-0.017,58.0,-0.1727,0.1058,30,0.0,-0.25,0,,,0.0,0.0,0.0,30.0,0.6667,-0.1667,0.1797,0.0681,-0.0128,36.0,-0.1429,-0.122,192.0,-0.0108,-0.0195,3088.0,0.0064,0.0415,573165.0,0.0039,0.0033,124,-0.057,-0.0313,0.4162,-0.0531,-0.0497,0.0
202603,16047,"gooding, id",379900.0,-0.1346,-0.0789,38,0.1014,-0.0732,61.0,0.25,0.0746,18,0.2857,-0.1,0,,,0.0,0.0,0.0,12.0,2.0,0.0,0.1887,0.1197,-0.0113,12.0,0.5333,-0.2813,254.0,0.008,0.1253,1743.0,-0.1479,-0.1112,563785.0,-0.0801,0.0887,50,0.1512,-0.1316,0.3026,0.0852,-0.0876,0.0
202603,16013,"blaine, id",1737500.0,-0.0094,-0.2636,160,-0.0154,-0.1351,89.0,0.2318,0.1125,32,0.0667,-0.4286,0,,,0.0,0.0,0.0,18.0,-0.1818,-0.5,0.0739,-0.0125,-0.0625,54.0,-0.0092,-0.069,928.0,0.0062,-0.1357,2501.0,0.0326,-0.009,3845587.0,-0.014,-0.0805,214,-0.0093,-0.1008,0.3375,0.0021,0.024,1.0
202603,16071,"oneida, id",341250.0,-0.0808,-0.0494,22,0.3438,0.3438,54.0,-0.1157,-0.6433,10,1.5,0.25,0,,,0.0,0.0,0.0,6.0,,0.5,0.1642,0.1642,0.0531,4.0,-0.4286,-0.3333,206.0,0.0052,-0.002,2015.0,-0.0699,0.0239,452669.0,-0.0246,-0.0883,25,0.1364,0.1364,0.186,-0.2515,-0.189,1.0
202603,16081,"teton, id",1096000.0,0.0231,0.1573,119,0.0393,0.1121,114.0,-0.1685,0.694,24,0.0909,-0.3333,0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0469,0.0032,0.0071,32.0,-0.2289,-0.2381,516.0,0.0295,0.0609,2348.0,-0.0145,0.1872,1469739.0,0.0561,-0.0441,152,-0.0288,0.0377,0.2689,-0.0935,-0.1236,0.0
202603,16001,"ada, id",666950.0,0.0344,0.0421,1440,0.0901,0.1348,38.0,-0.1071,0.0417,1166,0.2404,0.1042,38,-0.5682,-0.4063,0.0097,-0.0152,-0.0084,392.0,0.0769,-0.0667,0.0981,-0.0073,-0.0205,1408.0,0.1192,0.1932,308.0,0.0062,-0.0054,2285.0,0.0194,0.0218,871154.0,0.0329,0.0365,2848,0.1082,0.1606,0.9778,0.0255,0.0479,0.0
202603,16017,"bonner, id",899225.0,0.1248,0.0592,384,0.0925,0.1566,58.0,-0.3195,-0.0574,172,0.7917,0.7917,4,0.0,,0.0065,-0.0012,0.0065,54.0,0.1739,-0.1563,0.0832,-0.0054,-0.0278,116.0,0.16,0.3647,431.0,0.0344,-0.0051,2023.0,0.0268,-0.0111,1339254.0,0.0583,0.0521,499,0.1029,0.1954,0.3021,0.0176,0.0461,1.0
202603,16077,"power, id",375000.0,-0.0444,-0.0964,27,0.1522,0.06,48.0,-0.3949,-0.2803,8,-0.3333,,0,,,0.0,0.0,0.0,8.0,3.0,1.0,0.1817,0.1246,0.0279,5.0,-0.4,0.125,193.0,-0.0043,0.121,2252.0,0.025,-0.1979,558544.0,-0.068,0.0398,32,0.0161,0.125,0.1698,-0.1563,0.0098,0.0
202603,16073,"owyhee, id",582225.0,-0.071,-0.2236,26,0.1591,0.275,46.0,-0.3452,-0.193,16,0.1429,1.0,0,,,0.0,0.0,0.0,6.0,0.0,0.5,0.1369,-0.002,0.0343,7.0,-0.2778,-0.4091,337.0,0.0012,0.1795,1616.0,0.017,-0.3526,703068.0,-0.0238,-0.181,33,0.0484,0.0156,0.2549,-0.1542,-0.2951,1.0
202603,16029,"caribou, id",354000.0,0.0261,-0.1521,31,-0.0758,0.0893,110.0,-0.2108,1.1058,16,3.0,0.3333,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.1951,7.0,-0.2353,0.0833,178.0,-0.0017,-0.0315,1997.0,-0.0045,-0.151,447627.0,-0.0205,-0.2206,38,-0.0964,0.1719,0.2131,-0.0445,-0.0012,1.0
202603,16059,"lemhi, id",420000.0,-0.0204,-0.16,51,0.1222,0.0521,137.0,0.0703,0.0,8,0.0,-0.5,0,,,0.0,0.0,0.0,6.0,-0.25,-0.25,0.108,-0.0249,-0.0016,4.0,-0.5,-0.3,280.0,0.0488,0.0353,1603.0,0.0,-0.3062,583432.0,0.0636,-0.3201,54,0.019,0.049,0.0693,-0.0862,-0.0349,1.0
202603,16061,"lewis, id",302225.0,-0.0156,-0.0701,22,0.1892,0.6923,42.0,-0.4281,-0.6432,4,-0.5,,0,,,0.0,0.0,0.0,2.0,-0.6667,-0.5,0.0714,-0.1,-0.1952,7.0,-0.125,2.5,175.0,-0.0648,0.0494,1853.0,0.1038,-0.0792,358694.0,0.0039,-0.007,29,0.0755,0.9,0.3182,-0.1143,0.1643,1.0
