month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,17145,"perry, il",113000.0,-0.0174,0.2563,32,0.2075,0.28,69.0,-0.292,0.2685,20,1.0,4.0,0,,,0.0,0.0,0.0,6.0,-0.25,-0.25,0.0848,-0.0679,-0.0785,21.0,0.2059,0.2813,72.0,-0.0089,-0.1195,1421.0,-0.0209,0.0316,147251.0,-0.148,-0.0706,52,0.1839,0.2561,0.6406,-0.0009,0.0006,1.0
202603,17173,"shelby, il",158650.0,0.1096,-0.0929,48,0.0323,0.7778,130.0,0.1872,0.1404,20,0.4286,0.25,0,,,0.0,0.0,0.0,8.0,-0.3333,1.0,0.1158,-0.0842,0.0404,8.0,0.2308,-0.2,106.0,0.0159,-0.1582,1497.0,0.0641,-0.0893,213883.0,0.2976,-0.058,56,0.0571,0.5417,0.1667,0.0269,-0.2037,0.0
202603,17025,"clay, il",142000.0,-0.0274,0.6925,16,-0.3191,-0.2727,115.0,-0.0709,0.0385,10,1.5,0.25,0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0935,-0.0146,-0.0399,17.0,0.8333,0.8333,103.0,0.0435,0.1891,1476.0,0.0365,0.0215,160326.0,-0.051,0.292,33,0.0,0.0833,1.0313,0.6483,0.6222,1.0
202603,17161,"rock island, il",157450.0,0.0805,0.0504,218,-0.0603,0.0531,52.0,0.0838,0.125,122,0.0893,-0.0469,0,-1.0,,0.0,-0.0041,0.0,74.0,0.0,0.5417,0.1493,-0.0048,0.0515,158.0,0.129,0.043,119.0,0.0206,0.1669,1341.0,-0.0103,-0.0944,212461.0,0.0525,0.0384,376,0.019,0.0518,0.7225,0.1212,-0.007,0.0
202603,17129,"menard, il",274500.0,0.2921,0.7434,18,0.3462,0.0294,42.0,-0.3226,-0.2632,14,0.1667,0.1667,0,,,0.0,0.0,0.0,8.0,0.3333,1.0,0.1593,0.0067,0.0663,15.0,-0.0333,-0.0333,119.0,-0.0111,0.1518,2126.0,0.0889,0.0889,256593.0,0.1213,-0.2252,33,0.1818,0.0156,0.8286,-0.3253,-0.0538,1.0
202603,17077,"jackson, il",137475.0,0.0701,-0.1269,141,-0.0209,0.3641,95.0,-0.1403,0.0674,54,0.35,0.35,2,,,0.007,0.007,0.007,34.0,0.0,0.7,0.1289,-0.0089,0.0284,67.0,0.2091,0.1875,92.0,0.0284,0.0323,1652.0,0.0245,-0.0178,199966.0,-0.0201,-0.1138,206,0.043,0.2875,0.4733,0.09,-0.0704,1.0
202603,17187,"warren, il",135000.0,0.08,0.08,46,0.046,-0.0521,92.0,-0.1501,0.15,12,0.0,0.0,0,,,0.0,0.0,0.0,8.0,1.0,-0.3333,0.1175,0.0604,-0.0425,12.0,0.2778,-0.2333,85.0,0.0322,0.2209,1376.0,0.0713,-0.1734,161088.0,0.0601,0.1372,59,0.0833,-0.0714,0.2527,0.0459,-0.0598,0.0
202603,17005,"bond, il",245225.0,0.0965,0.4862,30,0.1132,0.4048,38.0,-0.4916,-0.4757,18,0.2857,0.5,0,,,0.0,0.0,0.0,8.0,-0.2,0.0,0.1251,-0.0651,-0.0061,16.0,0.7778,0.6,122.0,-0.0017,0.1081,1844.0,0.0182,0.166,326538.0,0.101,0.7603,46,0.3,0.4219,0.5424,0.2028,0.0662,0.0
202603,17053,"ford, il",151200.0,0.0254,0.1524,30,0.1111,0.875,63.0,-0.053,0.2019,16,0.3333,1.0,0,,,0.0,0.0,0.0,10.0,1.5,0.25,0.1613,0.0899,-0.1178,16.0,0.0,0.1923,113.0,0.0612,0.3399,1562.0,0.0112,-0.1001,214921.0,0.0844,0.4315,46,0.0455,0.5333,0.5167,-0.0574,-0.2958,1.0
202603,17009,"brown, il",315000.0,0.0957,0.7549,21,0.1667,0.1667,119.0,-0.0899,-0.063,4,1.0,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.0769,0.0,2.0,-0.5556,-0.7778,132.0,0.0668,0.0625,1709.0,0.0182,0.1742,527695.0,0.9726,1.5999,23,0.0455,-0.08,0.0952,-0.1548,-0.4048,1.0
