month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,18027,"daviess, in",254925.0,0.0,-0.0184,58,-0.0333,0.0175,87.0,-0.1453,-0.1495,22,0.375,0.1,0,,,0.0,0.0,0.0,28.0,0.4,0.75,0.2613,0.0572,0.106,24.0,0.3333,-0.1429,141.0,0.018,0.0559,1533.0,-0.0764,-0.1023,273426.0,-0.2036,0.0842,82,0.0252,-0.0412,0.4138,0.1138,-0.0774,0.0
202603,18085,"kosciusko, in",373650.0,0.0336,0.1522,143,0.1875,0.0878,53.0,-0.2383,-0.1059,102,0.8214,0.1591,2,,,0.0057,0.0057,0.0057,44.0,0.1,0.2222,0.1373,-0.0337,0.0272,75.0,0.25,-0.0506,214.0,0.0066,0.1027,1775.0,0.011,0.0184,547951.0,0.1358,0.2056,219,0.2139,0.0258,0.5263,0.0263,-0.0767,0.0
202603,18125,"pike, in",211425.0,0.2626,-0.0603,15,-0.25,-0.1176,85.0,0.1371,0.0897,4,0.0,-0.6667,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.1481,0.0856,0.0572,8.0,0.4545,-0.4286,136.0,0.0003,0.026,1479.0,0.0911,-0.1274,211897.0,0.1593,-0.2103,23,-0.0417,-0.2581,0.5333,0.2583,-0.2902,0.0
202603,18065,"henry, in",183375.0,0.048,-0.0808,97,-0.0302,0.2867,81.0,-0.1028,0.2817,54,0.4211,-0.0357,0,,-1.0,0.0,0.0,-0.0203,50.0,0.4706,1.0833,0.2474,0.0639,0.101,58.0,0.2211,0.16,131.0,0.015,0.2501,1530.0,0.0072,-0.1383,223407.0,0.0645,0.0018,153,0.0444,0.1953,0.601,0.1236,-0.0656,0.0
202603,18149,"starke, in",262425.0,-0.0698,0.0939,71,0.1452,0.0597,46.0,-0.4255,0.0054,36,0.5,-0.1,0,,,0.0,0.0,0.0,16.0,1.0,0.0,0.1271,0.0562,0.0183,31.0,-0.0313,0.0333,154.0,-0.0494,0.0354,1580.0,-0.0032,-0.0856,289682.0,-0.0809,-0.1789,102,0.0909,0.0303,0.4366,-0.0795,-0.0111,0.0
202603,18177,"wayne, in",173450.0,-0.0568,0.197,154,0.0621,0.0336,52.0,-0.0885,-0.2077,74,0.3214,0.1563,2,,,0.0066,0.0066,0.0066,46.0,0.2105,0.4375,0.1494,0.0123,0.0309,76.0,0.1603,0.027,111.0,-0.0256,0.0497,1752.0,0.027,0.1534,245880.0,-0.0025,0.1597,232,0.1048,0.0404,0.4935,0.0418,-0.0031,0.0
202603,18095,"madison, in",189150.0,-0.0273,0.0115,297,0.0607,0.5153,48.0,-0.2289,-0.04,206,0.5373,0.2262,4,1.0,0.0,0.0056,0.0021,-0.0019,146.0,0.3273,0.46,0.2169,0.0238,0.0304,187.0,0.1299,0.0747,131.0,0.0037,0.09,1547.0,-0.0008,-0.0749,238571.0,0.0113,0.0364,485,0.0974,0.2886,0.6296,0.0386,-0.2581,0.0
202603,18165,"vermillion, in",143750.0,0.0195,-0.0381,34,0.0303,0.0,64.0,-0.0662,0.0079,16,0.6,0.3333,0,,,0.0,0.0,0.0,8.0,-0.2,-0.3333,0.1404,-0.0131,-0.0335,14.0,0.125,-0.413,100.0,-0.061,0.1268,1488.0,0.0,-0.1565,178586.0,-0.0053,-0.0468,47,0.0444,-0.1754,0.3971,0.0334,-0.2794,0.0
202603,18123,"perry, in",239000.0,0.0043,0.1435,82,0.0446,0.4643,92.0,0.0729,0.2603,10,-0.5833,-0.5833,0,,,0.0,0.0,0.0,22.0,0.1,0.375,0.2027,0.0112,0.0532,17.0,0.2692,-0.3125,137.0,0.0222,0.0419,1702.0,0.0218,-0.116,276346.0,0.005,0.0887,101,0.1044,0.2563,0.2012,0.0356,-0.2274,0.0
202603,18025,"crawford, in",269925.0,0.011,-0.031,25,0.2821,0.087,43.0,-0.4267,-0.4591,14,0.4,0.1667,0,,,0.0,0.0,0.0,10.0,4.0,1.5,0.2226,0.1699,0.1273,7.0,1.0,1.3333,194.0,0.1651,0.015,1354.0,-0.0761,-0.0327,331712.0,0.1411,0.0415,32,0.3617,0.1852,0.28,0.1005,0.1496,0.0
