month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,20075,"hamilton, ks",253700.0,-0.1004,0.103,6,-0.25,-0.4,46.0,-0.7058,-0.5133,0,-1.0,,0,,,0.0,0.0,0.0,2.0,0.0,-0.5,0.1429,-0.0571,-0.2571,4.0,2.5,,136.0,-0.0103,-0.0059,1812.0,0.1093,0.2428,277842.0,-0.2405,0.1634,10,0.1111,0.0,0.5833,0.4583,,0.0
202603,20111,"lyon, ks",243100.0,-0.0174,0.131,51,0.1087,0.0625,49.0,-0.4704,1.2386,40,1.0,-0.2308,0,,,0.0,0.0,0.0,18.0,0.8,0.125,0.1306,0.0352,-0.0218,35.0,0.1475,-0.0541,128.0,0.0143,0.0586,1856.0,-0.0431,0.114,266708.0,0.0135,0.0734,88,0.1355,0.0353,0.6863,0.0232,-0.0846,1.0
202603,20007,"barber, ks",127500.0,-0.1021,-0.3289,13,0.087,0.25,57.0,0.3179,-0.0656,4,-0.5,0.0,0,,,0.0,0.0,0.0,2.0,,,0.0833,0.0833,0.0833,2.0,-0.3333,-0.6667,69.0,-0.0019,-0.1066,1695.0,-0.0345,-0.0643,144785.0,-0.0792,-0.8416,15,0.0714,0.0,0.16,-0.1009,-0.44,1.0
202603,20117,"marshall, ks",185000.0,-0.01,0.3309,25,0.0889,0.75,67.0,-0.4298,-0.2872,6,-0.4,0.5,0,,,0.0,0.0,0.0,4.0,1.0,-0.5,0.0816,0.0372,-0.2662,6.0,-0.2941,0.2,127.0,-0.0147,0.407,1575.0,0.1291,0.1183,227222.0,0.0339,0.1188,31,-0.0161,0.6053,0.2449,-0.1329,-0.1122,0.0
202603,20069,"gray, ks",272450.0,0.0533,-0.0093,12,-0.3429,-0.3947,112.0,0.067,0.0136,2,0.0,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1922,0.0,4.0,3.0,-0.2,165.0,-0.0494,-0.0972,1504.0,0.1106,0.0,234134.0,0.0287,-0.2728,16,-0.1579,-0.3333,0.3478,0.2907,0.0847,0.0
202603,20107,"linn, ks",257975.0,0.1038,0.002,55,0.0686,0.2674,72.0,-0.2228,0.007,18,-0.3077,-0.1,0,,,0.0,0.0,0.0,14.0,2.5,0.1667,0.1449,0.0983,-0.007,22.0,0.075,0.4333,203.0,0.2361,0.1347,1292.0,0.0419,-0.0968,276711.0,0.0915,0.0013,76,0.0629,0.3571,0.3945,0.0023,0.0457,0.0
202603,20185,"stafford, ks",117450.0,0.0213,-0.4098,13,0.0,0.1818,150.0,0.2191,0.1089,2,,,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.1952,0.0702,-0.0905,3.0,0.0,0.0,75.0,-0.1056,-0.2731,1493.0,0.0007,-0.142,149586.0,-0.0354,-0.6754,16,0.0,0.1429,0.2308,0.0,-0.042,1.0
202603,20101,"lane, ks",137250.0,-0.0335,0.5267,2,-0.2,1.0,127.0,0.0586,9.12,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,115.0,-0.0334,0.553,1196.0,-0.0002,-0.0169,137250.0,-0.0335,0.5267,3,0.0,0.5,0.5,0.1,-0.5,1.0
202603,20053,"ellsworth, ks",188000.0,0.0301,0.4316,20,-0.093,-0.025,61.0,0.0609,-0.4786,6,-0.25,0.5,0,,,0.0,0.0,0.0,8.0,1.0,1.0,0.25,0.15,0.1167,13.0,0.3158,0.7857,141.0,0.0784,0.773,1488.0,0.0056,-0.1824,225849.0,0.0937,0.3854,33,0.0313,0.2692,0.641,0.1992,0.291,0.0
202603,20197,"wabaunsee, ks",346250.0,0.2149,0.0036,14,0.125,0.0385,80.0,-0.0154,0.4815,4,0.0,-0.5,0,,,0.0,0.0,0.0,2.0,-0.5,-0.5,0.1,-0.0333,-0.0026,4.0,0.0,-0.125,170.0,0.0169,0.0883,1652.0,-0.0023,-0.1733,508482.0,0.039,0.109,17,0.0968,-0.0556,0.2593,-0.0324,-0.0484,0.0
