month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,21009,"barren, ky",260675.0,0.0493,-0.0345,165,0.0123,0.0281,59.0,-0.1444,-0.0595,52,0.1818,0.0833,0,,,0.0,0.0,0.0,42.0,-0.125,-0.25,0.1447,-0.0453,-0.0652,65.0,0.3,0.1017,149.0,0.0063,0.0065,1742.0,0.0286,-0.0416,311867.0,0.0442,-0.0441,230,0.0903,0.0385,0.3951,0.0874,0.0264,0.0
202603,21097,"harrison, ky",331175.0,-0.0192,-0.2257,39,-0.037,0.0833,56.0,-0.4403,0.3889,16,-0.2,-0.2,0,,,0.0,0.0,0.0,12.0,0.0,0.0,0.1613,0.0123,0.0279,21.0,-0.0233,-0.0455,189.0,-0.0086,-0.0104,2014.0,0.0468,0.0262,400277.0,-0.0244,-0.3065,59,-0.0484,0.0172,0.5385,0.0076,-0.0726,1.0
202603,21183,"ohio, ky",273200.0,0.1271,0.193,30,0.1321,-0.1176,79.0,-0.1486,0.1092,18,0.5,0.5,0,,,0.0,0.0,0.0,16.0,0.0,0.3333,0.222,-0.1349,0.0151,11.0,0.1053,-0.3,159.0,0.051,0.0923,1747.0,0.021,-0.0265,653059.0,-0.0556,0.0866,42,0.12,-0.125,0.35,-0.0085,-0.0912,0.0
202603,21037,"campbell, ky",325000.0,-0.0105,-0.0441,175,-0.0438,-0.0085,51.0,-0.2319,0.1222,108,0.5,-0.129,4,,,0.0092,0.0092,0.0092,70.0,0.0294,0.0294,0.1662,-0.0017,0.0209,131.0,0.0826,-0.2012,202.0,0.0021,0.0039,1573.0,0.0002,-0.0635,453440.0,0.0249,-0.0063,308,0.0199,-0.1009,0.7507,0.0877,-0.1811,0.0
202603,21111,"jefferson, ky",275000.0,0.0,0.0,1614,0.0366,0.4857,37.0,-0.1591,-0.0263,1168,0.355,0.2218,32,1.0,-0.1111,0.0082,0.0036,-0.0022,732.0,0.3213,0.5508,0.1844,0.0251,0.0413,1192.0,0.2164,-0.0273,172.0,0.0115,0.0352,1634.0,-0.0104,-0.0285,373403.0,-0.0013,-0.0274,2816,0.1117,0.2162,0.7385,0.1092,-0.3895,0.0
202603,21013,"bell, ky",194600.0,0.0505,-0.127,44,-0.1212,-0.2232,91.0,-0.0692,-0.2769,12,0.5,-0.4,0,,,0.0,0.0,0.0,8.0,-0.4286,0.0,0.1045,-0.0795,0.0166,20.0,0.1471,0.0833,134.0,0.0814,0.1801,1422.0,0.0188,-0.2653,264685.0,0.0641,0.1218,63,-0.0597,-0.16,0.4483,0.1048,0.1268,1.0
202603,21067,"fayette, ky",392075.0,0.0186,0.0002,481,-0.0322,0.2134,57.0,-0.2313,0.1771,410,0.5074,0.1141,10,-0.375,-0.5,0.007,-0.0066,-0.0095,188.0,0.1899,0.6207,0.1335,0.0019,0.0377,531.0,0.2768,0.1216,200.0,-0.0004,-0.0216,1974.0,0.0034,-0.012,545679.0,0.0027,-0.0869,1012,0.1091,0.1721,1.1041,0.2672,-0.0904,0.0
202603,21081,"grant, ky",300000.0,-0.0625,-0.0964,45,0.0843,0.875,60.0,-0.2896,0.803,36,1.5714,0.8,0,,,0.0,0.0,0.0,16.0,0.3333,3.0,0.1507,-0.005,0.0723,27.0,0.359,0.325,191.0,0.106,-0.1152,1768.0,-0.1885,0.133,368396.0,-0.0091,-0.1535,72,0.2119,0.6628,0.5889,0.119,-0.2444,1.0
202603,21091,"hancock, ky",256225.0,0.0312,0.1145,5,0.25,-0.5,30.0,-0.3918,-0.3723,2,-0.6667,-0.75,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.0952,-0.1667,9.0,-0.2609,0.2143,139.0,-0.0373,0.0355,1678.0,0.0697,-0.0359,284677.0,0.128,0.0778,13,-0.1333,-0.2778,1.7,-1.175,1.0,1.0
202603,21025,"breathitt, ky",232500.0,0.2508,-0.1389,9,-0.2174,-0.3077,127.0,0.2048,1.1083,0,,-1.0,0,,,0.0,0.0,0.0,2.0,,-0.5,0.125,0.125,0.025,1.0,-0.6667,-0.6667,163.0,0.021,0.2165,1252.0,0.0946,-0.4253,285385.0,0.0325,-0.0395,10,-0.3103,-0.4118,0.1111,-0.1498,-0.1197,1.0
