month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,22121,"west baton rouge, la",277500.0,-0.0071,0.0874,55,0.3293,0.3974,34.0,-0.2472,-0.722,28,0.1667,0.75,0,-1.0,,0.0,-0.0404,0.0,18.0,0.5,0.5,0.1609,0.0513,0.0566,33.0,-0.0441,-0.0972,157.0,0.0087,0.0975,1866.0,0.0024,-0.0211,312343.0,-0.015,0.0126,88,0.1667,0.1667,0.5963,-0.2329,-0.3267,1.0
202603,22109,"terrebonne, la",235000.0,0.0222,0.0398,471,-0.0198,0.0086,112.0,-0.0262,0.1615,96,0.2,-0.04,4,1.0,,0.0058,0.0029,0.0058,106.0,0.3947,0.1042,0.1557,0.0413,0.0068,116.0,0.0,0.3488,139.0,0.009,-0.0058,1772.0,0.0041,0.0025,308751.0,0.0112,-0.039,586,-0.016,0.0531,0.2463,0.0049,0.0621,0.0
202603,22061,"lincoln, la",280000.0,0.0238,0.0487,103,0.0,0.3377,94.0,-0.2604,-0.2409,34,0.3077,-0.15,2,-0.5,-0.5,0.0114,-0.0124,-0.0141,20.0,-0.2308,0.0,0.1125,-0.0449,-0.0182,41.0,0.2239,0.3667,152.0,-0.0026,-0.0702,1890.0,0.0164,0.0336,392994.0,0.0765,0.0512,145,0.0662,0.3303,0.3981,0.0728,0.0084,0.0
202603,22001,"acadia, la",207475.0,-0.035,0.0123,94,-0.0105,-0.1215,89.0,-0.0532,0.2361,34,0.5455,0.4167,0,,,0.0,0.0,0.0,48.0,2.0,0.3333,0.2787,0.1736,0.0764,41.0,0.0658,-0.0122,116.0,-0.0276,0.063,1805.0,-0.0153,-0.045,282206.0,-0.0036,0.1184,135,0.0112,-0.1234,0.4309,0.0309,0.0477,0.0
202603,22111,"union, la",257750.0,0.0327,0.1988,45,0.0227,0.2857,98.0,-0.1429,-0.1595,12,-0.3333,0.0,0,,,0.0,0.0,0.0,18.0,0.125,1.25,0.2415,0.0219,0.1059,15.0,0.3636,0.0714,139.0,0.0802,0.0914,1819.0,0.0166,-0.138,295763.0,0.0174,0.1357,61,0.1091,0.2979,0.3333,0.0833,-0.0667,0.0
202603,22027,"claiborne, la",243850.0,-0.0267,-0.1865,32,0.0161,0.125,61.0,-0.4282,-0.1131,6,-0.4,-0.25,0,,,0.0,0.0,0.0,10.0,1.5,1.5,0.211,0.1259,0.134,8.0,0.0714,-0.0625,99.0,0.0176,-0.1066,2077.0,0.0123,-0.0194,347249.0,0.0061,0.1045,39,0.0,0.0833,0.2381,0.0123,-0.0476,1.0
202603,22025,"catahoula, la",168663.0,0.0176,-0.1968,26,0.3333,0.7333,44.0,-0.4262,-0.7196,10,0.25,1.5,2,,,0.0426,0.0426,0.0426,4.0,1.0,0.0,0.1101,0.0495,-0.0717,4.0,-0.1111,0.3333,117.0,0.0,-0.3465,1460.0,0.0238,-0.0265,214590.0,0.0577,-0.2727,30,0.2292,0.6389,0.1538,-0.0769,-0.0462,1.0
202603,22047,"iberville, la",243250.0,0.1516,-0.0644,79,-0.0186,0.197,99.0,0.0967,0.1815,24,0.2,0.0,0,,,0.0,0.0,0.0,14.0,-0.5333,-0.4167,0.1114,-0.1293,-0.0886,28.0,0.2791,0.0577,136.0,0.0521,-0.04,1832.0,0.0371,-0.0156,300242.0,0.1331,-0.0256,107,0.049,0.1889,0.3481,0.081,-0.0458,0.0
202603,22103,"st. tammany, la",333500.0,0.0241,-0.0042,1329,0.0375,-0.0037,63.0,-0.2515,-0.0809,498,0.2969,0.1857,16,1.0,1.0,0.0069,0.0031,0.0031,412.0,0.2485,-0.0885,0.1804,0.02,-0.024,474.0,0.1341,0.3189,168.0,0.0148,-0.002,2055.0,0.0037,-0.0108,463077.0,0.0052,0.0067,1804,0.0646,0.0675,0.3563,0.0304,0.0872,0.0
202603,22087,"st. bernard, la",264000.0,-0.0309,0.0193,204,-0.0024,0.0851,93.0,-0.0389,0.1108,66,0.8333,0.8333,2,,,0.0063,0.0063,0.0063,64.0,0.1034,-0.0588,0.205,0.0004,-0.0545,50.0,0.0417,0.3514,160.0,-0.0143,0.0244,1688.0,-0.0114,0.0172,284360.0,-0.024,0.0101,254,0.0059,0.1339,0.2451,0.0104,0.0483,1.0
