month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,25001,"barnstable, ma",949450.0,0.025,0.0264,707,0.091,-0.1174,67.0,-0.2811,0.1875,510,1.0902,0.0991,4,,0.0,0.003,0.003,0.0005,124.0,0.5122,-0.3111,0.0876,0.0221,-0.0178,365.0,0.0611,-0.1321,559.0,0.0123,0.023,1807.0,0.0095,-0.0163,1665023.0,0.0241,0.054,1062,0.0809,-0.1223,0.5156,-0.0145,-0.0088,0.0
202603,25017,"middlesex, ma",908675.0,0.0332,-0.1627,1435,0.3053,0.2324,21.0,-0.4459,0.1389,1638,0.8871,0.1634,12,0.5,0.5,0.0034,0.0,0.0009,338.0,0.5089,0.0833,0.1004,0.0044,-0.0082,290.0,0.3242,0.0943,494.0,0.0289,-0.013,1970.0,0.0438,-0.0966,1486744.0,0.0358,-0.0664,1724,0.3017,0.2069,0.2022,0.0029,-0.0255,1.0
202603,25009,"essex, ma",727400.0,0.0117,-0.0301,579,0.2348,0.2388,23.0,-0.4231,0.25,664,1.0368,0.1528,2,-0.6667,,0.0014,-0.005,0.0014,120.0,0.3953,-0.0323,0.0837,-0.0114,-0.017,138.0,0.2159,-0.0861,427.0,-0.0085,0.0245,1823.0,0.0315,-0.0322,1165670.0,-0.032,0.0866,717,0.2311,0.1594,0.2385,-0.0037,-0.0848,0.0
202603,25025,"suffolk, ma",894250.0,0.0521,-0.0805,1232,0.2452,0.0793,36.0,-0.1548,-0.0658,902,0.804,0.0789,4,0.0,-0.75,0.0018,-0.0008,-0.0056,228.0,0.7273,-0.1094,0.1071,0.0241,-0.0154,125.0,0.1914,-0.004,897.0,0.0347,-0.0467,1156.0,-0.0043,-0.0663,1748718.0,-0.0466,-0.1166,1355,0.241,0.075,0.1011,-0.0046,-0.0085,0.0
202603,25011,"franklin, ma",396500.0,0.0006,-0.0671,57,-0.05,-0.1231,56.0,-0.3715,0.7045,48,1.0,0.2,0,,,0.0,0.0,0.0,18.0,0.8,0.5,0.1404,0.0272,0.0379,15.0,0.7059,0.3182,237.0,-0.0106,-0.0525,1700.0,0.0034,-0.0025,637524.0,-0.0028,-0.1806,71,0.0365,-0.0533,0.2544,0.1127,0.0852,0.0
202603,25021,"norfolk, ma",920250.0,0.0283,0.0124,730,0.2333,0.2018,25.0,-0.2344,0.1667,810,0.7017,0.0887,10,-0.1667,,0.0063,-0.0042,0.0063,170.0,0.5741,0.1806,0.0986,0.0054,0.0018,165.0,0.441,0.1702,489.0,0.0242,0.0054,2020.0,0.0077,-0.0582,1600359.0,0.027,-0.1112,899,0.2825,0.1645,0.2262,0.0326,-0.0061,0.0
202603,25027,"worcester, ma",549950.0,0.0137,0.0,819,0.1725,0.2372,31.0,-0.3386,0.25,792,0.8249,0.0,10,,-0.1667,0.0052,0.0052,-0.003,190.0,0.25,0.1875,0.1143,-0.0021,0.0166,164.0,0.1469,-0.1038,302.0,0.0051,-0.0006,1869.0,0.0073,-0.0273,658870.0,0.0224,0.0143,983,0.1688,0.1633,0.2002,-0.0045,-0.0762,0.0
202603,25003,"berkshire, ma",499000.0,0.001,-0.0844,347,-0.0184,0.2464,83.0,-0.1144,0.0954,106,0.1277,-0.0536,4,,,0.0071,0.0071,0.0071,44.0,0.1579,0.2222,0.0758,0.0095,0.0073,119.0,0.0171,-0.0703,277.0,-0.0196,-0.0161,1855.0,0.0045,-0.0762,878618.0,-0.0034,-0.0543,461,-0.0129,0.1541,0.3434,0.012,-0.117,0.0
202603,25005,"bristol, ma",572575.0,0.0326,-0.0279,464,0.0,0.1235,47.0,-0.1429,0.1625,368,0.6,0.15,0,-1.0,-1.0,0.0,-0.0052,-0.0043,132.0,0.2941,0.1786,0.1421,0.0084,0.006,96.0,0.1636,-0.0204,332.0,0.0024,0.0075,1783.0,0.018,-0.0478,698239.0,0.0348,-0.0764,572,0.0496,0.1362,0.2069,0.0291,-0.0304,0.0
202603,25019,"nantucket, ma",4087500.0,-0.0411,-0.0907,71,0.1452,-0.29,118.0,0.1436,0.0981,30,4.0,-0.0625,0,,,0.0,0.0,0.0,6.0,,0.5,0.0728,0.0728,0.0389,2.0,-0.4,-0.75,1693.0,-0.0074,-0.0405,2920.0,-0.0262,0.0375,5318368.0,0.0072,-0.1552,73,0.1154,-0.316,0.0211,-0.0192,-0.0389,0.0
