month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,24045,"wicomico, md",309900.0,0.033,0.0333,280,0.0145,0.2763,66.0,-0.1651,0.2644,128,0.3617,0.1034,4,1.0,-0.6667,0.0073,0.0033,-0.0175,92.0,0.0455,0.0455,0.1659,-0.0146,-0.0197,150.0,0.2008,0.1241,182.0,-0.0028,-0.0134,1732.0,0.0092,0.0825,349477.0,0.0067,0.0411,429,0.0686,0.2243,0.5349,0.083,-0.0724,0.0
202603,24025,"harford, md",449950.0,0.0001,0.0464,401,0.081,0.0512,31.0,-0.2948,-0.0469,306,0.224,0.0775,10,-0.375,-0.5833,0.0098,-0.0084,-0.0156,114.0,0.0755,-0.0172,0.1148,-0.0019,0.001,325.0,0.1056,-0.0076,213.0,-0.0179,0.0234,2009.0,0.0069,-0.032,519044.0,0.0055,-0.0233,727,0.0957,0.0268,0.8102,0.0181,-0.048,0.0
202603,24021,"frederick, md",544500.0,0.0284,-0.0098,539,0.1978,0.2712,23.0,-0.3699,0.0952,424,0.3677,0.0928,14,-0.5333,-0.5625,0.0107,-0.0167,-0.0196,178.0,0.3088,0.2714,0.1268,0.0067,-0.0019,381.0,0.1289,0.1723,232.0,-0.0119,-0.0319,2332.0,0.0363,0.0008,611626.0,0.0385,-0.0275,920,0.1772,0.2299,0.7069,-0.0431,-0.0596,0.0
202603,24023,"garrett, md",560000.0,-0.062,-0.1704,177,0.1136,0.0322,98.0,-0.2338,0.2581,50,0.25,-0.1667,0,,,0.0,0.0,0.0,36.0,0.125,0.0,0.1425,0.0066,0.03,35.0,-0.186,-0.3966,272.0,-0.0664,-0.1437,2132.0,0.0114,-0.0448,750976.0,-0.0871,-0.0474,215,0.0806,-0.0633,0.1983,-0.073,-0.1409,1.0
202603,24005,"baltimore, md",382473.0,0.0092,-0.039,1178,0.0903,0.1635,33.0,-0.2156,0.31,900,0.3804,-0.0426,54,0.5,0.35,0.0176,0.0035,0.0032,390.0,0.25,0.1207,0.1317,0.0095,0.0068,898.0,0.1318,0.08,215.0,0.011,-0.0029,1801.0,0.0047,-0.0134,536940.0,-0.0111,-0.1101,2091,0.1155,0.1349,0.7622,0.0279,-0.0589,0.0
202603,24047,"worcester, md",459000.0,0.0494,0.0088,736,0.084,0.1094,59.0,-0.3607,0.1471,270,0.3366,-0.0493,12,1.0,0.5,0.0099,0.0042,0.0024,178.0,0.6182,-0.1604,0.1507,0.0445,-0.0318,203.0,0.2018,-0.2609,403.0,0.0163,0.0068,1177.0,-0.0017,-0.0111,569293.0,0.0144,0.0147,938,0.1035,-0.0021,0.2753,0.027,-0.138,0.0
202603,24017,"charles, md",476450.0,0.0085,-0.0176,461,0.0684,0.1043,36.0,-0.268,0.5435,276,0.4227,-0.1481,26,0.4444,-0.5,0.0265,0.0075,-0.0249,134.0,0.3137,0.3958,0.1288,0.0191,0.0347,315.0,0.0845,0.0483,210.0,0.003,-0.0128,2222.0,0.0007,-0.0109,514752.0,-0.0064,-0.023,777,0.077,0.083,0.683,0.0101,-0.0365,0.0
202603,24033,"prince george's, md",454995.0,0.0123,-0.0299,1643,0.0624,0.2746,38.0,-0.1412,0.3103,1068,0.3763,0.0943,68,-0.15,-0.0556,0.0186,-0.0064,-0.0032,502.0,0.2613,0.0913,0.1388,0.0138,-0.0045,1017.0,0.1696,0.0739,241.0,0.0048,-0.0468,1651.0,0.0102,-0.0124,482016.0,0.011,-0.0284,2660,0.101,0.1896,0.619,0.0568,-0.1157,0.0
202603,24011,"caroline, md",352000.0,0.0307,0.0203,89,-0.0167,0.0536,65.0,-0.0979,-0.1342,36,0.6364,-0.3077,0,,,0.0,0.0,0.0,26.0,0.1818,-0.0714,0.1586,0.0044,-0.0005,44.0,0.2254,0.0875,210.0,0.0391,0.1098,1770.0,-0.0004,0.0634,424233.0,-0.0503,0.1541,133,0.06,0.0685,0.4915,0.0971,0.0153,0.0
202603,24019,"dorchester, md",316250.0,-0.0249,0.0648,189,0.156,0.3217,97.0,-0.0652,0.5992,92,1.4211,0.3529,0,-1.0,,0.0,-0.0074,0.0,46.0,1.0909,-0.0417,0.1543,0.0641,-0.0268,50.0,0.0753,0.0204,198.0,0.0013,0.0466,1645.0,-0.0131,0.0564,409827.0,-0.0237,0.1966,237,0.1156,0.2005,0.2646,-0.0199,-0.0781,0.0
202603,24015,"cecil, md",445972.0,0.0148,-0.048,148,0.0103,-0.0605,56.0,-0.0902,0.3214,86,0.3871,-0.2833,6,2.0,-0.7857,0.0181,0.0125,-0.0586,34.0,-0.1905,-0.0556,0.1027,-0.0369,0.009,98.0,0.0,-0.1372,217.0,-0.0134,-0.0062,1967.0,0.0237,-0.0014,614414.0,0.0308,0.1743,247,0.0123,-0.0938,0.661,-0.0068,-0.0587,0.0
202603,24039,"somerset, md",249900.0,0.1109,-0.0639,95,0.1739,-0.133,82.0,-0.2743,0.025,50,2.5714,0.1364,0,,,0.0,0.0,0.0,14.0,0.4,-0.5625,0.0847,0.0064,-0.0874,26.0,-0.2031,-0.1774,163.0,0.1263,-0.0101,1477.0,-0.0005,0.0034,281619.0,0.0847,-0.1135,120,0.0714,-0.1304,0.2698,-0.1277,-0.0146,0.0
202603,24027,"howard, md",599250.0,0.0607,-0.0335,349,0.1894,0.1502,21.0,-0.2966,0.3833,384,0.7455,0.0787,18,0.125,-0.1,0.0179,-0.0033,-0.0014,112.0,0.4,0.4737,0.116,0.0149,0.0378,299.0,0.1283,-0.0447,261.0,0.0059,-0.0167,2216.0,0.0165,0.0082,805816.0,0.0652,0.0664,648,0.1625,0.0511,0.858,-0.0465,-0.175,0.0
202603,24029,"kent, md",445000.0,0.0301,0.1867,89,0.1494,0.2643,78.0,-0.0221,0.4904,46,4.75,0.2778,0,,,0.0,0.0,0.0,20.0,0.6667,0.25,0.1337,0.018,0.0097,27.0,0.0816,0.0192,261.0,0.1358,0.1083,1964.0,0.0,0.1987,666408.0,-0.0035,-0.0551,116,0.1429,0.2473,0.2994,-0.0187,-0.072,0.0
202603,24510,"baltimore, md",199450.0,0.0124,-0.0934,2155,0.0446,0.1515,51.0,-0.0893,0.3077,994,0.1918,-0.0996,92,0.3143,0.3529,0.0226,0.0036,0.0062,738.0,0.2637,0.0982,0.1805,0.0187,0.0159,921.0,0.155,-0.0607,153.0,0.0152,-0.0677,1440.0,0.001,-0.0306,248438.0,0.0199,-0.0802,3084,0.0842,0.0816,0.4272,0.0408,-0.0965,0.0
202603,24035,"queen anne's, md",599450.0,0.0378,0.0533,202,0.2317,0.1882,32.0,-0.4836,-0.4273,136,0.5455,0.7,4,-0.3333,-0.75,0.0085,-0.009,-0.0336,64.0,0.6842,-0.0588,0.1421,0.0221,-0.0155,117.0,0.1709,-0.137,284.0,0.0012,0.0916,2248.0,0.084,-0.0109,764711.0,-0.0787,-0.0634,319,0.2133,0.0208,0.5767,-0.03,-0.2174,0.0
202603,24031,"montgomery, md",599995.0,0.0549,-0.0769,1578,0.2377,0.2671,29.0,-0.2297,0.5,1248,0.4279,0.013,48,0.6,-0.0769,0.0128,0.003,-0.0016,444.0,0.3789,0.11,0.123,0.0155,0.0001,943.0,0.2209,0.0638,312.0,0.0129,-0.0202,1764.0,0.0644,-0.0846,864510.0,0.0239,-0.1807,2520,0.232,0.1825,0.5975,-0.0083,-0.1142,0.0
202603,24009,"calvert, md",500000.0,-0.0148,-0.0826,198,0.0676,0.2344,31.0,-0.3511,0.1296,176,1.0465,0.5172,8,0.0,-0.3333,0.0158,-0.0047,-0.0131,62.0,0.55,0.55,0.118,0.0155,0.0087,156.0,0.187,0.481,226.0,0.0219,-0.0223,2241.0,0.009,0.0145,586242.0,0.0376,-0.0703,353,0.1224,0.3577,0.7873,0.0792,0.1311,0.0
202603,24003,"anne arundel, md",541435.0,0.0313,-0.0156,962,0.1805,0.2569,25.0,-0.3399,0.0521,806,0.414,-0.0074,32,0.2308,-0.4286,0.012,-0.0012,-0.0116,266.0,0.1875,0.0076,0.1079,-0.0042,-0.003,751.0,0.2047,-0.0607,275.0,0.0205,0.0005,1941.0,0.0248,-0.0358,730016.0,0.0614,-0.062,1711,0.194,0.0947,0.7806,0.0157,-0.2639,0.0
202603,24001,"allegany, md",172225.0,0.0256,0.1111,192,0.058,0.1748,69.0,-0.2058,0.2685,90,0.6071,0.5,2,0.0,-0.5,0.0056,-0.0012,-0.0069,44.0,-0.0833,0.0,0.1274,-0.0437,-0.0233,72.0,0.2522,-0.0137,113.0,0.0424,0.0805,1603.0,0.0269,-0.0593,213564.0,0.0785,0.0321,264,0.1069,0.1186,0.376,0.0583,-0.0719,0.0
202603,24041,"talbot, md",599000.0,0.0555,0.0419,197,0.2429,0.1387,65.0,-0.3308,0.2921,98,0.96,0.1667,0,-1.0,,0.0,-0.0071,0.0,40.0,0.25,0.1111,0.1065,-0.0151,-0.0133,75.0,0.145,0.2712,285.0,0.0292,0.0415,2283.0,0.0159,0.0452,1328264.0,-0.0546,-0.0635,272,0.2143,0.1826,0.3807,-0.0325,0.0397,0.0
202603,24013,"carroll, md",502450.0,0.0256,0.005,271,0.1366,0.3005,26.0,-0.354,0.1818,226,0.6377,0.1531,12,2.0,0.5,0.0161,0.0087,0.0019,80.0,0.1429,0.3333,0.1097,-0.0069,0.0036,212.0,0.125,0.2818,238.0,0.0247,0.0,2182.0,0.0137,0.0028,584460.0,0.0148,-0.0042,482,0.1316,0.2978,0.7819,-0.008,-0.0114,0.0
202603,24043,"washington, md",349900.0,0.0,-0.0003,368,0.1341,0.4959,36.0,-0.2408,-0.0823,204,0.2439,0.275,6,-0.25,-0.25,0.0081,-0.0039,-0.0055,108.0,-0.0182,0.08,0.1419,-0.0263,-0.0126,180.0,0.0979,-0.0245,184.0,-0.0001,-0.0492,1794.0,-0.0186,-0.0297,411973.0,-0.0204,0.015,548,0.1241,0.2864,0.4878,-0.0161,-0.2602,0.0
202603,24037,"st. mary's, md",462400.0,0.0026,-0.0055,200,0.278,0.0811,23.0,-0.2333,0.0,162,0.5283,0.1571,8,3.0,-0.6,0.0156,0.0106,-0.0266,48.0,0.7143,-0.0769,0.0951,0.0277,-0.0128,151.0,0.1758,0.2137,226.0,-0.0466,0.0651,2083.0,0.0228,-0.0443,636341.0,-0.0271,-0.0338,351,0.2045,0.1343,0.7525,-0.0654,0.0822,0.0
202602,24031,"montgomery, md",568763.0,0.0156,-0.0519,1275,0.0229,0.4328,37.0,-0.3509,0.287,874,0.194,0.048,30,-0.1667,-0.1176,0.0098,-0.0035,-0.0027,322.0,0.2197,0.5047,0.1075,0.0027,0.021,772.0,0.0812,-0.0077,308.0,0.0028,-0.0299,1657.0,0.0118,-0.0665,844336.0,0.0167,-0.1966,2046,0.041,0.2282,0.6057,0.0327,-0.2689,0.0
202602,24029,"kent, md",432000.0,-0.0556,0.1644,77,-0.0723,0.2222,79.0,0.1162,-0.1267,8,-0.6667,-0.6923,0,,,0.0,0.0,0.0,12.0,2.0,0.5,0.1158,0.0859,0.035,25.0,-0.1833,0.2895,229.0,-0.046,-0.0155,1964.0,0.0,0.1883,668737.0,0.0273,-0.0608,102,-0.1018,0.2609,0.3182,-0.0433,0.0166,0.0
202602,24035,"queen anne's, md",577638.0,0.0315,0.0504,164,-0.0465,-0.0708,61.0,-0.1159,0.0083,88,0.375,0.1282,6,0.5,-0.625,0.0175,0.005,-0.027,38.0,0.0556,-0.0952,0.12,0.0237,0.0058,100.0,0.1706,-0.1603,284.0,0.0227,0.0641,2074.0,-0.0192,-0.0069,830008.0,0.0248,0.0275,263,0.0254,-0.1087,0.6067,0.1125,-0.0647,0.0
202602,24005,"baltimore, md",379000.0,-0.0026,-0.0024,1080,-0.0649,0.1279,42.0,-0.165,0.1597,652,0.0584,-0.0031,36,-0.3077,-0.1429,0.0141,-0.0057,-0.0033,312.0,-0.025,-0.1381,0.1221,-0.0105,-0.0306,793.0,0.0848,0.0407,212.0,0.0036,-0.0047,1792.0,-0.0088,0.0156,542961.0,-0.004,-0.0559,1874,-0.0064,0.0921,0.7343,0.1014,-0.0616,0.0
202602,24039,"somerset, md",224950.0,-0.0623,-0.1621,81,-0.1526,-0.195,113.0,0.13,0.1133,14,-0.4167,-0.5882,0,,,0.0,0.0,0.0,10.0,-0.5833,-0.6667,0.0783,-0.0765,-0.1136,32.0,0.2308,0.4222,145.0,0.0026,-0.1439,1477.0,-0.023,-0.0042,259634.0,-0.0355,-0.2618,112,-0.0894,-0.0894,0.3975,0.1238,0.1725,1.0
202602,24017,"charles, md",472425.0,0.027,-0.0132,431,-0.0849,0.2006,49.0,-0.2302,0.1975,194,0.0319,-0.0849,18,0.125,-0.6667,0.019,0.0006,-0.0438,102.0,-0.1774,0.3077,0.1096,-0.0225,0.0178,290.0,0.1373,0.0432,210.0,-0.0022,-0.0312,2221.0,0.0079,-0.01,518054.0,0.0103,-0.0086,721,-0.0069,0.1372,0.6729,0.1315,-0.1015,0.0
202602,24003,"anne arundel, md",525000.0,0.0,-0.0383,815,-0.0734,0.2687,38.0,-0.15,0.2339,570,0.122,0.0106,26,-0.2778,-0.35,0.0132,-0.005,-0.0083,224.0,-0.0175,0.2727,0.1121,-0.0046,0.0186,623.0,0.1266,-0.0445,269.0,0.0017,-0.0243,1894.0,0.0069,-0.0272,687785.0,-0.0063,-0.1129,1433,-0.0021,0.1036,0.7649,0.1358,-0.2507,0.0
