month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,23027,"waldo, me",440000.0,0.0514,0.0427,123,-0.0238,0.1495,118.0,0.0261,0.2165,44,1.0,0.2222,2,,,0.0116,0.0116,0.0116,20.0,0.1111,0.25,0.1082,0.0138,0.0266,16.0,-0.4182,-0.5556,258.0,0.0136,0.0334,1775.0,-0.0228,-0.0139,716489.0,0.0261,-0.0074,138,-0.101,-0.035,0.1301,-0.0882,-0.2064,0.0
202603,23029,"washington, me",309225.0,0.0316,0.0833,207,0.0147,0.18,146.0,-0.0332,-0.1167,40,0.25,-0.2308,0,,,0.0,0.0,0.0,32.0,0.7778,1.0,0.1215,0.0498,0.0463,17.0,-0.2444,-0.3704,201.0,0.0136,-0.0002,1503.0,-0.0007,0.0737,396302.0,-0.02,-0.0043,224,-0.0088,0.1144,0.0823,-0.0282,-0.072,0.0
202603,23011,"kennebec, me",393750.0,0.0788,-0.1248,242,-0.0123,0.2846,86.0,-0.0199,0.1815,130,0.25,0.0833,2,,,0.0052,0.0052,0.0052,60.0,0.0,0.875,0.1417,-0.0044,0.0499,53.0,-0.1985,-0.1667,230.0,0.0298,-0.0292,1694.0,0.0604,0.003,475871.0,0.0513,-0.0934,294,-0.0516,0.1484,0.2174,-0.0505,-0.1177,1.0
202603,23031,"york, me",607250.0,0.013,-0.0656,490,0.0062,0.0841,52.0,-0.2793,-0.0324,314,0.4811,-0.0655,2,,-0.5,0.0024,0.0024,-0.0021,96.0,0.6,0.1429,0.1001,0.022,0.0143,93.0,-0.1308,-0.1308,385.0,0.014,-0.0564,1678.0,0.004,0.0145,887002.0,0.0164,-0.0177,584,-0.0185,0.0438,0.1898,-0.0299,-0.0469,0.0
202603,23021,"piscataquis, me",277225.0,-0.0072,-0.0603,118,-0.0562,0.1869,131.0,0.0019,0.362,34,0.5455,-0.0556,0,,,0.0,0.0,0.0,18.0,0.8,1.25,0.1246,0.0624,0.0662,7.0,-0.2632,0.0,195.0,-0.0158,-0.051,1310.0,0.0085,-0.0382,379633.0,0.04,-0.0793,124,-0.0781,0.1589,0.0596,-0.0167,-0.0111,0.0
202603,23007,"franklin, me",479000.0,0.0063,0.0647,152,-0.0256,0.1343,107.0,-0.1514,0.1833,46,-0.0417,0.0455,2,,,0.0094,0.0094,0.0094,34.0,-0.1905,-0.0556,0.1616,-0.0262,-0.0131,14.0,-0.55,-0.3571,297.0,-0.0365,-0.0743,1653.0,0.0273,0.0783,631588.0,0.0103,0.129,168,-0.0995,0.0669,0.0888,-0.1035,-0.0679,0.0
202603,23017,"oxford, me",417875.0,-0.0305,-0.1596,228,-0.0845,0.149,88.0,-0.0907,-0.0085,80,0.1429,0.25,0,,,0.0,0.0,0.0,46.0,0.15,-0.1154,0.1251,0.0149,-0.0573,50.0,0.2048,0.3889,269.0,-0.0557,-0.0741,1652.0,-0.0153,-0.104,534216.0,-0.0366,-0.1734,281,-0.0361,0.1987,0.2198,0.0528,0.038,1.0
202603,23009,"hancock, me",566575.0,0.0307,0.0117,207,-0.0417,0.2857,135.0,0.0465,-0.094,78,2.25,0.3,0,,,0.0,0.0,0.0,38.0,0.1176,0.1875,0.1213,-0.0051,-0.0161,32.0,-0.3438,-0.1486,317.0,0.0031,0.0042,1749.0,0.0414,-0.0077,1092573.0,0.0095,-0.0202,239,-0.1101,0.2045,0.1522,-0.07,-0.0776,0.0
202603,23019,"penobscot, me",300000.0,0.0068,-0.0536,408,0.0368,0.4729,100.0,-0.0826,0.3333,160,0.7778,0.2121,2,-0.5,,0.0029,-0.0041,0.0029,98.0,0.0426,0.5313,0.1629,-0.0024,0.0435,50.0,-0.3926,-0.4176,193.0,0.0152,0.031,1552.0,0.0144,-0.0693,352107.0,0.0129,-0.0529,458,-0.0338,0.2708,0.1213,-0.0858,-0.1855,0.0
202603,23015,"lincoln, me",588000.0,-0.0118,-0.0592,104,0.0505,0.1818,103.0,-0.244,-0.189,38,0.7273,0.3571,0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0526,-0.0008,-0.0018,16.0,-0.2791,-0.38,343.0,-0.0081,-0.0122,1868.0,0.0059,0.0031,739198.0,0.0026,-0.1623,119,-0.0165,0.0348,0.149,-0.0681,-0.1351,0.0
202603,23023,"sagadahoc, me",599225.0,0.0004,0.072,42,-0.0769,0.05,60.0,-0.063,-0.3959,20,0.0,-0.1667,0,,,0.0,0.0,0.0,6.0,-0.25,0.5,0.0896,-0.0093,0.0299,13.0,-0.1071,0.0417,337.0,0.0513,0.172,1742.0,-0.079,-0.0294,741800.0,-0.0298,0.1983,55,-0.0763,0.0686,0.2976,-0.0101,-0.0024,0.0
202603,23005,"cumberland, me",637450.0,0.0456,-0.004,461,0.0267,0.0746,54.0,-0.3445,0.1944,366,1.0562,0.064,4,,0.0,0.0043,0.0043,-0.0012,106.0,0.1277,0.2045,0.1148,-0.0084,0.0176,99.0,-0.0963,-0.2244,372.0,0.0064,-0.0453,1723.0,0.029,0.0168,793834.0,-0.0041,-0.085,557,0.0063,-0.0018,0.2137,-0.0291,-0.0824,0.0
202603,23025,"somerset, me",276975.0,0.0416,-0.0282,169,0.0433,0.2765,144.0,0.0909,0.6364,48,0.4118,0.0909,0,,,0.0,0.0,0.0,38.0,0.4615,0.3571,0.1604,0.0473,0.0196,14.0,-0.5254,-0.3636,194.0,0.039,0.0092,1508.0,0.0436,0.0141,355267.0,0.0715,0.1133,183,-0.0495,0.1774,0.0831,-0.0996,-0.0836,0.0
202603,23013,"knox, me",499000.0,-0.0055,-0.1669,137,0.0302,0.0664,85.0,-0.1105,-0.0815,38,0.0,-0.05,0,,,0.0,0.0,0.0,22.0,0.2222,0.1,0.1066,0.0171,0.0091,22.0,-0.3016,-0.3333,291.0,-0.0207,-0.0924,1845.0,0.0071,-0.0057,845365.0,0.0012,-0.2183,158,-0.0307,-0.0247,0.1612,-0.0766,-0.0966,1.0
202603,23001,"androscoggin, me",395375.0,0.0543,0.0164,97,-0.0935,0.3472,58.0,-0.2532,0.3372,68,0.0,0.0625,0,,,0.0,0.0,0.0,30.0,-0.1667,0.25,0.141,-0.0392,0.0038,25.0,-0.0926,-0.0926,217.0,0.0395,-0.0537,1813.0,0.035,0.0493,455348.0,0.0631,-0.0226,123,-0.1026,0.25,0.2526,0.0002,-0.1224,0.0
202603,23003,"aroostook, me",184900.0,-0.01,-0.1855,276,-0.0532,0.2212,119.0,-0.0287,0.0304,78,0.0,0.1471,4,0.0,,0.0104,0.0005,0.0104,52.0,2.25,0.0833,0.1363,0.0949,0.0003,26.0,-0.0727,-0.4333,128.0,-0.0252,-0.0747,1391.0,0.0142,-0.1149,241187.0,-0.0076,-0.2127,302,-0.0549,0.1085,0.0924,-0.0019,-0.1067,1.0
202602,23001,"androscoggin, me",375000.0,0.0714,-0.0115,107,-0.123,0.4362,77.0,0.0336,1.169,68,0.2143,0.0968,0,,,0.0,0.0,0.0,36.0,0.0,1.0,0.1802,0.0193,0.0778,27.0,-0.0357,-0.069,209.0,0.0088,-0.021,1752.0,0.0703,-0.0331,428325.0,0.07,-0.0532,137,-0.096,0.3317,0.2523,0.0228,-0.1369,1.0
202602,23027,"waldo, me",418500.0,0.0036,-0.0065,126,-0.087,0.115,115.0,0.0849,0.1948,22,-0.0833,-0.3529,0,,,0.0,0.0,0.0,18.0,-0.25,-0.4375,0.0944,-0.0319,-0.0845,28.0,-0.1129,-0.1406,255.0,-0.0183,0.029,1817.0,0.024,0.0058,698250.0,0.1104,-0.0362,154,-0.0971,0.0478,0.2183,-0.0064,-0.0649,0.0
202602,23021,"piscataquis, me",279225.0,0.008,0.0344,125,0.004,0.2146,131.0,0.0697,0.1059,22,0.1,-0.0833,0,,,0.0,0.0,0.0,10.0,1.5,0.25,0.0622,0.0346,0.0053,10.0,0.0556,1.1111,198.0,0.0097,0.0134,1299.0,-0.0008,-0.0438,365030.0,0.0204,0.0681,135,0.0113,0.2689,0.0763,0.0037,0.0324,0.0
202602,23025,"somerset, me",265925.0,-0.0114,-0.054,162,-0.1175,0.1832,132.0,0.1579,0.408,34,0.0625,0.1333,0,,,0.0,0.0,0.0,26.0,-0.0714,0.1818,0.113,-0.0051,-0.0032,30.0,0.2826,0.0727,187.0,-0.0031,0.0081,1445.0,-0.0341,-0.0392,331549.0,0.0147,0.0198,192,-0.0634,0.1636,0.1827,0.057,-0.0188,0.0
202602,23013,"knox, me",501750.0,0.0055,-0.1907,133,0.0352,0.0516,95.0,-0.181,-0.1364,38,-0.05,0.3571,0,,,0.0,0.0,0.0,18.0,-0.3571,0.125,0.0896,-0.0377,0.0079,32.0,-0.0455,-0.1,297.0,0.0312,-0.0826,1832.0,0.0044,-0.0507,844359.0,0.0512,-0.1696,163,0.0124,0.0252,0.2377,-0.0201,-0.04,1.0
