month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,26085,"lake, mi",217225.0,-0.0181,0.0349,61,-0.0692,-0.1712,121.0,0.0686,-0.0102,18,0.2857,-0.4375,0,,,0.0,0.0,0.0,6.0,0.0,-0.625,0.0586,-0.0097,-0.1081,20.0,0.1471,-0.1136,203.0,0.0423,0.1397,1059.0,-0.047,-0.1554,445592.0,0.0009,0.0566,82,0.0188,-0.1237,0.3223,0.0608,0.0209,0.0
202603,26087,"lapeer, mi",383450.0,0.0295,0.0231,145,-0.0301,-0.0136,61.0,-0.2254,0.0702,82,0.1714,0.1389,4,1.0,,0.0126,0.0064,0.0126,32.0,0.3333,-0.1111,0.0991,0.0169,-0.0217,97.0,0.1687,0.3472,228.0,0.0611,-0.0134,1727.0,-0.0204,-0.0126,546586.0,0.0394,-0.0021,241,0.0433,0.0955,0.669,0.1138,0.1792,0.0
202603,26063,"huron, mi",212975.0,-0.0071,-0.084,100,-0.0293,0.0474,107.0,-0.0183,0.0833,40,1.0,0.25,0,,,0.0,0.0,0.0,18.0,0.8,0.125,0.131,0.0572,-0.0012,16.0,-0.0313,-0.1842,152.0,-0.0087,0.013,1436.0,-0.0206,-0.0243,285764.0,-0.0188,0.0165,114,-0.0044,0.0225,0.1558,-0.0003,-0.0442,0.0
202603,26109,"menominee, mi",196150.0,0.0903,0.0064,66,0.0315,0.7703,84.0,0.0915,0.4274,12,-0.25,-0.5,0,,,0.0,0.0,0.0,10.0,0.6667,0.25,0.1166,0.0479,0.0099,10.0,0.25,-0.6429,135.0,0.0049,-0.0998,1660.0,0.0186,0.1631,300389.0,0.0314,-0.2311,76,0.0629,0.1692,0.1527,0.0267,-0.6041,0.0
202603,26055,"grand traverse, mi",464500.0,0.0155,-0.0501,307,0.0233,-0.0525,64.0,-0.2905,-0.0662,122,0.1509,-0.0469,0,,,0.0,0.0,0.0,42.0,-0.087,-0.25,0.0797,-0.0078,-0.0151,125.0,0.0373,-0.1497,320.0,0.0181,0.0085,1469.0,-0.0007,-0.0637,805820.0,0.0487,0.0288,428,0.0215,-0.0904,0.4072,0.0055,-0.0465,0.0
202603,26145,"saginaw, mi",139850.0,-0.0303,-0.1725,393,0.0026,0.254,63.0,-0.2331,0.3298,188,0.3623,0.175,4,0.0,,0.0044,-0.0012,0.0044,124.0,-0.1268,-0.0313,0.1509,-0.042,-0.0405,216.0,0.1613,0.1134,102.0,-0.0039,-0.096,1384.0,-0.0075,-0.0972,220051.0,0.0,-0.0527,618,0.072,0.2156,0.5503,0.0752,-0.0695,1.0
202603,26115,"monroe, mi",299950.0,0.0017,0.0002,197,-0.0272,0.0479,47.0,-0.177,-0.1058,132,0.375,0.1786,0,,-1.0,0.0,0.0,-0.0164,64.0,0.3333,0.0667,0.1353,0.0262,0.0123,145.0,0.0284,0.0357,187.0,-0.0062,0.0103,1634.0,-0.0064,-0.0397,337798.0,-0.0298,-0.0664,344,0.0029,0.0617,0.736,0.0397,-0.0086,0.0
202603,26155,"shiawassee, mi",227500.0,0.0111,-0.086,93,-0.0159,0.24,65.0,-0.0188,0.2311,50,-0.0385,0.0417,0,,,0.0,0.0,0.0,22.0,-0.0833,-0.0833,0.0908,-0.0213,-0.0403,83.0,0.1871,0.3525,158.0,0.0154,0.0586,1445.0,-0.0375,-0.1002,267875.0,0.02,-0.0195,175,0.0606,0.2681,0.8871,0.1516,0.0738,0.0
202603,26073,"isabella, mi",248675.0,0.0416,0.0154,89,-0.11,0.1266,73.0,-0.273,0.1445,32,-0.1111,0.1429,0,,,0.0,0.0,0.0,26.0,-0.3158,0.3,0.1531,-0.0606,0.0414,50.0,0.1379,0.0761,134.0,-0.0128,-0.062,1717.0,-0.0293,0.0675,330610.0,0.0244,0.208,137,-0.0521,0.0341,0.5562,0.1212,-0.0261,0.0
202603,26047,"emmet, mi",1145000.0,-0.126,0.3635,230,0.1007,0.4255,86.0,-0.0087,-0.2875,54,0.6875,0.6875,4,,,0.014,0.014,0.014,14.0,-0.125,-0.3,0.045,-0.0194,-0.0565,10.0,0.1875,0.5833,499.0,-0.0288,0.2832,2717.0,-0.0477,0.077,1775250.0,-0.0128,0.1358,239,0.109,0.4226,0.0414,0.003,0.0041,0.0
