month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,27039,"dodge, mn",394200.0,-0.0385,0.1596,37,-0.0135,0.825,52.0,-0.176,-0.3041,28,0.5556,1.3333,2,,,0.0187,0.0187,0.0187,6.0,0.0,0.5,0.0527,-0.0108,-0.0343,39.0,0.322,0.8571,197.0,0.0215,-0.0172,2040.0,-0.044,0.1283,424424.0,-0.0058,0.146,79,0.188,0.881,1.0685,0.2712,0.0185,1.0
202603,27149,"stevens, mn",203650.0,0.9002,-0.1564,15,0.8125,0.3182,21.0,-0.4939,-0.461,14,1.3333,0.1667,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.0952,-0.1429,14.0,0.2273,1.7,125.0,0.4288,-0.0598,1618.0,0.0676,-0.0197,236023.0,0.4236,-0.0341,28,0.4737,0.75,0.931,-0.444,0.4765,1.0
202603,27077,"lake of the woods, mn",251950.0,0.0118,-0.1938,32,0.0,0.1034,193.0,0.1252,0.1712,4,,0.0,0,,,0.0,0.0,0.0,6.0,,,0.1333,0.1333,0.1333,8.0,0.5,0.25,196.0,0.0741,0.0017,1328.0,-0.0214,-0.2368,343217.0,0.0142,-0.2136,41,0.0946,0.1571,0.2344,0.0781,0.0275,1.0
202603,27057,"hubbard, mn",368700.0,0.0687,0.0315,63,0.0504,0.1364,101.0,-0.0585,0.9515,28,1.0,0.1667,0,,,0.0,0.0,0.0,6.0,-0.4,0.5,0.0478,-0.0573,0.0018,33.0,0.413,0.413,204.0,0.0185,0.0123,2092.0,0.0082,0.2016,578793.0,-0.0351,0.2196,96,0.1636,0.2308,0.52,0.1334,0.1018,0.0
202603,27139,"scott, mn",532000.0,0.0432,0.0133,350,0.0753,0.2774,31.0,-0.1622,-0.0313,246,0.1827,-0.0081,12,0.2,2.0,0.014,0.0008,0.0082,92.0,0.122,0.15,0.1133,0.0012,0.0018,252.0,0.3413,0.0182,211.0,-0.0134,-0.0145,2511.0,0.0057,0.0244,668854.0,0.0507,0.0139,608,0.1842,0.1484,0.7186,0.1425,-0.1829,0.0
202603,27025,"chisago, mn",424825.0,0.0058,-0.0004,132,0.1239,0.1435,34.0,-0.5213,0.0547,122,0.9677,0.3261,6,0.5,0.5,0.0159,0.0008,0.0029,26.0,0.3,0.0833,0.0849,0.0077,0.0038,98.0,0.2342,0.2037,234.0,-0.0587,-0.0862,1821.0,0.052,0.0665,490272.0,0.011,-0.0223,229,0.1537,0.145,0.7414,0.0662,0.0371,0.0
202603,27151,"swift, mn",175375.0,0.0029,-0.1645,30,0.0,0.1538,145.0,0.0122,0.5934,10,1.5,-0.375,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1032,-0.129,7.0,0.0,-0.5,113.0,-0.0042,0.0963,1668.0,0.0831,-0.1757,236577.0,0.0259,0.0378,37,-0.0135,-0.1098,0.2333,0.0,-0.3051,1.0
202603,27123,"ramsey, mn",304950.0,0.0168,-0.0617,740,0.064,0.4176,39.0,-0.0941,0.1324,602,0.1944,0.1489,12,5.0,-0.25,0.0063,0.0051,-0.004,226.0,-0.0259,0.4125,0.1234,-0.0251,0.0199,522.0,0.2735,0.0146,204.0,0.0076,-0.036,1551.0,0.0282,-0.0366,400545.0,0.0074,-0.1048,1261,0.136,0.2255,0.7047,0.1159,-0.2799,0.0
202603,27099,"mower, mn",309900.0,0.2808,0.4587,72,-0.0272,0.4592,47.0,-0.1696,-0.0211,36,0.3846,0.125,0,,,0.0,0.0,0.0,28.0,0.4,1.3333,0.1861,0.0211,0.0861,43.0,0.4407,0.0897,139.0,0.0284,0.0393,2142.0,0.227,0.3069,345335.0,0.1413,0.147,117,0.1359,0.3295,0.5944,0.193,-0.2015,0.0
202603,27131,"rice, mn",425000.0,0.0397,0.09,118,0.1033,0.5064,48.0,-0.4324,-0.1535,74,0.2333,0.4231,2,,,0.0072,0.0072,0.0072,20.0,-0.375,0.0,0.0744,-0.0513,-0.0213,85.0,0.0696,0.0833,197.0,0.0033,0.0573,2113.0,0.0842,0.0476,533946.0,0.0055,0.0745,203,0.0916,0.2898,0.7191,-0.0226,-0.2809,0.0
