month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,29079,"grundy, mo",169900.0,0.0625,-0.2003,22,0.0233,1.75,111.0,-0.0692,-0.1048,8,-0.2,0.0,0,,,0.0,0.0,0.0,6.0,0.5,,0.1565,0.0705,0.1565,11.0,-0.16,1.625,109.0,0.0115,0.1883,1581.0,0.1305,0.007,910717.0,0.1113,3.3915,32,-0.087,1.4231,0.4773,-0.1041,-0.0227,1.0
202603,29223,"wayne, mo",215900.0,0.1075,0.2037,28,0.0185,-0.3452,72.0,-0.4074,-0.3793,6,-0.25,-0.25,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.0921,0.0495,0.0296,10.0,0.1111,-0.0909,106.0,0.0203,-0.1444,1624.0,0.0211,0.1274,247406.0,0.1239,0.12,38,0.0417,-0.2788,0.3636,0.0303,0.1017,0.0
202603,29153,"ozark, mo",333725.0,0.0348,-0.1332,81,0.019,0.2015,140.0,0.1138,0.1625,16,1.0,0.0,0,,,0.0,0.0,0.0,24.0,5.0,2.0,0.2044,0.1614,0.122,10.0,0.0556,-0.4412,204.0,0.0142,0.075,1564.0,0.0347,-0.1256,417911.0,-0.0484,-0.2886,91,0.0282,0.0833,0.118,0.0041,-0.1357,1.0
202603,29197,"schuyler, mo",150000.0,-0.6428,-0.2823,8,0.6,0.3333,28.0,-0.825,-0.65,4,,0.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,5.0,0.5,3.5,131.0,-0.4166,-0.1947,1394.0,-0.2096,0.1612,209411.0,-0.6152,-0.0114,12,0.5,0.5,0.5625,-0.0375,0.3958,1.0
202603,29167,"polk, mo",272450.0,0.0483,0.0094,119,0.0822,-0.0595,74.0,-0.219,0.2437,60,0.7647,0.5,0,,,0.0,0.0,0.0,16.0,-0.2,-0.5556,0.0803,-0.0455,-0.0833,46.0,0.4677,0.1667,168.0,0.0108,0.0274,1671.0,0.0366,0.0708,346370.0,0.0153,0.0439,164,0.1756,-0.018,0.384,0.1009,0.0744,0.0
202603,29209,"stone, mo",349975.0,-0.0197,-0.1003,562,0.1319,0.1882,60.0,-0.3743,-0.1464,160,0.25,0.2121,4,-0.3333,0.0,0.0049,-0.0036,-0.0004,132.0,0.5349,0.0,0.162,0.0419,-0.0126,114.0,0.2128,0.2667,237.0,0.0008,0.0054,1468.0,-0.0317,-0.1272,491069.0,-0.0293,-0.1129,674,0.1464,0.1984,0.2028,0.0135,0.0126,1.0
202603,29205,"shelby, mo",142950.0,-0.0532,-0.1831,11,-0.0455,0.3125,41.0,-0.1337,-0.55,4,-0.5,,0,,,0.0,0.0,0.0,4.0,1.0,,0.2353,0.1353,0.2353,4.0,,-0.125,101.0,-0.0142,0.0843,1390.0,-0.1761,0.0153,209629.0,-0.0984,0.2204,13,0.1818,0.0,0.3333,,-0.1667,1.0
202603,29211,"sullivan, mo",234000.0,-0.22,0.8571,18,0.0606,-0.1667,60.0,-0.6267,0.0811,8,3.0,-0.3333,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.129,0.0684,0.0238,6.0,0.3333,0.2,128.0,0.0204,0.7182,1730.0,-0.0075,0.2425,289797.0,-0.0569,-0.1578,23,0.0952,-0.1154,0.3429,0.0701,0.1048,1.0
202603,29051,"cole, mo",342450.0,0.0036,-0.0737,102,0.0625,0.2289,48.0,0.0376,0.3219,90,0.6667,0.6071,0,,,0.0,0.0,0.0,46.0,0.15,0.4375,0.1761,-0.0016,0.0306,86.0,0.0238,0.0488,155.0,-0.0133,0.095,2143.0,0.0412,0.0232,416767.0,0.0239,0.0495,188,0.0592,0.1463,0.8431,-0.0319,-0.1448,0.0
202603,29125,"maries, mo",297475.0,0.0394,0.1018,22,0.1944,0.0238,28.0,-0.7073,-0.6555,14,2.5,-0.3,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.0556,-0.1176,9.0,0.7,-0.2273,161.0,0.1007,-0.0069,1641.0,-0.0206,-0.1451,282075.0,0.0383,-0.1589,29,0.2955,-0.0806,0.3953,0.1176,-0.1285,1.0
