month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,28025,"clay, ms",217490.0,-0.011,0.074,53,-0.094,0.6563,98.0,-0.1372,0.8396,14,0.4,-0.125,0,,,0.0,0.0,0.0,6.0,-0.4,-0.25,0.0836,-0.0502,-0.1068,6.0,0.0,-0.0833,113.0,0.0003,0.023,1815.0,0.0017,-0.1223,295119.0,-0.0565,-0.0699,58,-0.0938,0.5263,0.1038,0.0098,-0.0837,0.0
202603,28033,"desoto, ms",386400.0,0.0076,-0.0067,656,0.0202,-0.1171,64.0,-0.2147,0.0492,302,0.2377,0.0203,32,1.0,7.0,0.0244,0.0103,0.0213,238.0,0.19,0.0259,0.1872,0.0184,0.0158,323.0,0.1941,-0.0798,167.0,-0.0046,-0.0083,2401.0,0.0082,0.0215,415610.0,-0.0012,-0.0053,977,0.0649,-0.0995,0.4924,0.0717,0.02,0.0
202603,28099,"neshoba, ms",213125.0,-0.0741,0.1217,32,0.0,0.1034,106.0,0.1522,0.2184,4,-0.6,-0.5,0,,,0.0,0.0,0.0,2.0,-0.6667,-0.5,0.0392,-0.0699,-0.0363,14.0,0.2273,-0.4808,112.0,-0.0002,0.1783,1807.0,-0.0306,-0.0823,281035.0,-0.0405,0.1377,46,0.0698,-0.1481,0.4219,0.0781,-0.4747,0.0
202603,28001,"adams, ms",249975.0,-0.0031,-0.1227,156,-0.0127,-0.0064,129.0,-0.0668,0.1388,26,0.625,-0.0714,0,,,0.0,0.0,0.0,24.0,0.0,0.0,0.1031,-0.0087,-0.0123,34.0,0.3673,-0.141,117.0,-0.0066,-0.062,1973.0,0.0264,-0.14,369645.0,-0.0074,-0.0993,189,0.0356,-0.0105,0.2147,0.0597,-0.0337,1.0
202603,28049,"hinds, ms",129450.0,-0.04,-0.256,690,0.0147,0.1766,76.0,-0.0788,-0.1739,218,-0.0684,-0.0603,4,-0.3333,0.0,0.0034,-0.0019,-0.0004,218.0,0.1354,0.3293,0.1838,0.0113,0.0294,265.0,0.2536,0.0752,86.0,-0.0133,-0.1051,1598.0,-0.0042,-0.0891,199389.0,-0.0025,-0.1253,956,0.0724,0.1512,0.3836,0.0731,-0.0362,1.0
202603,28111,"perry, ms",166250.0,-0.0445,-0.1014,6,-0.25,-0.1429,94.0,0.8889,1.5972,2,0.0,-0.75,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.2202,0.0,7.0,-0.0667,-0.125,101.0,0.1696,-0.0472,1777.0,-0.1029,-0.0821,176881.0,0.0338,-0.2458,13,-0.2424,-0.1667,1.1667,0.2292,0.0238,1.0
202603,28143,"tunica, ms",190200.0,0.3301,0.2,4,0.0,0.0,106.0,0.0047,0.1337,2,0.0,,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-1.0,3.0,1.0,,87.0,-0.0182,-0.332,1639.0,-0.0253,0.1257,281225.0,0.0622,0.4803,7,0.1667,0.75,0.75,0.375,,0.0
202603,28015,"carroll, ms",280000.0,0.0,0.2257,17,-0.1316,-0.0294,115.0,-0.0129,0.9449,2,,-0.75,0,,,0.0,0.0,0.0,6.0,0.0,0.5,0.1962,-0.0291,0.0712,5.0,-0.0909,-0.2857,126.0,0.0047,0.0497,2150.0,0.0005,0.1943,286982.0,-0.0251,0.0077,21,-0.1429,-0.125,0.303,0.0136,-0.1087,1.0
202603,28083,"leflore, ms",210500.0,0.1614,0.432,60,0.1429,0.0345,74.0,-0.2112,-0.1713,16,-0.2,0.3333,0,,,0.0,0.0,0.0,12.0,1.0,0.5,0.1432,0.0776,0.022,15.0,0.0,0.5,93.0,0.0841,0.0831,2242.0,0.0807,0.3592,223501.0,0.0872,0.2639,75,0.1111,0.087,0.25,-0.0357,0.0776,0.0
202603,28017,"chickasaw, ms",177225.0,-0.0405,0.1077,25,0.1136,0.1136,63.0,0.2663,0.2,4,-0.3333,0.0,0,,,0.0,0.0,0.0,8.0,3.0,1.0,0.2658,0.2087,0.1176,5.0,-0.4,-0.25,105.0,-0.0083,0.3323,1935.0,-0.0148,-0.1395,277593.0,-0.0378,0.3718,29,-0.0169,0.0741,0.1837,-0.1572,-0.0891,0.0
