month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,30003,"big horn, mt",283750.0,0.048,-0.1133,28,0.1224,0.9643,179.0,0.168,0.3162,8,3.0,1.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.251,0.0,4.0,-0.2727,1.0,142.0,-0.0135,-0.3392,2113.0,0.1342,0.065,377187.0,0.0674,-0.4383,31,0.0333,0.9375,0.1455,-0.079,0.0026,1.0
202603,30051,"liberty, mt",169000.0,0.0,-0.1952,5,-0.2308,-0.2857,103.0,-0.0682,0.0567,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,,1.0,102.0,0.0,-0.1116,1800.0,0.0,-0.0964,187758.0,-0.0438,-0.3699,7,0.0769,-0.125,0.4,,0.2571,1.0
202603,30021,"dawson, mt",185000.0,-0.0212,-0.1475,47,0.0568,0.2568,94.0,-0.4806,-0.0158,8,1.0,0.0,0,,,0.0,0.0,0.0,6.0,2.0,0.5,0.0859,0.0481,-0.0117,13.0,0.3,1.6,108.0,0.0218,0.0664,1982.0,-0.0028,-0.1864,252220.0,-0.0026,-0.0577,59,0.0926,0.3721,0.2796,0.0523,0.1444,1.0
202603,30043,"jefferson, mt",651000.0,-0.0003,-0.0958,52,0.0297,0.0,133.0,0.1106,-0.1192,16,0.3333,0.3333,0,,,0.0,0.0,0.0,8.0,-0.2,0.0,0.0991,-0.0246,-0.0239,13.0,0.0417,1.0833,309.0,0.003,0.0845,2590.0,0.0763,0.0828,1022669.0,0.0641,0.0375,64,0.016,0.0948,0.2404,0.0028,0.125,0.0
202603,30023,"deer lodge, mt",369000.0,0.0117,0.2729,33,-0.0152,-0.2262,122.0,0.0656,-0.1178,14,,0.1667,0,,,0.0,0.0,0.0,4.0,-0.3333,-0.5,0.0808,-0.068,-0.0792,10.0,0.4615,0.1875,218.0,-0.0507,0.0319,1810.0,0.1153,0.3344,564063.0,0.3203,0.5035,42,0.1053,-0.16,0.2923,0.0953,0.1018,0.0
202603,30083,"richland, mt",258500.0,-0.1008,-0.1311,17,-0.0833,-0.3125,77.0,-0.2506,0.0548,4,-0.3333,-0.6667,0,,,0.0,0.0,0.0,2.0,-0.5,-0.5,0.0909,-0.043,0.0076,6.0,-0.0769,-0.1429,190.0,-0.0147,-0.1296,1444.0,-0.0137,-0.0791,321325.0,-0.0349,0.0082,23,-0.0417,-0.2813,0.3636,0.0025,0.072,1.0
202603,30039,"granite, mt",591250.0,0.0799,-0.1493,42,0.137,0.3387,172.0,0.0717,0.0178,12,1.0,2.0,0,,,0.0,0.0,0.0,6.0,2.0,0.5,0.1014,0.0675,0.0039,6.0,-0.1538,-0.0833,386.0,0.1839,-0.0116,1658.0,0.003,-0.1405,857550.0,0.1389,-0.6422,47,0.1059,0.2703,0.1325,-0.0456,-0.061,1.0
202603,30041,"hill, mt",250000.0,0.0188,0.004,41,0.1571,-0.3769,105.0,-0.1399,-0.1931,16,1.0,-0.2,0,,,0.0,0.0,0.0,6.0,2.0,-0.625,0.1035,0.0522,-0.1098,1.0,0.0,,122.0,0.0258,0.0238,2042.0,-0.0113,0.0225,306125.0,0.0973,0.0997,41,0.1389,-0.3692,0.0247,-0.0039,,0.0
202603,30079,"prairie, mt",162450.0,0.0,-0.1171,4,0.0,1.0,178.0,0.1873,0.0441,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,97.0,0.0,-0.2112,1689.0,0.0,-0.2496,159725.0,0.0,-0.1319,4,0.0,0.3333,,,,1.0
202603,30027,"fergus, mt",375000.0,0.0563,0.0,42,-0.0769,-0.125,110.0,0.1366,-0.2551,6,-0.4,-0.25,0,,,0.0,0.0,0.0,12.0,2.0,0.0,0.2759,0.2073,0.069,1.0,0.0,0.0,203.0,0.1303,0.0271,1959.0,0.0062,0.1524,479112.0,0.0563,-0.301,42,-0.0968,-0.1429,0.0238,0.0018,0.003,0.0
