month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,37197,"yadkin, nc",317500.0,0.0201,0.0079,52,-0.028,0.1304,61.0,-0.3622,0.0848,30,1.5,0.25,0,-1.0,,0.0,-0.022,0.0,18.0,0.5,-0.1,0.1313,0.017,-0.0262,39.0,0.2581,0.1143,195.0,0.0224,-0.0179,1634.0,0.0116,0.0619,396529.0,0.0395,0.0651,90,0.0529,0.1329,0.75,0.1706,-0.0109,0.0
202603,37183,"wake, nc",485000.0,0.0141,-0.0047,3296,0.0912,0.1877,43.0,-0.2009,0.0688,2254,0.3845,0.1643,132,-0.2048,0.2692,0.0169,-0.0079,0.0025,1348.0,0.431,-0.026,0.1684,0.0276,-0.0258,2458.0,0.1869,0.0531,231.0,-0.0021,-0.022,2196.0,0.0126,0.0258,688791.0,0.0045,0.0067,5753,0.1304,0.1264,0.7458,0.0601,-0.0953,0.0
202603,37193,"wilkes, nc",394975.0,0.0821,0.162,139,-0.0036,0.3317,83.0,-0.1316,0.0577,52,0.1304,0.0833,0,,,0.0,0.0,0.0,48.0,0.0909,0.5,0.1827,-0.0079,0.0542,71.0,0.1557,0.0217,213.0,-0.01,-0.148,1866.0,0.0452,-0.0475,544320.0,0.0325,-0.0492,209,0.045,0.1875,0.509,0.0702,-0.1544,0.0
202603,37139,"pasquotank, nc",363425.0,-0.0399,-0.0912,123,-0.012,-0.1151,47.0,-0.4611,-0.1343,86,0.1622,0.5357,4,-0.3333,0.0,0.0128,-0.0073,0.0005,42.0,1.625,0.5,0.1278,0.0724,0.0295,127.0,0.2222,0.265,190.0,0.0016,0.0303,1926.0,-0.0515,-0.1044,374669.0,-0.0529,-0.0073,248,0.1074,0.0668,1.0285,0.1971,0.309,0.0
202603,37073,"gates, nc",336150.0,0.0075,0.0505,20,0.0,0.6667,191.0,0.1235,1.8507,2,-0.75,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.0588,0.0,6.0,0.0,-0.25,212.0,0.0081,0.2164,1593.0,0.0863,-0.1983,319309.0,0.0736,-0.0258,27,0.0192,0.325,0.3,0.0,-0.3667,1.0
202603,37031,"carteret, nc",580000.0,0.032,0.0096,607,0.0811,0.1892,67.0,-0.2408,0.0152,226,0.4868,0.2556,2,-0.5,-0.5,0.0019,-0.0026,-0.0024,128.0,0.28,-0.0857,0.1225,0.0123,-0.0295,223.0,0.2458,0.0045,374.0,0.0679,0.1236,1788.0,-0.0188,-0.0463,802980.0,0.0066,0.0074,830,0.1202,0.1347,0.3677,0.0486,-0.0676,0.0
202603,37137,"pamlico, nc",433450.0,-0.1329,-0.0718,96,-0.0254,0.2468,116.0,0.0132,0.1667,26,0.0,0.0833,0,,,0.0,0.0,0.0,24.0,0.5,0.5,0.1629,0.0463,0.0349,26.0,0.186,0.5938,260.0,0.0103,-0.0057,1742.0,-0.0465,-0.0137,530440.0,-0.0619,-0.0514,124,0.0335,0.328,0.2656,0.0474,0.0578,0.0
202603,37163,"sampson, nc",296556.0,0.0053,0.0056,124,-0.004,0.0248,74.0,-0.0665,0.3288,42,0.75,0.1667,0,-1.0,,0.0,-0.0099,0.0,22.0,-0.2667,-0.3889,0.1054,-0.046,-0.0613,52.0,0.2716,0.0729,161.0,0.0017,0.0286,1815.0,0.0611,-0.0114,327163.0,0.0443,0.0155,175,0.048,0.0265,0.4153,0.09,0.0186,0.0
202603,37189,"watauga, nc",629500.0,-0.0008,-0.059,292,0.0658,0.0836,84.0,-0.269,0.239,108,0.7419,0.0385,0,-1.0,,0.0,-0.0047,0.0,56.0,1.0,-0.0667,0.1131,0.0454,-0.0068,97.0,0.1914,-0.1609,359.0,0.0501,0.0176,1874.0,-0.0117,-0.0284,913923.0,0.0223,0.0017,389,0.1004,0.0157,0.331,0.0349,-0.0965,0.0
202603,37019,"brunswick, nc",449350.0,0.0156,-0.0009,2199,0.0532,0.2289,64.0,-0.2147,0.1034,862,0.1841,0.2175,70,0.129,0.0938,0.0167,0.0002,-0.0021,728.0,0.1304,0.2381,0.1792,0.0114,0.0107,1112.0,0.1899,0.1464,237.0,-0.0003,-0.0216,1874.0,-0.004,0.0185,610447.0,0.026,-0.0041,3305,0.0893,0.1995,0.5058,0.0581,-0.0364,0.0
202603,37129,"new hanover, nc",527375.0,-0.0135,-0.0394,1112,0.0951,0.0972,51.0,-0.2574,0.0745,544,0.2143,0.0382,16,1.6667,-0.3333,0.0073,0.0043,-0.0036,394.0,0.2961,0.0591,0.1816,0.0296,0.0015,548.0,0.1027,-0.0344,307.0,0.007,0.0472,1738.0,0.0081,-0.0518,805977.0,0.0349,0.0793,1658,0.0984,0.05,0.4926,0.0034,-0.0671,0.0
202603,37099,"jackson, nc",690000.0,0.004,-0.1375,348,0.103,0.3647,102.0,-0.2158,0.1695,112,1.0,0.12,0,-1.0,-1.0,0.0,-0.0088,-0.009,52.0,0.5294,0.8571,0.0982,0.0204,0.0312,70.0,0.0611,-0.0479,292.0,-0.0337,-0.0595,1879.0,0.0252,0.0182,1320693.0,-0.0099,-0.0645,416,0.0863,0.2706,0.1997,-0.0079,-0.0866,1.0
202603,37039,"cherokee, nc",352450.0,-0.0329,-0.0182,298,0.0494,0.1486,85.0,-0.2143,0.3975,92,0.5333,0.15,0,,-1.0,0.0,0.0,-0.0095,68.0,0.0303,0.1333,0.1446,-0.0174,0.0021,64.0,0.0672,-0.1301,238.0,0.0019,-0.0868,1453.0,-0.0141,0.0878,415248.0,-0.0115,-0.1454,362,0.0585,0.097,0.2134,0.0036,-0.0684,0.0
202603,37081,"guilford, nc",320000.0,-0.0164,-0.0922,1264,0.1162,0.3689,52.0,-0.189,0.1444,722,0.2535,0.1645,8,0.0,-0.6667,0.003,-0.0005,-0.0083,504.0,0.509,0.4651,0.1903,0.0462,0.0286,688.0,0.1883,-0.0627,183.0,-0.0066,0.0556,1836.0,-0.0221,-0.0604,420929.0,-0.0147,-0.0436,1969,0.1525,0.1883,0.5445,0.033,-0.2507,0.0
202603,37187,"washington, nc",187900.0,0.033,-0.0698,29,0.2609,-0.0938,74.0,-0.3125,-0.4244,10,0.0,0.25,0,,,0.0,0.0,0.0,4.0,0.0,-0.6667,0.0843,0.0025,-0.2315,12.0,-0.1481,0.9167,120.0,0.0681,0.0718,1688.0,0.0491,0.0821,222761.0,0.0626,0.1139,41,0.125,0.0658,0.3966,-0.1904,0.2091,0.0
202603,37167,"stanly, nc",350000.0,-0.0086,0.0787,250,0.0331,0.2195,68.0,-0.25,0.3515,96,0.0213,0.0,10,0.0,,0.0227,-0.0031,0.0227,92.0,-0.1154,0.15,0.2013,-0.0466,-0.0098,112.0,0.3023,0.2444,189.0,0.003,0.0106,1735.0,-0.0322,0.0307,439870.0,-0.0061,0.0476,364,0.1098,0.2509,0.448,0.0926,0.009,0.0
202603,37175,"transylvania, nc",625000.0,0.006,-0.0741,255,0.1039,0.4489,107.0,-0.1157,0.4267,104,1.3636,0.5294,0,,,0.0,0.0,0.0,52.0,0.5294,0.3,0.1208,0.0201,-0.0152,58.0,-0.0569,-0.1343,323.0,0.0036,0.0292,1938.0,-0.0004,-0.0672,1192901.0,0.0232,-0.067,315,0.0771,0.3214,0.2275,-0.0388,-0.1532,0.0
