month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,38073,"ransom, nd",97500.0,-0.0488,-0.7451,12,-0.0417,0.9167,148.0,0.2343,0.2882,0,-1.0,,0,,,0.0,0.0,0.0,2.0,,,0.1111,0.1111,0.1111,7.0,0.5556,6.0,83.0,-0.0437,-0.3843,1320.0,0.0701,-0.56,162635.0,0.0073,-0.5604,18,0.0909,1.5714,0.6087,0.2337,0.442,1.0
202603,38049,"mchenry, nd",90800.0,-0.1023,0.0089,9,-0.2917,0.7,133.0,0.1229,0.274,4,1.0,,0,,,0.0,0.0,0.0,2.0,0.0,,0.1053,-0.0376,0.1053,7.0,2.25,0.625,69.0,-0.0805,0.0857,1798.0,-0.1034,-0.2655,123558.0,-0.1984,-0.278,15,0.0714,0.5,0.7647,0.598,-0.0353,0.0
202603,38051,"mcintosh, nd",147875.0,0.0025,-0.0641,15,-0.0938,1.0714,116.0,0.2314,-0.0473,0,-1.0,-1.0,0,,,0.0,0.0,0.0,4.0,,,0.1861,0.1861,0.1861,4.0,-0.3,2.5,85.0,0.0044,-0.2723,1653.0,0.0302,0.1832,204527.0,0.0435,-0.0656,18,-0.1667,0.9444,0.2414,-0.0711,0.0985,1.0
202603,38097,"traill, nd",231500.0,0.1159,0.1575,19,0.2258,0.3571,96.0,-0.0861,-0.1396,8,,1.0,0,,,0.0,0.0,0.0,2.0,-0.5,-0.5,0.0526,-0.1335,-0.0955,6.0,-0.0833,-0.2143,113.0,0.3085,0.428,1644.0,-0.0201,-0.3382,223698.0,0.0793,-0.1012,23,0.0698,0.0455,0.2895,-0.0976,-0.2105,1.0
202603,38035,"grand forks, nd",458500.0,-0.04,0.2228,83,-0.012,-0.0407,92.0,-0.3015,0.5508,66,0.9412,0.0313,8,3.0,,0.0363,0.0245,0.0363,10.0,0.0,-0.5,0.0454,-0.0131,-0.0387,73.0,0.292,-0.0875,180.0,-0.0176,0.057,2494.0,0.022,0.1723,506266.0,-0.0329,0.2931,155,0.1236,-0.0693,0.8848,0.2082,-0.0454,0.0
202603,38055,"mclean, nd",309500.0,-0.0399,-0.0618,27,0.0816,-0.0185,101.0,0.1163,-0.1875,12,1.0,2.0,0,,,0.0,0.0,0.0,6.0,2.0,0.5,0.1354,0.0919,0.0242,8.0,0.3333,0.6,126.0,-0.0175,-0.3054,2118.0,-0.0618,0.0322,436211.0,-0.1484,-0.2844,35,0.1667,0.0606,0.3019,0.057,0.1167,1.0
202603,38003,"barnes, nd",239900.0,-0.0588,-0.1582,16,-0.0857,-0.2,100.0,0.1077,0.1139,4,-0.3333,0.0,0,,,0.0,0.0,0.0,6.0,0.5,0.5,0.1843,0.0682,0.0553,14.0,0.3333,1.0,130.0,0.0238,0.0174,2099.0,0.0391,0.0596,297240.0,0.0534,0.0789,30,0.0526,0.0714,0.875,0.275,0.525,1.0
202603,38017,"cass, nd",398750.0,0.0033,-0.0479,473,0.0205,-0.1109,68.0,-0.1758,0.0,220,0.4667,-0.0678,6,-0.6667,-0.7,0.0059,-0.0141,-0.014,116.0,0.3182,0.3182,0.1131,0.0155,0.025,343.0,0.2142,0.4351,197.0,0.0053,0.0847,1991.0,0.0038,-0.0727,506011.0,0.0159,0.0135,822,0.0983,0.0655,0.7252,0.1157,0.2759,0.0
202603,38045,"lamoure, nd",174950.0,-0.2442,-0.0414,8,0.2308,1.0,49.0,1.2558,-0.6394,0,-1.0,,0,,,0.0,0.0,0.0,2.0,,,0.1818,0.1818,0.1818,3.0,-0.375,-0.1667,141.0,-0.0767,0.4964,2321.0,-0.1542,-0.0701,377267.0,-0.2184,1.203,11,0.05,0.5,0.3125,-0.3029,-0.4375,1.0
202603,38061,"mountrail, nd",246250.0,-0.4917,-0.1789,8,-0.1176,-0.25,64.0,0.477,-0.0551,6,2.0,,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.25,5.0,2.0,0.5,130.0,-0.0408,-0.0346,2298.0,-0.0852,0.058,404085.0,-0.3107,0.0942,12,0.2,-0.0769,0.6,0.4235,0.3,1.0
202603,38037,"grant, nd",117475.0,0.068,-0.5205,6,1.2,-0.3125,24.0,-0.6619,-0.8,4,,0.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,,-0.3333,57.0,0.0007,-0.5464,1662.0,-0.1984,-0.2528,110822.0,0.0081,-0.6422,6,1.4,-0.3333,0.1818,,-0.0057,1.0
