month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,31013,"box butte, ne",181000.0,0.1037,0.0343,24,0.0,0.3333,75.0,-0.0197,-0.2199,12,0.5,0.5,0,,,0.0,0.0,0.0,4.0,-0.3333,-0.5,0.0981,-0.0388,-0.1305,10.0,-0.0909,-0.2857,118.0,0.0825,-0.0208,1362.0,-0.0489,-0.1269,188252.0,0.0988,0.0221,34,-0.029,0.0806,0.4167,-0.0417,-0.3611,0.0
202603,31139,"pierce, ne",501738.0,0.2315,1.3239,10,0.1176,-0.3214,42.0,-0.1309,-0.6732,4,0.0,0.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,-0.5,-0.7143,193.0,0.1481,0.7022,2229.0,0.1351,0.3776,816603.0,0.4655,2.3709,12,-0.04,-0.4,0.2105,-0.2601,-0.2895,1.0
202603,31147,"richardson, ne",179925.0,0.045,0.1837,35,0.129,0.4583,68.0,-0.3358,-0.2816,14,0.75,0.75,0,,,0.0,0.0,0.0,2.0,0.0,,0.0526,0.0039,0.0526,6.0,1.75,0.1,84.0,-0.0163,0.0602,2038.0,0.0007,0.2688,316353.0,0.225,0.946,41,0.2656,0.3966,0.1571,0.0926,-0.0512,1.0
202603,31019,"buffalo, ne",399175.0,0.0939,0.1244,61,-0.0472,0.2604,53.0,-0.2977,-0.0094,38,0.1875,0.1875,0,,,0.0,0.0,0.0,14.0,0.1667,0.1667,0.0954,-0.0042,0.0154,60.0,0.4512,0.0818,153.0,0.0402,0.0944,2598.0,0.0308,-0.0272,462658.0,0.134,0.178,120,0.1483,0.1321,0.9835,0.3378,-0.1624,0.0
202603,31041,"custer, ne",213650.0,0.0238,-0.0354,35,0.0145,0.0,89.0,-0.3251,-0.515,12,0.2,2.0,0,,,0.0,0.0,0.0,4.0,0.0,,0.0858,-0.0026,0.0858,7.0,0.5556,1.3333,95.0,0.024,-0.0097,2091.0,-0.0361,-0.0849,214060.0,-0.0057,-0.3753,42,0.05,0.1053,0.2,0.0696,0.1143,1.0
202603,31119,"madison, ne",314900.0,-0.0058,0.0453,101,0.0924,0.1824,54.0,-0.2941,-0.1628,42,0.2353,-0.125,0,,,0.0,0.0,0.0,26.0,-0.1333,0.3,0.1329,-0.0617,-0.0058,44.0,0.2609,0.1447,149.0,-0.0177,-0.0034,1930.0,-0.0302,-0.0143,386626.0,-0.037,0.2116,145,0.1462,0.1885,0.4328,0.0578,-0.0142,0.0
202603,31023,"butler, ne",254225.0,0.0713,-0.0222,23,-0.0816,-0.0217,72.0,0.5131,-0.5068,6,2.0,0.5,0,,,0.0,0.0,0.0,4.0,0.0,-0.5,0.1145,-0.0125,-0.2188,9.0,0.0588,3.5,169.0,0.0058,-0.0499,1376.0,-0.0117,-0.1526,262298.0,0.0768,-0.0244,32,-0.0308,0.26,0.4,0.0531,0.313,0.0
202603,31029,"chase, ne",281000.0,-0.0618,0.0849,17,0.2143,0.1333,101.0,-0.1855,-0.301,6,-0.25,0.5,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,0.25,-0.1667,110.0,-0.0875,0.0077,2413.0,0.0259,0.0365,285252.0,-0.0593,-0.0798,20,0.25,0.1111,0.1471,0.0042,-0.0529,0.0
202603,31161,"sheridan, ne",85000.0,0.1151,-0.4516,23,0.2105,1.0909,114.0,0.0365,0.2074,4,1.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,71.0,0.0202,-0.1693,1195.0,0.007,-0.3599,161409.0,0.1126,-0.1443,23,0.2105,0.6429,,,,1.0
202603,31153,"sarpy, ne",492988.0,0.0242,0.16,460,0.0011,-0.1967,54.0,0.07,-0.1894,336,0.4118,0.5,26,-0.381,-0.5938,0.0192,-0.016,-0.0295,80.0,0.2121,-0.2,0.0585,0.0039,-0.0115,569.0,0.1114,0.0996,190.0,0.0022,0.0102,2573.0,0.0143,0.0927,521847.0,0.0205,0.1039,1025,0.0567,-0.0579,1.2372,0.1228,0.3334,0.0
202603,31143,"polk, ne",157200.0,0.8604,-0.5476,9,0.0625,1.8333,189.0,0.1459,2.1949,6,2.0,,0,,,0.0,0.0,0.0,2.0,,,0.1,0.1,0.1,6.0,0.375,4.5,90.0,0.4964,-0.5127,1844.0,0.0955,0.1273,166917.0,0.1501,-0.4609,13,0.1304,2.25,0.6471,0.1471,0.3137,1.0
202603,31035,"clay, ne",175000.0,-0.0385,-0.0909,12,0.0,-0.4,161.0,0.3522,0.0078,4,1.0,0.0,0,,,0.0,0.0,0.0,4.0,,0.0,0.1752,0.1752,0.0502,5.0,-0.5455,0.0,73.0,-0.1861,-0.1516,2285.0,0.0953,0.0462,205345.0,-0.0636,-0.3803,17,-0.2609,-0.3462,0.4167,-0.5,0.1667,0.0
202603,31123,"morrill, ne",247750.0,-0.0241,0.0327,11,0.0,-0.3438,108.0,0.1911,1.5294,6,2.0,-0.25,0,,,0.0,0.0,0.0,6.0,,,0.26,0.26,0.26,6.0,0.8333,0.8333,143.0,-0.0042,-0.1322,1563.0,-0.0161,0.0344,264615.0,-0.0516,-0.221,16,0.1429,-0.2,0.5238,0.2381,0.3363,1.0
202603,31167,"stanton, ne",239000.0,0.0302,0.0258,16,0.2917,0.2917,61.0,-0.3495,-0.4424,10,,1.5,0,,,0.0,0.0,0.0,4.0,-0.3333,0.0,0.1667,-0.1488,0.0,5.0,0.0,0.0,155.0,0.1868,0.2842,1609.0,-0.1046,-0.0502,267257.0,0.0713,0.0805,20,0.2121,0.1765,0.3226,-0.0941,-0.0941,1.0
202603,31169,"thayer, ne",198250.0,-0.0864,-0.138,18,0.0909,0.2857,116.0,0.0814,0.7614,6,0.5,0.5,0,,,0.0,0.0,0.0,6.0,,,0.2534,0.2534,0.2534,1.0,-0.75,-0.6667,116.0,-0.1164,0.0741,1496.0,-0.0103,-0.1179,207767.0,-0.0402,-0.103,19,-0.0732,0.1176,0.0556,-0.1869,-0.1587,1.0
202603,31073,"gosper, ne",499000.0,0.0278,0.3307,11,0.0,0.0,139.0,0.2534,-0.0036,0,,-1.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1333,0.0,1.0,-0.6,-0.5,309.0,0.1492,0.2773,1394.0,0.0,0.0674,591727.0,0.0303,0.2467,12,-0.1429,0.0,0.0909,-0.1364,-0.0909,1.0
202603,31145,"red willow, ne",266750.0,0.1712,0.4462,39,0.1846,0.0694,35.0,-0.4639,-0.6289,14,-0.4167,0.1667,0,,,0.0,0.0,0.0,4.0,-0.3333,-0.5,0.0607,-0.0114,-0.0821,18.0,0.1667,0.0938,118.0,0.1511,0.3272,2086.0,0.0186,-0.0081,300544.0,0.1378,0.4885,56,0.1684,0.0673,0.4545,-0.007,0.0101,1.0
202603,31011,"boone, ne",252500.0,0.0275,-0.1984,24,0.0217,0.5667,106.0,-0.0722,1.4651,4,1.0,-0.5,0,,,0.0,0.0,0.0,4.0,-0.3333,0.0,0.1201,-0.083,0.0175,3.0,-0.25,-0.7,163.0,-0.0035,0.0088,1504.0,-0.0357,-0.1085,268425.0,0.0108,-0.1741,27,-0.0185,0.06,0.1277,-0.0463,-0.539,1.0
