month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,33007,"coos, nh",296000.0,0.0,-0.159,134,-0.107,0.0269,125.0,0.0375,0.1971,36,0.6364,-0.1818,0,,,0.0,0.0,0.0,34.0,1.8333,0.4167,0.1573,0.1039,0.0492,58.0,0.2083,0.3182,175.0,-0.0291,-0.0257,1603.0,0.0088,-0.1397,369975.0,-0.0127,-0.1148,193,-0.0327,0.1063,0.4345,0.1134,0.096,1.0
202603,33013,"merrimack, nh",537450.0,0.0075,-0.0046,169,0.0799,0.4444,42.0,-0.2455,0.1419,156,0.5918,0.2188,4,0.0,0.0,0.0084,-0.0025,-0.001,38.0,0.5833,0.9,0.0764,0.0145,0.0283,161.0,0.1715,-0.0031,276.0,-0.0052,-0.0291,2013.0,0.0249,0.0539,649924.0,-0.0105,-0.0016,331,0.1338,0.2062,0.9497,0.0743,-0.4264,0.0
202603,33015,"rockingham, nh",699950.0,0.0,0.0033,424,0.0708,0.0641,49.0,-0.2788,0.0778,388,0.6303,0.2278,6,0.5,-0.625,0.0052,0.0012,-0.0086,60.0,-0.0323,0.0,0.0519,-0.0113,0.0025,418.0,0.0774,-0.0639,391.0,-0.0092,0.002,1896.0,0.0072,-0.0008,932163.0,0.0131,-0.0499,840,0.0825,-0.0083,0.9858,0.0061,-0.1348,0.0
202603,33001,"belknap, nh",682450.0,0.0348,0.0919,201,0.0663,0.3958,53.0,-0.29,0.0758,104,0.3684,0.2381,2,0.0,,0.005,0.0001,0.005,44.0,0.5714,0.5714,0.1121,0.031,0.0278,102.0,0.2012,-0.0049,344.0,0.0691,-0.082,1985.0,0.0025,0.1694,1084988.0,0.0552,0.215,298,0.0797,0.2065,0.505,0.0567,-0.2034,0.0
202603,33005,"cheshire, nh",509250.0,-0.0736,-0.0063,98,0.1747,0.1607,57.0,-0.3363,-0.0044,72,0.8,0.2,0,,,0.0,0.0,0.0,26.0,2.25,0.0833,0.1168,0.0761,0.0155,69.0,-0.098,-0.1687,262.0,0.008,0.0285,1863.0,-0.0815,-0.0396,724576.0,-0.0807,0.2451,167,0.0374,-0.003,0.7077,-0.214,-0.2804,0.0
202603,33011,"hillsborough, nh",549000.0,-0.0018,-0.0281,302,0.0787,0.1208,35.0,-0.0417,0.1695,370,0.3214,0.0054,8,-0.2,0.0,0.0073,-0.0029,-0.0008,76.0,0.3571,0.1176,0.0717,0.0143,0.0026,425.0,0.0983,0.2198,304.0,-0.0039,0.0232,1917.0,-0.0049,-0.0505,685454.0,-0.0136,-0.015,725,0.0845,0.1712,1.408,0.0251,0.1143,0.0
202603,33019,"sullivan, nh",492000.0,0.001,0.1659,49,-0.049,-0.2177,52.0,-0.2695,-0.0096,26,-0.2353,-0.35,0,,,0.0,0.0,0.0,4.0,-0.7143,-0.75,0.0331,-0.0838,-0.0657,47.0,0.1772,-0.07,266.0,0.0772,0.1906,1831.0,-0.0324,-0.0188,600406.0,-0.0342,-0.0081,97,0.0722,-0.1609,0.9588,0.1843,0.1523,0.0
202603,33003,"carroll, nh",649725.0,0.0161,0.0741,161,0.0,-0.0776,75.0,-0.1667,0.3393,82,0.4138,-0.0238,0,,,0.0,0.0,0.0,26.0,-0.1333,-0.35,0.076,-0.0157,-0.0424,99.0,-0.088,0.0051,341.0,0.0037,0.0597,1835.0,0.0321,-0.0169,973572.0,0.0177,-0.1108,263,-0.0169,-0.0278,0.6137,-0.0592,0.0505,0.0
202603,33017,"strafford, nh",584950.0,0.1528,0.0087,120,0.1327,0.3132,45.0,-0.2149,-0.0677,120,0.9355,0.0714,6,-0.25,0.5,0.0169,-0.0094,0.0053,28.0,0.2727,0.4,0.0769,0.0092,0.0154,138.0,-0.0248,-0.0317,324.0,-0.0132,-0.0091,1832.0,0.1023,-0.0135,701910.0,0.0937,-0.0758,255,0.0346,0.1114,1.1506,-0.1859,-0.4098,0.0
202603,33009,"grafton, nh",449900.0,0.0032,-0.0528,313,0.151,0.3075,63.0,-0.3472,0.0678,142,0.5435,0.2241,4,0.0,0.0,0.0064,-0.0019,-0.0018,46.0,0.7692,-0.0417,0.0791,0.0248,-0.0181,121.0,0.0299,-0.0659,289.0,0.0089,0.0148,1661.0,0.0228,0.0067,631927.0,-0.0344,-0.0556,433,0.1088,0.1831,0.3856,-0.0453,-0.1541,0.0
202602,33009,"grafton, nh",448475.0,0.0193,-0.0598,272,0.0056,0.1504,97.0,-0.0052,0.2697,92,0.2778,-0.0612,4,0.0,1.0,0.0083,0.0006,0.0041,26.0,-0.35,-0.5,0.0543,-0.0242,-0.0644,117.0,0.1471,0.1527,287.0,0.0082,0.0081,1624.0,-0.0073,-0.0249,654419.0,0.0445,-0.0389,391,0.0413,0.157,0.4309,0.0532,0.0009,0.0
202602,33003,"carroll, nh",639450.0,0.0659,0.0954,161,-0.1935,-0.0587,90.0,0.0345,0.0056,58,0.1154,-0.2564,0,,-1.0,0.0,0.0,-0.0116,30.0,-0.1667,0.0714,0.0917,-0.0051,0.0105,108.0,0.2135,0.1934,340.0,0.0471,0.0615,1778.0,-0.0517,-0.0248,956661.0,0.1051,-0.0599,267,-0.0664,0.0171,0.6729,0.2257,0.1421,0.0
202602,33011,"hillsborough, nh",550000.0,0.0018,-0.0455,280,-0.0395,0.2286,36.0,-0.3333,-0.0649,280,0.1475,0.1864,10,-0.375,0.6667,0.0101,-0.0077,0.0023,56.0,-0.125,0.2727,0.0574,-0.0138,-0.0004,387.0,0.1235,0.2368,305.0,0.0145,0.0003,1926.0,0.0137,-0.0635,694936.0,0.0301,-0.0048,669,0.0594,0.2345,1.3828,0.2007,0.0092,0.0
202602,33017,"strafford, nh",507425.0,-0.024,-0.1208,106,-0.2185,0.0765,57.0,-0.1679,0.2128,62,-0.1842,-0.1143,8,,,0.0263,0.0263,0.0263,22.0,-0.3125,0.0,0.0678,-0.0216,-0.0072,141.0,0.1557,0.1653,328.0,0.0212,0.0135,1662.0,-0.0546,-0.0975,641768.0,-0.0149,-0.1618,246,-0.0315,0.1156,1.3365,0.4328,0.1018,1.0
202602,33019,"sullivan, nh",491500.0,0.0261,0.112,51,-0.0893,-0.15,71.0,-0.1402,0.1325,34,0.7,-0.0556,0,,,0.0,0.0,0.0,14.0,0.1667,0.1667,0.1169,0.0047,0.0403,40.0,0.1286,-0.3417,247.0,0.0226,0.1214,1892.0,-0.0196,-0.0559,621656.0,-0.0139,0.1237,90,0.0112,-0.2469,0.7745,0.1495,-0.2255,0.0
202602,33007,"coos, nh",296000.0,0.059,-0.128,150,-0.0828,0.1157,120.0,0.1163,0.0984,22,-0.45,0.1,0,,,0.0,0.0,0.0,12.0,-0.5714,-0.4,0.0535,-0.0518,-0.0492,48.0,0.0213,0.1852,180.0,-0.0013,-0.0181,1589.0,-0.0141,-0.1016,374745.0,0.0181,-0.0997,199,-0.0524,0.1404,0.3211,0.0327,0.0188,1.0
202602,33013,"merrimack, nh",533475.0,-0.0075,-0.0202,157,-0.0685,0.2934,56.0,-0.2381,0.3023,98,-0.0577,-0.0755,4,,0.0,0.0109,0.0109,0.0003,24.0,-0.25,0.3333,0.0619,-0.0156,0.0143,137.0,0.1138,-0.0987,278.0,-0.0089,-0.0099,1964.0,0.0272,0.001,656842.0,-0.012,0.019,292,0.0017,0.0658,0.8754,0.1433,-0.3808,0.0
