month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,34033,"salem, nj",294950.0,0.0443,-0.0562,170,-0.0059,0.0728,64.0,-0.1405,0.2123,86,0.6538,-0.0652,4,,0.0,0.0118,0.0118,0.0006,38.0,0.0556,-0.2083,0.1104,-0.0105,-0.0246,89.0,0.0289,-0.101,195.0,0.0412,0.0957,1550.0,0.0098,-0.1396,319738.0,0.0154,-0.2108,259,0.0078,0.0078,0.5251,0.0177,-0.1015,0.0
202603,34015,"gloucester, nj",377250.0,-0.0136,0.0196,431,0.0763,-0.0497,35.0,-0.1195,-0.0278,300,0.0949,-0.0964,6,0.5,-0.625,0.0053,0.0016,-0.0069,116.0,0.1373,-0.1714,0.0992,0.0052,-0.0105,409.0,-0.0133,-0.1128,224.0,-0.0173,0.0482,1721.0,0.005,-0.0108,448563.0,-0.0218,0.0968,839,0.0244,-0.0841,0.9501,-0.0862,-0.0676,0.0
202603,34009,"cape may, nj",892225.0,0.0559,0.0509,836,0.0986,-0.0147,57.0,-0.2803,0.0865,322,0.0878,-0.1344,8,3.0,-0.6,0.0055,0.0041,-0.0069,152.0,0.3818,-0.2083,0.0966,0.0189,-0.0222,387.0,0.098,-0.1032,668.0,0.0193,-0.0093,1625.0,0.037,-0.0157,1648795.0,0.0598,0.0785,1216,0.0955,-0.0425,0.4626,-0.0003,-0.0457,0.0
202603,34037,"sussex, nj",428500.0,0.0082,0.0714,340,0.0744,0.0847,44.0,-0.1111,0.1429,224,0.5556,0.0182,2,-0.5,-0.5,0.0026,-0.0035,-0.0029,58.0,0.7059,0.3182,0.0734,0.0229,0.0101,218.0,0.0382,0.0985,265.0,0.0324,0.0126,1917.0,0.0221,0.053,544390.0,0.0044,-0.0243,555,0.0571,0.0904,0.6406,-0.0223,0.0081,0.0
202603,34021,"mercer, nj",439900.0,0.0231,-0.0224,576,0.1684,0.159,40.0,-0.319,0.3621,356,0.7624,-0.0729,8,1.0,0.0,0.0056,0.0019,-0.0011,128.0,0.3333,0.0667,0.0964,0.0086,0.0095,436.0,0.0468,0.0,289.0,0.0137,0.0748,1575.0,0.0211,-0.0458,674908.0,0.0079,-0.0668,1003,0.1157,0.0885,0.7569,-0.0879,-0.1203,0.0
202603,34019,"hunterdon, nj",684900.0,0.0054,-0.0202,228,0.1519,0.2781,34.0,-0.4508,0.0469,142,0.6136,0.0758,0,-1.0,,0.0,-0.0049,0.0,26.0,0.4444,-0.2778,0.049,0.0066,-0.0248,156.0,0.1825,-0.0281,307.0,-0.0174,0.0229,2583.0,0.0501,0.0243,869989.0,-0.0108,-0.1731,376,0.1623,0.1257,0.6835,0.0177,-0.2154,0.0
202603,34025,"monmouth, nj",827495.0,0.0216,-0.0258,1187,0.1469,0.0617,39.0,-0.2143,0.0694,850,0.5683,0.1303,16,-0.3333,1.0,0.0053,-0.0041,0.0025,192.0,0.4118,-0.0943,0.0612,0.0069,-0.0139,999.0,0.0812,-0.0677,416.0,0.0141,0.0273,1943.0,0.0352,-0.0412,1358782.0,-0.0051,0.0208,2173,0.1109,-0.0005,0.8412,-0.0511,-0.1168,0.0
202603,34041,"warren, nj",421950.0,0.0557,0.0356,204,0.2259,0.1181,30.0,-0.4714,-0.0625,162,1.0769,0.2656,0,-1.0,,0.0,-0.0057,0.0,42.0,0.4,0.5,0.0852,-0.0004,0.0155,117.0,0.0939,0.0219,242.0,0.0018,0.0617,1870.0,0.0171,-0.1037,494011.0,0.0206,-0.0294,321,0.1758,0.1146,0.5725,-0.0691,-0.0539,0.0
202603,34005,"burlington, nj",399450.0,0.0002,0.0011,819,0.1282,0.2019,35.0,0.0,0.3725,580,0.45,0.0432,16,-0.3333,0.0,0.0079,-0.006,-0.0003,238.0,0.4,0.19,0.1231,0.0246,0.0087,614.0,0.0346,-0.0733,240.0,0.0094,0.0172,1700.0,-0.0048,-0.0125,519711.0,0.0142,-0.0062,1428,0.0918,0.0685,0.7495,-0.0678,-0.2226,0.0
202603,34029,"ocean, nj",535000.0,0.0095,-0.1082,1965,0.095,0.16,49.0,-0.0762,0.2763,1056,0.5529,0.0435,12,0.5,-0.25,0.0028,0.0005,-0.001,474.0,0.529,0.1179,0.1107,0.0256,0.0051,1191.0,0.0788,-0.0814,314.0,0.0035,-0.0166,1618.0,-0.0019,-0.108,892916.0,0.0178,-0.0323,3124,0.091,0.0501,0.6059,-0.0091,-0.1592,1.0
202603,34035,"somerset, nj",634225.0,0.0531,-0.0604,397,0.2234,0.1375,25.0,-0.2937,-0.0648,350,0.6509,0.1364,4,,,0.0035,0.0035,0.0035,60.0,0.1111,0.25,0.0558,-0.0125,0.0047,294.0,0.1575,-0.1742,341.0,0.0054,0.0284,1893.0,0.0069,-0.0265,1003522.0,0.0074,0.0296,682,0.1904,-0.0123,0.7406,-0.0422,-0.2795,0.0
202603,34011,"cumberland, nj",299999.0,-0.0114,0.0003,302,0.0273,0.0117,58.0,-0.0211,0.3182,122,0.3261,-0.1528,8,1.0,,0.0146,0.0071,0.0146,86.0,0.0238,-0.0652,0.1429,-0.0146,-0.0149,146.0,0.0104,-0.0581,203.0,-0.0143,0.0106,1435.0,-0.0081,-0.0484,343013.0,-0.0427,0.0035,450,0.0274,-0.0143,0.4842,-0.0081,-0.0359,0.0
202603,34003,"bergen, nj",795750.0,0.0038,-0.0041,1175,0.1605,0.1565,27.0,-0.28,0.0385,854,0.5933,0.1296,8,1.0,0.0,0.0038,0.0015,-0.0005,134.0,0.4255,0.0806,0.0603,0.0059,-0.0031,182.0,0.0028,-0.0447,423.0,-0.002,0.0265,1895.0,0.0305,0.0077,1385955.0,-0.0355,-0.0251,1350,0.1331,0.1302,0.1545,-0.0243,-0.0325,0.0
202603,34031,"passaic, nj",549450.0,-0.0305,0.0711,403,0.1941,0.1923,25.0,-0.2826,0.0532,330,0.701,0.162,0,-1.0,-1.0,0.0,-0.0051,-0.0047,48.0,0.0,0.0909,0.0485,-0.0142,-0.0062,255.0,0.1512,0.1333,327.0,0.0741,0.07,1768.0,0.0,0.019,604385.0,-0.0092,0.0512,652,0.202,0.1676,0.6328,-0.0235,-0.0329,0.0
202603,34017,"hudson, nj",599450.0,0.0041,-0.056,1019,0.1633,0.1548,38.0,-0.0854,0.0135,488,0.3631,-0.0687,14,6.0,0.1667,0.0068,0.0057,0.0,160.0,0.5094,0.1429,0.0786,0.0183,0.0124,587.0,0.0262,0.0182,547.0,0.0096,-0.0445,1074.0,0.0214,-0.0329,755294.0,0.0342,-0.014,1579,0.1073,0.0973,0.5758,-0.0769,-0.0772,0.0
202603,34013,"essex, nj",561700.0,0.0283,-0.0316,688,0.1017,0.07,30.0,-0.1933,-0.0242,526,0.538,-0.054,10,0.6667,-0.1667,0.0064,0.0016,-0.0018,92.0,0.2432,0.2778,0.0602,0.0022,0.0153,394.0,0.1835,-0.0806,340.0,0.0226,0.0353,1981.0,-0.0121,-0.0707,886535.0,-0.0038,-0.0547,1058,0.142,0.01,0.5719,0.0395,-0.0937,0.0
202603,34023,"middlesex, nj",549699.0,0.0133,0.0161,1148,0.1491,0.2884,32.0,-0.2644,0.0667,772,0.582,0.2781,20,1.5,0.25,0.0072,0.0035,0.0,218.0,0.2674,0.473,0.0822,0.0082,0.0197,886.0,0.1359,0.0314,352.0,0.0126,0.04,1574.0,0.0104,-0.0273,629649.0,0.0084,0.0381,1998,0.1405,0.175,0.7718,-0.009,-0.1923,0.0
202603,34001,"atlantic, nj",399900.0,0.0011,-0.0222,1103,0.057,0.0435,58.0,-0.0833,0.2554,422,0.2412,-0.0983,12,-0.25,-0.7,0.0062,-0.0026,-0.0135,254.0,0.4941,0.0242,0.1308,0.036,0.0072,487.0,0.0919,-0.0706,246.0,0.0069,-0.0704,1614.0,0.0757,0.0511,677389.0,0.0003,-0.0814,1574,0.0693,0.0032,0.4415,0.0141,-0.0542,0.0
202603,34007,"camden, nj",362425.0,0.0188,0.0663,795,0.0461,0.2679,36.0,-0.1548,0.3654,574,0.4569,0.0551,28,-0.3913,0.75,0.0137,-0.012,0.0047,176.0,-0.0435,0.0732,0.0831,-0.0228,-0.0085,696.0,0.1208,0.0757,218.0,0.0025,0.0049,1587.0,-0.0074,0.0152,407423.0,0.0158,0.0328,1497,0.0915,0.1802,0.8755,0.0584,-0.1564,0.0
202603,34039,"union, nj",599500.0,0.0008,0.0008,503,0.1471,0.1863,30.0,-0.1973,0.2041,354,0.292,-0.1061,8,0.0,-0.3333,0.0066,-0.0011,-0.0032,62.0,0.4091,0.1923,0.0505,0.0091,0.0081,344.0,0.0922,-0.0961,363.0,0.009,-0.0166,1971.0,0.0251,0.0242,758222.0,0.0778,-0.0213,843,0.1286,0.0558,0.6829,-0.0343,-0.2133,0.0
202603,34027,"morris, nj",699725.0,0.0242,-0.0003,537,0.2698,0.1415,25.0,-0.1803,0.1364,520,0.5294,0.1207,8,0.3333,1.0,0.0051,-0.0001,0.0021,60.0,0.5,0.0714,0.042,0.0072,0.0007,461.0,0.1597,-0.0191,346.0,0.0424,0.0261,2429.0,-0.0328,-0.0286,956195.0,-0.0461,-0.0364,992,0.2263,0.0604,0.8593,-0.0816,-0.1407,0.0
202602,34003,"bergen, nj",792750.0,0.0203,-0.0089,1013,-0.0227,0.084,38.0,-0.2857,0.1538,536,-0.0074,-0.0946,4,0.0,-0.7143,0.0023,-0.0001,-0.0061,94.0,-0.1296,-0.06,0.0544,-0.0069,-0.0057,181.0,0.0,-0.0028,423.0,0.0193,0.0368,1839.0,0.0789,-0.0392,1437036.0,0.0122,-0.0141,1191,-0.0108,0.0749,0.1788,0.0041,-0.0156,0.0
202602,34001,"atlantic, nj",399450.0,-0.0257,-0.0013,1044,0.021,0.099,63.0,-0.1127,0.0769,340,-0.0761,-0.1787,16,-0.5,-0.3333,0.0088,-0.0087,-0.0043,170.0,-0.0341,-0.0761,0.0948,-0.017,-0.0064,446.0,0.115,-0.0601,244.0,0.004,-0.0521,1500.0,-0.0524,-0.0326,677208.0,0.0533,-0.0786,1472,0.056,0.0488,0.4274,0.036,-0.0723,0.0
202602,34019,"hunterdon, nj",681225.0,0.0481,0.0156,198,-0.0125,0.25,61.0,-0.1408,0.1091,88,0.0,-0.1698,2,,,0.0049,0.0049,0.0049,18.0,-0.1,-0.1,0.0424,-0.0096,-0.0096,132.0,0.0779,-0.1024,313.0,0.0742,0.0319,2460.0,0.0327,0.0049,879468.0,-0.0002,-0.1698,324,0.0015,0.0748,0.6658,0.0558,-0.2614,0.0
202602,34015,"gloucester, nj",382450.0,-0.0066,0.0268,400,-0.095,-0.094,40.0,-0.2639,-0.0862,274,0.5222,-0.0352,4,0.0,0.0,0.0036,-0.0006,0.0001,102.0,-0.0556,0.02,0.094,-0.0194,0.0117,415.0,0.145,-0.0471,227.0,0.0016,0.0578,1713.0,-0.0019,-0.0117,458576.0,0.0155,0.127,819,0.0086,-0.0735,1.0363,0.2172,0.051,0.0
202602,34023,"middlesex, nj",542500.0,0.0009,0.0246,999,0.0152,0.2418,44.0,-0.2435,0.1523,488,0.0517,0.0339,8,1.0,-0.2,0.0036,0.0017,-0.0012,172.0,0.2286,0.2286,0.074,0.0092,0.0048,780.0,0.0833,-0.0133,347.0,0.0085,0.0463,1558.0,-0.0022,-0.0269,624430.0,0.0111,0.0269,1752,0.0426,0.1289,0.7808,0.0491,-0.2018,0.0
202602,34025,"monmouth, nj",810000.0,-0.0182,-0.0411,1035,0.0412,0.0376,49.0,-0.2033,-0.0577,542,0.1581,-0.0967,24,1.0,2.0,0.0094,0.0043,0.0063,136.0,0.0625,0.0,0.0543,-0.0002,0.0007,924.0,0.0411,-0.036,410.0,0.015,0.0294,1877.0,-0.0144,-0.07,1365735.0,0.0497,0.0098,1956,0.0499,0.0116,0.8923,-0.0001,-0.0681,0.0
