month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,35057,"torrance, nm",265850.0,0.0529,-0.182,28,0.1429,-0.0345,88.0,-0.4465,-0.2,10,0.25,1.5,0,,,0.0,0.0,0.0,4.0,-0.3333,0.0,0.0759,-0.0508,-0.0241,15.0,-0.0909,0.0714,185.0,0.0202,-0.0372,1610.0,-0.0821,-0.1117,383018.0,-0.0256,0.0691,43,0.075,-0.0652,0.5357,-0.1378,0.053,1.0
202603,35055,"taos, nm",588500.0,-0.0696,-0.0175,289,0.0765,0.387,126.0,-0.0252,0.1698,62,0.55,0.2917,2,,,0.0049,0.0049,0.0049,46.0,0.6429,0.2778,0.1081,0.0333,-0.0119,49.0,-0.0755,0.1667,366.0,0.0156,0.0392,1710.0,-0.0389,-0.0553,819038.0,-0.0425,-0.061,339,0.0561,0.3506,0.1698,-0.0279,-0.0321,0.0
202603,35035,"otero, nm",293850.0,-0.0195,-0.0172,268,0.019,0.0075,94.0,-0.1497,0.2842,82,0.4643,-0.0238,0,,,0.0,0.0,0.0,60.0,0.2,-0.1176,0.1296,0.0118,-0.0232,98.0,-0.0201,0.0263,171.0,-0.0245,0.0228,1724.0,-0.0157,-0.0669,376806.0,-0.0209,0.0378,365,0.0055,0.0041,0.3638,-0.0145,0.0067,0.0
202603,35007,"colfax, nm",398000.0,-0.0635,-0.058,194,0.0488,0.3627,134.0,-0.022,0.3218,32,0.0667,-0.1111,0,,,0.0,0.0,0.0,20.0,0.25,-0.1667,0.0808,0.0169,-0.0442,29.0,0.1373,-0.0645,281.0,-0.0816,-0.0146,1631.0,-0.0348,-0.026,586833.0,-0.0194,0.0847,223,0.0619,0.2965,0.1499,0.0117,-0.0684,0.0
202603,35009,"curry, nm",225000.0,0.0345,-0.0506,199,0.0128,-0.0548,73.0,-0.1205,0.2586,78,0.5,0.1471,2,,,0.0055,0.0055,0.0055,40.0,0.1111,-0.1667,0.1153,0.007,-0.0238,82.0,0.1985,0.4052,125.0,0.0131,-0.0647,1701.0,0.0166,-0.0023,243073.0,0.0368,-0.03,282,0.0484,0.0387,0.4106,0.0636,0.1344,0.0
202603,35001,"bernalillo, nm",399000.0,0.0,0.0016,981,0.031,-0.0101,57.0,-0.2056,0.1176,724,0.2526,-0.0269,20,-0.2308,-0.2857,0.008,-0.0036,-0.0026,402.0,0.0691,-0.1555,0.1629,-0.0091,-0.0261,783.0,0.1122,-0.02,224.0,0.0168,0.0324,1904.0,-0.0014,0.0016,553838.0,0.0292,0.1308,1773,0.0729,-0.0084,0.7982,0.0583,-0.0081,0.0
202603,35021,"harding, nm",303000.0,-0.0226,,1,0.0,,33.0,3.0625,,0,,,0,,,0.0,0.0,,4.0,,,4.0,4.0,,,,,,,,,,,303000.0,-0.0226,,1,0.0,,,,,0.0
202603,35041,"roosevelt, nm",199125.0,-0.0006,-0.0738,60,-0.0977,-0.2208,64.0,-0.1795,-0.2381,12,-0.3333,0.0,0,,,0.0,0.0,0.0,12.0,0.0,-0.25,0.1381,0.0227,-0.0101,17.0,-0.0811,-0.1905,113.0,0.0236,-0.0053,1808.0,-0.0021,0.0466,207456.0,-0.0001,-0.1199,78,-0.104,-0.2092,0.2833,0.0051,0.0106,0.0
202603,35023,"hidalgo, nm",224900.0,0.3194,1.3067,5,-0.375,-0.6875,57.0,0.0,-0.527,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,6.0,0.5,2.0,155.0,-0.0413,0.5502,1944.0,0.2442,0.6904,476660.0,0.2891,2.3482,11,-0.0833,-0.3889,1.2,0.7,1.075,1.0
202603,35043,"sandoval, nm",467448.0,0.0015,0.0054,438,0.027,0.1247,63.0,-0.2674,0.1053,264,0.32,0.1579,12,0.2,0.0,0.012,0.001,-0.002,180.0,0.0976,0.1538,0.1813,-0.0001,-0.0013,285.0,0.0326,0.0674,226.0,0.008,0.0036,2152.0,-0.0178,-0.0162,560404.0,-0.0121,-0.0245,721,0.0337,0.1153,0.6514,0.0035,-0.0349,0.0
202603,35049,"santa fe, nm",798500.0,0.0363,0.1052,554,0.0414,0.1058,69.0,-0.2959,0.0073,272,0.5111,0.3077,2,0.0,-0.5,0.0019,-0.0004,-0.0021,122.0,-0.0161,-0.0161,0.1176,-0.0145,-0.0132,229.0,0.0678,-0.1109,379.0,0.0283,-0.0038,2116.0,0.0005,0.0318,1235786.0,0.0154,0.0307,785,0.0587,0.0356,0.4125,0.0102,-0.1005,0.0
202603,35025,"lea, nm",318950.0,0.0507,0.2386,69,0.0,-0.0352,54.0,0.4145,-0.1189,50,-0.2424,0.25,0,,,0.0,0.0,0.0,22.0,0.8333,0.8333,0.1095,0.0609,0.0425,95.0,-0.0404,0.0326,151.0,-0.0133,0.0445,1978.0,0.0749,0.0228,364667.0,0.0835,0.2129,168,-0.003,0.034,1.3869,-0.0584,0.0911,0.0
202603,35029,"luna, nm",218750.0,-0.0223,-0.0278,96,0.0053,0.3643,109.0,0.066,0.4533,24,0.7143,0.5,0,,,0.0,0.0,0.0,14.0,-0.3636,0.75,0.0948,-0.0603,0.0163,28.0,0.0,0.375,123.0,-0.0032,-0.0757,1768.0,-0.0095,-0.0336,258242.0,-0.0164,-0.071,121,-0.0202,0.3596,0.288,-0.0015,0.0022,0.0
202603,35019,"guadalupe, nm",200000.0,0.0003,-0.4771,9,-0.1,0.5,112.0,-0.1437,-0.255,0,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.2,0.0,1.0,,-0.8,136.0,-0.0016,-0.332,1319.0,0.0,-0.3473,329550.0,0.0993,-0.6558,10,0.0,-0.1667,0.1111,,-0.7222,1.0
202603,35013,"do�a ana, nm",369000.0,0.0265,-0.0159,985,0.1541,0.3932,63.0,-0.2222,-0.3152,224,-0.0427,0.0566,58,1.4167,2.625,0.0288,0.0136,0.0152,196.0,0.3067,0.3243,0.1097,0.0163,-0.0135,568.0,0.0627,1.2016,186.0,-0.008,-0.0061,2018.0,0.0223,-0.0156,426626.0,-0.0063,-0.0175,1556,0.1243,0.6102,0.5766,-0.0496,0.2117,0.0
202603,35015,"eddy, nm",297500.0,-0.0083,-0.005,143,-0.0372,0.122,56.0,-0.1957,-0.3148,70,-0.1026,0.3462,2,-0.5,,0.0059,-0.0068,0.0059,38.0,0.1875,0.9,0.1268,0.0203,0.0435,114.0,0.3256,0.7538,174.0,0.0023,0.0454,1823.0,-0.0074,-0.0212,349592.0,-0.0388,0.061,255,0.0853,0.3395,0.8,0.2189,0.2882,0.0
202603,35028,"los alamos, nm",709500.0,-0.0063,-0.054,37,-0.1798,-0.2551,98.0,0.1168,1.2273,20,1.0,0.0,0,,,0.0,0.0,0.0,14.0,0.0,0.1667,0.1705,-0.0331,0.0325,26.0,0.1304,0.5294,292.0,-0.0361,-0.0929,2183.0,0.0449,-0.0274,671807.0,-0.0125,-0.0955,63,-0.0942,-0.0672,0.7123,0.1955,0.3654,1.0
202603,35005,"chaves, nm",246500.0,-0.01,-0.1358,155,0.0404,-0.0344,67.0,-0.1514,-0.1898,60,0.1538,0.1538,0,,,0.0,0.0,0.0,30.0,0.0714,-0.25,0.0998,-0.009,-0.0396,73.0,0.0815,-0.0641,136.0,0.0072,-0.0011,1865.0,-0.0032,-0.1075,340188.0,-0.0245,0.0789,227,0.0438,-0.0483,0.4725,0.0179,-0.015,1.0
202603,35047,"san miguel, nm",417500.0,-0.006,-0.006,59,-0.1259,0.5526,152.0,0.0613,0.1836,20,0.4286,0.25,0,,,0.0,0.0,0.0,12.0,0.0,2.0,0.1129,-0.0158,0.0532,19.0,0.3103,0.4615,197.0,0.0022,-0.0079,1584.0,-0.0947,-0.2669,833825.0,0.5631,0.2852,79,-0.0366,0.549,0.322,0.1072,-0.0201,0.0
202603,35031,"mckinley, nm",229500.0,-0.0234,-0.159,51,-0.0377,0.3421,102.0,0.0541,0.2029,12,-0.25,2.0,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.1034,0.0137,0.0307,22.0,0.3438,0.7917,146.0,-0.0035,-0.0031,1860.0,0.0388,-0.1379,282476.0,0.0423,-0.0114,73,0.0507,0.45,0.4216,0.1197,0.1058,1.0
202603,35059,"union, nm",214250.0,0.0035,0.6481,16,0.1034,1.0,60.0,-0.3333,0.25,4,1.0,,0,,,0.0,0.0,0.0,2.0,-0.5,,0.0769,-0.11,0.0769,1.0,,-0.5,108.0,-0.0396,-0.079,1971.0,0.0692,0.5637,287134.0,-0.0142,0.0569,16,0.1034,0.6,0.0625,,-0.1875,1.0
