month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,32009,"esmeralda, nv",221675.0,-0.1097,-0.2222,7,0.3,0.625,221.0,0.1053,-0.1742,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,277.0,-0.0323,-0.124,957.0,0.0,-0.0595,250931.0,0.1225,-0.1421,7,0.3,0.3,,,,1.0
202603,32017,"lincoln, nv",337500.0,-0.1142,-0.0753,18,0.129,-0.3,98.0,-0.3111,0.8491,4,1.0,0.0,0,,,0.0,0.0,0.0,4.0,,0.0,0.1481,0.1481,0.0268,4.0,-0.2727,0.3333,166.0,-0.0648,-0.077,1954.0,-0.0172,-0.1866,527245.0,-0.1171,-0.2761,23,0.0714,-0.1964,0.2286,-0.1263,0.1086,0.0
202603,32001,"churchill, nv",445365.0,-0.0289,0.0419,29,-0.0172,-0.3523,45.0,-0.3697,0.0407,28,0.0,-0.2222,0,,,0.0,0.0,0.0,4.0,1.0,-0.8,0.0415,0.0197,-0.1225,40.0,0.0676,0.0395,256.0,0.0114,0.0517,1701.0,-0.0422,-0.0422,611157.0,0.0085,0.2706,68,0.0303,-0.1707,1.386,0.1101,0.5223,0.0
202603,32021,"mineral, nv",178750.0,0.0273,0.0214,17,-0.0294,-0.0833,100.0,0.118,1.314,2,-0.6667,-0.5,0,,,0.0,0.0,0.0,4.0,1.0,,0.1642,0.0952,0.1642,5.0,0.125,-0.3571,155.0,0.0107,0.3508,1247.0,0.0396,-0.1841,199665.0,0.0675,0.1085,21,0.0,-0.16,0.2727,0.0374,-0.1162,1.0
202603,32011,"eureka, nv",167500.0,0.0,-0.1604,4,0.0,1.0,137.0,0.2581,0.5251,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,62.0,0.0,-0.6132,2599.0,0.0,0.5964,465000.0,-0.0053,1.3308,4,0.0,1.0,,,,1.0
202603,32005,"douglas, nv",895000.0,0.0317,-0.0932,201,-0.0674,-0.2075,105.0,-0.0118,0.2,104,0.4857,0.0,0,,-1.0,0.0,0.0,-0.034,44.0,-0.1538,-0.3529,0.1039,-0.0325,-0.0493,120.0,0.2579,0.1274,488.0,0.0669,0.0772,2183.0,0.0231,-0.0515,2232133.0,0.2037,-0.2775,317,0.0242,-0.117,0.596,0.1541,0.177,0.0
202603,32023,"nye, nv",420000.0,0.012,-0.0389,336,0.026,0.4118,64.0,0.0199,0.3333,88,0.913,-0.1538,0,,,0.0,0.0,0.0,116.0,0.3488,0.381,0.2404,0.0436,0.0437,54.0,-0.2132,-0.277,216.0,-0.0105,-0.0104,1991.0,0.0356,-0.0262,471602.0,0.0048,-0.0984,388,-0.0077,0.2201,0.1592,-0.0484,-0.1517,0.0
202603,32029,"storey, nv",697169.0,0.2022,0.1938,13,0.087,0.0417,117.0,0.0287,0.3706,10,1.5,1.5,0,,,0.0,0.0,0.0,2.0,0.0,-0.5,0.0476,-0.0433,-0.1005,9.0,0.4167,0.2143,314.0,0.1519,0.118,2061.0,-0.0012,0.0624,775074.0,0.1779,0.0297,22,0.2647,0.1316,0.68,0.1583,0.0967,1.0
202603,32003,"clark, nv",468100.0,0.0068,-0.0038,9383,0.0242,0.1845,52.0,-0.0237,0.1705,3800,0.1425,0.0615,132,-0.12,-0.5147,0.0085,-0.0012,-0.0106,3300.0,0.1794,0.043,0.2115,0.0296,-0.0055,2819.0,-0.0324,-0.0594,265.0,0.0025,-0.0218,1764.0,-0.0003,0.0077,747104.0,0.0019,-0.0414,12179,0.0116,0.1029,0.3005,-0.0176,-0.0779,0.0
202603,32033,"white pine, nv",190500.0,-0.0281,-0.1496,35,0.1111,0.0294,137.0,0.103,0.5167,12,0.0,0.0,0,,,0.0,0.0,0.0,4.0,0.0,-0.5,0.0897,0.0135,-0.0393,3.0,-0.625,-0.75,168.0,0.144,0.0891,1159.0,-0.057,-0.1568,226314.0,-0.1669,-0.3104,38,-0.0506,-0.1667,0.0857,-0.1683,-0.2672,1.0
