month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,36119,"westchester, ny",678443.0,0.0705,-0.0294,1207,0.1276,-0.0183,36.0,-0.2447,-0.1125,884,0.573,-0.1401,16,0.6,-0.2,0.0075,0.0017,0.0026,162.0,0.3279,-0.1563,0.0705,0.0004,0.0189,147.0,0.6333,-0.9019,412.0,0.0415,0.0358,1510.0,0.0626,-0.0887,1266951.0,0.0285,0.0112,1353,0.1511,-0.5031,0.1218,0.0377,-1.0979,1.0
202603,36061,"new york, ny",1450000.0,-0.0301,-0.0492,5818,0.1046,-0.0518,60.0,-0.3583,0.0,2222,0.6607,0.0306,28,-0.125,-0.125,0.0027,-0.0011,-0.0004,754.0,0.5451,-0.0079,0.0774,0.0202,-0.0021,1983.0,0.0702,0.0366,1482.0,-0.0135,-0.0172,1230.0,-0.0162,-0.0705,3220948.0,-0.0594,-0.0486,7782,0.0955,-0.0297,0.3409,-0.011,0.0291,0.0
202603,36077,"otsego, ny",311250.0,-0.011,0.1745,156,0.0989,0.3522,106.0,-0.0866,-0.1693,52,0.7333,0.625,0,,,0.0,0.0,0.0,18.0,0.0,0.125,0.0585,-0.0107,-0.0068,123.0,0.3388,0.6781,165.0,-0.0436,0.0152,1940.0,0.022,0.0485,422433.0,0.0218,-0.1203,274,0.2097,0.4652,0.7878,0.1411,0.153,0.0
202603,36033,"franklin, ny",184000.0,-0.0302,-0.1983,118,-0.0675,-0.1423,152.0,0.0393,0.2112,24,0.0909,-0.1429,0,,,0.0,0.0,0.0,18.0,0.5,0.125,0.0871,0.0261,0.0154,54.0,-0.0924,0.35,127.0,-0.0309,-0.146,1543.0,-0.0756,-0.0832,567522.0,0.0017,-0.1885,173,-0.0726,-0.0199,0.4596,-0.0126,0.1676,1.0
202603,36029,"erie, ny",272400.0,0.0599,0.0089,685,0.0978,0.2081,49.0,-0.2344,0.0652,590,0.4251,0.0926,8,-0.4286,1.0,0.0035,-0.0037,0.0017,144.0,0.2414,0.44,0.063,0.0058,0.013,974.0,0.013,-0.0437,192.0,0.0045,0.0273,1502.0,0.0152,-0.0338,390428.0,0.0085,-0.0295,1665,0.0505,0.0445,1.4212,-0.1189,-0.3742,0.0
202603,36025,"delaware, ny",321000.0,0.0063,0.0223,202,0.1749,0.3523,122.0,-0.0161,-0.0081,50,0.1905,0.1364,0,,,0.0,0.0,0.0,20.0,0.4286,0.0,0.0533,0.0104,-0.0174,120.0,0.086,0.3953,189.0,-0.0056,-0.0014,1775.0,0.0391,-0.0159,607594.0,-0.0361,0.3238,321,0.1464,0.3896,0.5955,-0.0488,0.0184,0.0
202603,36097,"schuyler, ny",314000.0,0.0943,-0.0737,33,-0.0149,-0.0294,94.0,-0.1241,0.1543,12,0.5,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.0253,-0.1,35.0,0.2105,0.1897,153.0,0.0414,0.1763,1963.0,-0.0897,-0.0708,420988.0,-0.0536,-0.0166,67,0.0635,0.1167,1.0455,0.1947,0.1925,0.0
202603,36017,"chenango, ny",197500.0,-0.022,0.1624,111,0.2333,0.1935,104.0,-0.0142,-0.0673,26,0.4444,-0.2778,0,,,0.0,0.0,0.0,24.0,2.0,2.0,0.116,0.0646,0.066,78.0,0.4579,0.3929,114.0,-0.0576,0.0116,1830.0,0.0432,0.0853,264140.0,0.0193,0.1196,188,0.3112,0.2669,0.7027,0.1083,0.1006,0.0
202603,36081,"queens, ny",628000.0,0.0137,-0.0264,3937,0.0653,0.0282,66.0,-0.1801,-0.0149,1278,0.3742,-0.0318,56,0.75,-0.0667,0.0086,0.0031,0.0005,524.0,0.4086,0.048,0.0794,0.0173,0.0151,1372.0,0.0335,-0.4501,600.0,0.0113,0.0125,917.0,0.0183,-0.0353,754868.0,0.0217,-0.0145,5289,0.0577,-0.1557,0.3484,-0.0107,-0.303,0.0
202603,36007,"broome, ny",195000.0,-0.0711,-0.0176,219,0.1321,0.3488,44.0,-0.0225,0.2083,146,0.46,0.1774,0,,,0.0,0.0,0.0,60.0,0.5,0.3636,0.1092,0.0253,0.0302,215.0,0.144,-0.0674,123.0,0.0156,0.0318,1648.0,-0.022,-0.0309,271944.0,0.0377,-0.0732,432,0.1398,0.0964,0.9817,0.0102,-0.4381,0.0
