month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,39101,"marion, oh",188200.0,0.0756,-0.1123,106,0.0984,0.2045,39.0,-0.3915,0.0467,68,0.0968,-0.1905,0,,,0.0,0.0,0.0,62.0,0.55,2.1,0.2577,0.0777,0.1796,63.0,0.0331,-0.0809,143.0,0.0787,-0.062,1542.0,0.0217,0.0052,228499.0,0.0872,-0.276,167,0.0571,0.0406,0.5896,-0.0373,-0.1831,1.0
202603,39141,"ross, oh",274950.0,0.0835,0.0437,82,-0.0838,-0.1087,64.0,0.1591,0.1806,62,0.55,0.0333,0,,,0.0,0.0,0.0,28.0,-0.2222,-0.125,0.1299,-0.0539,-0.0334,71.0,0.0597,0.0143,163.0,0.013,-0.0458,1542.0,-0.0409,-0.0887,341537.0,0.0597,0.0436,153,-0.0161,-0.0497,0.8659,0.1173,0.105,0.0
202603,39063,"hancock, oh",237400.0,-0.0503,-0.0869,97,-0.0251,0.0211,39.0,-0.2071,-0.0655,70,0.1667,-0.1667,0,,,0.0,0.0,0.0,36.0,-0.1429,-0.1,0.1401,-0.037,-0.0027,96.0,0.3451,-0.0637,155.0,-0.0077,0.0362,1672.0,-0.0188,-0.0436,287967.0,-0.0339,-0.0086,195,0.1538,-0.0152,0.9845,0.271,-0.0891,0.0
202603,39167,"washington, oh",239500.0,0.0021,-0.0416,95,0.05,0.125,68.0,-0.1971,-0.1361,38,0.2667,-0.05,0,,,0.0,0.0,0.0,44.0,1.2,1.2,0.2563,0.1251,0.1221,42.0,-0.0119,0.0122,141.0,0.0559,0.1698,1731.0,0.0061,-0.1546,284110.0,0.025,-0.0475,136,0.0303,0.0794,0.4392,-0.0275,-0.0489,0.0
202603,39097,"madison, oh",361250.0,0.0691,-0.0367,54,0.07,0.1383,36.0,-0.3029,0.0357,40,0.1765,-0.0909,4,,,0.0215,0.0215,0.0215,26.0,0.8571,0.0833,0.1627,0.0626,-0.0051,66.0,0.0394,0.375,199.0,0.0363,-0.0363,1867.0,0.0486,0.0067,422222.0,0.0838,-0.0984,120,0.0575,0.2579,1.2336,-0.0364,0.2124,0.0
202603,39041,"delaware, oh",552225.0,0.0042,0.004,365,0.13,0.46,38.0,-0.4465,0.2931,318,0.6563,0.2619,8,0.0,1.0,0.0081,-0.0022,0.003,126.0,0.4651,0.3125,0.1273,0.0181,0.0091,340.0,0.1806,0.1525,220.0,-0.0245,-0.0477,2486.0,0.0292,-0.0002,650672.0,-0.0372,-0.0695,701,0.1445,0.2745,0.9315,0.0399,-0.2485,0.0
202603,39051,"fulton, oh",269000.0,-0.0072,-0.0389,47,0.175,0.2703,41.0,-0.0471,-0.0795,34,0.0625,0.2143,0,,,0.0,0.0,0.0,16.0,0.0,0.3333,0.1346,-0.0164,-0.0018,34.0,-0.1519,0.0806,162.0,0.006,0.1213,1805.0,0.0176,-0.0103,289684.0,0.006,-0.0306,79,0.0064,0.1544,0.7128,-0.2747,-0.1251,0.0
202603,39107,"mercer, oh",299450.0,0.0793,0.4614,32,0.3061,0.0323,40.0,-0.3969,-0.2547,32,1.2857,0.1429,0,,,0.0,0.0,0.0,6.0,2.0,-0.25,0.0582,0.0269,-0.0288,36.0,0.5778,0.0758,179.0,0.0153,0.1397,1699.0,0.0172,0.1004,376970.0,0.0145,0.3414,66,0.3608,0.0313,1.1094,0.191,0.0449,0.0
202603,39053,"gallia, oh",297450.0,0.0111,0.2269,39,0.0,-0.025,43.0,-0.2875,-0.3979,20,0.4286,0.0,0,,,0.0,0.0,0.0,10.0,0.6667,0.25,0.1182,0.0314,0.0086,25.0,0.5625,1.0833,153.0,0.0313,0.1111,1912.0,-0.0341,0.1129,360555.0,0.0502,-0.0839,64,0.1441,0.2212,0.641,0.2308,0.341,0.0
202603,39003,"allen, oh",183725.0,0.0264,-0.1354,162,-0.061,0.1062,55.0,0.2791,0.1458,72,-0.1818,-0.3077,0,,,0.0,0.0,0.0,70.0,0.4583,0.0938,0.1891,0.055,0.0054,124.0,0.0973,0.0333,126.0,-0.0563,-0.0473,1478.0,0.0073,-0.1204,243146.0,0.0168,0.0181,285,-0.0122,0.0777,0.7678,0.1108,-0.0541,1.0
