month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,41007,"clatsop, or",599500.0,0.0028,0.0611,198,0.0882,0.0128,81.0,-0.2748,-0.2682,80,0.3793,0.1111,8,0.3333,1.0,0.0218,0.0008,0.0087,62.0,0.1071,-0.0313,0.1815,-0.0101,-0.0029,65.0,0.29,0.3438,349.0,0.0042,-0.0196,1829.0,0.013,0.045,854263.0,0.0001,0.0664,262,0.1391,0.1008,0.3266,0.0511,0.0804,0.0
202603,41065,"wasco, or",450000.0,0.0626,-0.0526,81,0.1259,0.0733,78.0,-0.1549,0.3178,30,0.25,-0.0625,2,,,0.0144,0.0144,0.0144,24.0,0.5,0.0,0.1793,0.0502,-0.0025,29.0,0.0357,0.381,263.0,-0.009,0.0334,1753.0,0.0161,-0.0674,535871.0,0.0045,-0.3226,108,0.0914,0.1198,0.3602,-0.0314,0.0802,0.0
202603,41067,"washington, or",558950.0,0.0018,-0.0913,1224,0.0895,0.0099,45.0,-0.2683,0.0,724,0.2067,0.0523,148,0.3704,-0.2292,0.0546,0.01,-0.0162,680.0,0.2734,0.0429,0.2519,0.0315,-0.0043,756.0,0.1118,0.0307,294.0,0.0039,-0.0402,1796.0,-0.0047,-0.0716,634339.0,0.0015,-0.0746,1989,0.0908,0.0229,0.6172,0.0124,0.0125,0.0
202603,41003,"benton, or",649278.0,-0.0007,-0.0087,155,0.0653,0.3964,51.0,-0.0599,-0.0192,70,0.0,0.0294,2,-0.5,-0.5,0.0075,-0.0074,-0.0056,46.0,-0.08,0.15,0.1629,-0.0221,0.0106,65.0,0.1622,-0.1938,311.0,0.0486,0.0007,2050.0,-0.0473,-0.1147,746305.0,0.0015,-0.1393,218,0.0875,0.1694,0.4161,0.0347,-0.3046,0.0
202603,41019,"douglas, or",444500.0,0.035,-0.0011,383,0.0213,0.2236,86.0,-0.0969,0.1655,128,0.3061,0.1034,10,-0.1667,-0.5,0.0154,-0.0048,-0.022,162.0,-0.0357,0.0658,0.2432,-0.0423,-0.019,144.0,0.1434,0.063,261.0,0.0188,0.0188,1827.0,0.0307,0.0434,638520.0,0.0335,0.111,527,0.0551,0.1407,0.3747,0.04,-0.0566,0.0
202603,41011,"coos, or",475000.0,0.0,0.0,276,0.0494,0.3019,68.0,-0.1988,-0.0493,80,0.0256,0.0526,10,0.25,0.25,0.0226,0.0044,-0.0004,106.0,0.2326,0.3947,0.2235,0.0233,0.0186,84.0,0.0844,-0.0402,276.0,0.0038,0.0073,1832.0,-0.0273,-0.0046,651384.0,-0.0049,-0.0245,363,0.0614,0.2305,0.3025,0.0098,-0.1078,0.0
202603,41033,"josephine, or",529225.0,0.028,0.0606,443,0.4244,0.3887,67.0,-0.3073,-0.189,156,0.8571,0.2581,2,0.0,,0.0025,-0.0006,0.0025,110.0,0.1,0.0577,0.1367,-0.0475,-0.049,172.0,0.511,0.545,269.0,-0.0067,0.0178,1960.0,0.047,0.0208,628799.0,-0.0211,0.0764,615,0.4522,0.4505,0.3871,0.0222,0.0392,0.0
202603,41049,"morrow, or",337237.0,0.0137,-0.0222,41,-0.012,0.64,125.0,0.1848,0.8657,16,0.6,1.0,0,,,0.0,0.0,0.0,8.0,0.0,-0.3333,0.1043,-0.0265,-0.1538,17.0,0.375,1.0625,216.0,-0.0337,0.0576,1728.0,0.1033,-0.027,392898.0,0.0581,0.0371,60,0.1121,0.803,0.4024,0.1133,0.0824,1.0
202603,41023,"grant, or",375000.0,0.1013,0.0359,71,0.1849,0.4388,134.0,-0.0838,-0.0325,8,-0.3333,0.0,0,,,0.0,0.0,0.0,10.0,1.5,0.25,0.1083,0.0546,-0.0147,16.0,1.8182,0.7222,201.0,0.0653,-0.0689,1793.0,-0.0295,-0.0478,505647.0,-0.0057,-0.2779,86,0.3154,0.4741,0.2199,0.1274,0.0362,0.0
202603,41063,"wallowa, or",454500.0,0.0669,-0.0055,38,-0.0617,-0.1364,114.0,-0.1396,-0.2739,6,0.0,-0.25,2,,,0.0345,0.0345,0.0345,6.0,0.0,-0.5,0.1002,-0.0131,-0.0712,13.0,0.3684,0.4444,279.0,0.0907,-0.0521,1884.0,0.0,0.0809,1754266.0,0.084,0.6462,51,0.0,-0.0472,0.3421,0.1075,0.1376,0.0
202603,41005,"clackamas, or",699450.0,0.0138,-0.0008,1138,0.0844,0.1986,47.0,-0.225,-0.1308,606,0.2894,0.1836,142,0.449,0.1094,0.0621,0.0131,-0.0022,526.0,0.1741,0.2064,0.2286,0.0049,0.0006,569.0,0.107,0.1756,322.0,0.0064,0.0123,2200.0,0.0008,-0.0521,978297.0,0.0087,-0.0274,1706,0.0908,0.1902,0.5002,0.0102,-0.0098,0.0
202603,41051,"multnomah, or",466667.0,0.0146,-0.0414,1972,0.1072,0.0871,50.0,-0.3421,-0.0385,1036,0.1881,0.0792,244,0.1296,-0.0161,0.064,0.0017,-0.0043,848.0,0.1307,0.0242,0.2125,-0.0063,-0.0079,871.0,0.121,0.0942,327.0,0.0035,-0.0324,1472.0,0.0032,-0.0235,615770.0,0.0079,-0.078,2852,0.1158,0.0938,0.4417,0.0054,0.0029,0.0
202603,41043,"linn, or",438200.0,-0.004,-0.0316,297,0.082,0.1928,45.0,-0.1759,-0.1442,152,0.1515,0.1176,14,0.4,-0.5625,0.0217,0.0039,-0.0328,132.0,0.2222,0.2222,0.2253,0.0332,0.0382,157.0,-0.0218,-0.1604,286.0,0.0255,0.0102,1614.0,-0.0134,-0.044,532447.0,0.0089,-0.048,453,0.0402,0.039,0.5286,-0.0561,-0.2224,0.0
202603,41061,"union, or",466000.0,0.0356,0.2873,59,0.1028,0.1569,80.0,-0.0503,-0.2569,20,-0.1667,0.0,2,,,0.0189,0.0189,0.0189,20.0,0.0,0.25,0.192,-0.0038,0.0218,26.0,0.3077,0.02,245.0,0.0058,0.2315,1832.0,0.071,-0.0949,697077.0,0.006,-0.208,84,0.1748,0.12,0.4322,0.0677,-0.058,0.0
202603,41045,"malheur, or",332000.0,-0.0163,-0.0377,78,0.2705,-0.1755,53.0,-0.4148,-0.6289,30,-0.0625,0.5,0,,,0.0,0.0,0.0,30.0,0.875,0.5,0.2439,0.1002,0.1069,24.0,-0.04,0.0435,220.0,0.0045,0.0251,1720.0,-0.0192,0.0365,418079.0,-0.0276,-0.209,102,0.1792,-0.1356,0.3097,-0.1002,0.065,1.0
202603,41053,"polk, or",537193.0,0.0136,-0.0231,249,0.0664,0.0873,69.0,-0.2275,-0.1186,112,0.5556,0.0,2,-0.75,-0.75,0.0041,-0.0152,-0.0151,104.0,0.2093,0.2381,0.2206,0.0067,0.031,105.0,0.0553,-0.1176,286.0,-0.0164,-0.009,1972.0,0.023,0.048,660572.0,-0.006,-0.0338,353,0.0666,0.0247,0.4217,-0.0044,-0.098,0.0
202603,41071,"yamhill, or",579950.0,0.0207,0.0356,307,0.0587,0.1698,69.0,-0.3134,0.2212,112,0.0,0.0,20,1.0,-0.4444,0.0383,0.0185,-0.028,126.0,0.2115,0.0862,0.2313,0.0246,0.0252,116.0,0.0267,-0.0977,310.0,0.011,-0.0081,1927.0,0.022,-0.0198,889202.0,-0.0042,-0.0204,419,0.0475,0.0827,0.3768,-0.0118,-0.1117,0.0
202603,41001,"baker, or",299000.0,0.0364,-0.3045,71,0.0217,-0.2167,58.0,-0.4978,-0.5672,32,0.3333,0.6,4,,0.0,0.0315,0.0315,0.0014,30.0,0.3636,0.25,0.2133,0.0413,0.015,32.0,0.2308,0.6842,189.0,-0.0356,-0.1597,1708.0,0.0141,-0.1932,430969.0,-0.0101,-0.3176,103,0.0677,-0.0596,0.4539,0.0771,0.2428,1.0
202603,41047,"marion, or",519935.0,0.0112,-0.0546,759,0.0053,0.2558,55.0,-0.1473,0.028,342,0.0556,0.14,44,0.0476,-0.2143,0.0301,0.0007,-0.0144,314.0,0.0608,0.4018,0.2139,0.005,0.0396,397.0,0.141,0.1075,290.0,0.0007,-0.0045,1842.0,0.0189,-0.0285,665242.0,0.0108,0.0527,1146,0.0523,0.2127,0.5227,0.0622,-0.07,0.0
202603,41041,"lincoln, or",577450.0,0.0008,-0.011,500,0.1443,0.1643,89.0,-0.2625,0.0231,154,0.4808,0.1324,4,,0.0,0.0054,0.0054,-0.0006,140.0,0.5909,-0.0278,0.1894,0.0469,-0.0291,92.0,0.1795,0.1084,356.0,0.008,0.0121,1668.0,0.0101,0.0004,690027.0,0.0275,0.0406,590,0.1514,0.1559,0.1842,0.0055,-0.0093,0.0
202603,41035,"klamath, or",379000.0,-0.0018,-0.0393,426,0.4231,0.5701,81.0,-0.25,-0.1196,92,-0.098,0.2778,2,0.0,,0.0032,-0.0002,0.0032,100.0,0.3889,0.9231,0.161,0.0282,0.0444,114.0,0.1823,0.3675,225.0,0.0034,-0.0118,1719.0,-0.0351,-0.0421,487113.0,0.0315,-0.0498,539,0.3646,0.5269,0.2667,-0.0543,-0.0395,0.0
202603,41059,"umatilla, or",364974.0,0.0188,0.0431,170,0.0,0.0692,86.0,-0.0656,0.3359,70,0.129,0.0938,18,0.2857,1.25,0.0546,0.0083,0.0258,44.0,-0.2414,-0.1538,0.1299,-0.0612,-0.0571,93.0,0.1563,0.3028,222.0,0.0125,0.0142,1670.0,0.0121,0.022,405011.0,0.0419,-0.0725,260,0.04,0.1404,0.5441,0.0735,0.0976,0.0
202603,41009,"columbia, or",515975.0,0.0019,0.0321,162,0.0986,0.1138,63.0,-0.2711,0.0776,64,0.1034,-0.0588,10,-0.1667,-0.5,0.038,-0.0083,-0.0237,58.0,0.381,-0.0938,0.2184,0.0494,-0.0039,54.0,0.1505,-0.2569,276.0,-0.0143,-0.026,1890.0,-0.0015,-0.0071,653765.0,-0.0114,0.1092,216,0.1195,-0.0023,0.3313,0.0149,-0.1653,0.0
202603,41015,"curry, or",612130.0,-0.0074,0.0219,188,0.1325,0.403,89.0,-0.2906,0.1346,54,1.25,0.5,2,-0.6667,-0.5,0.0074,-0.0189,-0.0135,62.0,0.6316,0.7222,0.2288,0.0551,0.0413,28.0,-0.0345,0.0,336.0,0.014,-0.0374,1796.0,-0.0065,0.0627,827205.0,-0.0155,0.0298,217,0.11,0.3313,0.1489,-0.0258,-0.06,0.0
