month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,44009,"washington, ri",924500.0,-0.041,0.0104,164,-0.018,-0.0763,59.0,0.0174,0.5,128,0.9394,-0.1111,0,,,0.0,0.0,0.0,16.0,-0.2727,-0.3333,0.039,-0.0173,-0.0152,140.0,-0.0792,-0.1115,536.0,0.011,0.0291,1855.0,-0.0349,-0.0536,1744984.0,-0.049,0.0039,301,-0.0564,-0.1121,0.8532,-0.0567,-0.0338,0.0
202603,44007,"providence, ri",469950.0,0.0001,0.0443,476,-0.0621,0.0053,44.0,-0.0112,0.5439,408,0.7,-0.0642,0,-1.0,-1.0,0.0,-0.0048,-0.0026,102.0,-0.15,-0.15,0.0758,-0.0237,-0.0036,511.0,0.0942,-0.1295,333.0,-0.0043,0.1913,1447.0,0.019,-0.1734,569439.0,0.0147,0.0181,983,0.0155,-0.0792,1.0747,0.1536,-0.1664,0.0
202603,44003,"kent, ri",491800.0,-0.0004,0.0464,182,-0.0497,-0.1059,41.0,-0.1223,0.25,174,0.5,-0.0938,2,-0.5,-0.5,0.0032,-0.004,-0.0023,30.0,0.0,-0.3182,0.0483,-0.0077,-0.0187,234.0,0.0355,0.0197,359.0,0.0182,0.2089,1408.0,-0.0248,-0.1333,620269.0,-0.0056,0.0288,417,0.0,-0.0211,1.2865,0.1059,0.1584,0.0
202603,44001,"bristol, ri",744250.0,0.1516,-0.0063,35,0.0145,-0.3137,46.0,0.0167,0.2039,34,1.4286,-0.2917,0,,,0.0,0.0,0.0,10.0,0.6667,-0.375,0.0914,0.0242,-0.0289,33.0,-0.0972,-0.1875,443.0,0.0982,0.1307,1664.0,0.0592,-0.1797,877847.0,0.1511,-0.1301,69,-0.0352,-0.2634,0.9286,-0.1149,0.1443,0.0
202603,44005,"newport, ri",1097500.0,0.0354,0.2486,161,0.0355,0.1383,55.0,-0.0759,0.1649,84,0.4483,0.1053,0,,,0.0,0.0,0.0,22.0,0.375,-0.3889,0.0611,0.0073,-0.0464,102.0,0.0303,0.0851,594.0,0.0052,0.1955,1924.0,0.0844,-0.0022,1910667.0,0.0356,-0.0019,261,0.0316,0.1106,0.6355,-0.0032,-0.0312,0.0
202602,44009,"washington, ri",964000.0,0.1017,0.0881,167,-0.1548,0.0246,58.0,-0.1418,0.2169,66,-0.1316,-0.4107,0,,-1.0,0.0,0.0,-0.0044,22.0,-0.0833,0.8333,0.0563,0.0045,0.0295,152.0,-0.035,0.0341,530.0,0.0135,0.0437,1922.0,0.03,-0.0428,1834884.0,0.0419,-0.0262,319,-0.0938,0.0175,0.9099,0.113,0.0084,0.0
202602,44003,"kent, ri",492000.0,-0.0158,0.0332,191,-0.1318,0.0552,47.0,-0.1607,0.2129,116,-0.0938,-0.1594,4,0.0,1.0,0.0073,0.0002,0.0036,30.0,0.25,-0.0625,0.056,0.0122,-0.0001,226.0,0.0488,-0.0022,353.0,0.0054,0.1649,1443.0,-0.0074,-0.1216,623747.0,0.0028,0.0885,417,-0.0479,0.0284,1.1806,0.2034,-0.068,0.0
202602,44001,"bristol, ri",646250.0,0.0341,-0.1401,35,-0.0143,-0.1977,45.0,-0.25,-0.0722,14,-0.4167,-0.2222,0,,,0.0,0.0,0.0,6.0,-0.25,2.0,0.0672,-0.0227,0.046,36.0,0.2,0.0746,404.0,-0.0148,0.0279,1571.0,0.0064,-0.2484,762613.0,0.0173,-0.2723,71,0.0923,-0.0779,1.0435,0.1863,0.2644,1.0
202602,44007,"providence, ri",469900.0,0.0237,0.0571,507,-0.0832,0.1058,45.0,-0.0918,0.3692,240,-0.1667,-0.2727,6,0.5,,0.0048,0.0014,0.0048,120.0,0.1111,0.1321,0.0995,0.0148,0.018,467.0,0.0566,-0.1028,334.0,-0.0038,0.2315,1420.0,0.0128,-0.1689,561203.0,-0.0054,0.0612,968,-0.0217,-0.0067,0.9211,0.1218,-0.2141,0.0
202602,44005,"newport, ri",1060000.0,-0.023,0.2073,155,0.0,0.0333,59.0,-0.2255,0.1505,58,0.3182,-0.1212,0,,,0.0,0.0,0.0,16.0,0.3333,-0.3846,0.0537,0.011,-0.0344,99.0,0.1124,0.2,590.0,0.0132,0.1204,1774.0,-0.047,-0.0169,1844934.0,-0.0754,0.0099,253,0.0327,0.0905,0.6387,0.0645,0.0887,0.0
