month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,45003,"aiken, sc",329000.0,-0.0007,-0.0178,849,0.043,0.2779,66.0,-0.0959,0.0313,282,0.0763,-0.0342,16,-0.2,0.0,0.0106,-0.0034,-0.0018,280.0,0.2727,0.2963,0.1859,0.0327,0.0309,416.0,0.0654,-0.0224,169.0,-0.01,0.0153,2059.0,0.0148,-0.0063,461333.0,0.0247,0.0547,1256,0.0502,0.1723,0.4897,0.0103,-0.1504,0.0
202603,45043,"georgetown, sc",458500.0,0.0189,0.0422,537,0.1005,0.1108,66.0,-0.2428,0.0397,226,0.3294,0.3452,6,-0.625,-0.25,0.0055,-0.0104,-0.0036,158.0,0.2951,-0.0814,0.1729,0.0299,-0.0249,193.0,0.3276,0.181,260.0,0.0047,0.0326,1790.0,-0.0057,0.0083,752798.0,-0.0001,0.2119,727,0.144,0.1324,0.3588,0.0614,0.0213,0.0
202603,45033,"dillon, sc",195000.0,-0.0769,0.1508,40,-0.1398,-0.3548,115.0,0.1299,0.3247,8,0.3333,-0.6,0,-1.0,,0.0,-0.0364,0.0,16.0,0.6,-0.2,0.2962,0.1326,0.0637,8.0,0.2308,0.3333,114.0,-0.0433,0.0706,1672.0,-0.0299,-0.0112,214382.0,-0.0686,-0.0411,47,-0.0882,-0.2955,0.2,0.0602,0.1032,0.0
202603,45009,"bamberg, sc",202450.0,-0.0798,0.3427,33,0.1579,0.9412,127.0,0.2014,1.8483,4,-0.3333,-0.5,0,,,0.0,0.0,0.0,10.0,0.6667,0.25,0.1906,0.0766,-0.0316,11.0,-0.2414,0.0,114.0,-0.015,0.1129,2257.0,0.0118,0.4249,275477.0,-0.0316,-0.4105,44,0.0,0.5536,0.3333,-0.1754,-0.3137,1.0
202603,45089,"williamsburg, sc",171250.0,-0.013,0.0133,57,0.1753,0.6286,60.0,-0.2138,-0.4336,14,0.0,0.1667,0,,,0.0,0.0,0.0,14.0,0.0,0.1667,0.1706,-0.0307,-0.0199,9.0,-0.15,-0.15,116.0,0.0191,-0.004,1400.0,-0.0067,-0.1026,232462.0,-0.012,0.251,65,0.1316,0.4333,0.1491,-0.0571,-0.1366,0.0
202603,45031,"darlington, sc",244875.0,-0.0205,0.0647,190,0.1014,0.1243,62.0,-0.1875,-0.1303,56,0.037,0.1667,4,,,0.015,0.015,0.015,48.0,0.2632,0.2,0.1788,0.0245,0.0057,23.0,0.3636,1.25,147.0,0.0069,0.0895,1654.0,-0.0389,-0.0178,281053.0,-0.0505,-0.008,209,0.1147,0.1676,0.1184,0.0228,0.0592,0.0
202603,45075,"orangeburg, sc",259700.0,0.0095,-0.0692,314,0.0162,0.2901,83.0,-0.1591,0.1893,68,-0.15,-0.15,4,-0.5,0.0,0.0082,-0.0087,-0.0021,76.0,-0.1739,0.0,0.1552,-0.0254,-0.0458,116.0,0.2889,0.6812,152.0,-0.0042,-0.0614,1746.0,0.0504,0.0178,321032.0,0.0338,-0.0188,423,0.0629,0.3585,0.37,0.0783,0.0861,0.0
202603,45063,"lexington, sc",320799.0,0.0184,-0.0276,984,0.0609,0.2172,43.0,-0.1602,-0.017,518,0.1212,0.2217,44,0.5714,-0.2667,0.0213,0.0066,-0.0108,406.0,0.2767,0.005,0.1933,0.0331,-0.0282,630.0,0.0825,0.0227,165.0,0.0125,0.0374,2024.0,0.0159,-0.0578,433215.0,0.019,-0.0081,1613,0.0743,0.1116,0.6406,0.0127,-0.1218,0.0
202603,45069,"marlboro, sc",154600.0,0.0406,0.0872,31,0.0517,-0.0161,71.0,-0.0532,0.1975,10,1.5,-0.1667,0,,,0.0,0.0,0.0,6.0,-0.4,0.5,0.1286,-0.1107,0.047,5.0,0.8,0.125,106.0,0.0566,0.0792,1413.0,0.0463,-0.0488,188634.0,0.1395,0.2262,35,0.129,0.0,0.1475,0.0613,0.0185,0.0
202603,45013,"beaufort, sc",588000.0,-0.0017,0.0051,1889,0.0521,0.1445,74.0,-0.2184,0.2172,688,0.2028,-0.2037,24,0.7143,0.2,0.0073,0.0026,0.0001,590.0,0.2292,-0.0296,0.1793,0.0188,-0.0164,739.0,0.1457,1.4966,341.0,-0.013,-0.017,1837.0,0.011,-0.0554,982299.0,-0.0045,-0.0108,2613,0.0749,0.3264,0.3913,0.032,0.2119,0.0
