month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,46077,"kingsbury, sd",366150.0,-0.0665,-0.0598,10,-0.0909,0.25,65.0,-0.2278,-0.2413,8,,1.0,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1,-0.2353,8.0,0.5,0.5,166.0,0.0776,-0.3093,2263.0,-0.1644,0.2022,427993.0,-0.0679,-0.1422,17,0.0303,0.3077,0.75,0.2955,0.125,1.0
202603,46029,"codington, sd",341200.0,0.0494,-0.0778,73,0.0815,-0.0395,71.0,-0.2123,-0.1897,36,0.6364,0.5,0,,,0.0,0.0,0.0,16.0,0.6,1.0,0.1181,0.0349,0.0473,25.0,-0.0741,0.7857,160.0,0.0421,-0.1972,1771.0,0.0279,-0.0542,371395.0,0.0525,-0.1597,98,0.0426,0.0652,0.3425,-0.0575,0.1583,0.0
202603,46093,"meade, sd",509900.0,0.0408,0.053,87,0.0,-0.0225,62.0,0.4034,0.328,30,-0.25,-0.375,0,,,0.0,0.0,0.0,24.0,0.7143,0.0,0.1392,0.052,-0.0054,52.0,0.7458,0.5606,253.0,0.0129,-0.0546,2000.0,0.0,-0.0689,581864.0,0.0268,-0.12,139,0.1632,0.1393,0.592,0.2529,0.2212,0.0
202603,46047,"fall river, sd",345000.0,-0.0055,0.0177,48,0.0795,0.0326,84.0,-0.2443,-0.2196,16,1.6667,0.3333,0,,,0.0,0.0,0.0,12.0,0.2,0.5,0.1438,-0.0105,0.0082,12.0,0.15,0.0455,194.0,-0.0172,-0.147,1612.0,-0.0423,0.0064,434335.0,0.0123,-0.1876,59,0.0926,0.0351,0.2421,0.0148,0.003,0.0
202603,46081,"lawrence, sd",847475.0,0.0105,-0.0191,219,-0.0246,0.3084,104.0,-0.0282,-0.0417,58,-0.0333,0.3182,0,,,0.0,0.0,0.0,34.0,0.1333,-0.2917,0.1023,-0.0001,-0.0691,53.0,0.6061,0.2326,315.0,0.0104,0.0052,2736.0,0.0219,-0.006,1025038.0,0.0103,0.0922,270,0.0526,0.2981,0.2426,0.0952,-0.0149,0.0
202603,46079,"lake, sd",432450.0,-0.1457,0.0838,52,0.1705,0.1977,45.0,-0.6141,-0.1214,26,1.1667,0.3,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.0333,-0.092,13.0,0.0833,-0.2353,236.0,-0.0269,0.033,2005.0,-0.0926,-0.0919,563720.0,-0.0937,0.0386,64,0.1532,0.0492,0.2524,-0.0203,-0.1429,0.0
202603,46049,"faulk, sd",170000.0,-0.2605,0.3655,2,-0.2,1.0,84.0,-0.1537,-0.664,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,89.0,0.0696,-0.1413,1932.0,-0.3,0.61,170000.0,-0.2437,0.3655,2,-0.2,1.0,,,,1.0
202603,46045,"edmunds, sd",178450.0,-0.1462,-0.1053,9,0.0588,-0.1,123.0,0.0187,0.0491,2,,-0.5,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,84.0,-0.0046,0.3559,2320.0,-0.0902,-0.0285,243260.0,0.0138,-0.1769,9,0.0588,-0.1818,,,,1.0
202603,46015,"brule, sd",317000.0,-0.0148,0.0567,18,0.2414,2.6,126.0,-0.0251,0.1455,6,0.0,0.5,0,,,0.0,0.0,0.0,2.0,-0.5,,0.0606,-0.1246,0.0606,2.0,-0.3333,1.0,181.0,-0.007,0.3482,1808.0,-0.0017,-0.0742,338606.0,-0.0129,0.1848,20,0.1111,3.0,0.1111,-0.0958,-0.0889,1.0
202603,46135,"yankton, sd",343400.0,0.0101,-0.0186,54,0.0808,0.2159,81.0,-0.0952,0.8352,28,0.5556,0.1667,0,,,0.0,0.0,0.0,8.0,1.0,0.0,0.0615,0.0215,-0.0236,33.0,0.0156,0.1207,183.0,0.0012,0.0618,1857.0,0.0,-0.1038,352809.0,-0.0194,-0.1782,85,0.0303,0.1806,0.6075,-0.039,-0.0516,0.0
202603,46107,"potter, sd",224200.0,0.0329,0.3588,6,0.0909,0.5,67.0,0.675,-0.0759,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,81.0,0.0913,-0.0675,2276.0,-0.0122,0.1891,221400.0,0.0085,-0.0237,6,0.0909,0.2,,,,0.0
202603,46043,"douglas, sd",232450.0,-0.256,1.7379,6,0.5,1.0,85.0,-0.1756,-0.5226,0,,,0,,,0.0,0.0,0.0,2.0,,,0.3333,0.3333,0.3333,1.0,0.0,0.0,99.0,-0.5584,0.6643,1991.0,-0.1589,0.3904,353967.0,-0.2701,1.6959,6,0.2,0.5,0.1667,-0.0833,-0.1667,1.0
202603,46053,"gregory, sd",354900.0,0.2968,0.7789,4,-0.3846,0.0,83.0,-0.1887,-0.6842,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,4.0,0.6,,172.0,0.5145,0.4625,1560.0,-0.1522,-0.1622,378480.0,0.1983,0.7245,9,0.0625,1.125,1.0,0.6154,,1.0
202603,46061,"hanson, sd",637500.0,0.1219,0.9646,2,-0.4,0.5,94.0,0.1157,-0.6124,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.5,,207.0,0.0,-0.0989,3293.0,0.0608,1.152,637500.0,0.0376,0.9646,3,0.0,2.0,1.0,0.6,,1.0
202603,46109,"roberts, sd",338700.0,0.3548,0.2227,8,-0.1667,-0.4231,84.0,-0.1884,0.2537,4,,-0.5,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.1667,0.0,6.0,0.8333,1.2,121.0,0.0155,-0.0974,2629.0,0.2763,0.1236,372738.0,0.306,0.1297,13,0.0833,-0.1333,0.7333,0.4,0.541,0.0
202603,46125,"turner, sd",362250.0,0.1661,0.4206,23,0.2162,1.0455,38.0,-0.5754,-0.5657,10,1.5,-0.1667,0,,,0.0,0.0,0.0,4.0,1.0,0.0,0.0784,0.0213,-0.0125,14.0,0.2273,-0.1563,167.0,-0.0333,0.1306,1672.0,-0.0024,-0.0446,352046.0,0.0954,0.2077,36,0.2203,0.3846,0.6,0.0054,-0.8545,0.0
202603,46105,"perkins, sd",164500.0,-0.009,0.0154,18,0.0606,0.75,208.0,0.1245,0.399,4,0.0,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,1.0,-0.5,101.0,0.0384,0.1945,1366.0,-0.038,-0.2256,184252.0,0.001,-0.6306,19,0.0857,0.3571,0.1143,0.0537,-0.2857,0.0
202603,46059,"hand, sd",250000.0,0.0642,-0.3243,9,-0.1,0.8,143.0,-0.0372,2.6538,0,,,0,,,0.0,0.0,0.0,2.0,,,0.1429,0.1429,0.1429,1.0,0.0,0.0,134.0,-0.0029,-0.165,1382.0,-0.0264,-0.1197,323656.0,0.1009,-0.1007,10,-0.0909,1.0,0.1111,0.0111,-0.0889,1.0
202603,46127,"union, sd",488050.0,0.1184,0.0275,47,-0.0962,-0.1132,60.0,-0.1314,0.1019,26,0.8571,0.625,0,,,0.0,0.0,0.0,8.0,-0.3333,1.0,0.0997,-0.0509,0.0456,12.0,-0.0769,0.2,170.0,-0.0172,-0.0517,2878.0,0.1362,0.0156,565572.0,0.1018,-0.2146,59,-0.0781,-0.0781,0.2553,0.0053,0.0666,0.0
202603,46119,"sully, sd",704950.0,0.0503,1.3538,2,0.3333,1.0,113.0,-0.1346,-0.5787,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,305.0,-0.0864,1.2431,2390.0,0.1518,0.0834,704950.0,0.0503,1.3538,2,0.3333,1.0,,,,1.0
202603,46087,"mccook, sd",266225.0,0.164,0.0142,16,0.1071,0.55,39.0,0.6596,-0.5714,6,0.5,-0.25,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.2031,-0.1143,6.0,-0.3529,-0.45,187.0,0.0683,0.3452,1733.0,0.2866,0.1773,312989.0,0.2351,0.0438,22,-0.0435,0.1,0.3548,-0.2523,-0.6452,0.0
202603,46103,"pennington, sd",399000.0,0.0141,-0.0023,380,0.072,0.3269,45.0,-0.3062,-0.1139,200,0.6129,0.4706,0,-1.0,,0.0,-0.003,0.0,82.0,0.1714,0.1389,0.1044,-0.0024,-0.0231,206.0,0.1381,0.3464,262.0,0.0709,0.0598,1800.0,-0.0091,-0.0113,622279.0,0.0472,0.1746,584,0.0977,0.3333,0.5428,0.0315,0.0079,0.0
202603,46007,"bennett, sd",262000.0,0.0,-0.0709,4,0.0,1.0,179.0,0.186,-0.4422,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,156.0,0.0,-0.1124,1810.0,0.0,0.0861,284500.0,0.0,0.0089,4,-0.1111,1.0,,,,0.0
202603,46039,"deuel, sd",304200.0,-0.1084,0.1503,13,0.1818,1.1667,69.0,-0.3857,0.2342,4,1.0,,0,,,0.0,0.0,0.0,4.0,,,0.16,0.16,0.16,7.0,0.625,2.25,131.0,0.1152,0.2865,1842.0,-0.2475,-0.2512,331762.0,-0.0284,-0.0669,20,0.3,1.1667,0.5,0.1364,0.1667,0.0
202603,46035,"davison, sd",337250.0,0.0235,-0.0804,44,-0.044,-0.0114,54.0,-0.4088,0.2442,20,-0.1667,-0.1667,0,,,0.0,0.0,0.0,10.0,0.25,1.5,0.1773,0.0702,0.1096,1.0,-0.5,0.0,202.0,0.0153,0.3519,1705.0,-0.0231,-0.1766,437987.0,-0.0873,-0.1144,45,-0.0532,0.0114,0.023,-0.021,0.0003,0.0
202603,46055,"haakon, sd",3999999.0,0.0,0.5873,1,-0.5,-0.5,,,,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,490.0,0.0,0.4715,8168.0,0.0,0.6041,3999999.0,0.0,0.5873,1,-0.5,-0.5,,,,1.0
202603,46097,"miner, sd",297200.0,-0.0246,1.972,7,0.1667,1.3333,31.0,-0.6265,-0.8086,2,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,115.0,-0.3707,0.262,1787.0,-0.0478,0.6288,305200.0,-0.228,-0.1968,7,0.0,0.75,0.1429,-0.0238,-0.1905,1.0
202603,46101,"moody, sd",235925.0,0.6565,-0.2121,10,0.7273,0.1875,32.0,0.0756,-0.7333,4,-0.3333,0.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,-0.4,-0.25,171.0,0.3656,-0.1581,1615.0,-0.0211,-0.1147,285179.0,0.5452,-0.3578,13,0.1905,0.0417,0.3158,-0.5933,-0.1842,1.0
202603,46025,"clark, sd",277175.0,0.4214,-0.2081,4,0.1667,-0.3,17.0,-0.8966,-0.777,4,,,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.6667,0.0,1.0,,0.0,114.0,0.3292,-0.1061,2207.0,-0.032,-0.198,280567.0,0.6002,-0.197,5,0.5,-0.25,0.2857,,0.0857,1.0
202603,46033,"custer, sd",779450.0,0.0149,-0.0552,40,0.0,-0.0244,72.0,0.0515,-0.2143,14,0.75,0.1667,0,,,0.0,0.0,0.0,8.0,1.0,0.0,0.1169,0.0491,-0.0259,14.0,0.2727,2.5,353.0,0.0342,-0.0195,2284.0,-0.0611,-0.0816,961345.0,0.0149,-0.0518,55,0.0583,0.2386,0.35,0.075,0.2524,0.0
202603,46023,"charles mix, sd",337000.0,0.1233,-0.1247,13,-0.1071,0.25,191.0,0.1611,0.6609,4,,0.0,0,,,0.0,0.0,0.0,0.0,-1.0,,0.0,-0.0952,0.0,3.0,0.0,1.5,212.0,0.3127,0.2264,1553.0,-0.0399,-0.0926,404781.0,0.1518,-0.8265,15,-0.1176,0.5,0.2,0.0214,0.1,1.0
202603,46063,"harding, sd",312498.0,-0.0385,,1,0.0,,196.0,0.1672,,0,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,167.0,-0.0385,,1872.0,0.0,,312498.0,-0.0385,,1,0.0,0.0,,,,0.0
202603,46057,"hamlin, sd",399000.0,0.177,0.1569,16,0.1071,0.1923,58.0,-0.5965,-0.1773,10,,1.5,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1053,-0.1818,6.0,0.2,0.0,187.0,0.0241,-0.014,2100.0,0.2766,0.4614,548606.0,0.5614,0.3463,22,0.1944,0.1944,0.3871,0.03,-0.0744,1.0
