month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,47177,"warren, tn",311850.0,0.026,-0.0688,206,-0.0024,0.0431,65.0,-0.1875,-0.1333,80,0.0256,0.1111,0,,,0.0,0.0,0.0,80.0,0.1765,0.0526,0.2389,0.0147,0.0316,67.0,0.5581,-0.0147,201.0,-0.0174,-0.0189,1613.0,0.0164,-0.0567,378196.0,0.0228,-0.0473,273,0.0771,0.0206,0.326,0.1173,-0.0191,0.0
202603,47033,"crockett, tn",282475.0,0.009,0.0272,38,0.0133,-0.2245,67.0,-0.1688,0.0076,8,0.0,0.0,0,,,0.0,0.0,0.0,10.0,0.6667,-0.5833,0.1846,0.0877,-0.1011,10.0,-0.24,-0.3667,162.0,0.0112,0.1021,1899.0,0.0456,0.0364,358251.0,0.0278,0.1658,48,-0.0306,-0.2578,0.25,-0.0833,-0.0561,0.0
202603,47165,"sumner, tn",484950.0,-0.0262,0.0319,1024,0.0876,0.2658,49.0,-0.0935,0.3108,528,0.32,0.1892,40,0.4286,-0.1667,0.0201,0.0054,-0.0074,330.0,-0.0782,0.0714,0.1623,-0.0177,-0.008,488.0,0.1309,-0.0963,232.0,0.001,0.0027,2197.0,-0.0182,0.0461,631036.0,-0.0038,0.0544,1511,0.1022,0.1332,0.4766,0.0183,-0.1909,0.0
202603,47001,"anderson, tn",397330.0,0.0188,0.1291,187,0.0054,0.2635,63.0,-0.2075,0.3404,78,-0.1522,-0.1522,2,-0.5,-0.5,0.0053,-0.0051,-0.0059,88.0,0.3333,0.375,0.2251,0.0448,0.0417,122.0,0.1244,0.0991,223.0,0.0115,0.0196,1771.0,-0.0085,0.0954,465124.0,-0.0175,0.0473,308,0.0476,0.1756,0.6524,0.0691,-0.0976,0.0
202603,47005,"benton, tn",250000.0,0.0,0.0846,59,0.0,-0.1136,82.0,-0.1576,-0.1726,20,1.0,-0.2857,0,,,0.0,0.0,0.0,8.0,3.0,-0.6,0.0817,0.0582,-0.0632,24.0,0.0909,0.0435,159.0,-0.0084,0.0017,1549.0,0.0928,0.0353,317208.0,0.0262,-0.019,80,0.0127,-0.1011,0.4103,0.0342,0.0618,0.0
202603,47017,"carroll, tn",270950.0,-0.0055,0.097,110,0.0577,0.0891,95.0,-0.1983,-0.1667,30,-0.0625,-0.0625,0,,,0.0,0.0,0.0,32.0,0.4545,-0.1111,0.1995,0.0631,-0.011,23.0,-0.0625,-0.5,145.0,-0.0263,-0.0302,1757.0,0.0387,0.029,326370.0,-0.0157,0.0275,133,0.0392,-0.0799,0.2045,-0.0262,-0.241,0.0
202603,47127,"moore, tn",592500.0,0.0085,0.197,29,0.0,-0.1857,95.0,-0.1038,0.1377,10,0.25,-0.1667,0,,,0.0,0.0,0.0,10.0,0.25,0.25,0.2011,0.0318,0.0556,8.0,0.4545,-0.2727,243.0,0.0042,0.0582,2582.0,0.0736,0.1844,748870.0,0.0562,0.1671,36,0.0441,-0.2111,0.2807,0.0877,-0.0336,0.0
202603,47103,"lincoln, tn",345000.0,0.0143,0.1795,135,0.0112,0.1538,63.0,-0.1158,-0.125,62,0.3478,0.9375,0,-1.0,,0.0,-0.0084,0.0,60.0,0.0,0.0714,0.2494,-0.0143,-0.0186,43.0,-0.0444,-0.0652,180.0,-0.0113,0.0485,2031.0,0.0752,0.11,474076.0,-0.0279,0.2563,178,-0.0056,0.1025,0.3185,-0.0186,-0.0746,1.0
202603,47115,"marion, tn",511000.0,0.1523,0.4194,152,0.0375,0.7079,85.0,-0.0556,0.4655,42,0.4,0.5,2,,,0.0083,0.0083,0.0083,44.0,-0.0435,0.375,0.1845,-0.0345,-0.013,46.0,0.2133,-0.0319,256.0,0.0951,0.171,2026.0,0.0745,0.1035,710213.0,0.0686,0.4141,197,0.0708,0.4664,0.2993,0.0434,-0.2287,0.0
202603,47119,"maury, tn",474760.0,0.0295,0.0321,678,0.072,0.3258,44.0,-0.0745,0.0116,350,0.1986,0.2153,36,0.125,0.5,0.0259,0.0013,0.005,214.0,0.049,0.0918,0.1497,-0.011,-0.0212,366.0,0.1384,0.1159,230.0,-0.0071,0.0095,2167.0,0.0302,0.0278,625315.0,-0.0534,0.0051,1047,0.101,0.2268,0.5402,0.0315,-0.1017,0.0
