month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,51053,"dinwiddie, va",319900.0,-0.0157,-0.0003,32,0.0492,0.0667,60.0,0.149,0.2849,18,0.2857,-0.3571,0,,,0.0,0.0,0.0,12.0,0.0,2.0,0.1533,0.0192,0.0961,37.0,-0.0267,0.46,222.0,-0.0132,0.0872,1584.0,0.0102,0.0134,324797.0,-0.0327,-0.1216,68,-0.0146,0.2273,1.1406,-0.0889,0.3073,0.0
202603,51770,"roanoke, va",239963.0,0.0147,0.023,248,0.0738,0.5968,62.0,-0.259,0.4471,154,0.7907,0.375,4,1.0,,0.0074,0.0034,0.0074,88.0,0.0233,0.375,0.1612,-0.026,0.0095,154.0,0.1984,0.1756,170.0,0.012,0.0046,1541.0,0.0138,0.0098,296319.0,0.0399,0.005,406,0.1388,0.4196,0.6222,0.0647,-0.2229,0.0
202603,51510,"alexandria, va",512450.0,0.0073,-0.1891,283,0.1578,0.3582,25.0,-0.2403,0.2895,238,0.3523,-0.0246,0,-1.0,-1.0,0.0,-0.0038,-0.0055,80.0,0.3333,0.0526,0.1163,0.0152,-0.0199,188.0,0.25,0.1792,432.0,-0.0044,-0.0354,1122.0,-0.0184,-0.1106,703772.0,-0.0223,-0.1888,471,0.1954,0.2869,0.6637,0.049,-0.1007,1.0
202603,51057,"essex, va",366238.0,-0.0547,0.018,45,0.1111,-0.1,65.0,0.0837,-0.1007,16,-0.2,0.3333,0,,,0.0,0.0,0.0,14.0,2.5,0.1667,0.1785,0.1291,0.0548,20.0,0.0,-0.2778,231.0,-0.0184,0.0067,1701.0,0.023,0.0569,570688.0,-0.0683,0.0782,63,0.0588,-0.1818,0.4333,-0.0481,-0.1067,0.0
202603,51047,"culpeper, va",619475.0,-0.0088,0.0482,140,0.1529,0.1341,45.0,-0.288,0.1125,94,0.8077,0.2368,4,0.0,-0.5,0.0133,-0.003,-0.0175,28.0,0.0769,-0.125,0.0912,-0.011,-0.0372,70.0,-0.0671,-0.0608,262.0,0.0477,0.0761,2228.0,-0.0248,-0.0311,842379.0,-0.0256,0.0417,209,0.0829,0.0609,0.4982,-0.1175,-0.1034,0.0
202603,51720,"norton, va",159900.0,-0.0231,-0.1214,12,0.2632,0.3333,77.0,-0.4369,0.0548,4,,0.0,0,,,0.0,0.0,0.0,2.0,-0.5,-0.75,0.0833,-0.1553,-0.2976,4.0,-0.2727,0.0,94.0,-0.0569,-0.0594,1600.0,-0.0154,-0.1561,180272.0,-0.0999,-0.0714,16,0.0667,0.2308,0.3333,-0.2456,-0.1111,1.0
202603,51099,"king george, va",523675.0,-0.0261,-0.1271,73,0.1694,0.6111,45.0,-0.2275,0.1842,40,0.5385,0.1111,4,,,0.0247,0.0247,0.0247,16.0,7.0,1.0,0.1029,0.0882,0.0413,43.0,-0.0957,-0.213,230.0,-0.0491,-0.0157,2372.0,0.0051,-0.1342,597403.0,-0.0107,-0.0065,115,0.0455,0.15,0.5862,-0.1719,-0.6138,1.0
202603,51089,"henry, va",180500.0,-0.0243,-0.1766,172,0.0889,0.7323,74.0,-0.0327,0.2542,66,-0.1951,0.1,0,,,0.0,0.0,0.0,70.0,0.25,1.5,0.2226,0.0506,0.126,76.0,0.0411,-0.2245,127.0,-0.0389,-0.049,1394.0,-0.0328,-0.103,252492.0,-0.0202,0.0023,248,0.0759,0.3053,0.4431,-0.0203,-0.5468,1.0
202603,51035,"carroll, va",302225.0,0.0425,0.0702,103,0.1196,0.4928,84.0,-0.2099,-0.2962,38,0.9,0.5833,0,,,0.0,0.0,0.0,36.0,0.6364,1.25,0.2123,0.0652,0.0873,38.0,0.1194,0.0714,182.0,0.036,0.0633,1564.0,-0.0319,-0.0228,369048.0,0.0035,0.1217,141,0.1377,0.3381,0.3641,-0.0001,-0.1432,0.0
202603,51159,"richmond, va",356225.0,-0.0851,0.0181,23,0.0,-0.3182,156.0,0.1476,2.5341,12,5.0,0.5,2,,,0.0444,0.0444,0.0444,4.0,1.0,-0.6667,0.0827,0.0182,-0.0817,11.0,0.1579,-0.2667,223.0,0.0148,-0.005,1641.0,-0.0086,-0.0038,365753.0,-0.0152,-0.1697,34,0.0635,-0.3163,0.4889,0.0667,0.0343,1.0
