month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,50015,"lamoille, vt",644250.0,-0.0926,0.2271,152,-0.0256,0.567,121.0,-0.0082,0.0042,30,-0.25,0.25,0,,,0.0,0.0,0.0,18.0,-0.1818,0.5,0.0876,-0.0038,0.0106,37.0,0.0735,-0.2396,422.0,0.0027,0.4206,2456.0,-0.0077,-0.0137,1373958.0,0.0256,0.0969,191,-0.0026,0.3138,0.2401,0.0222,-0.2547,0.0
202603,50013,"grand isle, vt",493750.0,-0.1769,-0.1413,30,0.1111,0.0714,113.0,-0.1755,0.0344,8,1.0,,0,,,0.0,0.0,0.0,4.0,0.0,,0.0854,-0.0258,0.0854,7.0,0.4444,0.3,258.0,-0.0278,-0.1469,2233.0,0.0085,0.2242,676236.0,0.0733,0.0233,38,0.1905,0.1719,0.2167,0.05,0.0381,1.0
202603,50027,"windsor, vt",604500.0,-0.0033,0.0991,256,-0.0412,0.0492,110.0,-0.0984,0.4865,78,0.56,-0.0714,0,-1.0,,0.0,-0.0098,0.0,36.0,0.125,-0.1,0.0829,0.0046,-0.0058,105.0,0.0885,-0.0913,294.0,-0.0017,-0.0302,2094.0,0.0078,0.1369,1126126.0,0.0211,0.3613,359,-0.011,-0.0164,0.4082,0.0487,-0.0631,0.0
202603,50001,"addison, vt",543500.0,0.0216,0.016,42,-0.1765,-0.16,139.0,-0.0331,1.2561,22,0.1,-0.2143,0,,,0.0,0.0,0.0,2.0,-0.75,-0.8333,0.0167,-0.055,-0.0709,53.0,0.129,0.25,269.0,0.0118,0.0651,2026.0,0.0015,-0.0408,1114065.0,0.032,-0.0413,94,-0.041,0.0625,1.25,0.3382,0.41,1.0
202603,50021,"rutland, vt",440000.0,-0.0151,-0.1198,156,0.0196,0.0612,86.0,-0.2159,0.0268,52,0.0833,0.1818,2,,,0.0066,0.0066,0.0066,34.0,0.3077,0.2143,0.1142,0.0178,0.019,84.0,0.0637,0.057,230.0,0.0672,-0.0196,1760.0,0.0124,-0.2468,692720.0,0.0614,-0.2483,240,0.0323,0.0551,0.5353,0.0222,-0.0022,1.0
202603,50007,"chittenden, vt",554450.0,-0.0097,-0.1032,240,0.0762,0.4118,55.0,-0.3313,0.3974,150,0.25,0.0135,2,0.0,,0.0034,-0.0012,0.0034,34.0,-0.3462,-0.2917,0.0552,-0.0496,-0.0489,214.0,0.321,0.3049,320.0,0.0325,0.039,1801.0,-0.0126,-0.1087,669874.0,-0.019,-0.1628,458,0.1852,0.378,0.8917,0.1652,-0.073,1.0
202603,50005,"caledonia, vt",361975.0,-0.0299,-0.0716,61,0.0427,-0.0317,135.0,0.0889,-0.0956,18,1.25,-0.1,0,,,0.0,0.0,0.0,4.0,-0.7143,0.0,0.0374,-0.1042,-0.001,28.0,-0.2143,0.0185,182.0,-0.0202,-0.1797,2003.0,0.0002,0.1693,527384.0,-0.0067,0.1895,88,-0.0588,-0.033,0.4508,-0.1475,0.0222,0.0
202603,50003,"bennington, vt",644000.0,-0.0081,-0.0626,130,0.097,0.2871,102.0,-0.119,-0.2627,50,0.9231,0.3889,2,,,0.0082,0.0082,0.0082,24.0,1.4,2.0,0.0982,0.0448,0.0508,58.0,0.2234,0.1275,284.0,-0.0077,0.0695,2299.0,-0.0088,-0.0423,1014500.0,-0.0244,0.0104,191,0.1506,0.2566,0.4423,0.0457,-0.0626,0.0
202603,50025,"windham, vt",509000.0,0.0377,-0.0729,253,-0.0307,0.2317,121.0,-0.0472,0.375,58,-0.0333,-0.0938,0,,,0.0,0.0,0.0,34.0,-0.1053,-0.2273,0.0914,-0.001,-0.0275,86.0,0.0886,0.1026,253.0,-0.002,-0.0294,2064.0,0.0017,-0.0007,746795.0,0.0504,-0.0943,338,-0.0088,0.1801,0.3406,0.0373,-0.0399,0.0
202603,50019,"orleans, vt",363725.0,-0.0403,0.0392,87,0.0176,-0.017,100.0,-0.215,-0.2893,24,0.0909,0.0,0,,,0.0,0.0,0.0,8.0,-0.3333,-0.3333,0.0537,-0.0316,-0.0302,37.0,0.0882,0.3704,216.0,-0.0445,0.0601,1886.0,-0.0422,0.0563,480411.0,-0.0885,0.0347,124,0.0466,0.0466,0.4277,0.0277,0.1209,0.0
202603,50011,"franklin, vt",397000.0,0.0032,-0.0364,132,0.1186,0.6709,59.0,-0.3371,-0.1806,52,0.4444,0.625,0,,,0.0,0.0,0.0,32.0,0.2308,0.6,0.1312,0.0065,0.0201,62.0,0.1495,-0.0538,232.0,-0.0174,0.0378,1680.0,0.015,-0.0313,449160.0,0.0237,0.0321,194,0.125,0.3723,0.4659,0.0125,-0.3569,0.0
202603,50009,"essex, vt",362000.0,0.1681,0.1869,37,0.0,0.3704,125.0,0.2087,0.004,6,-0.5,-0.5,0,,,0.0,0.0,0.0,6.0,0.5,,0.1147,0.0468,0.1147,7.0,-0.2778,-0.35,202.0,-0.0009,0.001,1567.0,-0.0306,-0.0583,382714.0,0.0075,-0.0727,44,-0.0435,0.1579,0.1757,-0.0676,-0.1947,0.0
202603,50023,"washington, vt",422875.0,-0.0481,-0.0603,129,0.0,0.4494,84.0,-0.1046,0.1133,50,0.4706,-0.1071,0,,,0.0,0.0,0.0,30.0,0.1538,0.5,0.1263,0.0065,0.043,68.0,0.1842,-0.0493,295.0,0.0694,0.1331,1680.0,-0.0224,-0.0596,585206.0,-0.0074,-0.1785,197,0.0508,0.2437,0.5233,0.0814,-0.2745,0.0
202603,50017,"orange, vt",426250.0,-0.0058,-0.1026,50,0.087,0.2195,66.0,-0.3367,-0.3889,32,3.0,0.6,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.0775,-0.0336,0.0305,21.0,0.0769,-0.125,199.0,-0.036,-0.1729,2155.0,0.0799,0.0072,512597.0,0.0672,-0.2238,71,0.0923,0.029,0.42,-0.0039,-0.1654,1.0
