month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,53059,"skamania, wa",699000.0,-0.0516,-0.068,39,0.1667,0.1,86.0,-0.4062,-0.1108,12,1.0,-0.4,0,,,0.0,0.0,0.0,10.0,0.0,-0.1667,0.1667,-0.0188,-0.0208,9.0,-0.3704,0.4167,327.0,0.0516,0.0133,1761.0,-0.0224,-0.1727,883934.0,-0.0379,-0.1524,46,-0.0215,0.0581,0.2208,-0.1883,0.0494,0.0
202603,53013,"columbia, wa",351000.0,0.0174,0.003,20,0.0263,0.5,144.0,0.1381,-0.0541,6,,,0,,,0.0,0.0,0.0,2.0,,-0.5,0.0588,0.0588,-0.1151,5.0,-0.1818,-0.3571,169.0,-0.0227,-0.0143,2263.0,0.0472,0.1401,449419.0,0.014,0.1278,25,0.0638,0.3158,0.2308,-0.0587,-0.3077,0.0
202603,53045,"mason, wa",516000.0,0.0617,0.0321,188,0.0562,0.2208,48.0,-0.4099,-0.0404,98,0.3611,0.2895,0,,-1.0,0.0,0.0,-0.0123,74.0,0.6087,0.5417,0.2067,0.0526,0.0451,74.0,0.3578,-0.0864,299.0,0.0022,-0.0028,1751.0,0.0211,0.0171,623930.0,0.0229,-0.0173,262,0.1394,0.0987,0.3936,0.0874,-0.1324,0.0
202603,53075,"whitman, wa",368000.0,0.0403,-0.0856,116,0.1262,0.3182,50.0,-0.1239,-0.1316,52,0.1304,0.0833,0,,,0.0,0.0,0.0,20.0,0.1111,-0.1667,0.0875,-0.0203,-0.0768,34.0,0.2407,0.5227,189.0,-0.0105,-0.0404,2132.0,0.0194,0.061,431799.0,0.0231,-0.0323,151,0.1571,0.3482,0.2888,0.0267,0.0388,0.0
202603,53055,"san juan, wa",1209500.0,-0.0206,-0.0872,109,0.1784,0.172,102.0,-0.2199,0.1461,44,1.2,0.0,0,,,0.0,0.0,0.0,14.0,1.3333,0.1667,0.0781,0.0334,-0.0075,21.0,0.3125,0.1053,677.0,0.0245,0.0146,1824.0,-0.0295,-0.1558,1887352.0,0.0279,-0.0527,131,0.2074,0.1696,0.1927,0.0197,-0.0116,0.0
202603,53071,"walla walla, wa",552250.0,0.06,-0.0225,166,0.1696,0.6225,58.0,-0.3195,0.1275,70,0.25,0.1667,0,-1.0,,0.0,-0.0065,0.0,54.0,0.5882,0.5,0.1702,0.0527,0.0318,83.0,-0.0349,0.2576,261.0,0.0332,0.0101,2290.0,0.0402,0.0142,698179.0,0.0587,0.0376,249,0.0947,0.4448,0.5015,-0.1063,-0.1455,0.0
202603,53049,"pacific, wa",424950.0,-0.0001,-0.0555,181,0.0774,0.3116,88.0,-0.3383,0.0,56,0.2727,-0.0667,0,-1.0,,0.0,-0.0085,0.0,42.0,0.75,0.5,0.1499,0.0509,0.0286,37.0,0.2807,0.3036,303.0,-0.0017,-0.0109,1446.0,0.0075,-0.0334,506430.0,0.0138,-0.0377,216,0.0967,0.2602,0.2017,0.032,-0.0012,0.0
202603,53053,"pierce, wa",644384.0,0.0118,0.0124,1652,0.0693,0.2743,39.0,-0.2376,0.0405,1098,0.1935,0.064,60,0.0345,0.5,0.0154,-0.0006,0.004,670.0,0.2934,0.4565,0.1704,0.0205,0.0373,1182.0,0.135,0.079,316.0,0.0001,-0.0192,2136.0,0.0136,0.0213,772531.0,0.0173,0.0158,2845,0.0991,0.1877,0.7154,0.0414,-0.1295,0.0
202603,53039,"klickitat, wa",587500.0,-0.0114,-0.1595,65,0.0236,-0.0299,132.0,-0.0521,0.1579,26,0.3,-0.2778,6,0.5,0.5,0.0494,0.0144,0.0204,16.0,0.1429,-0.2,0.1509,0.0136,-0.0041,24.0,-0.0943,0.7143,323.0,0.093,-0.1009,1781.0,0.0195,-0.1095,792516.0,0.0047,-0.0916,89,-0.0221,0.0926,0.3692,-0.0481,0.1603,1.0
202603,53029,"island, wa",797000.0,0.1054,0.1147,220,0.1897,-0.0157,37.0,-0.415,-0.1778,146,0.825,-0.0641,0,,-1.0,0.0,0.0,-0.0092,60.0,0.3043,0.0714,0.1223,-0.0001,-0.006,115.0,0.1558,-0.0574,378.0,0.0483,0.0149,2108.0,0.0364,0.1412,1084384.0,0.0426,0.0555,339,0.1856,-0.0188,0.5239,-0.0154,-0.0232,0.0
