month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,54063,"monroe, wv",230350.0,0.0751,-0.3548,43,0.0886,0.8696,107.0,-0.0697,0.112,18,3.5,1.25,0,,,0.0,0.0,0.0,6.0,0.5,0.5,0.08,0.0073,-0.007,14.0,0.2174,0.2727,145.0,-0.0401,-0.3032,1736.0,0.0517,-0.0374,340260.0,0.0008,-0.4122,57,0.1176,0.6765,0.3256,0.0344,-0.1527,1.0
202603,54073,"pleasants, wv",235000.0,-0.0136,0.0,13,0.625,1.1667,77.0,-0.2073,1.55,4,0.0,0.0,0,,,0.0,0.0,0.0,4.0,,,0.1678,0.1678,0.1678,6.0,-0.2143,0.8333,158.0,0.0555,0.6344,2044.0,-0.0917,0.1966,394565.0,-0.0142,0.3319,19,0.2333,0.85,0.4231,-0.4519,-0.0769,1.0
202603,54047,"mcdowell, wv",88725.0,0.0438,0.0198,17,0.0968,-0.0556,97.0,-0.2643,0.0184,8,1.0,1.0,0,,,0.0,0.0,0.0,4.0,0.0,,0.1094,-0.0123,0.1094,15.0,0.16,2.625,53.0,-0.104,0.1045,1519.0,0.1056,-0.0873,130577.0,-0.1375,0.3937,29,0.0741,0.3182,0.8529,0.0465,0.6307,1.0
202603,54011,"cabell, wv",164900.0,0.1478,0.0182,144,0.0,-0.086,59.0,-0.3059,0.0172,86,0.9545,0.2647,2,,,0.0059,0.0059,0.0059,34.0,0.5455,-0.2273,0.1016,0.0279,-0.039,104.0,0.0,0.0561,102.0,0.0332,-0.0251,1582.0,0.0102,-0.0611,414309.0,0.9164,0.6584,245,0.0041,-0.0392,0.7213,0.0,0.0971,0.0
202603,54013,"calhoun, wv",166425.0,-0.0122,-0.0422,12,0.0455,-0.1786,140.0,0.0645,0.1786,2,0.0,-0.5,0,,,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.1429,-0.1905,3.0,-0.1667,-0.375,101.0,0.0212,0.1813,1600.0,0.0013,-0.2099,206362.0,0.0161,0.2493,14,0.0,-0.1765,0.2174,-0.0553,-0.0683,0.0
202603,54017,"doddridge, wv",106000.0,-0.1167,-0.4111,7,0.4,1.3333,174.0,0.1734,1.8802,4,,0.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,3.0,-0.25,0.5,116.0,0.0256,0.4215,1432.0,0.1365,-0.0677,181276.0,0.5932,0.1449,10,0.1111,0.6667,0.4286,-0.3714,-0.2381,1.0
202603,54045,"logan, wv",130000.0,-0.017,-0.2571,22,-0.1852,0.0476,92.0,-0.1002,-0.1402,8,0.3333,,0,,,0.0,0.0,0.0,8.0,0.0,1.0,0.1617,0.0147,0.0747,20.0,0.4444,0.5,92.0,0.006,-0.0136,1620.0,0.0355,-0.176,141194.0,0.0297,-0.2841,42,0.0506,0.2969,0.8864,0.3864,0.2673,1.0
202603,54039,"kanawha, wv",158550.0,0.0108,-0.0388,331,0.003,0.324,65.0,-0.1224,0.1316,146,0.4038,0.0429,2,0.0,-0.5,0.003,-0.0004,-0.0035,86.0,0.0238,0.3438,0.1285,-0.0204,0.0241,172.0,0.0886,-0.2,108.0,0.0192,0.0,1554.0,-0.0136,-0.0288,206875.0,-0.0039,-0.0674,505,0.0328,0.0666,0.5196,0.0408,-0.3404,0.0
202603,54083,"randolph, wv",229900.0,0.0455,-0.1491,66,-0.0222,0.32,126.0,0.012,0.2115,18,0.125,-0.1,0,,,0.0,0.0,0.0,24.0,1.4,0.5,0.2337,0.1414,0.0578,24.0,0.3714,1.0,149.0,-0.0034,0.0368,1587.0,0.0043,-0.1211,284274.0,0.0919,-0.1774,90,0.0407,0.3769,0.3636,0.1044,0.1236,1.0
202603,54077,"preston, wv",277500.0,0.1935,0.0202,47,-0.0408,0.175,96.0,-0.1213,0.2973,32,2.2,0.3333,0,,,0.0,0.0,0.0,4.0,-0.6667,-0.5,0.0348,-0.1153,-0.0957,29.0,0.4146,0.7059,163.0,0.0024,0.0563,1460.0,0.0242,-0.1887,291283.0,0.1175,0.0889,74,0.0571,0.2542,0.617,0.1987,0.192,0.0
202603,54037,"jefferson, wv",422247.0,-0.0065,0.0078,235,0.0805,0.25,35.0,-0.0789,-0.2045,208,0.0196,1.0,24,-0.5,-0.25,0.0328,-0.0449,-0.0301,66.0,0.4348,0.1786,0.0995,0.0255,-0.0146,276.0,0.2517,0.3206,191.0,0.0104,-0.0382,2194.0,0.0029,0.0398,476392.0,0.0066,0.0017,520,0.1872,0.3065,1.1745,0.1607,0.0628,1.0
202603,54095,"tyler, wv",144725.0,-0.3007,0.3796,11,-0.0435,0.1,83.0,-0.33,-0.2292,4,-0.3333,0.0,0,,,0.0,0.0,0.0,0.0,,-1.0,0.0,0.0,-0.2105,8.0,0.25,0.875,127.0,-0.0326,0.2925,1346.0,-0.0136,0.2234,222463.0,0.0788,0.9988,19,0.0571,0.2333,0.6818,0.1601,0.2818,0.0
202603,54031,"hardy, wv",357475.0,0.0252,0.0214,28,0.1224,-0.0833,33.0,-0.6338,-0.6814,20,0.4286,0.25,0,,,0.0,0.0,0.0,8.0,3.0,-0.3333,0.126,0.0921,-0.1667,15.0,-0.0333,0.6111,204.0,0.0876,-0.0947,1729.0,0.0213,-0.0394,372657.0,0.0462,-0.1431,43,0.0886,0.1622,0.5273,-0.085,0.2273,1.0
202603,54093,"tucker, wv",265000.0,0.0,-0.2362,38,-0.026,-0.2021,132.0,0.1407,-0.0453,8,3.0,-0.5,0,,,0.0,0.0,0.0,2.0,0.0,-0.5,0.037,0.0007,-0.0227,9.0,-0.2917,-0.2917,247.0,0.0755,0.0737,1350.0,0.0045,-0.2533,386334.0,0.0415,-0.1142,47,-0.0792,-0.1983,0.2267,-0.085,-0.0287,1.0
202603,54029,"hancock, wv",157000.0,0.0187,-0.115,45,-0.1835,0.1711,80.0,-0.1975,-0.1463,24,1.0,0.0,0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0684,-0.0131,-0.0124,40.0,0.2698,0.1429,110.0,0.0291,-0.1343,1541.0,0.0155,0.0135,194857.0,0.0314,-0.2602,87,0.0237,0.1689,0.8989,0.3209,-0.0222,1.0
202603,54051,"marshall, wv",197000.0,0.0039,0.2127,49,0.0104,-0.1019,101.0,0.0308,0.675,30,2.75,0.25,0,,,0.0,0.0,0.0,14.0,0.75,-0.3,0.1232,0.0321,-0.0463,40.0,0.2308,0.1765,122.0,0.0571,0.1413,1526.0,-0.0089,0.0175,209159.0,-0.0218,0.1428,85,0.0625,-0.0341,0.8247,0.1477,0.1951,0.0
202603,54099,"wayne, wv",172575.0,0.012,-0.0912,54,0.0,0.5,71.0,-0.0903,-0.06,16,-0.2,-0.2,2,,,0.0202,0.0202,0.0202,12.0,-0.25,0.0,0.1286,-0.0322,0.0195,27.0,0.1489,0.0,113.0,0.0245,-0.0657,1534.0,-0.0519,-0.0569,205566.0,-0.0093,-0.118,82,0.0581,0.2813,0.5,0.0648,-0.25,0.0
202603,54103,"wetzel, wv",168475.0,0.0546,-0.136,19,-0.3667,-0.1739,75.0,-0.0596,-0.3182,6,-0.4,-0.25,0,,,0.0,0.0,0.0,4.0,-0.3333,-0.6667,0.0697,-0.0322,-0.216,26.0,0.2683,2.25,112.0,0.0931,-0.0418,1498.0,-0.0094,0.1144,203234.0,0.1931,0.1107,46,-0.08,0.4839,1.3684,0.6851,1.0206,1.0
202603,54049,"marion, wv",158625.0,-0.0897,-0.0386,75,0.0638,-0.026,50.0,-0.3322,0.2438,62,0.9375,0.4091,0,,,0.0,0.0,0.0,30.0,0.875,0.5,0.142,0.0449,0.017,65.0,0.215,0.0317,118.0,-0.0515,-0.0183,1594.0,0.0145,0.0374,194443.0,-0.0037,-0.0288,140,0.1205,-0.0036,0.8667,0.1078,0.0485,0.0
202603,54035,"jackson, wv",252500.0,0.1222,0.0565,30,0.18,0.0536,53.0,0.0553,-0.2279,16,1.6667,0.3333,0,,,0.0,0.0,0.0,6.0,-0.5,0.5,0.0964,-0.2055,0.0237,13.0,0.1364,-0.375,125.0,-0.015,0.0256,2134.0,0.216,0.1249,449223.0,0.5171,0.4258,43,0.1806,-0.1146,0.4237,-0.0163,-0.2906,0.0
202603,54053,"mason, wv",214000.0,0.0376,0.07,32,-0.0857,0.3333,97.0,-0.0766,0.595,12,2.0,0.0,0,,,0.0,0.0,0.0,8.0,1.0,1.0,0.14,0.0614,0.0584,16.0,0.1923,0.1071,118.0,0.0032,0.0435,1531.0,-0.0284,-0.0234,215805.0,-0.0341,-0.079,48,-0.0306,0.25,0.4844,0.1129,-0.099,0.0
202603,54101,"webster, wv",80000.0,0.0667,-0.0805,14,0.12,1.0,70.0,-0.254,-0.4551,6,0.0,0.5,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2.0,-0.3333,0.0,78.0,0.1264,-0.3017,1457.0,0.0203,0.3726,122646.0,0.1549,-0.2459,16,0.0323,0.7778,0.1429,-0.0971,-0.1429,0.0
202603,54065,"morgan, wv",415000.0,0.0472,0.1857,61,-0.1644,-0.1029,81.0,0.1919,0.3922,24,0.0909,-0.1429,0,,,0.0,0.0,0.0,18.0,0.125,-0.1,0.1386,0.0201,-0.0416,48.0,0.1163,0.3714,238.0,0.0641,0.1686,1870.0,0.04,0.0784,437999.0,0.0366,0.1836,111,-0.0391,0.105,0.7869,0.1978,0.2722,0.0
