month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202603,56023,"lincoln, wy",625000.0,0.1426,-0.0134,122,0.0749,-0.024,117.0,-0.2484,-0.0043,40,0.1765,0.6667,0,,,0.0,0.0,0.0,14.0,-0.3,0.75,0.0727,-0.0424,0.0242,28.0,0.1957,0.1957,324.0,0.0939,0.0166,2083.0,0.0355,0.0325,1022283.0,0.0811,-0.1709,150,0.1029,0.0204,0.2254,0.0228,0.0414,0.0
202603,56001,"albany, wy",405500.0,0.0,-0.0949,75,-0.0387,0.0068,48.0,-0.4811,-0.2381,36,0.0,-0.3571,0,,,0.0,0.0,0.0,2.0,0.0,-0.8333,0.0118,0.0007,-0.058,55.0,0.2088,0.7742,238.0,-0.0041,0.1588,1798.0,-0.0666,-0.2154,531298.0,-0.0146,-0.0997,129,0.0795,0.1835,0.7383,0.1512,0.3193,0.0
202603,56015,"goshen, wy",235000.0,0.0,-0.2419,52,0.0198,0.051,84.0,-0.0118,-0.1814,12,0.0,0.0,0,,,0.0,0.0,0.0,8.0,-0.3333,0.0,0.1317,-0.0606,0.0067,2.0,1.0,-0.3333,112.0,-0.0374,-0.1855,1930.0,0.0376,-0.0721,324899.0,-0.0379,-0.1511,53,0.0192,0.0192,0.0388,0.019,-0.0224,1.0
202603,56045,"weston, wy",278750.0,0.1265,-0.1849,23,-0.2203,-0.2069,110.0,0.4503,0.3602,4,-0.5,-0.6667,0,,,0.0,0.0,0.0,6.0,0.0,-0.25,0.1291,-0.0003,-0.0569,15.0,0.45,2.625,156.0,0.0221,-0.053,2012.0,0.0079,0.028,616362.0,0.1323,0.1793,37,-0.0875,0.1061,0.6304,0.2915,0.4925,1.0
202603,56029,"park, wy",549750.0,0.0023,-0.0714,139,0.183,-0.028,66.0,-0.4449,-0.2294,50,0.5625,-0.2647,0,,,0.0,0.0,0.0,44.0,0.6923,0.375,0.1992,0.0629,0.0673,34.0,-0.2118,-0.2872,242.0,-0.008,-0.103,2237.0,0.0233,-0.0097,925405.0,0.0218,-0.0356,171,0.0757,-0.1073,0.241,-0.1207,-0.0877,0.0
202603,56041,"uinta, wy",422750.0,-0.0225,0.1759,64,0.0672,0.5875,94.0,0.0565,0.8155,18,-0.1,-0.1,0,,,0.0,0.0,0.0,10.0,0.25,0.25,0.1375,0.0313,-0.008,,,,179.0,-0.0089,-0.0507,2386.0,0.0241,0.2704,492465.0,0.0091,0.1229,64,0.0496,0.5119,,,,0.0
202603,56043,"washakie, wy",282750.0,-0.0496,-0.1093,26,0.1556,0.1304,67.0,0.1703,-0.4786,6,0.0,0.5,0,,,0.0,0.0,0.0,4.0,-0.3333,,0.1296,-0.031,0.1296,4.0,0.0,0.0,137.0,-0.0306,-0.1504,2040.0,-0.0116,0.0144,299552.0,-0.0225,-0.1596,28,0.1,0.0577,0.1538,-0.0239,-0.0201,1.0
202603,56003,"big horn, wy",388500.0,0.0528,0.036,49,0.0208,0.8148,112.0,-0.1096,0.3147,14,0.0,0.1667,0,,,0.0,0.0,0.0,8.0,3.0,1.0,0.1042,0.0785,0.0172,16.0,0.24,1.2143,177.0,-0.0028,0.0727,2076.0,0.0546,0.1531,560912.0,0.0264,0.1771,65,0.1026,0.8971,0.3163,0.0559,0.0571,0.0
202603,56031,"platte, wy",354000.0,0.0458,-0.0805,42,-0.0568,-0.117,143.0,0.0399,0.3023,4,-0.3333,-0.75,0,,,0.0,0.0,0.0,4.0,-0.5,0.0,0.069,-0.0678,-0.0079,10.0,0.1176,0.1875,188.0,0.0609,0.002,2121.0,0.0108,-0.0018,469689.0,-0.0012,-0.2843,51,-0.0286,-0.0556,0.2289,0.0357,0.0587,1.0
202603,56037,"sweetwater, wy",337250.0,-0.0052,-0.0697,105,-0.0324,0.5145,53.0,0.0194,0.0294,44,0.0,0.1,0,,,0.0,0.0,0.0,26.0,-0.2778,-0.0714,0.1767,-0.054,-0.0205,1.0,,,154.0,0.0342,0.0249,2225.0,-0.0275,-0.0683,373136.0,0.0072,-0.0799,106,-0.0231,0.529,0.0096,,,0.0
202603,56013,"fremont, wy",379250.0,-0.0149,-0.2776,144,0.036,0.2632,110.0,0.0379,0.2099,42,0.5,0.75,0,,,0.0,0.0,0.0,14.0,0.75,0.1667,0.0712,0.0222,-0.0177,4.0,0.6,-0.5,191.0,-0.0384,-0.1683,1994.0,0.0243,-0.011,513411.0,-0.0071,-0.3295,147,0.0389,0.2049,0.0278,0.0098,-0.0424,1.0
202603,56027,"niobrara, wy",148750.0,0.142,-0.0789,6,0.2,1.0,35.0,-0.696,1.3,0,-1.0,-1.0,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,0.0,99.0,0.0039,-0.343,1535.0,-0.0421,0.4052,167750.0,0.031,0.2414,6,0.0909,0.5,0.1667,-0.0333,-0.1667,1.0
202603,56019,"johnson, wy",442000.0,-0.0975,-0.1142,45,0.1392,0.25,70.0,-0.39,-0.0278,18,1.25,-0.1,0,,,0.0,0.0,0.0,6.0,0.0,0.5,0.0769,-0.046,0.0154,6.0,-0.2,0.5,227.0,0.0,-0.0323,2096.0,0.0257,-0.074,534762.0,-0.0257,-0.1312,50,0.125,0.2375,0.1333,-0.0565,0.0222,1.0
202603,56009,"converse, wy",332425.0,-0.0098,-0.0636,39,-0.093,-0.0488,53.0,-0.0901,0.0707,14,0.75,-0.3,0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.1535,-0.0053,0.0132,,,,176.0,0.044,0.0592,1920.0,-0.049,-0.0861,370776.0,-0.0136,-0.0603,39,-0.093,-0.0488,,,,0.0
202603,56025,"natrona, wy",422475.0,0.027,0.0833,212,0.0024,0.1621,49.0,-0.0935,0.2125,106,0.0192,-0.0862,0,,,0.0,0.0,0.0,40.0,-0.1304,0.0,0.1256,-0.0207,-0.0123,1.0,0.0,,181.0,0.0028,-0.0239,2413.0,0.0157,0.0952,498178.0,0.0139,-0.0332,213,0.0071,0.1676,0.0047,0.0,,0.0
