RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
2616,Anchorage Borough,AK,201501,1226.3,,,"Anchorage, AK"
2616,Anchorage Borough,AK,201502,1225.54,-0.0006,,"Anchorage, AK"
2616,Anchorage Borough,AK,201503,1226.87,0.0011,,"Anchorage, AK"
2616,Anchorage Borough,AK,201504,1221.54,-0.0043,,"Anchorage, AK"
2616,Anchorage Borough,AK,201505,1225.34,0.0031,,"Anchorage, AK"
2616,Anchorage Borough,AK,201506,1231.53,0.0051,,"Anchorage, AK"
2616,Anchorage Borough,AK,201507,1232.68,0.0009,,"Anchorage, AK"
2616,Anchorage Borough,AK,201508,1227.76,-0.004,,"Anchorage, AK"
2616,Anchorage Borough,AK,201509,1228.81,0.0009,,"Anchorage, AK"
2616,Anchorage Borough,AK,201510,1226.22,-0.0021,,"Anchorage, AK"
2616,Anchorage Borough,AK,201511,1227.4,0.001,,"Anchorage, AK"
2616,Anchorage Borough,AK,201512,1226.6,-0.0007,,"Anchorage, AK"
2616,Anchorage Borough,AK,201601,1225.54,-0.0009,-0.0006,"Anchorage, AK"
2616,Anchorage Borough,AK,201602,1226.58,0.0009,0.0009,"Anchorage, AK"
2616,Anchorage Borough,AK,201603,1218.73,-0.0064,-0.0066,"Anchorage, AK"
2616,Anchorage Borough,AK,201604,1223.44,0.0039,0.0016,"Anchorage, AK"
2616,Anchorage Borough,AK,201605,1221.84,-0.0013,-0.0029,"Anchorage, AK"
2616,Anchorage Borough,AK,201606,1220.16,-0.0014,-0.0092,"Anchorage, AK"
2616,Anchorage Borough,AK,201607,1208.59,-0.0095,-0.0195,"Anchorage, AK"
2616,Anchorage Borough,AK,201608,1205.33,-0.0027,-0.0183,"Anchorage, AK"
2616,Anchorage Borough,AK,201609,1203.43,-0.0016,-0.0206,"Anchorage, AK"
2616,Anchorage Borough,AK,201610,1202.28,-0.001,-0.0195,"Anchorage, AK"
2616,Anchorage Borough,AK,201611,1197.43,-0.004,-0.0244,"Anchorage, AK"
2616,Anchorage Borough,AK,201612,1188.51,-0.0075,-0.0311,"Anchorage, AK"
2616,Anchorage Borough,AK,201701,1186.71,-0.0015,-0.0317,"Anchorage, AK"
2616,Anchorage Borough,AK,201702,1183.56,-0.0026,-0.0351,"Anchorage, AK"
2616,Anchorage Borough,AK,201703,1193.56,0.0084,-0.0207,"Anchorage, AK"
2616,Anchorage Borough,AK,201704,1201.41,0.0066,-0.018,"Anchorage, AK"
2616,Anchorage Borough,AK,201705,1210.97,0.008,-0.0089,"Anchorage, AK"
