RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
78,Lee County,AL,201504,664.95,,,"Auburn-Opelika, AL"
78,Lee County,AL,201505,722.29,0.0862,,"Auburn-Opelika, AL"
78,Lee County,AL,201506,781.84,0.0824,,"Auburn-Opelika, AL"
78,Lee County,AL,201507,956.03,0.2228,,"Auburn-Opelika, AL"
78,Lee County,AL,201508,947.95,-0.0085,,"Auburn-Opelika, AL"
78,Lee County,AL,201510,960.88,0.0136,,"Auburn-Opelika, AL"
78,Lee County,AL,201511,961.22,0.0004,,"Auburn-Opelika, AL"
78,Lee County,AL,201512,965.02,0.0039,,"Auburn-Opelika, AL"
78,Lee County,AL,201601,960.36,-0.0048,,"Auburn-Opelika, AL"
78,Lee County,AL,201603,974.56,0.0148,,"Auburn-Opelika, AL"
78,Lee County,AL,201604,981.38,0.007,,"Auburn-Opelika, AL"
78,Lee County,AL,201605,983.7,0.0024,,"Auburn-Opelika, AL"
78,Lee County,AL,201606,994.04,0.0105,0.4949,"Auburn-Opelika, AL"
78,Lee County,AL,201607,989.87,-0.0042,0.3705,"Auburn-Opelika, AL"
78,Lee County,AL,201608,977.94,-0.0121,0.2508,"Auburn-Opelika, AL"
78,Lee County,AL,201609,984.82,0.007,0.0301,"Auburn-Opelika, AL"
78,Lee County,AL,201610,979.75,-0.0052,0.0335,"Auburn-Opelika, AL"
78,Lee County,AL,201611,975.17,-0.0047,0.0149,"Auburn-Opelika, AL"
78,Lee County,AL,201612,961.28,-0.0142,0.0001,"Auburn-Opelika, AL"
78,Lee County,AL,201701,967.59,0.0066,0.0027,"Auburn-Opelika, AL"
78,Lee County,AL,201702,985.49,0.0185,0.0262,"Auburn-Opelika, AL"
78,Lee County,AL,201703,997.93,0.0126,0.024,"Auburn-Opelika, AL"
78,Lee County,AL,201704,1000.21,0.0023,0.0192,"Auburn-Opelika, AL"
78,Lee County,AL,201705,1012.23,0.012,0.029,"Auburn-Opelika, AL"
78,Lee County,AL,201706,1017.27,0.005,0.0234,"Auburn-Opelika, AL"
78,Lee County,AL,201707,1021.24,0.0039,0.0317,"Auburn-Opelika, AL"
78,Lee County,AL,201708,1020.33,-0.0009,0.0433,"Auburn-Opelika, AL"
78,Lee County,AL,201709,1018.81,-0.0015,0.0345,"Auburn-Opelika, AL"
78,Lee County,AL,201710,1025.41,0.0065,0.0466,"Auburn-Opelika, AL"
78,Lee County,AL,201711,1031.76,0.0062,0.058,"Auburn-Opelika, AL"
78,Lee County,AL,201712,1029.63,-0.0021,0.0711,"Auburn-Opelika, AL"
78,Lee County,AL,201801,1043.01,0.013,0.078,"Auburn-Opelika, AL"
78,Lee County,AL,201802,1045.29,0.0022,0.0607,"Auburn-Opelika, AL"
78,Lee County,AL,201803,1064.94,0.0188,0.0671,"Auburn-Opelika, AL"
78,Lee County,AL,201804,1065.39,0.0004,0.0652,"Auburn-Opelika, AL"
78,Lee County,AL,201805,1080.24,0.0139,0.0672,"Auburn-Opelika, AL"
78,Lee County,AL,201806,1078.7,-0.0014,0.0604,"Auburn-Opelika, AL"
78,Lee County,AL,201807,1079.72,0.0009,0.0573,"Auburn-Opelika, AL"
78,Lee County,AL,201808,1075.84,-0.0036,0.0544,"Auburn-Opelika, AL"
78,Lee County,AL,201809,1071.92,-0.0036,0.0521,"Auburn-Opelika, AL"
78,Lee County,AL,201810,1084.53,0.0118,0.0577,"Auburn-Opelika, AL"
78,Lee County,AL,201811,1082.73,-0.0017,0.0494,"Auburn-Opelika, AL"
78,Lee County,AL,201812,1089.87,0.0066,0.0585,"Auburn-Opelika, AL"
78,Lee County,AL,201901,1090.29,0.0004,0.0453,"Auburn-Opelika, AL"
78,Lee County,AL,201902,1104.99,0.0135,0.0571,"Auburn-Opelika, AL"
78,Lee County,AL,201903,1117.73,0.0115,0.0496,"Auburn-Opelika, AL"
78,Lee County,AL,201904,1128.76,0.0099,0.0595,"Auburn-Opelika, AL"
78,Lee County,AL,201905,1132.2,0.003,0.0481,"Auburn-Opelika, AL"
78,Lee County,AL,201906,1145.62,0.0118,0.062,"Auburn-Opelika, AL"
78,Lee County,AL,201907,1136.36,-0.0081,0.0525,"Auburn-Opelika, AL"
78,Lee County,AL,201908,1129.34,-0.0062,0.0497,"Auburn-Opelika, AL"
78,Lee County,AL,201909,1118.71,-0.0094,0.0436,"Auburn-Opelika, AL"
78,Lee County,AL,201910,1119.34,0.0006,0.0321,"Auburn-Opelika, AL"
78,Lee County,AL,201911,1132.47,0.0117,0.0459,"Auburn-Opelika, AL"
78,Lee County,AL,201912,1139.0,0.0058,0.0451,"Auburn-Opelika, AL"
78,Lee County,AL,202001,1149.72,0.0094,0.0545,"Auburn-Opelika, AL"
78,Lee County,AL,202002,1149.76,0.0,0.0405,"Auburn-Opelika, AL"
78,Lee County,AL,202003,1144.02,-0.005,0.0235,"Auburn-Opelika, AL"
78,Lee County,AL,202004,1143.2,-0.0007,0.0128,"Auburn-Opelika, AL"
78,Lee County,AL,202005,1146.07,0.0025,0.0122,"Auburn-Opelika, AL"
78,Lee County,AL,202006,1148.78,0.0024,0.0028,"Auburn-Opelika, AL"
78,Lee County,AL,202007,1151.76,0.0026,0.0136,"Auburn-Opelika, AL"
78,Lee County,AL,202008,1160.29,0.0074,0.0274,"Auburn-Opelika, AL"
78,Lee County,AL,202009,1167.31,0.006,0.0434,"Auburn-Opelika, AL"
78,Lee County,AL,202010,1170.38,0.0026,0.0456,"Auburn-Opelika, AL"
78,Lee County,AL,202011,1151.86,-0.0158,0.0171,"Auburn-Opelika, AL"
78,Lee County,AL,202012,1162.75,0.0095,0.0209,"Auburn-Opelika, AL"
78,Lee County,AL,202101,1168.7,0.0051,0.0165,"Auburn-Opelika, AL"
78,Lee County,AL,202102,1186.02,0.0148,0.0315,"Auburn-Opelika, AL"
78,Lee County,AL,202103,1188.79,0.0023,0.0391,"Auburn-Opelika, AL"
78,Lee County,AL,202104,1200.28,0.0097,0.0499,"Auburn-Opelika, AL"
78,Lee County,AL,202105,1204.08,0.0032,0.0506,"Auburn-Opelika, AL"
78,Lee County,AL,202106,1213.17,0.0075,0.056,"Auburn-Opelika, AL"
78,Lee County,AL,202107,1228.62,0.0127,0.0667,"Auburn-Opelika, AL"
78,Lee County,AL,202108,1253.03,0.0199,0.0799,"Auburn-Opelika, AL"
78,Lee County,AL,202109,1271.34,0.0146,0.0891,"Auburn-Opelika, AL"
78,Lee County,AL,202110,1290.58,0.0151,0.1027,"Auburn-Opelika, AL"
