RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
296,Pope County,AR,202312,802.25,,,"Russellville, AR"
296,Pope County,AR,202401,783.83,-0.023,,"Russellville, AR"
296,Pope County,AR,202402,795.54,0.0149,,"Russellville, AR"
296,Pope County,AR,202403,810.39,0.0187,,"Russellville, AR"
296,Pope County,AR,202404,815.65,0.0065,,"Russellville, AR"
296,Pope County,AR,202405,807.71,-0.0097,,"Russellville, AR"
296,Pope County,AR,202406,805.97,-0.0022,,"Russellville, AR"
296,Pope County,AR,202407,823.0,0.0211,,"Russellville, AR"
296,Pope County,AR,202408,832.72,0.0118,,"Russellville, AR"
296,Pope County,AR,202409,834.63,0.0023,,"Russellville, AR"
296,Pope County,AR,202410,832.78,-0.0022,,"Russellville, AR"
296,Pope County,AR,202411,832.41,-0.0004,,"Russellville, AR"
296,Pope County,AR,202412,852.65,0.0243,0.0628,"Russellville, AR"
296,Pope County,AR,202501,847.19,-0.0064,0.0808,"Russellville, AR"
296,Pope County,AR,202502,836.82,-0.0122,0.0519,"Russellville, AR"
296,Pope County,AR,202503,826.58,-0.0122,0.02,"Russellville, AR"
296,Pope County,AR,202504,833.1,0.0079,0.0214,"Russellville, AR"
296,Pope County,AR,202505,840.55,0.0089,0.0407,"Russellville, AR"
296,Pope County,AR,202506,857.71,0.0204,0.0642,"Russellville, AR"
296,Pope County,AR,202507,867.48,0.0114,0.0541,"Russellville, AR"
296,Pope County,AR,202508,873.98,0.0075,0.0495,"Russellville, AR"
296,Pope County,AR,202509,846.42,-0.0315,0.0141,"Russellville, AR"
296,Pope County,AR,202510,849.31,0.0034,0.0198,"Russellville, AR"
296,Pope County,AR,202511,857.41,0.0095,0.03,"Russellville, AR"
296,Pope County,AR,202512,889.66,0.0376,0.0434,"Russellville, AR"
296,Pope County,AR,202601,887.27,-0.0027,0.0473,"Russellville, AR"
296,Pope County,AR,202602,904.3,0.0192,0.0806,"Russellville, AR"
296,Pope County,AR,202603,890.72,-0.015,0.0776,"Russellville, AR"
296,Pope County,AR,202604,890.52,-0.0002,0.0689,"Russellville, AR"
805,White County,AR,202402,847.32,,,"Searcy, AR"
805,White County,AR,202403,871.55,0.0286,,"Searcy, AR"
805,White County,AR,202404,878.83,0.0084,,"Searcy, AR"
805,White County,AR,202405,885.29,0.0073,,"Searcy, AR"
805,White County,AR,202406,870.25,-0.017,,"Searcy, AR"
805,White County,AR,202407,866.57,-0.0042,,"Searcy, AR"
805,White County,AR,202408,862.47,-0.0047,,"Searcy, AR"
805,White County,AR,202409,862.79,0.0004,,"Searcy, AR"
805,White County,AR,202410,872.32,0.011,,"Searcy, AR"
805,White County,AR,202411,878.98,0.0076,,"Searcy, AR"
805,White County,AR,202412,878.41,-0.0007,,"Searcy, AR"
805,White County,AR,202501,882.72,0.0049,,"Searcy, AR"
805,White County,AR,202502,889.57,0.0078,0.0499,"Searcy, AR"
805,White County,AR,202503,925.0,0.0398,0.0613,"Searcy, AR"
805,White County,AR,202504,928.82,0.0041,0.0569,"Searcy, AR"
805,White County,AR,202505,931.05,0.0024,0.0517,"Searcy, AR"
805,White County,AR,202506,914.7,-0.0176,0.0511,"Searcy, AR"
805,White County,AR,202507,912.19,-0.0027,0.0526,"Searcy, AR"
805,White County,AR,202508,916.03,0.0042,0.0621,"Searcy, AR"
805,White County,AR,202509,910.42,-0.0061,0.0552,"Searcy, AR"
805,White County,AR,202510,927.63,0.0189,0.0634,"Searcy, AR"
