RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
3289,District of Columbia,DC,201501,1854.91,,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201502,1865.47,0.0057,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201503,1880.23,0.0079,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201504,1898.34,0.0096,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201505,1910.69,0.0065,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201506,1924.3,0.0071,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201507,1931.78,0.0039,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201508,1929.05,-0.0014,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201509,1936.22,0.0037,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201510,1930.53,-0.0029,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201511,1924.14,-0.0033,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201512,1911.52,-0.0066,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201601,1921.31,0.0051,0.0358,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201602,1939.41,0.0094,0.0396,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201603,1945.54,0.0032,0.0347,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201604,1952.32,0.0035,0.0284,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201605,1950.04,-0.0012,0.0206,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201606,1962.11,0.0062,0.0196,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201607,1972.59,0.0053,0.0211,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201608,1985.63,0.0066,0.0293,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201609,1987.72,0.0011,0.0266,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201610,1971.01,-0.0084,0.021,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201611,1963.44,-0.0038,0.0204,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201612,1957.23,-0.0032,0.0239,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201701,1969.66,0.0063,0.0252,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201702,1987.2,0.0089,0.0246,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201703,2009.48,0.0112,0.0329,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201704,2024.47,0.0075,0.037,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201705,2024.65,0.0001,0.0383,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201706,2032.28,0.0038,0.0358,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201707,2031.57,-0.0003,0.0299,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201708,2035.62,0.002,0.0252,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201709,2036.65,0.0005,0.0246,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201710,2031.47,-0.0025,0.0307,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201711,2026.33,-0.0025,0.032,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201712,2024.37,-0.001,0.0343,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201801,2024.97,0.0003,0.0281,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201802,2026.57,0.0008,0.0198,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201803,2030.39,0.0019,0.0104,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201804,2046.58,0.008,0.0109,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201805,2060.35,0.0067,0.0176,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201806,2075.59,0.0074,0.0213,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201807,2083.14,0.0036,0.0254,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201808,2092.46,0.0045,0.0279,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201809,2086.79,-0.0027,0.0246,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201810,2081.06,-0.0028,0.0244,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201811,2078.72,-0.0011,0.0259,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201812,2083.34,0.0022,0.0291,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3289,District of Columbia,DC,201901,2092.31,0.0043,0.0332,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
