RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
235,Linn County,IA,201501,745.43,,,"Cedar Rapids, IA"
235,Linn County,IA,201502,742.41,-0.004,,"Cedar Rapids, IA"
235,Linn County,IA,201503,744.25,0.0025,,"Cedar Rapids, IA"
235,Linn County,IA,201504,738.23,-0.0081,,"Cedar Rapids, IA"
235,Linn County,IA,201505,741.84,0.0049,,"Cedar Rapids, IA"
235,Linn County,IA,201506,745.92,0.0055,,"Cedar Rapids, IA"
235,Linn County,IA,201507,744.93,-0.0013,,"Cedar Rapids, IA"
235,Linn County,IA,201508,749.0,0.0055,,"Cedar Rapids, IA"
235,Linn County,IA,201509,751.64,0.0035,,"Cedar Rapids, IA"
235,Linn County,IA,201510,755.24,0.0048,,"Cedar Rapids, IA"
235,Linn County,IA,201511,755.9,0.0009,,"Cedar Rapids, IA"
235,Linn County,IA,201512,747.54,-0.0111,,"Cedar Rapids, IA"
235,Linn County,IA,201601,745.38,-0.0029,-0.0001,"Cedar Rapids, IA"
235,Linn County,IA,201602,744.97,-0.0005,0.0034,"Cedar Rapids, IA"
235,Linn County,IA,201603,755.58,0.0143,0.0152,"Cedar Rapids, IA"
235,Linn County,IA,201604,762.59,0.0093,0.033,"Cedar Rapids, IA"
235,Linn County,IA,201605,768.43,0.0077,0.0359,"Cedar Rapids, IA"
235,Linn County,IA,201606,762.14,-0.0082,0.0217,"Cedar Rapids, IA"
235,Linn County,IA,201607,762.22,0.0001,0.0232,"Cedar Rapids, IA"
235,Linn County,IA,201608,764.14,0.0025,0.0202,"Cedar Rapids, IA"
235,Linn County,IA,201609,768.6,0.0058,0.0226,"Cedar Rapids, IA"
235,Linn County,IA,201610,763.53,-0.0066,0.011,"Cedar Rapids, IA"
235,Linn County,IA,201611,761.28,-0.0029,0.0071,"Cedar Rapids, IA"
235,Linn County,IA,201612,767.7,0.0084,0.027,"Cedar Rapids, IA"
235,Linn County,IA,201701,769.79,0.0027,0.0327,"Cedar Rapids, IA"
235,Linn County,IA,201702,771.99,0.0029,0.0363,"Cedar Rapids, IA"
235,Linn County,IA,201703,766.8,-0.0067,0.0149,"Cedar Rapids, IA"
235,Linn County,IA,201704,777.9,0.0145,0.0201,"Cedar Rapids, IA"
235,Linn County,IA,201705,778.37,0.0006,0.0129,"Cedar Rapids, IA"
235,Linn County,IA,201706,779.22,0.0011,0.0224,"Cedar Rapids, IA"
235,Linn County,IA,201707,770.45,-0.0113,0.0108,"Cedar Rapids, IA"
235,Linn County,IA,201708,770.16,-0.0004,0.0079,"Cedar Rapids, IA"
235,Linn County,IA,201709,769.75,-0.0005,0.0015,"Cedar Rapids, IA"
235,Linn County,IA,201710,774.08,0.0056,0.0138,"Cedar Rapids, IA"
235,Linn County,IA,201711,774.02,-0.0001,0.0167,"Cedar Rapids, IA"
235,Linn County,IA,201712,770.73,-0.0042,0.0039,"Cedar Rapids, IA"
235,Linn County,IA,201801,773.39,0.0034,0.0047,"Cedar Rapids, IA"
235,Linn County,IA,201802,776.74,0.0043,0.0061,"Cedar Rapids, IA"
235,Linn County,IA,201803,787.08,0.0133,0.0264,"Cedar Rapids, IA"
235,Linn County,IA,201804,791.14,0.0052,0.017,"Cedar Rapids, IA"
235,Linn County,IA,201805,797.1,0.0075,0.0241,"Cedar Rapids, IA"
235,Linn County,IA,201806,799.02,0.0024,0.0254,"Cedar Rapids, IA"
235,Linn County,IA,201807,795.42,-0.0045,0.0324,"Cedar Rapids, IA"
235,Linn County,IA,201808,797.57,0.0027,0.0356,"Cedar Rapids, IA"
235,Linn County,IA,201809,795.51,-0.0026,0.0335,"Cedar Rapids, IA"
235,Linn County,IA,201810,796.37,0.0011,0.0288,"Cedar Rapids, IA"
235,Linn County,IA,201811,795.27,-0.0014,0.0275,"Cedar Rapids, IA"
235,Linn County,IA,201812,797.91,0.0033,0.0353,"Cedar Rapids, IA"
235,Linn County,IA,201901,803.18,0.0066,0.0385,"Cedar Rapids, IA"
235,Linn County,IA,201902,806.65,0.0043,0.0385,"Cedar Rapids, IA"
235,Linn County,IA,201903,807.98,0.0016,0.0266,"Cedar Rapids, IA"
235,Linn County,IA,201904,810.37,0.003,0.0243,"Cedar Rapids, IA"
235,Linn County,IA,201905,810.54,0.0002,0.0169,"Cedar Rapids, IA"
235,Linn County,IA,201906,815.0,0.0055,0.02,"Cedar Rapids, IA"
235,Linn County,IA,201907,821.29,0.0077,0.0325,"Cedar Rapids, IA"
235,Linn County,IA,201908,823.38,0.0025,0.0324,"Cedar Rapids, IA"
235,Linn County,IA,201909,821.14,-0.0027,0.0322,"Cedar Rapids, IA"
235,Linn County,IA,201910,819.33,-0.0022,0.0288,"Cedar Rapids, IA"
235,Linn County,IA,201911,820.39,0.0013,0.0316,"Cedar Rapids, IA"
235,Linn County,IA,201912,824.35,0.0048,0.0331,"Cedar Rapids, IA"
235,Linn County,IA,202001,842.21,0.0217,0.0486,"Cedar Rapids, IA"
