RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
139,Cook County,IL,201501,1451.8,,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201502,1461.08,0.0064,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201503,1472.34,0.0077,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201504,1482.05,0.0066,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201505,1493.11,0.0075,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201506,1503.81,0.0072,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201507,1509.32,0.0037,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201508,1512.38,0.002,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201509,1506.89,-0.0036,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201510,1498.67,-0.0055,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201511,1489.09,-0.0064,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201512,1488.64,-0.0003,,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201601,1498.08,0.0063,0.0319,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201602,1510.62,0.0084,0.0339,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201603,1523.31,0.0084,0.0346,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201604,1531.58,0.0054,0.0334,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201605,1540.01,0.0055,0.0314,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201606,1548.74,0.0057,0.0299,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201607,1555.77,0.0045,0.0308,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201608,1560.56,0.0031,0.0319,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201609,1553.47,-0.0045,0.0309,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201610,1542.31,-0.0072,0.0291,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201611,1527.56,-0.0096,0.0258,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201612,1520.95,-0.0043,0.0217,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201701,1527.14,0.0041,0.0194,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201702,1543.19,0.0105,0.0216,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201703,1563.27,0.013,0.0262,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201704,1577.76,0.0093,0.0302,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201705,1589.35,0.0073,0.032,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201706,1595.97,0.0042,0.0305,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201707,1597.86,0.0012,0.027,"Chicago-Naperville-Elgin, IL-IN-WI"
139,Cook County,IL,201708,1592.85,-0.0031,0.0207,"Chicago-Naperville-Elgin, IL-IN-WI"
