RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
246,Lyon County,KS,202310,699.8,,,"Emporia, KS"
246,Lyon County,KS,202311,698.98,-0.0012,,"Emporia, KS"
246,Lyon County,KS,202312,700.01,0.0015,,"Emporia, KS"
246,Lyon County,KS,202401,689.08,-0.0156,,"Emporia, KS"
246,Lyon County,KS,202402,694.99,0.0086,,"Emporia, KS"
246,Lyon County,KS,202403,693.69,-0.0019,,"Emporia, KS"
246,Lyon County,KS,202404,715.21,0.031,,"Emporia, KS"
246,Lyon County,KS,202405,708.59,-0.0093,,"Emporia, KS"
246,Lyon County,KS,202406,728.35,0.0279,,"Emporia, KS"
246,Lyon County,KS,202407,728.37,0.0,,"Emporia, KS"
246,Lyon County,KS,202408,754.0,0.0352,,"Emporia, KS"
246,Lyon County,KS,202409,756.66,0.0035,,"Emporia, KS"
246,Lyon County,KS,202410,765.28,0.0114,0.0936,"Emporia, KS"
246,Lyon County,KS,202411,771.71,0.0084,0.1041,"Emporia, KS"
246,Lyon County,KS,202412,755.78,-0.0206,0.0797,"Emporia, KS"
246,Lyon County,KS,202501,738.4,-0.023,0.0716,"Emporia, KS"
246,Lyon County,KS,202502,733.35,-0.0069,0.0552,"Emporia, KS"
246,Lyon County,KS,202503,750.85,0.0239,0.0824,"Emporia, KS"
246,Lyon County,KS,202504,759.68,0.0118,0.0622,"Emporia, KS"
246,Lyon County,KS,202505,750.92,-0.0115,0.0597,"Emporia, KS"
246,Lyon County,KS,202506,745.13,-0.0077,0.023,"Emporia, KS"
246,Lyon County,KS,202507,758.42,0.0178,0.0413,"Emporia, KS"
246,Lyon County,KS,202508,771.38,0.0171,0.0231,"Emporia, KS"
246,Lyon County,KS,202509,807.32,0.0466,0.067,"Emporia, KS"
246,Lyon County,KS,202510,808.88,0.0019,0.057,"Emporia, KS"
246,Lyon County,KS,202511,805.24,-0.0045,0.0435,"Emporia, KS"
246,Lyon County,KS,202512,771.4,-0.042,0.0207,"Emporia, KS"
246,Lyon County,KS,202601,760.04,-0.0147,0.0293,"Emporia, KS"
246,Lyon County,KS,202602,766.67,0.0087,0.0454,"Emporia, KS"
301,Reno County,KS,201705,557.55,,,"Hutchinson, KS"
301,Reno County,KS,201706,558.26,0.0013,,"Hutchinson, KS"
301,Reno County,KS,201707,558.44,0.0003,,"Hutchinson, KS"
301,Reno County,KS,201708,563.79,0.0096,,"Hutchinson, KS"
301,Reno County,KS,201709,564.37,0.001,,"Hutchinson, KS"
301,Reno County,KS,201710,563.8,-0.001,,"Hutchinson, KS"
301,Reno County,KS,201711,564.53,0.0013,,"Hutchinson, KS"
301,Reno County,KS,201712,574.32,0.0174,,"Hutchinson, KS"
301,Reno County,KS,201801,575.43,0.0019,,"Hutchinson, KS"
301,Reno County,KS,201802,576.58,0.002,,"Hutchinson, KS"
301,Reno County,KS,201803,574.7,-0.0033,,"Hutchinson, KS"
301,Reno County,KS,201804,576.33,0.0028,,"Hutchinson, KS"
301,Reno County,KS,201805,574.28,-0.0036,0.03,"Hutchinson, KS"
301,Reno County,KS,201806,565.43,-0.0154,0.0128,"Hutchinson, KS"
301,Reno County,KS,201807,568.75,0.0059,0.0185,"Hutchinson, KS"
301,Reno County,KS,201808,568.38,-0.0007,0.0081,"Hutchinson, KS"
301,Reno County,KS,201809,577.12,0.0154,0.0226,"Hutchinson, KS"
301,Reno County,KS,201810,571.23,-0.0102,0.0132,"Hutchinson, KS"
301,Reno County,KS,201811,574.77,0.0062,0.0181,"Hutchinson, KS"
301,Reno County,KS,201812,576.8,0.0035,0.0043,"Hutchinson, KS"
301,Reno County,KS,201901,585.29,0.0147,0.0171,"Hutchinson, KS"
301,Reno County,KS,201902,587.1,0.0031,0.0182,"Hutchinson, KS"
301,Reno County,KS,201903,586.58,-0.0009,0.0207,"Hutchinson, KS"
301,Reno County,KS,201904,586.0,-0.001,0.0168,"Hutchinson, KS"
301,Reno County,KS,201905,587.54,0.0026,0.0231,"Hutchinson, KS"
301,Reno County,KS,201906,583.9,-0.0062,0.0327,"Hutchinson, KS"
301,Reno County,KS,201907,587.44,0.0061,0.0329,"Hutchinson, KS"
301,Reno County,KS,201908,585.47,-0.0034,0.0301,"Hutchinson, KS"
301,Reno County,KS,201909,583.88,-0.0027,0.0117,"Hutchinson, KS"
301,Reno County,KS,201910,584.08,0.0003,0.0225,"Hutchinson, KS"
301,Reno County,KS,201911,587.58,0.006,0.0223,"Hutchinson, KS"
301,Reno County,KS,201912,600.1,0.0213,0.0404,"Hutchinson, KS"
301,Reno County,KS,202001,599.78,-0.0005,0.0248,"Hutchinson, KS"
301,Reno County,KS,202002,609.05,0.0155,0.0374,"Hutchinson, KS"
301,Reno County,KS,202003,606.17,-0.0047,0.0334,"Hutchinson, KS"
301,Reno County,KS,202004,608.24,0.0034,0.0379,"Hutchinson, KS"
301,Reno County,KS,202005,606.44,-0.003,0.0322,"Hutchinson, KS"
301,Reno County,KS,202006,608.91,0.0041,0.0428,"Hutchinson, KS"
301,Reno County,KS,202007,612.22,0.0054,0.0422,"Hutchinson, KS"
301,Reno County,KS,202008,612.14,-0.0001,0.0455,"Hutchinson, KS"
301,Reno County,KS,202009,613.47,0.0022,0.0507,"Hutchinson, KS"
301,Reno County,KS,202010,606.35,-0.0116,0.0381,"Hutchinson, KS"
301,Reno County,KS,202011,607.91,0.0026,0.0346,"Hutchinson, KS"
301,Reno County,KS,202012,610.07,0.0036,0.0166,"Hutchinson, KS"
301,Reno County,KS,202101,614.92,0.0079,0.0252,"Hutchinson, KS"
