RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
276,Pike County,KY,202602,1650.0,,,
394,Boone County,KY,201602,1150.58,,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201603,1162.05,0.01,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201604,1166.63,0.0039,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201605,1167.58,0.0008,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201606,1164.33,-0.0028,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201607,1165.53,0.001,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201608,1161.28,-0.0036,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201609,1163.19,0.0016,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201610,1179.25,0.0138,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201611,1176.21,-0.0026,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201612,1174.79,-0.0012,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201701,1164.51,-0.0087,,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201702,1178.89,0.0124,0.0246,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201703,1179.18,0.0002,0.0147,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201704,1183.01,0.0032,0.014,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201705,1194.79,0.01,0.0233,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201706,1189.62,-0.0043,0.0217,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201707,1190.1,0.0004,0.0211,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201708,1183.12,-0.0059,0.0188,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201709,1189.86,0.0057,0.0229,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201710,1193.12,0.0027,0.0118,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201711,1200.36,0.0061,0.0205,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201712,1194.4,-0.005,0.0167,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201801,1192.9,-0.0013,0.0244,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201802,1185.95,-0.0058,0.006,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201803,1201.58,0.0132,0.019,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201804,1215.56,0.0116,0.0275,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201805,1233.04,0.0144,0.032,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201806,1239.71,0.0054,0.0421,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201807,1235.75,-0.0032,0.0384,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201808,1228.42,-0.0059,0.0383,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201809,1229.48,0.0009,0.0333,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201810,1227.25,-0.0018,0.0286,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201811,1224.21,-0.0025,0.0199,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201812,1219.16,-0.0041,0.0207,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201901,1229.7,0.0086,0.0309,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201902,1241.13,0.0093,0.0465,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201903,1254.6,0.0109,0.0441,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201904,1265.28,0.0085,0.0409,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201905,1278.57,0.0105,0.0369,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201906,1278.8,0.0002,0.0315,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201907,1275.94,-0.0022,0.0325,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201908,1272.29,-0.0029,0.0357,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201909,1288.53,0.0128,0.048,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201910,1292.93,0.0034,0.0535,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201911,1295.31,0.0018,0.0581,"Cincinnati, OH-KY-IN"
394,Boone County,KY,201912,1281.6,-0.0106,0.0512,"Cincinnati, OH-KY-IN"
394,Boone County,KY,202001,1280.81,-0.0006,0.0416,"Cincinnati, OH-KY-IN"
394,Boone County,KY,202002,1286.69,0.0046,0.0367,"Cincinnati, OH-KY-IN"
