RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
423,Caddo Parish,LA,201501,826.0,,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201502,821.79,-0.0051,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201503,819.08,-0.0033,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201504,818.65,-0.0005,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201505,826.45,0.0095,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201506,836.11,0.0117,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201507,832.32,-0.0045,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201508,836.01,0.0044,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201509,833.91,-0.0025,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201510,837.64,0.0045,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201511,830.32,-0.0087,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201512,827.88,-0.0029,,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201601,821.74,-0.0074,-0.0052,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201602,818.68,-0.0037,-0.0038,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201603,819.33,0.0008,0.0003,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201604,821.33,0.0024,0.0033,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201605,829.15,0.0095,0.0033,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201606,831.01,0.0022,-0.0061,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201607,836.27,0.0063,0.0047,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201608,835.94,-0.0004,-0.0001,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201609,834.55,-0.0017,0.0008,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201610,829.87,-0.0056,-0.0093,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201611,821.97,-0.0095,-0.0101,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201612,822.53,0.0007,-0.0065,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201701,820.27,-0.0027,-0.0018,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201702,826.41,0.0075,0.0094,"Shreveport-Bossier City, LA"
423,Caddo Parish,LA,201703,829.95,0.0043,0.013,"Shreveport-Bossier City, LA"
