RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
503,Essex County,MA,201501,1430.2,,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201502,1430.63,0.0003,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201503,1435.03,0.0031,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201504,1452.2,0.012,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201505,1477.25,0.0172,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201506,1493.19,0.0108,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201507,1512.92,0.0132,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201508,1512.07,-0.0006,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201509,1533.53,0.0142,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201510,1527.69,-0.0038,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201511,1518.22,-0.0062,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201512,1485.56,-0.0215,,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201601,1478.27,-0.0049,0.0336,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201602,1490.57,0.0083,0.0419,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201603,1513.68,0.0155,0.0548,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201604,1532.72,0.0126,0.0554,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201605,1548.32,0.0102,0.0481,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201606,1565.44,0.0111,0.0484,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201607,1576.14,0.0068,0.0418,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201608,1579.42,0.0021,0.0445,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201609,1584.87,0.0035,0.0335,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201610,1582.3,-0.0016,0.0357,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201611,1587.82,0.0035,0.0458,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201612,1577.38,-0.0066,0.0618,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201701,1584.26,0.0044,0.0717,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201702,1593.04,0.0055,0.0687,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201703,1616.4,0.0147,0.0679,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201704,1650.3,0.021,0.0767,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201705,1660.02,0.0059,0.0721,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201706,1677.73,0.0107,0.0717,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201707,1663.35,-0.0086,0.0553,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201708,1667.54,0.0025,0.0558,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201709,1659.72,-0.0047,0.0472,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201710,1665.06,0.0032,0.0523,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201711,1665.77,0.0004,0.0491,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201712,1664.39,-0.0008,0.0552,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201801,1667.25,0.0017,0.0524,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201802,1682.23,0.009,0.056,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201803,1704.21,0.0131,0.0543,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201804,1730.98,0.0157,0.0489,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201805,1735.32,0.0025,0.0454,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201806,1741.42,0.0035,0.038,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201807,1733.62,-0.0045,0.0422,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201808,1731.07,-0.0015,0.0381,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201809,1730.94,-0.0001,0.0429,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201810,1742.41,0.0066,0.0465,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201811,1752.01,0.0055,0.0518,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201812,1740.45,-0.0066,0.0457,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201901,1730.48,-0.0057,0.0379,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201902,1742.98,0.0072,0.0361,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201903,1770.25,0.0156,0.0388,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201904,1786.2,0.009,0.0319,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201905,1793.87,0.0043,0.0337,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201906,1799.82,0.0033,0.0335,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201907,1807.33,0.0042,0.0425,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201908,1812.71,0.003,0.0472,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201909,1821.36,0.0048,0.0522,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201910,1815.32,-0.0033,0.0418,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201911,1803.22,-0.0067,0.0292,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,201912,1790.72,-0.0069,0.0289,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,202001,1801.56,0.0061,0.0411,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,202002,1819.33,0.0099,0.0438,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,202003,1836.51,0.0094,0.0374,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,202004,1845.91,0.0051,0.0334,"Boston-Cambridge-Newton, MA-NH"
503,Essex County,MA,202005,1852.06,0.0033,0.0324,"Boston-Cambridge-Newton, MA-NH"
