RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
112,Cass County,MO,201606,1055.25,,,"Kansas City, MO-KS"
112,Cass County,MO,201607,1063.57,0.0079,,"Kansas City, MO-KS"
112,Cass County,MO,201608,1070.31,0.0063,,"Kansas City, MO-KS"
112,Cass County,MO,201609,1076.23,0.0055,,"Kansas City, MO-KS"
112,Cass County,MO,201610,1075.85,-0.0004,,"Kansas City, MO-KS"
112,Cass County,MO,201611,1072.58,-0.003,,"Kansas City, MO-KS"
112,Cass County,MO,201612,1077.3,0.0044,,"Kansas City, MO-KS"
112,Cass County,MO,201701,1077.61,0.0003,,"Kansas City, MO-KS"
112,Cass County,MO,201702,1080.62,0.0028,,"Kansas City, MO-KS"
112,Cass County,MO,201703,1080.89,0.0002,,"Kansas City, MO-KS"
112,Cass County,MO,201704,1086.4,0.0051,,"Kansas City, MO-KS"
112,Cass County,MO,201705,1090.58,0.0038,,"Kansas City, MO-KS"
112,Cass County,MO,201706,1096.77,0.0057,0.0393,"Kansas City, MO-KS"
112,Cass County,MO,201707,1099.94,0.0029,0.0342,"Kansas City, MO-KS"
112,Cass County,MO,201708,1093.77,-0.0056,0.0219,"Kansas City, MO-KS"
112,Cass County,MO,201709,1092.69,-0.001,0.0153,"Kansas City, MO-KS"
112,Cass County,MO,201710,1095.17,0.0023,0.018,"Kansas City, MO-KS"
112,Cass County,MO,201711,1110.18,0.0137,0.0351,"Kansas City, MO-KS"
112,Cass County,MO,201712,1104.89,-0.0048,0.0256,"Kansas City, MO-KS"
112,Cass County,MO,201801,1096.44,-0.0076,0.0175,"Kansas City, MO-KS"
112,Cass County,MO,201802,1092.99,-0.0031,0.0114,"Kansas City, MO-KS"
112,Cass County,MO,201803,1102.98,0.0091,0.0204,"Kansas City, MO-KS"
112,Cass County,MO,201804,1116.85,0.0126,0.028,"Kansas City, MO-KS"
112,Cass County,MO,201805,1126.28,0.0084,0.0327,"Kansas City, MO-KS"
112,Cass County,MO,201806,1122.93,-0.003,0.0239,"Kansas City, MO-KS"
112,Cass County,MO,201807,1123.64,0.0006,0.0216,"Kansas City, MO-KS"
112,Cass County,MO,201808,1128.41,0.0042,0.0317,"Kansas City, MO-KS"
112,Cass County,MO,201809,1133.03,0.0041,0.0369,"Kansas City, MO-KS"
112,Cass County,MO,201810,1136.78,0.0033,0.038,"Kansas City, MO-KS"
112,Cass County,MO,201811,1133.97,-0.0025,0.0214,"Kansas City, MO-KS"
112,Cass County,MO,201812,1131.93,-0.0018,0.0245,"Kansas City, MO-KS"
112,Cass County,MO,201901,1137.52,0.0049,0.0375,"Kansas City, MO-KS"
112,Cass County,MO,201902,1141.72,0.0037,0.0446,"Kansas City, MO-KS"
112,Cass County,MO,201903,1152.69,0.0096,0.0451,"Kansas City, MO-KS"
112,Cass County,MO,201904,1152.49,-0.0002,0.0319,"Kansas City, MO-KS"
112,Cass County,MO,201905,1162.94,0.0091,0.0326,"Kansas City, MO-KS"
112,Cass County,MO,201906,1170.05,0.0061,0.042,"Kansas City, MO-KS"
112,Cass County,MO,201907,1181.53,0.0098,0.0515,"Kansas City, MO-KS"
112,Cass County,MO,201908,1175.13,-0.0054,0.0414,"Kansas City, MO-KS"
112,Cass County,MO,201909,1184.0,0.0075,0.045,"Kansas City, MO-KS"
112,Cass County,MO,201910,1177.29,-0.0057,0.0356,"Kansas City, MO-KS"
112,Cass County,MO,201911,1184.45,0.0061,0.0445,"Kansas City, MO-KS"
112,Cass County,MO,201912,1180.12,-0.0037,0.0426,"Kansas City, MO-KS"
112,Cass County,MO,202001,1176.87,-0.0028,0.0346,"Kansas City, MO-KS"
112,Cass County,MO,202002,1178.88,0.0017,0.0326,"Kansas City, MO-KS"
112,Cass County,MO,202003,1182.62,0.0032,0.026,"Kansas City, MO-KS"
112,Cass County,MO,202004,1200.76,0.0153,0.0419,"Kansas City, MO-KS"
112,Cass County,MO,202005,1204.23,0.0029,0.0355,"Kansas City, MO-KS"
112,Cass County,MO,202006,1216.52,0.0102,0.0397,"Kansas City, MO-KS"
112,Cass County,MO,202007,1230.8,0.0117,0.0417,"Kansas City, MO-KS"
112,Cass County,MO,202008,1246.7,0.0129,0.0609,"Kansas City, MO-KS"
112,Cass County,MO,202009,1246.52,-0.0001,0.0528,"Kansas City, MO-KS"
112,Cass County,MO,202010,1239.84,-0.0054,0.0531,"Kansas City, MO-KS"
112,Cass County,MO,202011,1232.88,-0.0056,0.0409,"Kansas City, MO-KS"
112,Cass County,MO,202012,1248.49,0.0127,0.0579,"Kansas City, MO-KS"
112,Cass County,MO,202101,1254.38,0.0047,0.0659,"Kansas City, MO-KS"
