RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
85,Lee County,MS,202302,1010.72,,,"Tupelo, MS"
85,Lee County,MS,202303,1024.94,0.0141,,"Tupelo, MS"
85,Lee County,MS,202304,1033.98,0.0088,,"Tupelo, MS"
85,Lee County,MS,202305,1042.41,0.0082,,"Tupelo, MS"
85,Lee County,MS,202306,1044.26,0.0018,,"Tupelo, MS"
85,Lee County,MS,202307,1041.05,-0.0031,,"Tupelo, MS"
85,Lee County,MS,202308,1037.31,-0.0036,,"Tupelo, MS"
85,Lee County,MS,202309,1045.84,0.0082,,"Tupelo, MS"
85,Lee County,MS,202310,1046.17,0.0003,,"Tupelo, MS"
85,Lee County,MS,202311,1063.24,0.0163,,"Tupelo, MS"
85,Lee County,MS,202312,1067.18,0.0037,,"Tupelo, MS"
85,Lee County,MS,202401,1081.45,0.0134,,"Tupelo, MS"
85,Lee County,MS,202402,1078.28,-0.0029,0.0669,"Tupelo, MS"
85,Lee County,MS,202403,1080.05,0.0016,0.0538,"Tupelo, MS"
85,Lee County,MS,202404,1082.85,0.0026,0.0473,"Tupelo, MS"
85,Lee County,MS,202405,1093.48,0.0098,0.049,"Tupelo, MS"
85,Lee County,MS,202406,1100.92,0.0068,0.0543,"Tupelo, MS"
85,Lee County,MS,202407,1106.34,0.0049,0.0627,"Tupelo, MS"
85,Lee County,MS,202408,1107.41,0.001,0.0676,"Tupelo, MS"
85,Lee County,MS,202409,1104.06,-0.003,0.0557,"Tupelo, MS"
85,Lee County,MS,202410,1106.16,0.0019,0.0573,"Tupelo, MS"
85,Lee County,MS,202411,1122.49,0.0148,0.0557,"Tupelo, MS"
85,Lee County,MS,202412,1136.91,0.0128,0.0653,"Tupelo, MS"
85,Lee County,MS,202501,1150.13,0.0116,0.0635,"Tupelo, MS"
85,Lee County,MS,202502,1151.2,0.0009,0.0676,"Tupelo, MS"
85,Lee County,MS,202503,1157.83,0.0058,0.072,"Tupelo, MS"
85,Lee County,MS,202504,1167.79,0.0086,0.0784,"Tupelo, MS"
85,Lee County,MS,202505,1178.36,0.0091,0.0776,"Tupelo, MS"
85,Lee County,MS,202506,1191.09,0.0108,0.0819,"Tupelo, MS"
85,Lee County,MS,202507,1196.51,0.0046,0.0815,"Tupelo, MS"
85,Lee County,MS,202508,1205.45,0.0075,0.0885,"Tupelo, MS"
85,Lee County,MS,202509,1194.71,-0.0089,0.0821,"Tupelo, MS"
85,Lee County,MS,202510,1188.2,-0.0054,0.0742,"Tupelo, MS"
85,Lee County,MS,202511,1188.43,0.0002,0.0587,"Tupelo, MS"
85,Lee County,MS,202512,1201.77,0.0112,0.057,"Tupelo, MS"
85,Lee County,MS,202601,1224.95,0.0193,0.0651,"Tupelo, MS"
85,Lee County,MS,202602,1228.82,0.0032,0.0674,"Tupelo, MS"
85,Lee County,MS,202603,1234.59,0.0047,0.0663,"Tupelo, MS"
562,Hinds County,MS,201605,853.74,,,"Jackson, MS"
562,Hinds County,MS,201606,862.84,0.0107,,"Jackson, MS"
562,Hinds County,MS,201607,870.57,0.009,,"Jackson, MS"
562,Hinds County,MS,201608,874.97,0.005,,"Jackson, MS"
562,Hinds County,MS,201609,871.05,-0.0045,,"Jackson, MS"
562,Hinds County,MS,201610,868.04,-0.0035,,"Jackson, MS"
562,Hinds County,MS,201611,867.09,-0.0011,,"Jackson, MS"
562,Hinds County,MS,201612,863.82,-0.0038,,"Jackson, MS"
562,Hinds County,MS,201701,865.77,0.0023,,"Jackson, MS"
562,Hinds County,MS,201702,867.98,0.0026,,"Jackson, MS"
562,Hinds County,MS,201703,871.26,0.0038,,"Jackson, MS"
562,Hinds County,MS,201704,875.13,0.0044,,"Jackson, MS"
562,Hinds County,MS,201705,881.74,0.0075,0.0328,"Jackson, MS"
