RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
224,Lake County,MT,202603,1319.53,,,
224,Lake County,MT,202604,1356.25,0.0278,,
269,Park County,MT,202502,1334.62,,,
269,Park County,MT,202503,1345.28,0.008,,
269,Park County,MT,202504,1358.5,0.0098,,
269,Park County,MT,202505,1403.99,0.0335,,
269,Park County,MT,202506,1391.26,-0.0091,,
269,Park County,MT,202507,1392.54,0.0009,,
269,Park County,MT,202508,1400.22,0.0055,,
269,Park County,MT,202509,1456.98,0.0405,,
269,Park County,MT,202510,1473.4,0.0113,,
269,Park County,MT,202511,1476.07,0.0018,,
269,Park County,MT,202512,1426.35,-0.0337,,
269,Park County,MT,202601,1429.49,0.0022,,
269,Park County,MT,202602,1415.34,-0.0099,0.0605,
269,Park County,MT,202603,1413.9,-0.001,0.051,
269,Park County,MT,202604,1429.44,0.011,0.0522,
967,Custer County,MT,202604,812.5,,,
1602,Cascade County,MT,201707,756.33,,,"Great Falls, MT"
1602,Cascade County,MT,201708,765.17,0.0117,,"Great Falls, MT"
1602,Cascade County,MT,201709,769.83,0.0061,,"Great Falls, MT"
1602,Cascade County,MT,201710,768.89,-0.0012,,"Great Falls, MT"
1602,Cascade County,MT,201711,766.6,-0.003,,"Great Falls, MT"
1602,Cascade County,MT,201712,761.62,-0.0065,,"Great Falls, MT"
1602,Cascade County,MT,201801,762.05,0.0006,,"Great Falls, MT"
1602,Cascade County,MT,201802,760.76,-0.0017,,"Great Falls, MT"
1602,Cascade County,MT,201803,769.77,0.0118,,"Great Falls, MT"
1602,Cascade County,MT,201804,769.06,-0.0009,,"Great Falls, MT"
1602,Cascade County,MT,201805,776.44,0.0096,,"Great Falls, MT"
1602,Cascade County,MT,201806,777.33,0.0011,,"Great Falls, MT"
1602,Cascade County,MT,201807,784.79,0.0096,0.0376,"Great Falls, MT"
1602,Cascade County,MT,201808,780.43,-0.0056,0.0199,"Great Falls, MT"
1602,Cascade County,MT,201809,787.37,0.0089,0.0228,"Great Falls, MT"
1602,Cascade County,MT,201810,772.94,-0.0183,0.0053,"Great Falls, MT"
1602,Cascade County,MT,201811,773.03,0.0001,0.0084,"Great Falls, MT"
1602,Cascade County,MT,201812,771.37,-0.0021,0.0128,"Great Falls, MT"
1602,Cascade County,MT,201901,783.25,0.0154,0.0278,"Great Falls, MT"
1602,Cascade County,MT,201902,782.76,-0.0006,0.0289,"Great Falls, MT"
1602,Cascade County,MT,201903,780.87,-0.0024,0.0144,"Great Falls, MT"
1602,Cascade County,MT,201904,783.72,0.0037,0.0191,"Great Falls, MT"
1602,Cascade County,MT,201905,795.9,0.0155,0.0251,"Great Falls, MT"
1602,Cascade County,MT,201906,801.53,0.0071,0.0311,"Great Falls, MT"
1602,Cascade County,MT,201907,806.36,0.006,0.0275,"Great Falls, MT"
1602,Cascade County,MT,201908,806.44,0.0001,0.0333,"Great Falls, MT"
1602,Cascade County,MT,201909,806.13,-0.0004,0.0238,"Great Falls, MT"
1602,Cascade County,MT,201910,807.68,0.0019,0.0449,"Great Falls, MT"
1602,Cascade County,MT,201911,803.3,-0.0054,0.0392,"Great Falls, MT"
1602,Cascade County,MT,201912,800.46,-0.0035,0.0377,"Great Falls, MT"
1602,Cascade County,MT,202001,793.27,-0.009,0.0128,"Great Falls, MT"
1602,Cascade County,MT,202002,796.92,0.0046,0.0181,"Great Falls, MT"
1602,Cascade County,MT,202003,807.26,0.013,0.0338,"Great Falls, MT"
1602,Cascade County,MT,202004,817.42,0.0126,0.043,"Great Falls, MT"
1602,Cascade County,MT,202005,825.41,0.0098,0.0371,"Great Falls, MT"
1602,Cascade County,MT,202006,833.01,0.0092,0.0393,"Great Falls, MT"
1602,Cascade County,MT,202007,845.56,0.0151,0.0486,"Great Falls, MT"
1602,Cascade County,MT,202008,851.01,0.0064,0.0553,"Great Falls, MT"
1602,Cascade County,MT,202009,848.92,-0.0025,0.0531,"Great Falls, MT"
1602,Cascade County,MT,202010,832.96,-0.0188,0.0313,"Great Falls, MT"
1602,Cascade County,MT,202011,838.63,0.0068,0.044,"Great Falls, MT"
1602,Cascade County,MT,202012,849.36,0.0128,0.0611,"Great Falls, MT"
1602,Cascade County,MT,202101,866.97,0.0207,0.0929,"Great Falls, MT"
1602,Cascade County,MT,202102,859.54,-0.0086,0.0786,"Great Falls, MT"
1602,Cascade County,MT,202103,875.05,0.018,0.084,"Great Falls, MT"
1602,Cascade County,MT,202104,891.59,0.0189,0.0907,"Great Falls, MT"
1602,Cascade County,MT,202105,914.63,0.0258,0.1081,"Great Falls, MT"
1602,Cascade County,MT,202106,926.68,0.0132,0.1124,"Great Falls, MT"
1602,Cascade County,MT,202107,956.28,0.0319,0.1309,"Great Falls, MT"
1602,Cascade County,MT,202108,974.26,0.0188,0.1448,"Great Falls, MT"
1602,Cascade County,MT,202109,991.63,0.0178,0.1681,"Great Falls, MT"
1602,Cascade County,MT,202110,982.84,-0.0089,0.1799,"Great Falls, MT"
1602,Cascade County,MT,202111,993.49,0.0108,0.1847,"Great Falls, MT"
1602,Cascade County,MT,202112,972.58,-0.021,0.1451,"Great Falls, MT"
1602,Cascade County,MT,202201,977.58,0.0051,0.1276,"Great Falls, MT"
1602,Cascade County,MT,202202,999.74,0.0227,0.1631,"Great Falls, MT"
1602,Cascade County,MT,202203,1041.88,0.0422,0.1906,"Great Falls, MT"
1602,Cascade County,MT,202204,1063.2,0.0205,0.1925,"Great Falls, MT"
1602,Cascade County,MT,202205,1072.61,0.0089,0.1727,"Great Falls, MT"
1602,Cascade County,MT,202206,1081.1,0.0079,0.1666,"Great Falls, MT"
1602,Cascade County,MT,202207,1103.79,0.021,0.1543,"Great Falls, MT"
1602,Cascade County,MT,202208,1118.78,0.0136,0.1483,"Great Falls, MT"
1602,Cascade County,MT,202209,1133.05,0.0127,0.1426,"Great Falls, MT"
1602,Cascade County,MT,202210,1161.17,0.0248,0.1814,"Great Falls, MT"
1602,Cascade County,MT,202211,1173.85,0.0109,0.1815,"Great Falls, MT"
1602,Cascade County,MT,202212,1174.7,0.0007,0.2078,"Great Falls, MT"
1602,Cascade County,MT,202301,1158.57,-0.0137,0.1851,"Great Falls, MT"
1602,Cascade County,MT,202302,1154.82,-0.0032,0.1551,"Great Falls, MT"
1602,Cascade County,MT,202303,1159.03,0.0036,0.1124,"Great Falls, MT"
1602,Cascade County,MT,202304,1156.76,-0.002,0.088,"Great Falls, MT"
1602,Cascade County,MT,202305,1142.05,-0.0127,0.0647,"Great Falls, MT"
1602,Cascade County,MT,202306,1143.07,0.0009,0.0573,"Great Falls, MT"
1602,Cascade County,MT,202307,1145.73,0.0023,0.038,"Great Falls, MT"
1602,Cascade County,MT,202308,1161.63,0.0139,0.0383,"Great Falls, MT"
1602,Cascade County,MT,202309,1165.93,0.0037,0.029,"Great Falls, MT"
1602,Cascade County,MT,202310,1166.84,0.0008,0.0049,"Great Falls, MT"
1602,Cascade County,MT,202311,1157.62,-0.0079,-0.0138,"Great Falls, MT"
1602,Cascade County,MT,202312,1148.84,-0.0076,-0.022,"Great Falls, MT"
1602,Cascade County,MT,202401,1140.82,-0.007,-0.0153,"Great Falls, MT"
1602,Cascade County,MT,202402,1159.26,0.0162,0.0038,"Great Falls, MT"
1602,Cascade County,MT,202403,1176.59,0.015,0.0152,"Great Falls, MT"
1602,Cascade County,MT,202404,1194.44,0.0152,0.0326,"Great Falls, MT"
1602,Cascade County,MT,202405,1196.29,0.0015,0.0475,"Great Falls, MT"
1602,Cascade County,MT,202406,1204.09,0.0065,0.0534,"Great Falls, MT"
1602,Cascade County,MT,202407,1232.71,0.0238,0.0759,"Great Falls, MT"
1602,Cascade County,MT,202408,1251.58,0.0153,0.0774,"Great Falls, MT"
1602,Cascade County,MT,202409,1257.73,0.0049,0.0787,"Great Falls, MT"
1602,Cascade County,MT,202410,1253.39,-0.0034,0.0742,"Great Falls, MT"
1602,Cascade County,MT,202411,1237.41,-0.0128,0.0689,"Great Falls, MT"
1602,Cascade County,MT,202412,1235.81,-0.0013,0.0757,"Great Falls, MT"
1602,Cascade County,MT,202501,1233.58,-0.0018,0.0813,"Great Falls, MT"
1602,Cascade County,MT,202502,1246.32,0.0103,0.0751,"Great Falls, MT"
1602,Cascade County,MT,202503,1253.83,0.006,0.0656,"Great Falls, MT"
1602,Cascade County,MT,202504,1252.68,-0.0009,0.0488,"Great Falls, MT"
1602,Cascade County,MT,202505,1258.51,0.0047,0.052,"Great Falls, MT"
1602,Cascade County,MT,202506,1268.5,0.0079,0.0535,"Great Falls, MT"
1602,Cascade County,MT,202507,1286.75,0.0144,0.0438,"Great Falls, MT"
1602,Cascade County,MT,202508,1295.21,0.0066,0.0349,"Great Falls, MT"
1602,Cascade County,MT,202509,1303.35,0.0063,0.0363,"Great Falls, MT"
1602,Cascade County,MT,202510,1299.36,-0.0031,0.0367,"Great Falls, MT"
1602,Cascade County,MT,202511,1288.97,-0.008,0.0417,"Great Falls, MT"
1602,Cascade County,MT,202512,1287.51,-0.0011,0.0418,"Great Falls, MT"
1602,Cascade County,MT,202601,1275.24,-0.0095,0.0338,"Great Falls, MT"
1602,Cascade County,MT,202602,1292.57,0.0136,0.0371,"Great Falls, MT"
1602,Cascade County,MT,202603,1302.17,0.0074,0.0386,"Great Falls, MT"
1602,Cascade County,MT,202604,1325.45,0.0179,0.0581,"Great Falls, MT"
1993,Ravalli County,MT,202503,1704.28,,,
1993,Ravalli County,MT,202504,1722.07,0.0104,,
1993,Ravalli County,MT,202505,1766.38,0.0257,,
1993,Ravalli County,MT,202507,1786.42,0.0113,,
1993,Ravalli County,MT,202508,1811.2,0.0139,,
1993,Ravalli County,MT,202509,1819.25,0.0044,,
1993,Ravalli County,MT,202510,1791.33,-0.0153,,
1993,Ravalli County,MT,202511,1782.73,-0.0048,,
1993,Ravalli County,MT,202512,1778.43,-0.0024,,
1993,Ravalli County,MT,202602,1776.98,-0.0008,,
1993,Ravalli County,MT,202603,1770.42,-0.0037,,
1993,Ravalli County,MT,202604,1841.11,0.0399,,
2265,Flathead County,MT,202201,1874.71,,,"Kalispell, MT"
2265,Flathead County,MT,202202,1919.0,0.0236,,"Kalispell, MT"
2265,Flathead County,MT,202203,1908.98,-0.0052,,"Kalispell, MT"
2265,Flathead County,MT,202204,1959.4,0.0264,,"Kalispell, MT"
2265,Flathead County,MT,202205,1977.83,0.0094,,"Kalispell, MT"
2265,Flathead County,MT,202206,2002.53,0.0125,,"Kalispell, MT"
2265,Flathead County,MT,202207,2010.73,0.0041,,"Kalispell, MT"
2265,Flathead County,MT,202208,2016.02,0.0026,,"Kalispell, MT"
2265,Flathead County,MT,202209,2029.24,0.0066,,"Kalispell, MT"
2265,Flathead County,MT,202210,1998.98,-0.0149,,"Kalispell, MT"
2265,Flathead County,MT,202211,1951.38,-0.0238,,"Kalispell, MT"
2265,Flathead County,MT,202212,1914.83,-0.0187,,"Kalispell, MT"
2265,Flathead County,MT,202301,1889.94,-0.013,0.0081,"Kalispell, MT"
2265,Flathead County,MT,202302,1893.31,0.0018,-0.0134,"Kalispell, MT"
2265,Flathead County,MT,202303,1919.36,0.0138,0.0054,"Kalispell, MT"
2265,Flathead County,MT,202304,1978.87,0.031,0.0099,"Kalispell, MT"
2265,Flathead County,MT,202305,2008.17,0.0148,0.0153,"Kalispell, MT"
2265,Flathead County,MT,202306,2026.0,0.0089,0.0117,"Kalispell, MT"
2265,Flathead County,MT,202307,2017.32,-0.0043,0.0033,"Kalispell, MT"
2265,Flathead County,MT,202308,2011.96,-0.0027,-0.002,"Kalispell, MT"
2265,Flathead County,MT,202309,1989.4,-0.0112,-0.0196,"Kalispell, MT"
2265,Flathead County,MT,202310,1953.07,-0.0183,-0.023,"Kalispell, MT"
2265,Flathead County,MT,202311,1933.99,-0.0098,-0.0089,"Kalispell, MT"
2265,Flathead County,MT,202312,1921.53,-0.0064,0.0035,"Kalispell, MT"
2265,Flathead County,MT,202401,1930.68,0.0048,0.0216,"Kalispell, MT"
2265,Flathead County,MT,202402,1958.8,0.0146,0.0346,"Kalispell, MT"
2265,Flathead County,MT,202403,1981.87,0.0118,0.0326,"Kalispell, MT"
2265,Flathead County,MT,202404,2008.19,0.0133,0.0148,"Kalispell, MT"
2265,Flathead County,MT,202405,2030.63,0.0112,0.0112,"Kalispell, MT"
2265,Flathead County,MT,202406,2048.96,0.009,0.0113,"Kalispell, MT"
2265,Flathead County,MT,202407,2067.81,0.0092,0.025,"Kalispell, MT"
2265,Flathead County,MT,202408,2053.95,-0.0067,0.0209,"Kalispell, MT"
2265,Flathead County,MT,202409,2025.51,-0.0138,0.0182,"Kalispell, MT"
2265,Flathead County,MT,202410,1994.58,-0.0153,0.0213,"Kalispell, MT"
2265,Flathead County,MT,202411,1973.42,-0.0106,0.0204,"Kalispell, MT"
2265,Flathead County,MT,202412,1953.63,-0.01,0.0167,"Kalispell, MT"
2265,Flathead County,MT,202501,1938.26,-0.0079,0.0039,"Kalispell, MT"
2265,Flathead County,MT,202502,1953.43,0.0078,-0.0027,"Kalispell, MT"
2265,Flathead County,MT,202503,1988.62,0.018,0.0034,"Kalispell, MT"
2265,Flathead County,MT,202504,2027.32,0.0195,0.0095,"Kalispell, MT"
2265,Flathead County,MT,202505,2051.49,0.0119,0.0103,"Kalispell, MT"
2265,Flathead County,MT,202506,2061.47,0.0049,0.0061,"Kalispell, MT"
2265,Flathead County,MT,202507,2079.77,0.0089,0.0058,"Kalispell, MT"
2265,Flathead County,MT,202508,2068.45,-0.0054,0.0071,"Kalispell, MT"
2265,Flathead County,MT,202509,2063.23,-0.0025,0.0186,"Kalispell, MT"
2265,Flathead County,MT,202510,2028.7,-0.0167,0.0171,"Kalispell, MT"
2265,Flathead County,MT,202511,2007.22,-0.0106,0.0171,"Kalispell, MT"
2265,Flathead County,MT,202512,1997.25,-0.005,0.0223,"Kalispell, MT"
2265,Flathead County,MT,202601,1995.48,-0.0009,0.0295,"Kalispell, MT"
2265,Flathead County,MT,202602,2022.11,0.0133,0.0352,"Kalispell, MT"
2265,Flathead County,MT,202603,2031.94,0.0049,0.0218,"Kalispell, MT"
2265,Flathead County,MT,202604,2043.99,0.0059,0.0082,"Kalispell, MT"
2299,Gallatin County,MT,202101,1720.6,,,"Bozeman, MT"
2299,Gallatin County,MT,202102,1739.33,0.0109,,"Bozeman, MT"
2299,Gallatin County,MT,202103,1752.39,0.0075,,"Bozeman, MT"
2299,Gallatin County,MT,202104,1779.83,0.0157,,"Bozeman, MT"
2299,Gallatin County,MT,202105,1807.2,0.0154,,"Bozeman, MT"
2299,Gallatin County,MT,202106,1835.3,0.0155,,"Bozeman, MT"
2299,Gallatin County,MT,202107,1864.91,0.0161,,"Bozeman, MT"
2299,Gallatin County,MT,202108,1891.59,0.0143,,"Bozeman, MT"
2299,Gallatin County,MT,202109,1908.07,0.0087,,"Bozeman, MT"
2299,Gallatin County,MT,202110,1953.66,0.0239,,"Bozeman, MT"
2299,Gallatin County,MT,202111,1952.58,-0.0006,,"Bozeman, MT"
2299,Gallatin County,MT,202112,1984.94,0.0166,,"Bozeman, MT"
2299,Gallatin County,MT,202201,1970.22,-0.0074,0.1451,"Bozeman, MT"
2299,Gallatin County,MT,202202,2000.28,0.0153,0.15,"Bozeman, MT"
2299,Gallatin County,MT,202203,2031.62,0.0157,0.1593,"Bozeman, MT"
2299,Gallatin County,MT,202204,2074.23,0.021,0.1654,"Bozeman, MT"
2299,Gallatin County,MT,202205,2103.04,0.0139,0.1637,"Bozeman, MT"
2299,Gallatin County,MT,202206,2130.93,0.0133,0.1611,"Bozeman, MT"
2299,Gallatin County,MT,202207,2183.68,0.0248,0.1709,"Bozeman, MT"
2299,Gallatin County,MT,202208,2204.31,0.0094,0.1653,"Bozeman, MT"
2299,Gallatin County,MT,202209,2200.48,-0.0017,0.1532,"Bozeman, MT"
2299,Gallatin County,MT,202210,2157.66,-0.0195,0.1044,"Bozeman, MT"
2299,Gallatin County,MT,202211,2107.81,-0.0231,0.0795,"Bozeman, MT"
2299,Gallatin County,MT,202212,2062.11,-0.0217,0.0389,"Bozeman, MT"
2299,Gallatin County,MT,202301,2061.78,-0.0002,0.0465,"Bozeman, MT"
2299,Gallatin County,MT,202302,2109.71,0.0232,0.0547,"Bozeman, MT"
2299,Gallatin County,MT,202303,2182.51,0.0345,0.0743,"Bozeman, MT"
2299,Gallatin County,MT,202304,2209.91,0.0126,0.0654,"Bozeman, MT"
2299,Gallatin County,MT,202305,2237.38,0.0124,0.0639,"Bozeman, MT"
2299,Gallatin County,MT,202306,2234.75,-0.0012,0.0487,"Bozeman, MT"
2299,Gallatin County,MT,202307,2232.57,-0.001,0.0224,"Bozeman, MT"
2299,Gallatin County,MT,202308,2210.84,-0.0097,0.003,"Bozeman, MT"
2299,Gallatin County,MT,202309,2189.04,-0.0099,-0.0052,"Bozeman, MT"
2299,Gallatin County,MT,202310,2166.04,-0.0105,0.0039,"Bozeman, MT"
2299,Gallatin County,MT,202311,2135.07,-0.0143,0.0129,"Bozeman, MT"
2299,Gallatin County,MT,202312,2122.53,-0.0059,0.0293,"Bozeman, MT"
2299,Gallatin County,MT,202401,2103.02,-0.0092,0.02,"Bozeman, MT"
2299,Gallatin County,MT,202402,2126.71,0.0113,0.0081,"Bozeman, MT"
2299,Gallatin County,MT,202403,2174.57,0.0225,-0.0036,"Bozeman, MT"
2299,Gallatin County,MT,202404,2218.5,0.0202,0.0039,"Bozeman, MT"
2299,Gallatin County,MT,202405,2237.98,0.0088,0.0003,"Bozeman, MT"
2299,Gallatin County,MT,202406,2236.11,-0.0008,0.0006,"Bozeman, MT"
2299,Gallatin County,MT,202407,2243.82,0.0035,0.005,"Bozeman, MT"
2299,Gallatin County,MT,202408,2263.53,0.0088,0.0238,"Bozeman, MT"
2299,Gallatin County,MT,202409,2243.4,-0.0089,0.0248,"Bozeman, MT"
2299,Gallatin County,MT,202410,2227.32,-0.0072,0.0283,"Bozeman, MT"
2299,Gallatin County,MT,202411,2193.32,-0.0153,0.0273,"Bozeman, MT"
2299,Gallatin County,MT,202412,2191.13,-0.001,0.0323,"Bozeman, MT"
2299,Gallatin County,MT,202501,2193.98,0.0013,0.0433,"Bozeman, MT"
2299,Gallatin County,MT,202502,2192.68,-0.0006,0.031,"Bozeman, MT"
2299,Gallatin County,MT,202503,2192.17,-0.0002,0.0081,"Bozeman, MT"
2299,Gallatin County,MT,202504,2204.8,0.0058,-0.0062,"Bozeman, MT"
2299,Gallatin County,MT,202505,2225.66,0.0095,-0.0055,"Bozeman, MT"
2299,Gallatin County,MT,202506,2241.69,0.0072,0.0025,"Bozeman, MT"
2299,Gallatin County,MT,202507,2232.14,-0.0043,-0.0052,"Bozeman, MT"
2299,Gallatin County,MT,202508,2188.86,-0.0194,-0.033,"Bozeman, MT"
2299,Gallatin County,MT,202509,2147.16,-0.0191,-0.0429,"Bozeman, MT"
2299,Gallatin County,MT,202510,2123.67,-0.0109,-0.0465,"Bozeman, MT"
2299,Gallatin County,MT,202511,2152.87,0.0138,-0.0184,"Bozeman, MT"
2299,Gallatin County,MT,202512,2159.32,0.003,-0.0145,"Bozeman, MT"
2299,Gallatin County,MT,202601,2165.05,0.0027,-0.0132,"Bozeman, MT"
2299,Gallatin County,MT,202602,2155.65,-0.0043,-0.0169,"Bozeman, MT"
2299,Gallatin County,MT,202603,2169.84,0.0066,-0.0102,"Bozeman, MT"
2299,Gallatin County,MT,202604,2205.32,0.0163,0.0002,"Bozeman, MT"
2434,Missoula County,MT,201501,780.87,,,"Missoula, MT"
2434,Missoula County,MT,201502,780.54,-0.0004,,"Missoula, MT"
2434,Missoula County,MT,201503,789.31,0.0112,,"Missoula, MT"
2434,Missoula County,MT,201504,794.47,0.0065,,"Missoula, MT"
2434,Missoula County,MT,201505,801.82,0.0093,,"Missoula, MT"
2434,Missoula County,MT,201506,802.18,0.0004,,"Missoula, MT"
2434,Missoula County,MT,201507,808.15,0.0074,,"Missoula, MT"
2434,Missoula County,MT,201508,811.2,0.0038,,"Missoula, MT"
2434,Missoula County,MT,201509,814.32,0.0038,,"Missoula, MT"
2434,Missoula County,MT,201510,816.87,0.0031,,"Missoula, MT"
2434,Missoula County,MT,201511,823.93,0.0086,,"Missoula, MT"
2434,Missoula County,MT,201512,825.01,0.0013,,"Missoula, MT"
2434,Missoula County,MT,201601,819.15,-0.0071,0.049,"Missoula, MT"
2434,Missoula County,MT,201602,815.35,-0.0046,0.0446,"Missoula, MT"
2434,Missoula County,MT,201603,820.02,0.0057,0.0389,"Missoula, MT"
2434,Missoula County,MT,201604,826.16,0.0075,0.0399,"Missoula, MT"
2434,Missoula County,MT,201605,826.77,0.0007,0.0311,"Missoula, MT"
2434,Missoula County,MT,201606,829.28,0.003,0.0338,"Missoula, MT"
2434,Missoula County,MT,201607,835.34,0.0073,0.0337,"Missoula, MT"
2434,Missoula County,MT,201608,839.36,0.0048,0.0347,"Missoula, MT"
2434,Missoula County,MT,201609,836.02,-0.004,0.0266,"Missoula, MT"
2434,Missoula County,MT,201610,838.39,0.0028,0.0263,"Missoula, MT"
2434,Missoula County,MT,201611,839.43,0.0012,0.0188,"Missoula, MT"
2434,Missoula County,MT,201612,849.15,0.0116,0.0293,"Missoula, MT"
2434,Missoula County,MT,201701,849.32,0.0002,0.0368,"Missoula, MT"
2434,Missoula County,MT,201702,852.41,0.0036,0.0454,"Missoula, MT"
2434,Missoula County,MT,201703,854.27,0.0022,0.0418,"Missoula, MT"
2434,Missoula County,MT,201704,861.06,0.0079,0.0422,"Missoula, MT"
2434,Missoula County,MT,201705,867.05,0.007,0.0487,"Missoula, MT"
2434,Missoula County,MT,201706,869.65,0.003,0.0487,"Missoula, MT"
2434,Missoula County,MT,201707,871.35,0.002,0.0431,"Missoula, MT"
2434,Missoula County,MT,201708,868.58,-0.0032,0.0348,"Missoula, MT"
2434,Missoula County,MT,201709,867.42,-0.0013,0.0376,"Missoula, MT"
2434,Missoula County,MT,201710,864.99,-0.0028,0.0317,"Missoula, MT"
2434,Missoula County,MT,201711,866.89,0.0022,0.0327,"Missoula, MT"
2434,Missoula County,MT,201712,864.02,-0.0033,0.0175,"Missoula, MT"
2434,Missoula County,MT,201801,862.94,-0.0013,0.016,"Missoula, MT"
2434,Missoula County,MT,201802,875.19,0.0142,0.0267,"Missoula, MT"
2434,Missoula County,MT,201803,886.14,0.0125,0.0373,"Missoula, MT"
2434,Missoula County,MT,201804,893.96,0.0088,0.0382,"Missoula, MT"
2434,Missoula County,MT,201805,888.97,-0.0056,0.0253,"Missoula, MT"
2434,Missoula County,MT,201806,892.53,0.004,0.0263,"Missoula, MT"
2434,Missoula County,MT,201807,893.01,0.0005,0.0249,"Missoula, MT"
2434,Missoula County,MT,201808,893.42,0.0005,0.0286,"Missoula, MT"
