RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
113,Cass County,ND,201612,811.87,,,"Fargo, ND-MN"
113,Cass County,ND,201701,822.83,0.0135,,"Fargo, ND-MN"
113,Cass County,ND,201702,828.25,0.0066,,"Fargo, ND-MN"
113,Cass County,ND,201703,837.23,0.0108,,"Fargo, ND-MN"
113,Cass County,ND,201704,836.31,-0.0011,,"Fargo, ND-MN"
113,Cass County,ND,201705,831.19,-0.0061,,"Fargo, ND-MN"
113,Cass County,ND,201706,828.56,-0.0032,,"Fargo, ND-MN"
113,Cass County,ND,201707,822.08,-0.0078,,"Fargo, ND-MN"
113,Cass County,ND,201708,821.53,-0.0007,,"Fargo, ND-MN"
113,Cass County,ND,201709,823.82,0.0028,,"Fargo, ND-MN"
113,Cass County,ND,201710,832.75,0.0108,,"Fargo, ND-MN"
113,Cass County,ND,201711,832.03,-0.0009,,"Fargo, ND-MN"
113,Cass County,ND,201712,819.4,-0.0152,0.0093,"Fargo, ND-MN"
113,Cass County,ND,201801,818.24,-0.0014,-0.0056,"Fargo, ND-MN"
113,Cass County,ND,201802,816.18,-0.0025,-0.0146,"Fargo, ND-MN"
113,Cass County,ND,201803,830.63,0.0177,-0.0079,"Fargo, ND-MN"
113,Cass County,ND,201804,830.31,-0.0004,-0.0072,"Fargo, ND-MN"
113,Cass County,ND,201805,841.48,0.0134,0.0124,"Fargo, ND-MN"
113,Cass County,ND,201806,839.67,-0.0021,0.0134,"Fargo, ND-MN"
113,Cass County,ND,201807,837.55,-0.0025,0.0188,"Fargo, ND-MN"
113,Cass County,ND,201808,828.79,-0.0105,0.0088,"Fargo, ND-MN"
113,Cass County,ND,201809,830.83,0.0025,0.0085,"Fargo, ND-MN"
113,Cass County,ND,201810,825.83,-0.006,-0.0083,"Fargo, ND-MN"
113,Cass County,ND,201811,821.16,-0.0057,-0.0131,"Fargo, ND-MN"
113,Cass County,ND,201812,817.82,-0.0041,-0.0019,"Fargo, ND-MN"
113,Cass County,ND,201901,821.7,0.0047,0.0042,"Fargo, ND-MN"
113,Cass County,ND,201902,829.42,0.0094,0.0162,"Fargo, ND-MN"
113,Cass County,ND,201903,834.82,0.0065,0.0051,"Fargo, ND-MN"
