RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
163,Gage County,NE,202602,1069.82,,,"Beatrice, NE"
163,Gage County,NE,202603,1088.47,0.0174,,"Beatrice, NE"
163,Gage County,NE,202604,1091.25,0.0026,,"Beatrice, NE"
173,Hall County,NE,202407,1179.23,,,"Grand Island, NE"
173,Hall County,NE,202408,1178.49,-0.0006,,"Grand Island, NE"
173,Hall County,NE,202409,1187.85,0.0079,,"Grand Island, NE"
173,Hall County,NE,202410,1194.77,0.0058,,"Grand Island, NE"
173,Hall County,NE,202411,1207.58,0.0107,,"Grand Island, NE"
173,Hall County,NE,202412,1211.65,0.0034,,"Grand Island, NE"
173,Hall County,NE,202501,1232.29,0.017,,"Grand Island, NE"
173,Hall County,NE,202502,1256.36,0.0195,,"Grand Island, NE"
173,Hall County,NE,202503,1273.17,0.0134,,"Grand Island, NE"
173,Hall County,NE,202504,1269.01,-0.0033,,"Grand Island, NE"
173,Hall County,NE,202505,1257.64,-0.009,,"Grand Island, NE"
173,Hall County,NE,202506,1252.12,-0.0044,,"Grand Island, NE"
173,Hall County,NE,202507,1252.91,0.0006,0.0625,"Grand Island, NE"
173,Hall County,NE,202508,1274.27,0.017,0.0813,"Grand Island, NE"
173,Hall County,NE,202509,1251.82,-0.0176,0.0539,"Grand Island, NE"
173,Hall County,NE,202510,1264.91,0.0105,0.0587,"Grand Island, NE"
173,Hall County,NE,202511,1246.62,-0.0145,0.0323,"Grand Island, NE"
173,Hall County,NE,202512,1274.85,0.0226,0.0522,"Grand Island, NE"
173,Hall County,NE,202601,1267.81,-0.0055,0.0288,"Grand Island, NE"
173,Hall County,NE,202602,1275.24,0.0059,0.015,"Grand Island, NE"
173,Hall County,NE,202603,1278.36,0.0024,0.0041,"Grand Island, NE"
173,Hall County,NE,202604,1277.36,-0.0008,0.0066,"Grand Island, NE"
360,Adams County,NE,202604,902.5,,,"Hastings, NE"
484,Dodge County,NE,202402,1115.72,,,"Fremont, NE"
484,Dodge County,NE,202403,1134.76,0.0171,,"Fremont, NE"
484,Dodge County,NE,202405,1173.52,0.0342,,"Fremont, NE"
484,Dodge County,NE,202406,1188.96,0.0132,,"Fremont, NE"
484,Dodge County,NE,202407,1181.18,-0.0065,,"Fremont, NE"
484,Dodge County,NE,202408,1186.06,0.0041,,"Fremont, NE"
484,Dodge County,NE,202409,1171.64,-0.0122,,"Fremont, NE"
484,Dodge County,NE,202410,1176.3,0.004,,"Fremont, NE"
484,Dodge County,NE,202411,1150.62,-0.0218,,"Fremont, NE"
484,Dodge County,NE,202412,1159.3,0.0075,,"Fremont, NE"
484,Dodge County,NE,202501,1162.76,0.003,,"Fremont, NE"
484,Dodge County,NE,202502,1182.31,0.0168,,"Fremont, NE"
484,Dodge County,NE,202503,1202.42,0.017,0.0777,"Fremont, NE"
484,Dodge County,NE,202504,1208.76,0.0053,0.0652,"Fremont, NE"
484,Dodge County,NE,202505,1216.43,0.0063,0.0366,"Fremont, NE"
484,Dodge County,NE,202506,1222.87,0.0053,0.0285,"Fremont, NE"
484,Dodge County,NE,202507,1228.3,0.0044,0.0399,"Fremont, NE"
484,Dodge County,NE,202508,1222.34,-0.0048,0.0306,"Fremont, NE"
484,Dodge County,NE,202509,1199.0,-0.0191,0.0233,"Fremont, NE"
484,Dodge County,NE,202510,1183.82,-0.0127,0.0064,"Fremont, NE"
484,Dodge County,NE,202511,1189.04,0.0044,0.0334,"Fremont, NE"
484,Dodge County,NE,202512,1181.71,-0.0062,0.0193,"Fremont, NE"
484,Dodge County,NE,202601,1184.34,0.0022,0.0186,"Fremont, NE"
484,Dodge County,NE,202602,1164.71,-0.0166,-0.0149,"Fremont, NE"
484,Dodge County,NE,202603,1184.51,0.017,-0.0149,"Fremont, NE"
484,Dodge County,NE,202604,1193.71,0.0078,-0.0125,"Fremont, NE"
704,Sarpy County,NE,201501,869.22,,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201502,876.55,0.0084,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201503,875.67,-0.001,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201504,886.01,0.0118,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201505,886.38,0.0004,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201506,890.12,0.0042,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201507,894.94,0.0054,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201508,894.54,-0.0004,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201509,898.91,0.0049,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201510,895.87,-0.0034,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201511,904.01,0.0091,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201512,908.21,0.0047,,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201601,918.96,0.0118,0.0572,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201602,911.54,-0.0081,0.0399,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201603,909.73,-0.002,0.0389,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201604,910.89,0.0013,0.0281,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201605,923.36,0.0137,0.0417,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201606,928.81,0.0059,0.0435,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201607,926.84,-0.0021,0.0356,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201608,924.45,-0.0026,0.0334,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201609,920.91,-0.0038,0.0245,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201610,924.13,0.0035,0.0315,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201611,918.22,-0.0064,0.0157,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201612,932.69,0.0158,0.0269,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201701,927.3,-0.0058,0.0091,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201702,932.39,0.0055,0.0229,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201703,925.48,-0.0074,0.0173,"Omaha-Council Bluffs, NE-IA"
704,Sarpy County,NE,201704,932.47,0.0075,0.0237,"Omaha-Council Bluffs, NE-IA"
