RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
504,Essex County,NJ,201501,1228.47,,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201502,1238.61,0.0083,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201503,1250.68,0.0097,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201504,1245.09,-0.0045,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201505,1242.23,-0.0023,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201506,1244.66,0.002,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201507,1253.12,0.0068,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201508,1259.52,0.0051,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201509,1268.75,0.0073,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201510,1275.87,0.0056,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201511,1279.31,0.0027,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201512,1272.65,-0.0052,,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201601,1278.98,0.005,0.0411,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201602,1284.25,0.0041,0.0368,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201603,1297.47,0.0103,0.0374,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201604,1304.08,0.0051,0.0474,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201605,1307.28,0.0025,0.0524,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201606,1308.89,0.0012,0.0516,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201607,1323.43,0.0111,0.0561,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201608,1321.24,-0.0017,0.049,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201609,1328.13,0.0052,0.0468,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201610,1321.25,-0.0052,0.0356,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201611,1336.77,0.0117,0.0449,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201612,1345.49,0.0065,0.0572,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201701,1353.18,0.0057,0.058,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201702,1359.95,0.005,0.0589,"New York-Newark-Jersey City, NY-NJ-PA"
504,Essex County,NJ,201703,1370.44,0.0077,0.0562,"New York-Newark-Jersey City, NY-NJ-PA"
