RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
77,Lea County,NM,202304,1190.58,,,"Hobbs, NM"
77,Lea County,NM,202305,1187.22,-0.0028,,"Hobbs, NM"
77,Lea County,NM,202306,1190.22,0.0025,,"Hobbs, NM"
77,Lea County,NM,202307,1177.15,-0.011,,"Hobbs, NM"
77,Lea County,NM,202308,1186.63,0.0081,,"Hobbs, NM"
77,Lea County,NM,202309,1198.3,0.0098,,"Hobbs, NM"
77,Lea County,NM,202310,1209.34,0.0092,,"Hobbs, NM"
77,Lea County,NM,202311,1207.91,-0.0012,,"Hobbs, NM"
77,Lea County,NM,202312,1228.61,0.0171,,"Hobbs, NM"
77,Lea County,NM,202401,1216.99,-0.0095,,"Hobbs, NM"
77,Lea County,NM,202402,1227.53,0.0087,,"Hobbs, NM"
77,Lea County,NM,202403,1206.08,-0.0175,,"Hobbs, NM"
77,Lea County,NM,202404,1248.54,0.0352,0.0487,"Hobbs, NM"
77,Lea County,NM,202405,1251.6,0.0025,0.0542,"Hobbs, NM"
77,Lea County,NM,202406,1256.84,0.0042,0.056,"Hobbs, NM"
77,Lea County,NM,202407,1230.13,-0.0213,0.045,"Hobbs, NM"
77,Lea County,NM,202408,1230.0,-0.0001,0.0365,"Hobbs, NM"
77,Lea County,NM,202409,1238.54,0.0069,0.0336,"Hobbs, NM"
77,Lea County,NM,202410,1265.3,0.0216,0.0463,"Hobbs, NM"
77,Lea County,NM,202411,1292.31,0.0213,0.0699,"Hobbs, NM"
77,Lea County,NM,202412,1309.92,0.0136,0.0662,"Hobbs, NM"
77,Lea County,NM,202501,1306.9,-0.0023,0.0739,"Hobbs, NM"
77,Lea County,NM,202502,1313.79,0.0053,0.0703,"Hobbs, NM"
77,Lea County,NM,202503,1286.17,-0.021,0.0664,"Hobbs, NM"
77,Lea County,NM,202504,1308.8,0.0176,0.0483,"Hobbs, NM"
77,Lea County,NM,202505,1316.11,0.0056,0.0515,"Hobbs, NM"
77,Lea County,NM,202506,1341.33,0.0192,0.0672,"Hobbs, NM"
77,Lea County,NM,202507,1327.52,-0.0103,0.0792,"Hobbs, NM"
77,Lea County,NM,202508,1343.07,0.0117,0.0919,"Hobbs, NM"
77,Lea County,NM,202509,1332.78,-0.0077,0.0761,"Hobbs, NM"
77,Lea County,NM,202510,1354.02,0.0159,0.0701,"Hobbs, NM"
77,Lea County,NM,202511,1373.37,0.0143,0.0627,"Hobbs, NM"
77,Lea County,NM,202512,1410.8,0.0273,0.077,"Hobbs, NM"
77,Lea County,NM,202601,1411.82,0.0007,0.0803,"Hobbs, NM"
77,Lea County,NM,202602,1370.63,-0.0292,0.0433,"Hobbs, NM"
77,Lea County,NM,202603,1371.03,0.0003,0.066,"Hobbs, NM"
155,Eddy County,NM,202402,1615.52,,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202403,1608.36,-0.0044,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202404,1646.74,0.0239,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202405,1675.17,0.0173,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202406,1677.67,0.0015,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202407,1694.53,0.01,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202408,1690.35,-0.0025,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202409,1675.71,-0.0087,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202410,1628.11,-0.0284,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202411,1650.14,0.0135,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202412,1677.23,0.0164,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202501,1679.53,0.0014,,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202502,1638.94,-0.0242,0.0145,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202503,1617.79,-0.0129,0.0059,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202504,1653.9,0.0223,0.0043,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202505,1655.74,0.0011,-0.0116,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202506,1660.82,0.0031,-0.01,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202507,1606.42,-0.0328,-0.052,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202508,1625.82,0.0121,-0.0382,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202510,1643.21,0.0107,-0.0194,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202511,1707.89,0.0394,0.049,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202512,1770.06,0.0364,0.0727,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202601,1778.55,0.0048,0.0604,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202602,1719.49,-0.0332,0.0238,"Carlsbad-Artesia, NM"
155,Eddy County,NM,202603,1718.95,-0.0003,0.0488,"Carlsbad-Artesia, NM"
316,Taos County,NM,202601,1997.29,,,"Taos, NM"
316,Taos County,NM,202602,1993.21,-0.002,,"Taos, NM"
316,Taos County,NM,202603,1950.0,-0.0217,,"Taos, NM"
465,Curry County,NM,202201,1045.93,,,"Clovis, NM"
465,Curry County,NM,202202,1031.72,-0.0136,,"Clovis, NM"
465,Curry County,NM,202204,1038.56,0.0066,,"Clovis, NM"
465,Curry County,NM,202205,1038.05,-0.0005,,"Clovis, NM"
465,Curry County,NM,202206,1045.1,0.0068,,"Clovis, NM"
465,Curry County,NM,202207,1054.52,0.009,,"Clovis, NM"
465,Curry County,NM,202208,1057.84,0.0031,,"Clovis, NM"
465,Curry County,NM,202209,1051.5,-0.006,,"Clovis, NM"
465,Curry County,NM,202210,1056.21,0.0045,,"Clovis, NM"
465,Curry County,NM,202211,1069.12,0.0122,,"Clovis, NM"
465,Curry County,NM,202212,1095.85,0.025,,"Clovis, NM"
465,Curry County,NM,202301,1093.97,-0.0017,,"Clovis, NM"
465,Curry County,NM,202302,1105.94,0.0109,0.0574,"Clovis, NM"
465,Curry County,NM,202303,1107.01,0.001,0.073,"Clovis, NM"
465,Curry County,NM,202304,1121.33,0.0129,0.0797,"Clovis, NM"
465,Curry County,NM,202305,1115.66,-0.0051,0.0748,"Clovis, NM"
465,Curry County,NM,202306,1105.3,-0.0093,0.0576,"Clovis, NM"
465,Curry County,NM,202307,1100.64,-0.0042,0.0437,"Clovis, NM"
465,Curry County,NM,202308,1105.81,0.0047,0.0454,"Clovis, NM"
465,Curry County,NM,202309,1116.36,0.0095,0.0617,"Clovis, NM"
465,Curry County,NM,202310,1129.17,0.0115,0.0691,"Clovis, NM"
465,Curry County,NM,202311,1141.01,0.0105,0.0672,"Clovis, NM"
465,Curry County,NM,202312,1143.44,0.0021,0.0434,"Clovis, NM"
465,Curry County,NM,202401,1145.8,0.0021,0.0474,"Clovis, NM"
465,Curry County,NM,202402,1148.4,0.0023,0.0384,"Clovis, NM"
465,Curry County,NM,202403,1156.09,0.0067,0.0443,"Clovis, NM"
465,Curry County,NM,202404,1161.5,0.0047,0.0358,"Clovis, NM"
465,Curry County,NM,202405,1158.32,-0.0027,0.0382,"Clovis, NM"
465,Curry County,NM,202406,1167.37,0.0078,0.0562,"Clovis, NM"
465,Curry County,NM,202407,1169.07,0.0015,0.0622,"Clovis, NM"
465,Curry County,NM,202408,1173.69,0.004,0.0614,"Clovis, NM"
465,Curry County,NM,202409,1163.52,-0.0087,0.0422,"Clovis, NM"
465,Curry County,NM,202410,1169.84,0.0054,0.036,"Clovis, NM"
465,Curry County,NM,202411,1168.94,-0.0008,0.0245,"Clovis, NM"
465,Curry County,NM,202412,1171.55,0.0022,0.0246,"Clovis, NM"
465,Curry County,NM,202501,1171.31,-0.0002,0.0223,"Clovis, NM"
465,Curry County,NM,202502,1176.68,0.0046,0.0246,"Clovis, NM"
465,Curry County,NM,202503,1186.95,0.0087,0.0267,"Clovis, NM"
465,Curry County,NM,202504,1192.68,0.0048,0.0268,"Clovis, NM"
465,Curry County,NM,202505,1199.05,0.0053,0.0352,"Clovis, NM"
465,Curry County,NM,202506,1197.73,-0.0011,0.026,"Clovis, NM"
465,Curry County,NM,202507,1193.21,-0.0038,0.0206,"Clovis, NM"
465,Curry County,NM,202508,1207.59,0.0121,0.0289,"Clovis, NM"
465,Curry County,NM,202509,1224.58,0.0141,0.0525,"Clovis, NM"
465,Curry County,NM,202510,1240.04,0.0126,0.06,"Clovis, NM"
465,Curry County,NM,202511,1245.13,0.0041,0.0652,"Clovis, NM"
465,Curry County,NM,202512,1231.02,-0.0113,0.0508,"Clovis, NM"
465,Curry County,NM,202601,1232.44,0.0011,0.0522,"Clovis, NM"
465,Curry County,NM,202602,1227.06,-0.0044,0.0428,"Clovis, NM"
465,Curry County,NM,202603,1251.93,0.0203,0.0547,"Clovis, NM"
538,Grant County,NM,202603,1100.0,,,"Silver City, NM"
664,Otero County,NM,202205,1257.11,,,"Alamogordo, NM"
664,Otero County,NM,202206,1254.03,-0.0025,,"Alamogordo, NM"
664,Otero County,NM,202207,1242.37,-0.0093,,"Alamogordo, NM"
664,Otero County,NM,202208,1229.26,-0.0106,,"Alamogordo, NM"
664,Otero County,NM,202209,1250.01,0.0169,,"Alamogordo, NM"
664,Otero County,NM,202210,1253.9,0.0031,,"Alamogordo, NM"
664,Otero County,NM,202211,1264.58,0.0085,,"Alamogordo, NM"
664,Otero County,NM,202212,1282.42,0.0141,,"Alamogordo, NM"
664,Otero County,NM,202301,1275.25,-0.0056,,"Alamogordo, NM"
664,Otero County,NM,202302,1292.21,0.0133,,"Alamogordo, NM"
664,Otero County,NM,202303,1267.08,-0.0194,,"Alamogordo, NM"
664,Otero County,NM,202304,1268.56,0.0012,,"Alamogordo, NM"
664,Otero County,NM,202305,1251.2,-0.0137,-0.0047,"Alamogordo, NM"
