RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
157,Erie County,NY,201501,827.12,,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201502,836.05,0.0108,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201503,845.39,0.0112,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201504,849.05,0.0043,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201505,864.53,0.0182,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201506,872.82,0.0096,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201507,877.03,0.0048,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201508,881.18,0.0047,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201509,880.51,-0.0008,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201510,871.1,-0.0107,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201511,861.37,-0.0112,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201512,857.7,-0.0043,,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201601,861.57,0.0045,0.0416,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201602,862.49,0.0011,0.0316,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201603,865.59,0.0036,0.0239,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201604,879.09,0.0156,0.0354,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201605,898.63,0.0222,0.0394,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201606,912.31,0.0152,0.0453,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201607,900.88,-0.0125,0.0272,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201608,894.07,-0.0076,0.0146,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201609,888.58,-0.0061,0.0092,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201610,891.6,0.0034,0.0235,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201611,881.74,-0.0111,0.0237,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201612,881.99,0.0003,0.0283,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201701,892.45,0.0119,0.0358,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201702,904.72,0.0138,0.049,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201703,911.15,0.0071,0.0526,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201704,914.34,0.0035,0.0401,"Buffalo-Cheektowaga, NY"
157,Erie County,NY,201705,927.58,0.0145,0.0322,"Buffalo-Cheektowaga, NY"
