RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
76,Kay County,OK,202503,782.32,,,"Ponca City, OK"
76,Kay County,OK,202504,796.76,0.0185,,"Ponca City, OK"
76,Kay County,OK,202505,792.13,-0.0058,,"Ponca City, OK"
76,Kay County,OK,202506,771.5,-0.0261,,"Ponca City, OK"
76,Kay County,OK,202507,777.56,0.0079,,"Ponca City, OK"
76,Kay County,OK,202509,835.89,0.075,,"Ponca City, OK"
76,Kay County,OK,202510,836.29,0.0005,,"Ponca City, OK"
76,Kay County,OK,202511,837.36,0.0013,,"Ponca City, OK"
76,Kay County,OK,202512,822.73,-0.0175,,"Ponca City, OK"
76,Kay County,OK,202601,845.38,0.0275,,"Ponca City, OK"
76,Kay County,OK,202602,831.98,-0.0158,,"Ponca City, OK"
76,Kay County,OK,202603,849.96,0.0216,,"Ponca City, OK"
76,Kay County,OK,202604,836.28,-0.0161,0.069,"Ponca City, OK"
413,Bryan County,OK,202404,1214.14,,,"Durant, OK"
413,Bryan County,OK,202405,1210.58,-0.0029,,"Durant, OK"
413,Bryan County,OK,202406,1181.49,-0.024,,"Durant, OK"
413,Bryan County,OK,202407,1172.09,-0.008,,"Durant, OK"
413,Bryan County,OK,202408,1163.92,-0.007,,"Durant, OK"
413,Bryan County,OK,202409,1194.26,0.0261,,"Durant, OK"
413,Bryan County,OK,202410,1203.78,0.008,,"Durant, OK"
413,Bryan County,OK,202411,1214.32,0.0087,,"Durant, OK"
413,Bryan County,OK,202412,1225.67,0.0093,,"Durant, OK"
413,Bryan County,OK,202501,1228.53,0.0023,,"Durant, OK"
413,Bryan County,OK,202502,1248.54,0.0163,,"Durant, OK"
413,Bryan County,OK,202503,1247.06,-0.0012,,"Durant, OK"
413,Bryan County,OK,202504,1252.87,0.0047,0.0319,"Durant, OK"
413,Bryan County,OK,202505,1227.48,-0.0203,0.014,"Durant, OK"
413,Bryan County,OK,202506,1229.6,0.0017,0.0407,"Durant, OK"
413,Bryan County,OK,202507,1211.53,-0.0147,0.0336,"Durant, OK"
413,Bryan County,OK,202508,1229.01,0.0144,0.0559,"Durant, OK"
413,Bryan County,OK,202509,1221.32,-0.0063,0.0227,"Durant, OK"
413,Bryan County,OK,202510,1215.53,-0.0047,0.0098,"Durant, OK"
413,Bryan County,OK,202511,1222.46,0.0057,0.0067,"Durant, OK"
413,Bryan County,OK,202512,1238.79,0.0134,0.0107,"Durant, OK"
413,Bryan County,OK,202601,1273.53,0.028,0.0366,"Durant, OK"
