RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
72,Elk County,PA,202604,900.0,,,"St. Marys, PA"
159,Erie County,PA,201605,679.56,,,"Erie, PA"
159,Erie County,PA,201606,681.87,0.0034,,"Erie, PA"
159,Erie County,PA,201607,673.3,-0.0126,,"Erie, PA"
159,Erie County,PA,201608,688.91,0.0232,,"Erie, PA"
159,Erie County,PA,201609,688.71,-0.0003,,"Erie, PA"
159,Erie County,PA,201611,691.26,0.0037,,"Erie, PA"
159,Erie County,PA,201612,685.32,-0.0086,,"Erie, PA"
159,Erie County,PA,201701,681.18,-0.006,,"Erie, PA"
159,Erie County,PA,201702,686.43,0.0077,,"Erie, PA"
159,Erie County,PA,201703,693.46,0.0102,,"Erie, PA"
159,Erie County,PA,201704,698.27,0.0069,,"Erie, PA"
159,Erie County,PA,201705,706.4,0.0116,,"Erie, PA"
159,Erie County,PA,201706,707.78,0.0019,0.0415,"Erie, PA"
159,Erie County,PA,201707,713.26,0.0077,0.046,"Erie, PA"
159,Erie County,PA,201708,709.38,-0.0054,0.0536,"Erie, PA"
159,Erie County,PA,201709,707.61,-0.0025,0.0271,"Erie, PA"
159,Erie County,PA,201710,700.97,-0.0094,0.0178,"Erie, PA"
159,Erie County,PA,201711,692.7,-0.0118,0.0021,"Erie, PA"
159,Erie County,PA,201712,692.53,-0.0002,0.0105,"Erie, PA"
159,Erie County,PA,201801,694.18,0.0024,0.0191,"Erie, PA"
159,Erie County,PA,201802,700.7,0.0094,0.0208,"Erie, PA"
159,Erie County,PA,201803,707.12,0.0092,0.0197,"Erie, PA"
159,Erie County,PA,201804,716.75,0.0136,0.0265,"Erie, PA"
159,Erie County,PA,201805,721.65,0.0068,0.0216,"Erie, PA"
159,Erie County,PA,201806,719.75,-0.0026,0.0169,"Erie, PA"
159,Erie County,PA,201807,711.67,-0.0112,-0.0022,"Erie, PA"
159,Erie County,PA,201808,712.0,0.0005,0.0037,"Erie, PA"
159,Erie County,PA,201809,711.83,-0.0002,0.006,"Erie, PA"
159,Erie County,PA,201810,720.93,0.0128,0.0285,"Erie, PA"
159,Erie County,PA,201811,722.69,0.0024,0.0433,"Erie, PA"
159,Erie County,PA,201812,730.51,0.0108,0.0548,"Erie, PA"
159,Erie County,PA,201901,730.46,-0.0001,0.0523,"Erie, PA"
159,Erie County,PA,201902,736.29,0.008,0.0508,"Erie, PA"
159,Erie County,PA,201903,736.11,-0.0003,0.041,"Erie, PA"
