RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
130,Clay County,SD,202512,866.98,,,"Vermillion, SD"
130,Clay County,SD,202601,942.51,0.0871,,"Vermillion, SD"
130,Clay County,SD,202602,919.08,-0.0249,,"Vermillion, SD"
130,Clay County,SD,202603,955.0,0.0391,,"Vermillion, SD"
408,Brown County,SD,202505,818.4,,,"Aberdeen, SD"
408,Brown County,SD,202506,844.65,0.0321,,"Aberdeen, SD"
408,Brown County,SD,202507,888.2,0.0516,,"Aberdeen, SD"
408,Brown County,SD,202508,904.39,0.0182,,"Aberdeen, SD"
408,Brown County,SD,202509,883.14,-0.0235,,"Aberdeen, SD"
408,Brown County,SD,202510,867.43,-0.0178,,"Aberdeen, SD"
408,Brown County,SD,202511,914.6,0.0544,,"Aberdeen, SD"
408,Brown County,SD,202512,953.59,0.0426,,"Aberdeen, SD"
408,Brown County,SD,202601,1006.94,0.0559,,"Aberdeen, SD"
408,Brown County,SD,202602,969.15,-0.0375,,"Aberdeen, SD"
408,Brown County,SD,202603,974.67,0.0057,,"Aberdeen, SD"
636,Meade County,SD,202511,1385.77,,,"Rapid City, SD"
636,Meade County,SD,202512,1366.38,-0.014,,"Rapid City, SD"
636,Meade County,SD,202601,1332.18,-0.025,,"Rapid City, SD"
636,Meade County,SD,202602,1332.54,0.0003,,"Rapid City, SD"
636,Meade County,SD,202603,1340.17,0.0057,,"Rapid City, SD"
1108,Hughes County,SD,202603,1441.75,,,"Pierre, SD"
1654,Davison County,SD,202512,932.97,,,"Mitchell, SD"
1654,Davison County,SD,202601,950.68,0.019,,"Mitchell, SD"
1654,Davison County,SD,202602,877.47,-0.077,,"Mitchell, SD"
1654,Davison County,SD,202603,897.75,0.0231,,"Mitchell, SD"
1881,Lincoln County,SD,201812,965.72,,,"Sioux Falls, SD"
1881,Lincoln County,SD,201901,972.98,0.0075,,"Sioux Falls, SD"
1881,Lincoln County,SD,201902,966.1,-0.0071,,"Sioux Falls, SD"
1881,Lincoln County,SD,201903,972.97,0.0071,,"Sioux Falls, SD"
1881,Lincoln County,SD,201904,975.88,0.003,,"Sioux Falls, SD"
1881,Lincoln County,SD,201905,988.97,0.0134,,"Sioux Falls, SD"
1881,Lincoln County,SD,201906,972.7,-0.0164,,"Sioux Falls, SD"
1881,Lincoln County,SD,201907,990.08,0.0179,,"Sioux Falls, SD"
1881,Lincoln County,SD,201908,986.97,-0.0031,,"Sioux Falls, SD"
1881,Lincoln County,SD,201909,1006.37,0.0197,,"Sioux Falls, SD"
1881,Lincoln County,SD,201910,1002.88,-0.0035,,"Sioux Falls, SD"
1881,Lincoln County,SD,201911,1001.98,-0.0009,,"Sioux Falls, SD"
1881,Lincoln County,SD,201912,1009.5,0.0075,0.0453,"Sioux Falls, SD"
1881,Lincoln County,SD,202001,997.06,-0.0123,0.0248,"Sioux Falls, SD"
1881,Lincoln County,SD,202002,980.61,-0.0165,0.015,"Sioux Falls, SD"
1881,Lincoln County,SD,202003,975.33,-0.0054,0.0024,"Sioux Falls, SD"
1881,Lincoln County,SD,202004,988.68,0.0137,0.0131,"Sioux Falls, SD"
1881,Lincoln County,SD,202005,1003.11,0.0146,0.0143,"Sioux Falls, SD"
1881,Lincoln County,SD,202006,1012.55,0.0094,0.041,"Sioux Falls, SD"
1881,Lincoln County,SD,202007,1018.84,0.0062,0.0291,"Sioux Falls, SD"
1881,Lincoln County,SD,202008,1024.57,0.0056,0.0381,"Sioux Falls, SD"
1881,Lincoln County,SD,202009,1038.83,0.0139,0.0323,"Sioux Falls, SD"
1881,Lincoln County,SD,202010,1038.01,-0.0008,0.035,"Sioux Falls, SD"
1881,Lincoln County,SD,202011,1029.82,-0.0079,0.0278,"Sioux Falls, SD"
1881,Lincoln County,SD,202012,1011.3,-0.018,0.0018,"Sioux Falls, SD"
1881,Lincoln County,SD,202101,1020.48,0.0091,0.0235,"Sioux Falls, SD"
1881,Lincoln County,SD,202102,1039.19,0.0183,0.0597,"Sioux Falls, SD"
1881,Lincoln County,SD,202103,1050.65,0.011,0.0772,"Sioux Falls, SD"
1881,Lincoln County,SD,202104,1064.31,0.013,0.0765,"Sioux Falls, SD"
1881,Lincoln County,SD,202105,1078.78,0.0136,0.0754,"Sioux Falls, SD"
1881,Lincoln County,SD,202106,1093.8,0.0139,0.0802,"Sioux Falls, SD"
1881,Lincoln County,SD,202107,1099.13,0.0049,0.0788,"Sioux Falls, SD"
1881,Lincoln County,SD,202108,1105.47,0.0058,0.079,"Sioux Falls, SD"
1881,Lincoln County,SD,202109,1110.67,0.0047,0.0692,"Sioux Falls, SD"
1881,Lincoln County,SD,202110,1122.79,0.0109,0.0817,"Sioux Falls, SD"
1881,Lincoln County,SD,202111,1134.97,0.0109,0.1021,"Sioux Falls, SD"
1881,Lincoln County,SD,202112,1143.57,0.0076,0.1308,"Sioux Falls, SD"
1881,Lincoln County,SD,202201,1156.22,0.0111,0.133,"Sioux Falls, SD"
1881,Lincoln County,SD,202202,1171.75,0.0134,0.1276,"Sioux Falls, SD"
1881,Lincoln County,SD,202203,1192.22,0.0175,0.1347,"Sioux Falls, SD"
1881,Lincoln County,SD,202204,1203.59,0.0095,0.1309,"Sioux Falls, SD"
1881,Lincoln County,SD,202205,1210.48,0.0057,0.1221,"Sioux Falls, SD"
1881,Lincoln County,SD,202206,1236.49,0.0215,0.1305,"Sioux Falls, SD"
1881,Lincoln County,SD,202207,1259.14,0.0183,0.1456,"Sioux Falls, SD"
1881,Lincoln County,SD,202208,1286.51,0.0217,0.1638,"Sioux Falls, SD"
1881,Lincoln County,SD,202209,1281.26,-0.0041,0.1536,"Sioux Falls, SD"
1881,Lincoln County,SD,202210,1267.01,-0.0111,0.1285,"Sioux Falls, SD"
1881,Lincoln County,SD,202211,1260.23,-0.0054,0.1104,"Sioux Falls, SD"
1881,Lincoln County,SD,202212,1247.76,-0.0099,0.0911,"Sioux Falls, SD"
1881,Lincoln County,SD,202301,1248.57,0.0007,0.0799,"Sioux Falls, SD"
1881,Lincoln County,SD,202302,1248.99,0.0003,0.0659,"Sioux Falls, SD"
1881,Lincoln County,SD,202303,1265.82,0.0135,0.0617,"Sioux Falls, SD"
1881,Lincoln County,SD,202304,1272.63,0.0054,0.0574,"Sioux Falls, SD"
