RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
193,Iron County,UT,202203,1401.08,,,"Cedar City, UT"
193,Iron County,UT,202204,1410.44,0.0067,,"Cedar City, UT"
193,Iron County,UT,202205,1417.49,0.005,,"Cedar City, UT"
193,Iron County,UT,202206,1434.94,0.0123,,"Cedar City, UT"
193,Iron County,UT,202207,1422.86,-0.0084,,"Cedar City, UT"
193,Iron County,UT,202208,1430.07,0.0051,,"Cedar City, UT"
193,Iron County,UT,202209,1387.46,-0.0298,,"Cedar City, UT"
193,Iron County,UT,202210,1423.8,0.0262,,"Cedar City, UT"
193,Iron County,UT,202211,1414.56,-0.0065,,"Cedar City, UT"
193,Iron County,UT,202212,1433.77,0.0136,,"Cedar City, UT"
193,Iron County,UT,202301,1384.18,-0.0346,,"Cedar City, UT"
193,Iron County,UT,202302,1389.98,0.0042,,"Cedar City, UT"
193,Iron County,UT,202303,1410.52,0.0148,0.0067,"Cedar City, UT"
193,Iron County,UT,202304,1436.07,0.0181,0.0182,"Cedar City, UT"
193,Iron County,UT,202305,1434.57,-0.001,0.012,"Cedar City, UT"
193,Iron County,UT,202306,1443.28,0.0061,0.0058,"Cedar City, UT"
193,Iron County,UT,202307,1450.25,0.0048,0.0192,"Cedar City, UT"
193,Iron County,UT,202308,1460.97,0.0074,0.0216,"Cedar City, UT"
193,Iron County,UT,202309,1472.5,0.0079,0.0613,"Cedar City, UT"
193,Iron County,UT,202310,1475.74,0.0022,0.0365,"Cedar City, UT"
193,Iron County,UT,202311,1462.88,-0.0087,0.0342,"Cedar City, UT"
193,Iron County,UT,202312,1439.74,-0.0158,0.0042,"Cedar City, UT"
193,Iron County,UT,202401,1451.15,0.0079,0.0484,"Cedar City, UT"
193,Iron County,UT,202402,1469.3,0.0125,0.0571,"Cedar City, UT"
193,Iron County,UT,202403,1483.35,0.0096,0.0516,"Cedar City, UT"
193,Iron County,UT,202404,1471.28,-0.0081,0.0245,"Cedar City, UT"
193,Iron County,UT,202405,1472.04,0.0005,0.0261,"Cedar City, UT"
193,Iron County,UT,202406,1479.25,0.0049,0.0249,"Cedar City, UT"
193,Iron County,UT,202407,1486.75,0.0051,0.0252,"Cedar City, UT"
193,Iron County,UT,202408,1485.59,-0.0008,0.0169,"Cedar City, UT"
193,Iron County,UT,202409,1496.44,0.0073,0.0163,"Cedar City, UT"
193,Iron County,UT,202410,1493.21,-0.0022,0.0118,"Cedar City, UT"
193,Iron County,UT,202411,1493.15,-0.0,0.0207,"Cedar City, UT"
193,Iron County,UT,202412,1464.53,-0.0192,0.0172,"Cedar City, UT"
193,Iron County,UT,202501,1441.51,-0.0157,-0.0066,"Cedar City, UT"
193,Iron County,UT,202502,1442.19,0.0005,-0.0185,"Cedar City, UT"
193,Iron County,UT,202503,1459.5,0.012,-0.0161,"Cedar City, UT"
193,Iron County,UT,202504,1485.46,0.0178,0.0096,"Cedar City, UT"
193,Iron County,UT,202505,1489.31,0.0026,0.0117,"Cedar City, UT"
193,Iron County,UT,202506,1506.52,0.0116,0.0184,"Cedar City, UT"
193,Iron County,UT,202507,1512.34,0.0039,0.0172,"Cedar City, UT"
193,Iron County,UT,202508,1525.99,0.009,0.0272,"Cedar City, UT"
193,Iron County,UT,202509,1514.52,-0.0075,0.0121,"Cedar City, UT"
193,Iron County,UT,202510,1509.21,-0.0035,0.0107,"Cedar City, UT"
193,Iron County,UT,202511,1489.58,-0.013,-0.0024,"Cedar City, UT"
193,Iron County,UT,202512,1482.71,-0.0046,0.0124,"Cedar City, UT"
193,Iron County,UT,202601,1488.65,0.004,0.0327,"Cedar City, UT"
193,Iron County,UT,202602,1488.54,-0.0001,0.0321,"Cedar City, UT"
193,Iron County,UT,202603,1498.33,0.0066,0.0266,"Cedar City, UT"
322,Utah County,UT,201501,1012.99,,,"Provo-Orem, UT"
322,Utah County,UT,201502,1009.98,-0.003,,"Provo-Orem, UT"
322,Utah County,UT,201503,1028.82,0.0187,,"Provo-Orem, UT"
322,Utah County,UT,201504,1016.65,-0.0118,,"Provo-Orem, UT"
322,Utah County,UT,201505,1016.54,-0.0001,,"Provo-Orem, UT"
322,Utah County,UT,201506,1018.66,0.0021,,"Provo-Orem, UT"
322,Utah County,UT,201507,1035.1,0.0161,,"Provo-Orem, UT"
322,Utah County,UT,201508,1039.13,0.0039,,"Provo-Orem, UT"
322,Utah County,UT,201509,1040.19,0.001,,"Provo-Orem, UT"
322,Utah County,UT,201510,1053.96,0.0132,,"Provo-Orem, UT"
322,Utah County,UT,201511,1068.63,0.0139,,"Provo-Orem, UT"
322,Utah County,UT,201512,1071.74,0.0029,,"Provo-Orem, UT"
322,Utah County,UT,201601,1069.06,-0.0025,0.0554,"Provo-Orem, UT"
322,Utah County,UT,201602,1066.04,-0.0028,0.0555,"Provo-Orem, UT"
322,Utah County,UT,201603,1067.41,0.0013,0.0375,"Provo-Orem, UT"
322,Utah County,UT,201604,1069.39,0.0019,0.0519,"Provo-Orem, UT"
322,Utah County,UT,201605,1078.78,0.0088,0.0612,"Provo-Orem, UT"
322,Utah County,UT,201606,1087.71,0.0083,0.0678,"Provo-Orem, UT"
322,Utah County,UT,201607,1096.99,0.0085,0.0598,"Provo-Orem, UT"
322,Utah County,UT,201608,1105.87,0.0081,0.0642,"Provo-Orem, UT"
322,Utah County,UT,201609,1104.62,-0.0011,0.0619,"Provo-Orem, UT"
322,Utah County,UT,201610,1110.71,0.0055,0.0538,"Provo-Orem, UT"
322,Utah County,UT,201611,1105.15,-0.005,0.0342,"Provo-Orem, UT"
322,Utah County,UT,201612,1108.11,0.0027,0.0339,"Provo-Orem, UT"
322,Utah County,UT,201701,1111.11,0.0027,0.0393,"Provo-Orem, UT"
322,Utah County,UT,201702,1121.32,0.0092,0.0519,"Provo-Orem, UT"
322,Utah County,UT,201703,1136.2,0.0133,0.0644,"Provo-Orem, UT"
322,Utah County,UT,201704,1134.22,-0.0017,0.0606,"Provo-Orem, UT"
322,Utah County,UT,201705,1147.72,0.0119,0.0639,"Provo-Orem, UT"
322,Utah County,UT,201706,1152.03,0.0038,0.0591,"Provo-Orem, UT"
322,Utah County,UT,201707,1165.97,0.0121,0.0629,"Provo-Orem, UT"
322,Utah County,UT,201708,1170.39,0.0038,0.0584,"Provo-Orem, UT"
322,Utah County,UT,201709,1176.4,0.0051,0.065,"Provo-Orem, UT"
322,Utah County,UT,201710,1166.84,-0.0081,0.0505,"Provo-Orem, UT"
322,Utah County,UT,201711,1157.9,-0.0077,0.0477,"Provo-Orem, UT"
322,Utah County,UT,201712,1157.58,-0.0003,0.0447,"Provo-Orem, UT"
322,Utah County,UT,201801,1174.93,0.015,0.0574,"Provo-Orem, UT"
322,Utah County,UT,201802,1185.68,0.0091,0.0574,"Provo-Orem, UT"
322,Utah County,UT,201803,1192.89,0.0061,0.0499,"Provo-Orem, UT"
322,Utah County,UT,201804,1202.14,0.0078,0.0599,"Provo-Orem, UT"
322,Utah County,UT,201805,1206.84,0.0039,0.0515,"Provo-Orem, UT"
322,Utah County,UT,201806,1212.02,0.0043,0.0521,"Provo-Orem, UT"
322,Utah County,UT,201807,1218.68,0.0055,0.0452,"Provo-Orem, UT"
322,Utah County,UT,201808,1223.58,0.004,0.0454,"Provo-Orem, UT"
322,Utah County,UT,201809,1219.88,-0.003,0.037,"Provo-Orem, UT"
322,Utah County,UT,201810,1208.71,-0.0092,0.0359,"Provo-Orem, UT"
322,Utah County,UT,201811,1212.09,0.0028,0.0468,"Provo-Orem, UT"
322,Utah County,UT,201812,1219.85,0.0064,0.0538,"Provo-Orem, UT"
322,Utah County,UT,201901,1232.81,0.0106,0.0493,"Provo-Orem, UT"
322,Utah County,UT,201902,1238.36,0.0045,0.0444,"Provo-Orem, UT"
322,Utah County,UT,201903,1244.08,0.0046,0.0429,"Provo-Orem, UT"
322,Utah County,UT,201904,1250.11,0.0048,0.0399,"Provo-Orem, UT"
