RegionID,RegionName,State,month_date_yyyymm,zori,zori_mm,zori_yy,Metro
2098,Windham County,VT,202601,1591.42,,,
2098,Windham County,VT,202602,1652.08,0.0381,,
2099,Windsor County,VT,202311,1713.82,,,"Lebanon, NH-VT"
2099,Windsor County,VT,202312,1707.27,-0.0038,,"Lebanon, NH-VT"
2099,Windsor County,VT,202401,1703.21,-0.0024,,"Lebanon, NH-VT"
2099,Windsor County,VT,202402,1714.37,0.0066,,"Lebanon, NH-VT"
2099,Windsor County,VT,202403,1758.96,0.026,,"Lebanon, NH-VT"
2099,Windsor County,VT,202404,1756.68,-0.0013,,"Lebanon, NH-VT"
2099,Windsor County,VT,202405,1767.13,0.006,,"Lebanon, NH-VT"
2099,Windsor County,VT,202406,1770.96,0.0022,,"Lebanon, NH-VT"
2099,Windsor County,VT,202407,1802.45,0.0178,,"Lebanon, NH-VT"
2099,Windsor County,VT,202408,1838.48,0.02,,"Lebanon, NH-VT"
2099,Windsor County,VT,202409,1827.62,-0.0059,,"Lebanon, NH-VT"
2099,Windsor County,VT,202410,1890.76,0.0345,,"Lebanon, NH-VT"
2099,Windsor County,VT,202411,1854.34,-0.0193,0.082,"Lebanon, NH-VT"
2099,Windsor County,VT,202412,1842.86,-0.0062,0.0794,"Lebanon, NH-VT"
2099,Windsor County,VT,202501,1789.68,-0.0289,0.0508,"Lebanon, NH-VT"
2099,Windsor County,VT,202502,1816.03,0.0147,0.0593,"Lebanon, NH-VT"
2099,Windsor County,VT,202503,1819.07,0.0017,0.0342,"Lebanon, NH-VT"
2099,Windsor County,VT,202504,1804.35,-0.0081,0.0271,"Lebanon, NH-VT"
2099,Windsor County,VT,202505,1792.68,-0.0065,0.0145,"Lebanon, NH-VT"
2099,Windsor County,VT,202506,1853.65,0.034,0.0467,"Lebanon, NH-VT"
2099,Windsor County,VT,202507,1900.64,0.0254,0.0545,"Lebanon, NH-VT"
2099,Windsor County,VT,202508,1908.02,0.0039,0.0378,"Lebanon, NH-VT"
2099,Windsor County,VT,202509,1892.95,-0.0079,0.0357,"Lebanon, NH-VT"
2099,Windsor County,VT,202510,1891.99,-0.0005,0.0007,"Lebanon, NH-VT"
2099,Windsor County,VT,202511,1900.32,0.0044,0.0248,"Lebanon, NH-VT"
2099,Windsor County,VT,202512,1895.79,-0.0024,0.0287,"Lebanon, NH-VT"
2099,Windsor County,VT,202601,1891.04,-0.0025,0.0566,"Lebanon, NH-VT"
2099,Windsor County,VT,202602,1918.06,0.0143,0.0562,"Lebanon, NH-VT"
2888,Bennington County,VT,202509,1615.77,,,"Bennington, VT"
2888,Bennington County,VT,202510,1632.1,0.0101,,"Bennington, VT"
2888,Bennington County,VT,202511,1614.06,-0.0111,,"Bennington, VT"
2888,Bennington County,VT,202512,1620.69,0.0041,,"Bennington, VT"
2888,Bennington County,VT,202601,1582.44,-0.0236,,"Bennington, VT"
2888,Bennington County,VT,202602,1554.17,-0.0179,,"Bennington, VT"
2901,Chittenden County,VT,201608,1367.43,,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201609,1384.99,0.0128,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201610,1450.77,0.0475,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201611,1435.77,-0.0103,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201612,1432.12,-0.0025,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201701,1428.24,-0.0027,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201702,1450.4,0.0155,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201703,1456.71,0.0044,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201704,1457.54,0.0006,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201705,1465.82,0.0057,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201706,1461.37,-0.003,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201707,1488.11,0.0183,,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201708,1502.26,0.0095,0.0986,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201709,1515.66,0.0089,0.0943,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201710,1500.9,-0.0097,0.0346,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201711,1482.09,-0.0125,0.0323,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201712,1475.7,-0.0043,0.0304,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201801,1488.69,0.0088,0.0423,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201802,1512.91,0.0163,0.0431,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201803,1524.87,0.0079,0.0468,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201804,1533.72,0.0058,0.0523,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201805,1519.37,-0.0094,0.0365,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201806,1530.77,0.0075,0.0475,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201807,1511.38,-0.0127,0.0156,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201808,1534.45,0.0153,0.0214,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201809,1536.19,0.0011,0.0135,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201810,1549.59,0.0087,0.0324,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201811,1542.67,-0.0045,0.0409,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201812,1537.01,-0.0037,0.0415,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201901,1538.34,0.0009,0.0334,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201902,1545.93,0.0049,0.0218,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201903,1545.43,-0.0003,0.0135,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201904,1549.14,0.0024,0.0101,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201905,1538.77,-0.0067,0.0128,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201906,1557.97,0.0125,0.0178,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201907,1553.0,-0.0032,0.0275,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201908,1570.62,0.0113,0.0236,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201909,1574.07,0.0022,0.0247,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201910,1592.42,0.0117,0.0276,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201911,1596.27,0.0024,0.0347,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,201912,1577.57,-0.0117,0.0264,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202001,1563.06,-0.0092,0.0161,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202002,1563.71,0.0004,0.0115,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202003,1575.54,0.0076,0.0195,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202004,1579.78,0.0027,0.0198,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202005,1583.48,0.0023,0.0291,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202006,1601.21,0.0112,0.0278,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202007,1620.19,0.0119,0.0433,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202008,1630.59,0.0064,0.0382,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202009,1635.86,0.0032,0.0393,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202010,1647.42,0.0071,0.0345,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202011,1649.12,0.001,0.0331,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202012,1637.62,-0.007,0.0381,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202101,1631.96,-0.0035,0.0441,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202102,1631.63,-0.0002,0.0434,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202103,1644.24,0.0077,0.0436,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202104,1653.3,0.0055,0.0465,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202105,1663.7,0.0063,0.0507,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202106,1693.1,0.0177,0.0574,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202107,1722.31,0.0172,0.063,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202108,1776.2,0.0313,0.0893,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202109,1782.55,0.0036,0.0897,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202110,1793.78,0.0063,0.0888,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202111,1769.56,-0.0135,0.073,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202112,1781.97,0.007,0.0881,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202201,1790.11,0.0046,0.0969,"Burlington-South Burlington, VT"
2901,Chittenden County,VT,202202,1810.28,0.0113,0.1095,"Burlington-South Burlington, VT"
